Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
1.71994,1.71994,1.71994,2019,CarbonEmissions,1.71994
1.72046,1.72046,1.72046,2020,CarbonEmissions,1.72046
1.7225,1.7225,1.7225,2021,CarbonEmissions,1.7225
1.72959,1.72959,1.72959,2022,CarbonEmissions,1.72959
1.72174,1.72173,1.72174,2023,CarbonEmissions,1.72173
1.70939,1.70942,1.70939,2024,CarbonEmissions,1.70942
1.69543,1.70042,1.69543,2025,CarbonEmissions,1.70042
1.6869,1.67498,1.68697,2026,CarbonEmissions,1.67491
1.68174,1.62614,1.68123,2027,CarbonEmissions,1.62659
1.68468,1.55925,1.68335,2028,CarbonEmissions,1.5603
1.69298,1.48276,1.6919,2029,CarbonEmissions,1.48354
1.70361,1.40594,1.70462,2030,CarbonEmissions,1.40545
1.70859,1.33484,1.71384,2031,CarbonEmissions,1.33219
1.70425,1.27182,1.71515,2032,CarbonEmissions,1.26615
1.69535,1.21766,1.71251,2033,CarbonEmissions,1.20838
1.68321,1.17257,1.70334,2034,CarbonEmissions,1.15906
1.66983,1.12801,1.69348,2035,CarbonEmissions,1.11026
1.65316,1.09161,1.68491,2036,CarbonEmissions,1.06894
1.63718,1.04867,1.67619,2037,CarbonEmissions,1.02161
1.62136,1.00017,1.6639,2038,CarbonEmissions,0.9698
1.60474,0.94247,1.65005,2039,CarbonEmissions,0.91061
1.58942,0.87798,1.63799,2040,CarbonEmissions,0.84585
1.57309,0.81293,1.62597,2041,CarbonEmissions,0.78126
1.55426,0.74966,1.61198,2042,CarbonEmissions,0.71871
1.5345,0.68762,1.5953,2043,CarbonEmissions,0.6575
1.5093,0.62749,1.5733,2044,CarbonEmissions,0.59817
1.48221,0.56968,1.54799,2045,CarbonEmissions,0.54138
1.45431,0.51463,1.52159,2046,CarbonEmissions,0.48708
1.42553,0.47446,1.49597,2047,CarbonEmissions,0.44743
1.3972,0.44156,1.47111,2048,CarbonEmissions,0.41407
1.36852,0.41202,1.44874,2049,CarbonEmissions,0.3843
1.3408,0.37988,1.4291,2050,CarbonEmissions,0.35248
1.31378,0.35158,1.40778,2051,CarbonEmissions,0.32356
1.28581,0.32916,1.3833,2052,CarbonEmissions,0.29899
1.25746,0.30871,1.35707,2053,CarbonEmissions,0.27669
1.22845,0.28848,1.33167,2054,CarbonEmissions,0.25552
1.19994,0.26766,1.30698,2055,CarbonEmissions,0.23441
1.17088,0.24666,1.28189,2056,CarbonEmissions,0.21283
1.14162,0.22151,1.25596,2057,CarbonEmissions,0.1887
1.11169,0.1964,1.22975,2058,CarbonEmissions,0.16577
1.0822,0.1698,1.20222,2059,CarbonEmissions,0.14078
1.05238,0.14646,1.17528,2060,CarbonEmissions,0.11909
1.02439,0.12411,1.14804,2061,CarbonEmissions,0.09671
0.99649,0.10274,1.12183,2062,CarbonEmissions,0.07597
0.96961,0.08311,1.09529,2063,CarbonEmissions,0.05625
0.94233,0.0644,1.06959,2064,CarbonEmissions,0.03805
0.91571,0.04449,1.04383,2065,CarbonEmissions,0.01841
0.88902,0.02808,1.01893,2066,CarbonEmissions,0.00217
0.86272,0.01353,0.99358,2067,CarbonEmissions,-0.01258
0.83602,0.00028,0.96806,2068,CarbonEmissions,-0.0261
0.80955,-0.01171,0.94085,2069,CarbonEmissions,-0.03854
0.78224,-0.02253,0.91293,2070,CarbonEmissions,-0.04999
0.75556,-0.03203,0.88443,2071,CarbonEmissions,-0.06018
0.72846,-0.04059,0.85518,2072,CarbonEmissions,-0.06928
0.701,-0.04828,0.82682,2073,CarbonEmissions,-0.07747
0.67415,-0.05517,0.79992,2074,CarbonEmissions,-0.08498
0.64865,-0.06214,0.77546,2075,CarbonEmissions,-0.09177
0.62373,-0.06822,0.75154,2076,CarbonEmissions,-0.09781
0.60044,-0.07491,0.72872,2077,CarbonEmissions,-0.10405
0.57743,-0.08091,0.7059,2078,CarbonEmissions,-0.10952
0.55504,-0.08753,0.68261,2079,CarbonEmissions,-0.11538
0.5335,-0.09359,0.66024,2080,CarbonEmissions,-0.12073
0.51306,-0.09997,0.63801,2081,CarbonEmissions,-0.12629
0.49255,-0.10612,0.61577,2082,CarbonEmissions,-0.13151
0.47271,-0.11231,0.59391,2083,CarbonEmissions,-0.13697
0.45343,-0.11842,0.57274,2084,CarbonEmissions,-0.14219
0.435,-0.12439,0.55185,2085,CarbonEmissions,-0.14735
0.41741,-0.13024,0.53207,2086,CarbonEmissions,-0.15241
0.40154,-0.13588,0.51318,2087,CarbonEmissions,-0.15733
0.38645,-0.14126,0.49518,2088,CarbonEmissions,-0.16209
0.37194,-0.14646,0.47856,2089,CarbonEmissions,-0.16666
0.35821,-0.15143,0.46242,2090,CarbonEmissions,-0.17104
0.34479,-0.15611,0.4464,2091,CarbonEmissions,-0.17523
0.33144,-0.16012,0.43071,2092,CarbonEmissions,-0.17874
0.31856,-0.16358,0.415,2093,CarbonEmissions,-0.18181
0.30598,-0.16664,0.40025,2094,CarbonEmissions,-0.18458
0.29342,-0.16937,0.38492,2095,CarbonEmissions,-0.18706
0.28083,-0.17175,0.36885,2096,CarbonEmissions,-0.18927
0.2684,-0.17377,0.35289,2097,CarbonEmissions,-0.19121
0.25635,-0.17552,0.33725,2098,CarbonEmissions,-0.19283
0.24442,-0.17674,0.322,2099,CarbonEmissions,-0.19408
0.23371,-0.17803,0.30868,2100,CarbonEmissions,-0.19542
1.634,1.634,1.634,2019,CarbonEmissions_per_capita,1.63432
1.623,1.623,1.623,2020,CarbonEmissions_per_capita,1.62349
1.615,1.615,1.615,2021,CarbonEmissions_per_capita,1.61503
1.612,1.612,1.612,2022,CarbonEmissions_per_capita,1.61221
1.597,1.597,1.597,2023,CarbonEmissions_per_capita,1.59676
1.578,1.578,1.578,2024,CarbonEmissions_per_capita,1.57805
1.558,1.563,1.558,2025,CarbonEmissions_per_capita,1.56294
1.544,1.533,1.544,2026,CarbonEmissions_per_capita,1.53303
1.533,1.482,1.533,2027,CarbonEmissions_per_capita,1.48274
1.53,1.416,1.528,2028,CarbonEmissions_per_capita,1.41668
1.531,1.341,1.53,2029,CarbonEmissions_per_capita,1.34183
1.535,1.267,1.536,2030,CarbonEmissions_per_capita,1.26658
1.535,1.199,1.539,2031,CarbonEmissions_per_capita,1.19645
1.526,1.139,1.535,2032,CarbonEmissions_per_capita,1.13344
1.513,1.087,1.528,2033,CarbonEmissions_per_capita,1.07837
1.498,1.043,1.516,2034,CarbonEmissions_per_capita,1.03133
1.482,1.001,1.503,2035,CarbonEmissions_per_capita,0.98518
1.463,0.966,1.491,2036,CarbonEmissions_per_capita,0.94606
1.446,0.926,1.48,2037,CarbonEmissions_per_capita,0.902
1.428,0.881,1.466,2038,CarbonEmissions_per_capita,0.85436
1.411,0.828,1.451,2039,CarbonEmissions_per_capita,0.80058
1.395,0.77,1.437,2040,CarbonEmissions_per_capita,0.74227
1.378,0.712,1.424,2041,CarbonEmissions_per_capita,0.68445
1.36,0.656,1.41,2042,CarbonEmissions_per_capita,0.62874
1.341,0.6,1.393,2043,CarbonEmissions_per_capita,0.57448
1.318,0.547,1.373,2044,CarbonEmissions_per_capita,0.5221
1.293,0.496,1.349,2045,CarbonEmissions_per_capita,0.47215
1.268,0.448,1.325,2046,CarbonEmissions_per_capita,0.42454
1.242,0.413,1.303,2047,CarbonEmissions_per_capita,0.38985
1.218,0.384,1.281,2048,CarbonEmissions_per_capita,0.36074
1.193,0.359,1.261,2049,CarbonEmissions_per_capita,0.33485
1.169,0.331,1.245,2050,CarbonEmissions_per_capita,0.30724
1.146,0.306,1.227,2051,CarbonEmissions_per_capita,0.2822
1.123,0.287,1.206,2052,CarbonEmissions_per_capita,0.26099
1.099,0.269,1.184,2053,CarbonEmissions_per_capita,0.24179
1.076,0.252,1.164,2054,CarbonEmissions_per_capita,0.22357
1.052,0.234,1.143,2055,CarbonEmissions_per_capita,0.20542
1.029,0.216,1.123,2056,CarbonEmissions_per_capita,0.18682
1.005,0.194,1.102,2057,CarbonEmissions_per_capita,0.16596
0.981,0.173,1.082,2058,CarbonEmissions_per_capita,0.1461
0.957,0.149,1.059,2059,CarbonEmissions_per_capita,0.12436
0.933,0.129,1.038,2060,CarbonEmissions_per_capita,0.10546
0.91,0.11,1.016,2061,CarbonEmissions_per_capita,0.08586
0.888,0.091,0.996,2062,CarbonEmissions_per_capita,0.06764
0.867,0.074,0.975,2063,CarbonEmissions_per_capita,0.05022
0.845,0.057,0.955,2064,CarbonEmissions_per_capita,0.03408
0.824,0.04,0.934,2065,CarbonEmissions_per_capita,0.01654
0.802,0.025,0.915,2066,CarbonEmissions_per_capita,0.00195
