Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
3.15241,3.15241,3.15241,2019,CarbonEmissions,3.15241
3.10127,3.10127,3.10127,2020,CarbonEmissions,3.10127
3.08394,3.08393,3.08394,2021,CarbonEmissions,3.08393
3.09254,3.09253,3.09254,2022,CarbonEmissions,3.09253
3.10386,3.10384,3.10386,2023,CarbonEmissions,3.10384
3.06461,3.06465,3.06461,2024,CarbonEmissions,3.06465
3.01942,3.02639,3.01942,2025,CarbonEmissions,3.02639
2.9883,2.97242,2.98891,2026,CarbonEmissions,2.9718
2.97081,2.89006,2.97111,2027,CarbonEmissions,2.88972
2.95313,2.76785,2.95117,2028,CarbonEmissions,2.7694
2.94723,2.63537,2.94604,2029,CarbonEmissions,2.63618
2.94448,2.49744,2.94718,2030,CarbonEmissions,2.49556
2.93539,2.34673,2.94478,2031,CarbonEmissions,2.34081
2.91324,2.20935,2.93097,2032,CarbonEmissions,2.19829
2.88694,2.08366,2.9135,2033,CarbonEmissions,2.06671
2.85742,1.96771,2.88996,2034,CarbonEmissions,1.94436
2.82795,1.87129,2.86757,2035,CarbonEmissions,1.84121
2.79707,1.77749,2.84727,2036,CarbonEmissions,1.74136
2.76795,1.69859,2.8269,2037,CarbonEmissions,1.65711
2.73972,1.61056,2.80079,2038,CarbonEmissions,1.56547
2.7099,1.51444,2.77394,2039,CarbonEmissions,1.46722
2.69138,1.42424,2.75853,2040,CarbonEmissions,1.3759
2.67702,1.33313,2.75039,2041,CarbonEmissions,1.28434
2.66342,1.24461,2.7417,2042,CarbonEmissions,1.1958
2.65106,1.15771,2.73392,2043,CarbonEmissions,1.10917
2.62688,1.07455,2.71273,2044,CarbonEmissions,1.02753
2.59768,0.99503,2.68508,2045,CarbonEmissions,0.94904
2.56612,0.91541,2.65431,2046,CarbonEmissions,0.87073
2.53285,0.82528,2.62259,2047,CarbonEmissions,0.78309
2.49994,0.74715,2.58909,2048,CarbonEmissions,0.70692
2.46688,0.67625,2.55785,2049,CarbonEmissions,0.63813
2.43818,0.61282,2.54294,2050,CarbonEmissions,0.57594
2.40399,0.55355,2.5202,2051,CarbonEmissions,0.51813
2.36839,0.50128,2.49029,2052,CarbonEmissions,0.46689
