Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
0.716,0.716,0.716,2019,CarbonEmissions,0.7165
0.728,0.728,0.728,2020,CarbonEmissions,0.72792
0.734,0.734,0.734,2021,CarbonEmissions,0.73406
0.74,0.74,0.74,2022,CarbonEmissions,0.73999
0.756,0.756,0.756,2023,CarbonEmissions,0.75572
0.752,0.752,0.752,2024,CarbonEmissions,0.75176
0.75,0.753,0.75,2025,CarbonEmissions,0.7532
0.758,0.757,0.758,2026,CarbonEmissions,0.75702
0.766,0.754,0.766,2027,CarbonEmissions,0.75398
0.774,0.742,0.774,2028,CarbonEmissions,0.74237
0.785,0.726,0.784,2029,CarbonEmissions,0.72667
0.797,0.708,0.797,2030,CarbonEmissions,0.70837
0.806,0.692,0.808,2031,CarbonEmissions,0.69211
0.812,0.677,0.815,2032,CarbonEmissions,0.67573
0.817,0.664,0.822,2033,CarbonEmissions,0.66152
0.82,0.655,0.826,2034,CarbonEmissions,0.65042
0.823,0.646,0.831,2035,CarbonEmissions,0.64005
0.826,0.643,0.836,2036,CarbonEmissions,0.63453
0.829,0.647,0.841,2037,CarbonEmissions,0.63541
0.832,0.647,0.845,2038,CarbonEmissions,0.6338
0.835,0.643,0.849,2039,CarbonEmissions,0.62795
0.838,0.633,0.853,2040,CarbonEmissions,0.61787
0.841,0.621,0.858,2041,CarbonEmissions,0.60528
0.843,0.608,0.862,2042,CarbonEmissions,0.59132
0.845,0.593,0.865,2043,CarbonEmissions,0.57634
0.844,0.578,0.866,2044,CarbonEmissions,0.56115
0.843,0.564,0.865,2045,CarbonEmissions,0.54616
0.841,0.547,0.865,2046,CarbonEmissions,0.5291
0.839,0.526,0.865,2047,CarbonEmissions,0.50616
0.837,0.509,0.865,2048,CarbonEmissions,0.48796
0.835,0.495,0.866,2049,CarbonEmissions,0.47315
0.833,0.482,0.868,2050,CarbonEmissions,0.45863
0.832,0.472,0.869,2051,CarbonEmissions,0.44714
0.83,0.467,0.869,2052,CarbonEmissions,0.43973
0.827,0.465,0.868,2053,CarbonEmissions,0.4353
0.824,0.465,0.866,2054,CarbonEmissions,0.43275
0.821,0.464,0.865,2055,CarbonEmissions,0.43074
0.818,0.461,0.862,2056,CarbonEmissions,0.42932
0.814,0.453,0.86,2057,CarbonEmissions,0.4234
0.81,0.442,0.857,2058,CarbonEmissions,0.41541
0.806,0.429,0.853,2059,CarbonEmissions,0.40416
0.801,0.416,0.85,2060,CarbonEmissions,0.39263
0.795,0.403,0.847,2061,CarbonEmissions,0.37923
0.79,0.39,0.844,2062,CarbonEmissions,0.36623
0.785,0.377,0.841,2063,CarbonEmissions,0.35332
0.78,0.364,0.839,2064,CarbonEmissions,0.34102
0.775,0.349,0.837,2065,CarbonEmissions,0.32556
0.771,0.337,0.836,2066,CarbonEmissions,0.3128
0.767,0.327,0.835,2067,CarbonEmissions,0.30153
0.763,0.317,0.834,2068,CarbonEmissions,0.29147
0.759,0.309,0.833,2069,CarbonEmissions,0.2826
0.754,0.302,0.83,2070,CarbonEmissions,0.27495
0.749,0.297,0.827,2071,CarbonEmissions,0.26881
0.744,0.292,0.824,2072,CarbonEmissions,0.26284
0.738,0.287,0.821,2073,CarbonEmissions,0.25746
0.732,0.284,0.819,2074,CarbonEmissions,0.25265
0.727,0.28,0.818,2075,CarbonEmissions,0.24838
0.722,0.276,0.817,2076,CarbonEmissions,0.24471
0.717,0.272,0.816,2077,CarbonEmissions,0.24061
0.713,0.268,0.815,2078,CarbonEmissions,0.2371
0.709,0.263,0.812,2079,CarbonEmissions,0.23289
0.705,0.258,0.81,2080,CarbonEmissions,0.22897
0.702,0.253,0.808,2081,CarbonEmissions,0.22424
0.698,0.248,0.805,2082,CarbonEmissions,0.21967
0.694,0.242,0.804,2083,CarbonEmissions,0.21464
