Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
0.114,0.114,0.114,2019,CarbonEmissions,0.11441
0.113,0.113,0.113,2020,CarbonEmissions,0.11318
0.114,0.114,0.114,2021,CarbonEmissions,0.11432
0.114,0.114,0.114,2022,CarbonEmissions,0.1142
0.115,0.115,0.115,2023,CarbonEmissions,0.11474
0.114,0.114,0.114,2024,CarbonEmissions,0.1138
0.112,0.113,0.112,2025,CarbonEmissions,0.113
0.111,0.112,0.111,2026,CarbonEmissions,0.11183
0.111,0.11,0.111,2027,CarbonEmissions,0.10998
0.111,0.107,0.111,2028,CarbonEmissions,0.107
0.111,0.104,0.111,2029,CarbonEmissions,0.10361
0.111,0.1,0.111,2030,CarbonEmissions,0.09992
0.111,0.095,0.112,2031,CarbonEmissions,0.09539
0.111,0.092,0.111,2032,CarbonEmissions,0.09189
0.11,0.089,0.111,2033,CarbonEmissions,0.08895
0.11,0.087,0.111,2034,CarbonEmissions,0.08655
0.109,0.085,0.11,2035,CarbonEmissions,0.08436
0.108,0.084,0.11,2036,CarbonEmissions,0.08249
0.108,0.083,0.11,2037,CarbonEmissions,0.08162
0.107,0.082,0.109,2038,CarbonEmissions,0.08035
0.106,0.08,0.109,2039,CarbonEmissions,0.07859
0.106,0.078,0.108,2040,CarbonEmissions,0.07668
0.105,0.076,0.108,2041,CarbonEmissions,0.07461
0.104,0.074,0.107,2042,CarbonEmissions,0.07255
0.104,0.072,0.106,2043,CarbonEmissions,0.07045
0.103,0.07,0.106,2044,CarbonEmissions,0.06836
0.101,0.068,0.105,2045,CarbonEmissions,0.0663
0.1,0.066,0.103,2046,CarbonEmissions,0.06391
0.099,0.062,0.102,2047,CarbonEmissions,0.06067
0.098,0.06,0.101,2048,CarbonEmissions,0.05795
0.097,0.057,0.1,2049,CarbonEmissions,0.05549
0.096,0.055,0.099,2050,CarbonEmissions,0.05312
0.094,0.053,0.099,2051,CarbonEmissions,0.05101
0.093,0.051,0.098,2052,CarbonEmissions,0.04923
0.092,0.05,0.097,2053,CarbonEmissions,0.04761
0.091,0.048,0.096,2054,CarbonEmissions,0.04609
0.09,0.047,0.095,2055,CarbonEmissions,0.0447
0.089,0.046,0.093,2056,CarbonEmissions,0.04358
0.088,0.044,0.092,2057,CarbonEmissions,0.04203
0.087,0.042,0.091,2058,CarbonEmissions,0.04056
0.085,0.041,0.09,2059,CarbonEmissions,0.03888
0.084,0.039,0.089,2060,CarbonEmissions,0.03748
0.083,0.038,0.088,2061,CarbonEmissions,0.03593
