Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
0.228,0.228,0.228,2019,CarbonEmissions,0.22844
0.244,0.244,0.244,2020,CarbonEmissions,0.24381
0.254,0.254,0.254,2021,CarbonEmissions,0.25385
0.262,0.262,0.262,2022,CarbonEmissions,0.26174
0.273,0.273,0.273,2023,CarbonEmissions,0.27262
0.28,0.28,0.28,2024,CarbonEmissions,0.2799
0.287,0.296,0.287,2025,CarbonEmissions,0.29631
0.296,0.311,0.296,2026,CarbonEmissions,0.31086
0.307,0.322,0.307,2027,CarbonEmissions,0.3219
0.319,0.328,0.319,2028,CarbonEmissions,0.32864
0.333,0.333,0.333,2029,CarbonEmissions,0.33299
0.348,0.336,0.348,2030,CarbonEmissions,0.33549
0.362,0.336,0.363,2031,CarbonEmissions,0.33568
0.375,0.34,0.377,2032,CarbonEmissions,0.33822
0.387,0.345,0.391,2033,CarbonEmissions,0.34288
0.399,0.353,0.404,2034,CarbonEmissions,0.34951
0.412,0.361,0.418,2035,CarbonEmissions,0.35575
0.425,0.37,0.432,2036,CarbonEmissions,0.36309
0.439,0.38,0.448,2037,CarbonEmissions,0.37167
0.454,0.388,0.464,2038,CarbonEmissions,0.37835
0.47,0.393,0.48,2039,CarbonEmissions,0.382
0.487,0.392,0.499,2040,CarbonEmissions,0.38025
0.505,0.388,0.519,2041,CarbonEmissions,0.37548
0.524,0.382,0.54,2042,CarbonEmissions,0.36846
0.544,0.374,0.562,2043,CarbonEmissions,0.35997
0.563,0.366,0.583,2044,CarbonEmissions,0.35099
0.583,0.358,0.605,2045,CarbonEmissions,0.34166
0.603,0.35,0.627,2046,CarbonEmissions,0.33312
0.624,0.342,0.65,2047,CarbonEmissions,0.32356
0.646,0.336,0.674,2048,CarbonEmissions,0.31655
0.668,0.333,0.7,2049,CarbonEmissions,0.31214
0.692,0.333,0.728,2050,CarbonEmissions,0.31042
0.716,0.338,0.757,2051,CarbonEmissions,0.31285
0.741,0.346,0.786,2052,CarbonEmissions,0.31778
0.766,0.355,0.816,2053,CarbonEmissions,0.32481
0.792,0.366,0.846,2054,CarbonEmissions,0.3332
0.819,0.376,0.876,2055,CarbonEmissions,0.34177
0.846,0.384,0.907,2056,CarbonEmissions,0.34891
0.873,0.389,0.938,2057,CarbonEmissions,0.35429
0.901,0.391,0.971,2058,CarbonEmissions,0.35588
0.929,0.392,1.003,2059,CarbonEmissions,0.35566
0.956,0.389,1.036,2060,CarbonEmissions,0.35201
0.983,0.385,1.069,2061,CarbonEmissions,0.3473
1.01,0.379,1.103,2062,CarbonEmissions,0.3413
1.037,0.372,1.137,2063,CarbonEmissions,0.33443
1.065,0.365,1.172,2064,CarbonEmissions,0.32668
1.092,0.358,1.207,2065,CarbonEmissions,0.3196
1.12,0.353,1.245,2066,CarbonEmissions,0.31319
1.148,0.348,1.281,2067,CarbonEmissions,0.30752
1.176,0.343,1.314,2068,CarbonEmissions,0.30223
1.204,0.34,1.343,2069,CarbonEmissions,0.29772
1.228,0.335,1.371,2070,CarbonEmissions,0.29229
1.251,0.333,1.396,2071,CarbonEmissions,0.28869
1.273,0.332,1.418,2072,CarbonEmissions,0.28604
1.293,0.332,1.439,2073,CarbonEmissions,0.28415
1.312,0.333,1.461,2074,CarbonEmissions,0.2836
1.331,0.335,1.486,2075,CarbonEmissions,0.28363
1.35,0.336,1.509,2076,CarbonEmissions,0.28369
1.368,0.338,1.533,2077,CarbonEmissions,0.28435
1.386,0.338,1.556,2078,CarbonEmissions,0.28425
1.403,0.338,1.575,2079,CarbonEmissions,0.28389
1.418,0.335,1.593,2080,CarbonEmissions,0.28266
1.434,0.333,1.608,2081,CarbonEmissions,0.28107
1.446,0.329,1.623,2082,CarbonEmissions,0.27804
1.458,0.325,1.636,2083,CarbonEmissions,0.27376
1.468,0.32,1.649,2084,CarbonEmissions,0.26874
1.477,0.315,1.661,2085,CarbonEmissions,0.26344
1.485,0.311,1.671,2086,CarbonEmissions,0.25792
1.493,0.306,1.683,2087,CarbonEmissions,0.25243
1.501,0.301,1.694,2088,CarbonEmissions,0.24702
1.508,0.296,1.706,2089,CarbonEmissions,0.24177
1.515,0.29,1.718,2090,CarbonEmissions,0.23673
1.521,0.284,1.73,2091,CarbonEmissions,0.232
1.525,0.278,1.743,2092,CarbonEmissions,0.22703
1.531,0.272,1.758,2093,CarbonEmissions,0.22289
1.535,0.267,1.772,2094,CarbonEmissions,0.21974
1.538,0.262,1.781,2095,CarbonEmissions,0.21698
1.545,0.258,1.786,2096,CarbonEmissions,0.21437
1.549,0.255,1.787,2097,CarbonEmissions,0.21243
1.552,0.253,1.787,2098,CarbonEmissions,0.21071
1.555,0.251,1.786,2099,CarbonEmissions,0.20825
1.557,0.249,1.785,2100,CarbonEmissions,0.20627
0.212,0.212,0.212,2019,CarbonEmissions_per_capita,0.21163
0.22,0.22,0.22,2020,CarbonEmissions_per_capita,0.2197
0.223,0.223,0.223,2021,CarbonEmissions_per_capita,0.22262
0.223,0.223,0.223,2022,CarbonEmissions_per_capita,0.2234
0.226,0.226,0.226,2023,CarbonEmissions_per_capita,0.22647
0.226,0.226,0.226,2024,CarbonEmissions_per_capita,0.22633
0.226,0.233,0.226,2025,CarbonEmissions_per_capita,0.23325
0.227,0.238,0.227,2026,CarbonEmissions_per_capita,0.23826
0.229,0.24,0.229,2027,CarbonEmissions_per_capita,0.24027
0.232,0.239,0.232,2028,CarbonEmissions_per_capita,0.23894
0.236,0.236,0.236,2029,CarbonEmissions_per_capita,0.23589
0.24,0.232,0.24,2030,CarbonEmissions_per_capita,0.23161
0.244,0.226,0.245,2031,CarbonEmissions_per_capita,0.22591
0.246,0.223,0.248,2032,CarbonEmissions_per_capita,0.22197
0.248,0.221,0.251,2033,CarbonEmissions_per_capita,0.21949
