Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
9.538,9.538,9.538,2019,CarbonEmissions,9.53833
9.571,9.571,9.571,2020,CarbonEmissions,9.57067
9.652,9.652,9.652,2021,CarbonEmissions,9.6516
9.762,9.762,9.762,2022,CarbonEmissions,9.76175
9.85,9.851,9.85,2023,CarbonEmissions,9.85051
9.858,9.859,9.858,2024,CarbonEmissions,9.85858
9.834,9.834,9.834,2025,CarbonEmissions,9.83424
9.84,9.719,9.84,2026,CarbonEmissions,9.71931
9.878,9.491,9.876,2027,CarbonEmissions,9.49301
9.944,9.17,9.937,2028,CarbonEmissions,9.17453
10.04,8.806,10.04,2029,CarbonEmissions,8.80879
10.15,8.434,10.16,2030,CarbonEmissions,8.42968
10.23,8.079,10.26,2031,CarbonEmissions,8.06303
10.26,7.766,10.32,2032,CarbonEmissions,7.73425
10.26,7.494,10.34,2033,CarbonEmissions,7.44362
10.24,7.258,10.34,2034,CarbonEmissions,7.18603
10.21,7.043,10.34,2035,CarbonEmissions,6.94907
10.18,6.848,10.34,2036,CarbonEmissions,6.73206
10.15,6.658,10.34,2037,CarbonEmissions,6.52108
10.11,6.441,10.32,2038,CarbonEmissions,6.28711
10.08,6.187,10.3,2039,CarbonEmissions,6.02333
10.08,5.906,10.31,2040,CarbonEmissions,5.73615
10.07,5.614,10.33,2041,CarbonEmissions,5.44064
10.06,5.322,10.35,2042,CarbonEmissions,5.14594
10.06,5.029,10.36,2043,CarbonEmissions,4.85129
10.02,4.744,10.34,2044,CarbonEmissions,4.56483
9.968,4.466,10.3,2045,CarbonEmissions,4.28577
9.912,4.199,10.26,2046,CarbonEmissions,4.0169
9.851,3.949,10.22,2047,CarbonEmissions,3.76591
9.792,3.737,10.17,2048,CarbonEmissions,3.55172
9.731,3.553,10.13,2049,CarbonEmissions,3.36574
9.677,3.395,10.12,2050,CarbonEmissions,3.20283
9.613,3.264,10.1,2051,CarbonEmissions,3.06795
9.545,3.164,10.06,2052,CarbonEmissions,2.9577
9.473,3.076,10.0,2053,CarbonEmissions,2.86247
9.398,2.995,9.941,2054,CarbonEmissions,2.77565
9.324,2.912,9.878,2055,CarbonEmissions,2.69206
9.248,2.821,9.815,2056,CarbonEmissions,2.60597
9.169,2.708,9.747,2057,CarbonEmissions,2.50199
9.086,2.589,9.678,2058,CarbonEmissions,2.39213
9.003,2.463,9.601,2059,CarbonEmissions,2.27237
8.914,2.34,9.528,2060,CarbonEmissions,2.15658
8.822,2.22,9.453,2061,CarbonEmissions,2.03665
8.729,2.1,9.383,2062,CarbonEmissions,1.9212
8.641,1.987,9.31,2063,CarbonEmissions,1.80926
8.548,1.878,9.244,2064,CarbonEmissions,1.70254
8.455,1.774,9.179,2065,CarbonEmissions,1.6007
8.359,1.686,9.118,2066,CarbonEmissions,1.51205
8.262,1.607,9.053,2067,CarbonEmissions,1.43025
8.162,1.534,8.987,2068,CarbonEmissions,1.35493
8.064,1.468,8.907,2069,CarbonEmissions,1.28664
7.956,1.409,8.816,2070,CarbonEmissions,1.22447
7.85,1.359,8.71,2071,CarbonEmissions,1.16979
7.736,1.315,8.589,2072,CarbonEmissions,1.12116
7.617,1.277,8.472,2073,CarbonEmissions,1.07784
7.499,1.245,8.365,2074,CarbonEmissions,1.03947
7.387,1.214,8.272,2075,CarbonEmissions,1.0057
7.279,1.187,8.177,2076,CarbonEmissions,0.97594
7.18,1.158,8.089,2077,CarbonEmissions,0.94689
7.08,1.131,7.996,2078,CarbonEmissions,0.92037
6.981,1.101,7.893,2079,CarbonEmissions,0.89223
6.885,1.07,7.79,2080,CarbonEmissions,0.86486
6.793,1.037,7.686,2081,CarbonEmissions,0.8352
6.697,1.003,7.583,2082,CarbonEmissions,0.80508
6.601,0.969,7.482,2083,CarbonEmissions,0.77287
6.505,0.934,7.384,2084,CarbonEmissions,0.74058
6.414,0.899,7.281,2085,CarbonEmissions,0.70831
6.323,0.865,7.176,2086,CarbonEmissions,0.67619
6.235,0.833,7.078,2087,CarbonEmissions,0.64488
6.149,0.801,6.985,2088,CarbonEmissions,0.61459
6.066,0.771,6.897,2089,CarbonEmissions,0.58563
5.987,0.741,6.81,2090,CarbonEmissions,0.55815
5.907,0.714,6.723,2091,CarbonEmissions,0.53246
5.824,0.688,6.637,2092,CarbonEmissions,0.50847
5.743,0.666,6.553,2093,CarbonEmissions,0.48804
5.663,0.648,6.472,2094,CarbonEmissions,0.47102
5.582,0.634,6.385,2095,CarbonEmissions,0.45713
5.503,0.624,6.294,2096,CarbonEmissions,0.44568
5.422,0.618,6.199,2097,CarbonEmissions,0.43736
5.343,0.615,6.1,2098,CarbonEmissions,0.432
5.263,0.615,6.001,2099,CarbonEmissions,0.42841
5.186,0.614,5.903,2100,CarbonEmissions,0.42492
1.229,1.229,1.229,2019,CarbonEmissions_per_capita,1.22925
1.221,1.221,1.221,2020,CarbonEmissions_per_capita,1.22068
1.219,1.219,1.219,2021,CarbonEmissions_per_capita,1.21884
1.221,1.221,1.221,2022,CarbonEmissions_per_capita,1.22084
1.22,1.22,1.22,2023,CarbonEmissions_per_capita,1.22028
1.21,1.21,1.21,2024,CarbonEmissions_per_capita,1.20989
1.196,1.196,1.196,2025,CarbonEmissions_per_capita,1.19579
1.186,1.171,1.186,2026,CarbonEmissions_per_capita,1.1711
1.18,1.133,1.179,2027,CarbonEmissions_per_capita,1.13364
1.177,1.085,1.176,2028,CarbonEmissions_per_capita,1.08605
1.179,1.034,1.178,2029,CarbonEmissions_per_capita,1.03385
1.182,0.982,1.183,2030,CarbonEmissions_per_capita,0.98111
1.181,0.933,1.185,2031,CarbonEmissions_per_capita,0.9308
1.175,0.89,1.182,2032,CarbonEmissions_per_capita,0.88575
1.166,0.852,1.176,2033,CarbonEmissions_per_capita,0.84586
1.155,0.819,1.167,2034,CarbonEmissions_per_capita,0.81039
1.143,0.789,1.158,2035,CarbonEmissions_per_capita,0.77783
1.131,0.762,1.15,2036,CarbonEmissions_per_capita,0.74804
1.119,0.735,1.142,2037,CarbonEmissions_per_capita,0.71943
1.108,0.707,1.132,2038,CarbonEmissions_per_capita,0.68878
1.097,0.674,1.123,2039,CarbonEmissions_per_capita,0.65539
1.089,0.64,1.117,2040,CarbonEmissions_per_capita,0.62
1.082,0.604,1.112,2041,CarbonEmissions_per_capita,0.58426
1.074,0.569,1.107,2042,CarbonEmissions_per_capita,0.54914
1.067,0.535,1.102,2043,CarbonEmissions_per_capita,0.51454
1.056,0.502,1.094,2044,CarbonEmissions_per_capita,0.4813
1.045,0.47,1.084,2045,CarbonEmissions_per_capita,0.4493
1.033,0.44,1.074,2046,CarbonEmissions_per_capita,0.4188
1.022,0.412,1.065,2047,CarbonEmissions_per_capita,0.39055
1.01,0.388,1.055,2048,CarbonEmissions_per_capita,0.36646
0.999,0.367,1.046,2049,CarbonEmissions_per_capita,0.34557
0.989,0.349,1.041,2050,CarbonEmissions_per_capita,0.32731
0.978,0.334,1.035,2051,CarbonEmissions_per_capita,0.31213
0.967,0.323,1.027,2052,CarbonEmissions_per_capita,0.29963
0.956,0.313,1.018,2053,CarbonEmissions_per_capita,0.28881
0.944,0.304,1.008,2054,CarbonEmissions_per_capita,0.27896
0.934,0.294,0.999,2055,CarbonEmissions_per_capita,0.26957
0.923,0.284,0.99,2056,CarbonEmissions_per_capita,0.26004
0.912,0.272,0.98,2057,CarbonEmissions_per_capita,0.24883
0.901,0.26,0.971,2058,CarbonEmissions_per_capita,0.23716
0.89,0.247,0.961,2059,CarbonEmissions_per_capita,0.22461
0.878,0.234,0.952,2060,CarbonEmissions_per_capita,0.21256
0.867,0.221,0.942,2061,CarbonEmissions_per_capita,0.20021
0.856,0.209,0.934,2062,CarbonEmissions_per_capita,0.18838
0.845,0.197,0.925,2063,CarbonEmissions_per_capita,0.17699
0.834,0.186,0.917,2064,CarbonEmissions_per_capita,0.16618
0.823,0.176,0.909,2065,CarbonEmissions_per_capita,0.15592
0.812,0.167,0.902,2066,CarbonEmissions_per_capita,0.147
0.801,0.159,0.895,2067,CarbonEmissions_per_capita,0.1388
0.79,0.152,0.887,2068,CarbonEmissions_per_capita,0.13128
0.78,0.145,0.879,2069,CarbonEmissions_per_capita,0.12448
0.768,0.139,0.869,2070,CarbonEmissions_per_capita,0.1183
0.757,0.134,0.858,2071,CarbonEmissions_per_capita,0.11288
0.745,0.13,0.846,2072,CarbonEmissions_per_capita,0.10808
