Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00557,0.00557,0.00557,2019,CarbonEmissions,0.00557
0.00645,0.00645,0.00645,2020,CarbonEmissions,0.00645
0.00687,0.00687,0.00687,2021,CarbonEmissions,0.00687
0.0071,0.0071,0.0071,2022,CarbonEmissions,0.0071
0.00746,0.00746,0.00746,2023,CarbonEmissions,0.00746
0.00759,0.00759,0.0076,2024,CarbonEmissions,0.0076
0.0079,0.0079,0.00845,2025,CarbonEmissions,0.00845
0.00822,0.00822,0.00921,2026,CarbonEmissions,0.00921
0.00868,0.00867,0.0099,2027,CarbonEmissions,0.00991
0.00929,0.00928,0.01051,2028,CarbonEmissions,0.01053
0.01005,0.01002,0.01106,2029,CarbonEmissions,0.01109
0.01089,0.01087,0.01162,2030,CarbonEmissions,0.01164
0.01176,0.01177,0.01205,2031,CarbonEmissions,0.01207
0.01258,0.01264,0.01263,2032,CarbonEmissions,0.01262
0.0134,0.01352,0.01334,2033,CarbonEmissions,0.01329
0.01417,0.01435,0.0142,2034,CarbonEmissions,0.01408
0.01495,0.01521,0.01501,2035,CarbonEmissions,0.01482
0.01576,0.01612,0.01596,2036,CarbonEmissions,0.01568
0.01662,0.01709,0.01726,2037,CarbonEmissions,0.01686
0.01751,0.01804,0.01844,2038,CarbonEmissions,0.01794
0.01848,0.01905,0.01947,2039,CarbonEmissions,0.01892
0.01951,0.02017,0.02021,2040,CarbonEmissions,0.0196
0.02063,0.02144,0.02079,2041,CarbonEmissions,0.0201
0.02183,0.02276,0.02125,2042,CarbonEmissions,0.02051
0.02306,0.02411,0.02156,2043,CarbonEmissions,0.02076
0.02423,0.0254,0.02174,2044,CarbonEmissions,0.0209
0.02543,0.02671,0.02184,2045,CarbonEmissions,0.02094
0.0266,0.02798,0.02184,2046,CarbonEmissions,0.02089
0.02774,0.02921,0.02151,2047,CarbonEmissions,0.02052
0.02888,0.03042,0.02139,2048,CarbonEmissions,0.02034
0.03003,0.03165,0.02148,2049,CarbonEmissions,0.02037
0.03118,0.03298,0.02175,2050,CarbonEmissions,0.02053
0.0323,0.03424,0.0223,2051,CarbonEmissions,0.02096
0.03342,0.03545,0.02307,2052,CarbonEmissions,0.02157
0.03453,0.03662,0.02399,2053,CarbonEmissions,0.02232
0.03563,0.03778,0.02498,2054,CarbonEmissions,0.02316
0.03673,0.03893,0.0259,2055,CarbonEmissions,0.024
0.03781,0.04009,0.0267,2056,CarbonEmissions,0.02478
0.03888,0.04123,0.0273,2057,CarbonEmissions,0.02541
0.03992,0.04236,0.02758,2058,CarbonEmissions,0.02573
0.04094,0.04343,0.02775,2059,CarbonEmissions,0.02589
0.0419,0.04448,0.02769,2060,CarbonEmissions,0.02577
0.04282,0.04545,0.02754,2061,CarbonEmissions,0.02557
0.04371,0.04639,0.02728,2062,CarbonEmissions,0.02529
0.04456,0.0466,0.02699,2063,CarbonEmissions,0.02491
0.04534,0.04707,0.02678,2064,CarbonEmissions,0.0245
0.04558,0.04729,0.02639,2065,CarbonEmissions,0.02411
