Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0017,0.00169,0.00169,2019,CarbonEmissions,0.00169
0.0018,0.00178,0.00178,2020,CarbonEmissions,0.00178
0.0017,0.00174,0.00174,2021,CarbonEmissions,0.00174
0.0017,0.00171,0.00171,2022,CarbonEmissions,0.00171
0.0019,0.00193,0.00193,2023,CarbonEmissions,0.00193
0.0021,0.00207,0.00207,2024,CarbonEmissions,0.00207
0.0021,0.00211,0.00209,2025,CarbonEmissions,0.00209
0.0021,0.00212,0.00204,2026,CarbonEmissions,0.00204
0.0021,0.00214,0.00198,2027,CarbonEmissions,0.00198
0.0022,0.00221,0.00195,2028,CarbonEmissions,0.00195
0.0023,0.0023,0.00191,2029,CarbonEmissions,0.0019
0.0024,0.00239,0.0019,2030,CarbonEmissions,0.00189
0.0025,0.00248,0.00187,2031,CarbonEmissions,0.00186
0.0025,0.00256,0.00185,2032,CarbonEmissions,0.00183
0.0026,0.00263,0.00183,2033,CarbonEmissions,0.0018
0.0027,0.0027,0.0018,2034,CarbonEmissions,0.00177
0.0027,0.00277,0.00178,2035,CarbonEmissions,0.00173
0.0028,0.00284,0.00174,2036,CarbonEmissions,0.00169
0.0028,0.00292,0.00165,2037,CarbonEmissions,0.00159
0.0029,0.00299,0.00156,2038,CarbonEmissions,0.00148
0.0029,0.00306,0.00143,2039,CarbonEmissions,0.00135
0.003,0.00313,0.00129,2040,CarbonEmissions,0.00121
0.003,0.0032,0.00114,2041,CarbonEmissions,0.00106
0.0031,0.00327,0.00098,2042,CarbonEmissions,0.0009
0.0032,0.00334,0.00083,2043,CarbonEmissions,0.00074
0.0032,0.00339,0.00068,2044,CarbonEmissions,0.00059
0.0032,0.00343,0.00053,2045,CarbonEmissions,0.00045
0.0033,0.00347,0.0004,2046,CarbonEmissions,0.00032
0.0033,0.00351,0.00034,2047,CarbonEmissions,0.00026
0.0033,0.00354,0.00028,2048,CarbonEmissions,0.0002
0.0033,0.00358,0.00023,2049,CarbonEmissions,0.00014
0.0033,0.00362,0.00019,2050,CarbonEmissions,0.0001
0.0033,0.00365,0.00016,2051,CarbonEmissions,6e-05
0.0033,0.00368,0.00013,2052,CarbonEmissions,3e-05
0.0033,0.0037,0.00011,2053,CarbonEmissions,0.0
0.0033,0.00371,0.00009,2054,CarbonEmissions,-2e-05
0.0032,0.00372,0.00006,2055,CarbonEmissions,-5e-05
0.0032,0.00372,0.00002,2056,CarbonEmissions,-9e-05
0.0032,0.00376,-0.00001,2057,CarbonEmissions,-0.00013
0.0032,0.00379,-0.00005,2058,CarbonEmissions,-0.00017
0.0032,0.0038,-0.00009,2059,CarbonEmissions,-0.0002
0.0032,0.00382,-0.00013,2060,CarbonEmissions,-0.00024
0.0032,0.00382,-0.00017,2061,CarbonEmissions,-0.00027
0.0031,0.00383,-0.00021,2062,CarbonEmissions,-0.00031
0.0031,0.00384,-0.00026,2063,CarbonEmissions,-0.00035
0.0031,0.00383,-0.0003,2064,CarbonEmissions,-0.00038
0.0031,0.00381,-0.00034,2065,CarbonEmissions,-0.00041
0.0031,0.00379,-0.00037,2066,CarbonEmissions,-0.00044
0.0031,0.00376,-0.00041,2067,CarbonEmissions,-0.00047
0.003,0.00372,-0.00044,2068,CarbonEmissions,-0.0005
0.003,0.00366,-0.00047,2069,CarbonEmissions,-0.00053
0.003,0.0036,-0.00051,2070,CarbonEmissions,-0.00056
0.0029,0.00352,-0.00054,2071,CarbonEmissions,-0.00058
0.0029,0.00343,-0.00057,2072,CarbonEmissions,-0.00061
0.0028,0.00333,-0.0006,2073,CarbonEmissions,-0.00063
0.0027,0.00324,-0.00062,2074,CarbonEmissions,-0.00065
0.0026,0.00314,-0.00065,2075,CarbonEmissions,-0.00067
0.0026,0.00304,-0.00067,2076,CarbonEmissions,-0.00069
0.0025,0.00293,-0.0007,2077,CarbonEmissions,-0.00071
0.0024,0.00282,-0.00072,2078,CarbonEmissions,-0.00073
0.0023,0.0027,-0.00074,2079,CarbonEmissions,-0.00075
0.0022,0.00257,-0.00076,2080,CarbonEmissions,-0.00077
0.0021,0.00244,-0.00078,2081,CarbonEmissions,-0.00078
0.002,0.00231,-0.0008,2082,CarbonEmissions,-0.0008
0.0019,0.00218,-0.00081,2083,CarbonEmissions,-0.00081
0.0018,0.00204,-0.00083,2084,CarbonEmissions,-0.00083
0.0017,0.00191,-0.00084,2085,CarbonEmissions,-0.00084
0.0016,0.00177,-0.00086,2086,CarbonEmissions,-0.00085
0.0015,0.00163,-0.00087,2087,CarbonEmissions,-0.00086
0.0015,0.0015,-0.00088,2088,CarbonEmissions,-0.00087
0.0014,0.00137,-0.00089,2089,CarbonEmissions,-0.00088
0.0013,0.00123,-0.0009,2090,CarbonEmissions,-0.00089
0.0012,0.0011,-0.00091,2091,CarbonEmissions,-0.00089
0.0011,0.00096,-0.00091,2092,CarbonEmissions,-0.0009
0.001,0.00083,-0.00091,2093,CarbonEmissions,-0.0009
0.0009,0.0007,-0.00092,2094,CarbonEmissions,-0.0009
0.0008,0.00057,-0.00092,2095,CarbonEmissions,-0.00091
0.0007,0.00044,-0.00092,2096,CarbonEmissions,-0.00091
0.0006,0.0003,-0.00093,2097,CarbonEmissions,-0.00092
0.0005,0.00017,-0.00093,2098,CarbonEmissions,-0.00092
0.0004,0.00004,-0.00093,2099,CarbonEmissions,-0.00092
0.0004,-0.00008,-0.00093,2100,CarbonEmissions,-0.00093
0.6,0.6,0.6,2019,CarbonEmissions_per_capita,0.59952
0.631,0.631,0.631,2020,CarbonEmissions_per_capita,0.63107
0.614,0.614,0.614,2021,CarbonEmissions_per_capita,0.61428
0.606,0.606,0.606,2022,CarbonEmissions_per_capita,0.60577
0.68,0.68,0.68,2023,CarbonEmissions_per_capita,0.67997
0.73,0.73,0.73,2024,CarbonEmissions_per_capita,0.7304
0.746,0.746,0.736,2025,CarbonEmissions_per_capita,0.73624
0.749,0.75,0.722,2026,CarbonEmissions_per_capita,0.72146
0.757,0.757,0.701,2027,CarbonEmissions_per_capita,0.70167
0.784,0.784,0.691,2028,CarbonEmissions_per_capita,0.6902
0.814,0.815,0.676,2029,CarbonEmissions_per_capita,0.67428
0.847,0.849,0.673,2030,CarbonEmissions_per_capita,0.67057
0.878,0.883,0.667,2031,CarbonEmissions_per_capita,0.66247
0.904,0.913,0.66,2032,CarbonEmissions_per_capita,0.65341
0.928,0.942,0.654,2033,CarbonEmissions_per_capita,0.64399
0.95,0.968,0.647,2034,CarbonEmissions_per_capita,0.63397
0.973,0.995,0.638,2035,CarbonEmissions_per_capita,0.62129
0.995,1.024,0.629,2036,CarbonEmissions_per_capita,0.60787
1.019,1.054,0.598,2037,CarbonEmissions_per_capita,0.57379
1.043,1.083,0.564,2038,CarbonEmissions_per_capita,0.53762
1.067,1.111,0.521,2039,CarbonEmissions_per_capita,0.49292
1.092,1.141,0.471,2040,CarbonEmissions_per_capita,0.4417
1.117,1.172,0.417,2041,CarbonEmissions_per_capita,0.38704
1.141,1.2,0.36,2042,CarbonEmissions_per_capita,0.3306
1.164,1.229,0.304,2043,CarbonEmissions_per_capita,0.27437
1.183,1.252,0.249,2044,CarbonEmissions_per_capita,0.21998
1.199,1.273,0.197,2045,CarbonEmissions_per_capita,0.16757
1.214,1.292,0.149,2046,CarbonEmissions_per_capita,0.12042
1.227,1.312,0.127,2047,CarbonEmissions_per_capita,0.09722
1.238,1.329,0.105,2048,CarbonEmissions_per_capita,0.07465
1.248,1.349,0.086,2049,CarbonEmissions_per_capita,0.05424
1.257,1.371,0.072,2050,CarbonEmissions_per_capita,0.03764
1.263,1.391,0.06,2051,CarbonEmissions_per_capita,0.02426
1.267,1.409,0.051,2052,CarbonEmissions_per_capita,0.01244
1.269,1.424,0.042,2053,CarbonEmissions_per_capita,0.00193
1.269,1.436,0.034,2054,CarbonEmissions_per_capita,-0.00823
1.267,1.445,0.024,2055,CarbonEmissions_per_capita,-0.01853
1.265,1.456,0.009,2056,CarbonEmissions_per_capita,-0.03461
1.261,1.48,-0.004,2057,CarbonEmissions_per_capita,-0.05017
1.256,1.5,-0.02,2058,CarbonEmissions_per_capita,-0.0662
1.267,1.516,-0.036,2059,CarbonEmissions_per_capita,-0.08076
1.276,1.531,-0.052,2060,CarbonEmissions_per_capita,-0.09597
1.282,1.544,-0.069,2061,CarbonEmissions_per_capita,-0.11116
1.288,1.559,-0.087,2062,CarbonEmissions_per_capita,-0.12694
1.295,1.572,-0.106,2063,CarbonEmissions_per_capita,-0.14282
1.299,1.58,-0.124,2064,CarbonEmissions_per_capita,-0.15923
1.303,1.584,-0.14,2065,CarbonEmissions_per_capita,-0.17315
1.305,1.587,-0.156,2066,CarbonEmissions_per_capita,-0.18733
1.306,1.586,-0.172,2067,CarbonEmissions_per_capita,-0.20125
1.303,1.581,-0.188,2068,CarbonEmissions_per_capita,-0.21511
1.3,1.57,-0.203,2069,CarbonEmissions_per_capita,-0.22856
1.292,1.554,-0.22,2070,CarbonEmissions_per_capita,-0.24275
1.284,1.533,-0.235,2071,CarbonEmissions_per_capita,-0.25597
1.271,1.506,-0.249,2072,CarbonEmissions_per_capita,-0.26888
1.252,1.478,-0.264,2073,CarbonEmissions_per_capita,-0.2817
1.232,1.448,-0.279,2074,CarbonEmissions_per_capita,-0.29455
1.21,1.419,-0.293,2075,CarbonEmissions_per_capita,-0.30732
1.186,1.385,-0.307,2076,CarbonEmissions_per_capita,-0.32013
1.161,1.351,-0.321,2077,CarbonEmissions_per_capita,-0.33242
1.132,1.312,-0.335,2078,CarbonEmissions_per_capita,-0.34501
1.102,1.267,-0.349,2079,CarbonEmissions_per_capita,-0.35717
1.07,1.221,-0.362,2080,CarbonEmissions_per_capita,-0.36935
1.037,1.172,-0.374,2081,CarbonEmissions_per_capita,-0.38101
1.001,1.121,-0.387,2082,CarbonEmissions_per_capita,-0.39267
0.963,1.068,-0.399,2083,CarbonEmissions_per_capita,-0.40383
