Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01691,0.01691,0.01691,2019,CarbonEmissions,0.01691
0.01659,0.01659,0.01659,2020,CarbonEmissions,0.01659
0.01621,0.01621,0.01621,2021,CarbonEmissions,0.01621
0.01602,0.01602,0.01602,2022,CarbonEmissions,0.01602
0.01631,0.01631,0.01631,2023,CarbonEmissions,0.01631
0.01587,0.01587,0.01587,2024,CarbonEmissions,0.01587
0.01537,0.01537,0.01527,2025,CarbonEmissions,0.01527
0.0151,0.0151,0.01471,2026,CarbonEmissions,0.0147
0.01491,0.01491,0.01401,2027,CarbonEmissions,0.014
0.01466,0.01464,0.01304,2028,CarbonEmissions,0.01305
0.01445,0.01445,0.01205,2029,CarbonEmissions,0.01204
0.01428,0.0143,0.01105,2030,CarbonEmissions,0.01103
0.01409,0.01414,0.01008,2031,CarbonEmissions,0.01004
0.01384,0.01394,0.00915,2032,CarbonEmissions,0.00909
0.01358,0.01372,0.00826,2033,CarbonEmissions,0.00817
0.01331,0.01349,0.0074,2034,CarbonEmissions,0.00728
0.01306,0.01329,0.00672,2035,CarbonEmissions,0.00656
0.01281,0.01311,0.006,2036,CarbonEmissions,0.00582
0.01259,0.01295,0.00532,2037,CarbonEmissions,0.00512
0.01239,0.01278,0.00462,2038,CarbonEmissions,0.00441
0.01219,0.01262,0.00392,2039,CarbonEmissions,0.00371
0.01203,0.01248,0.00334,2040,CarbonEmissions,0.00312
0.01186,0.01238,0.00279,2041,CarbonEmissions,0.00257
0.01171,0.01227,0.0023,2042,CarbonEmissions,0.00207
0.01156,0.01216,0.00184,2043,CarbonEmissions,0.00161
0.01139,0.01202,0.00142,2044,CarbonEmissions,0.00119
0.01121,0.01187,0.00102,2045,CarbonEmissions,0.00079
0.01104,0.01171,0.00066,2046,CarbonEmissions,0.00043
0.01087,0.01156,0.0003,2047,CarbonEmissions,9e-05
0.01071,0.0114,-3e-05,2048,CarbonEmissions,-0.00023
0.01056,0.01126,-0.00033,2049,CarbonEmissions,-0.00053
0.01042,0.01117,-0.00057,2050,CarbonEmissions,-0.00076
0.01023,0.01101,-0.00082,2051,CarbonEmissions,-0.00099
0.01005,0.01085,-0.00104,2052,CarbonEmissions,-0.00121
0.00987,0.01068,-0.00126,2053,CarbonEmissions,-0.00141
0.00969,0.0105,-0.00146,2054,CarbonEmissions,-0.0016
0.00951,0.01031,-0.00165,2055,CarbonEmissions,-0.00177
0.00933,0.01014,-0.00182,2056,CarbonEmissions,-0.00193
0.00915,0.00995,-0.00198,2057,CarbonEmissions,-0.00208
