Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01104,0.01104,0.01104,2019,CarbonEmissions,0.01104
0.01135,0.01135,0.01135,2020,CarbonEmissions,0.01135
0.01147,0.01147,0.01147,2021,CarbonEmissions,0.01147
0.01158,0.01158,0.01158,2022,CarbonEmissions,0.01158
0.01166,0.01166,0.01166,2023,CarbonEmissions,0.01166
0.01144,0.01144,0.01144,2024,CarbonEmissions,0.01144
0.01142,0.01142,0.01168,2025,CarbonEmissions,0.01168
0.01131,0.01131,0.01173,2026,CarbonEmissions,0.01173
0.0113,0.0113,0.01174,2027,CarbonEmissions,0.01174
0.01147,0.01145,0.01173,2028,CarbonEmissions,0.01175
0.01177,0.01175,0.01174,2029,CarbonEmissions,0.01176
0.01209,0.01208,0.01173,2030,CarbonEmissions,0.01176
0.01235,0.01235,0.01162,2031,CarbonEmissions,0.01163
0.0126,0.01263,0.01159,2032,CarbonEmissions,0.01159
0.01282,0.01289,0.01167,2033,CarbonEmissions,0.01164
0.01302,0.01312,0.01185,2034,CarbonEmissions,0.01178
0.01324,0.01335,0.012,2035,CarbonEmissions,0.0119
0.01347,0.01363,0.01223,2036,CarbonEmissions,0.01208
0.01376,0.01397,0.01236,2037,CarbonEmissions,0.01218
0.01407,0.01428,0.01245,2038,CarbonEmissions,0.01222
0.01432,0.01454,0.01243,2039,CarbonEmissions,0.01217
0.01458,0.01485,0.01231,2040,CarbonEmissions,0.01203
0.01489,0.01524,0.01216,2041,CarbonEmissions,0.01184
0.01513,0.01551,0.01199,2042,CarbonEmissions,0.01165
0.01538,0.01582,0.0118,2043,CarbonEmissions,0.01143
0.01558,0.01608,0.0116,2044,CarbonEmissions,0.0112
0.01577,0.01632,0.01139,2045,CarbonEmissions,0.01096
0.01595,0.01656,0.01111,2046,CarbonEmissions,0.01065
0.01614,0.01683,0.01113,2047,CarbonEmissions,0.01063
0.01635,0.01712,0.01126,2048,CarbonEmissions,0.0107
0.01657,0.01745,0.01144,2049,CarbonEmissions,0.01082
0.01679,0.0178,0.01157,2050,CarbonEmissions,0.01089
0.01702,0.01814,0.01177,2051,CarbonEmissions,0.01102
0.01722,0.01844,0.01208,2052,CarbonEmissions,0.01123
0.01741,0.0187,0.01244,2053,CarbonEmissions,0.01149
0.01756,0.01892,0.01285,2054,CarbonEmissions,0.01178
0.01771,0.01912,0.01325,2055,CarbonEmissions,0.01209
0.01784,0.01932,0.01359,2056,CarbonEmissions,0.01236
0.01796,0.01952,0.01372,2057,CarbonEmissions,0.01245
0.01808,0.01973,0.01386,2058,CarbonEmissions,0.01255
0.0182,0.01993,0.01388,2059,CarbonEmissions,0.01252
0.0183,0.02016,0.01395,2060,CarbonEmissions,0.01256
0.01841,0.0204,0.014,2061,CarbonEmissions,0.01252
0.01851,0.02065,0.01405,2062,CarbonEmissions,0.01248
0.01863,0.02091,0.01408,2063,CarbonEmissions,0.01242
0.01874,0.02119,0.01412,2064,CarbonEmissions,0.01238
0.01884,0.02146,0.01392,2065,CarbonEmissions,0.0121
0.01893,0.02171,0.01388,2066,CarbonEmissions,0.01193
0.019,0.02194,0.01391,2067,CarbonEmissions,0.01178
0.01904,0.02212,0.01395,2068,CarbonEmissions,0.01164
0.01906,0.02224,0.014,2069,CarbonEmissions,0.01152
0.01903,0.02229,0.01404,2070,CarbonEmissions,0.01139
0.01897,0.02228,0.01412,2071,CarbonEmissions,0.0113
0.01886,0.02222,0.0142,2072,CarbonEmissions,0.01123
0.01872,0.02226,0.01429,2073,CarbonEmissions,0.01119
0.01857,0.02228,0.01439,2074,CarbonEmissions,0.0112
0.01838,0.02229,0.0144,2075,CarbonEmissions,0.01122
0.01818,0.02224,0.01443,2076,CarbonEmissions,0.01125
0.01794,0.02213,0.01433,2077,CarbonEmissions,0.01122
0.01767,0.02194,0.01422,2078,CarbonEmissions,0.01123
0.01736,0.02164,0.01396,2079,CarbonEmissions,0.01116
0.01701,0.02127,0.01369,2080,CarbonEmissions,0.0111
0.01664,0.02083,0.01332,2081,CarbonEmissions,0.01099
0.01629,0.02033,0.01292,2082,CarbonEmissions,0.01089
0.01591,0.01979,0.01248,2083,CarbonEmissions,0.01072
0.0155,0.01923,0.01202,2084,CarbonEmissions,0.01055
0.01509,0.01865,0.01153,2085,CarbonEmissions,0.01035
0.01464,0.01802,0.01102,2086,CarbonEmissions,0.01013
0.01419,0.01737,0.01051,2087,CarbonEmissions,0.00989
0.01374,0.01672,0.01002,2088,CarbonEmissions,0.00963
0.01328,0.01607,0.00954,2089,CarbonEmissions,0.00937
0.0128,0.01542,0.00907,2090,CarbonEmissions,0.00909
0.0123,0.01475,0.00862,2091,CarbonEmissions,0.00881
0.01179,0.01408,0.00834,2092,CarbonEmissions,0.00869
0.01127,0.01341,0.00807,2093,CarbonEmissions,0.00857
0.01075,0.01274,0.00781,2094,CarbonEmissions,0.00844
0.01023,0.01208,0.00753,2095,CarbonEmissions,0.00829
0.00971,0.01142,0.00725,2096,CarbonEmissions,0.00813
0.00922,0.0108,0.00697,2097,CarbonEmissions,0.00794
0.00875,0.01022,0.0067,2098,CarbonEmissions,0.00772
0.0083,0.00966,0.00645,2099,CarbonEmissions,0.00749
0.00791,0.00916,0.00615,2100,CarbonEmissions,0.00717
