Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00144,0.00144,0.00144,2019,CarbonEmissions,0.00144
0.0017,0.0017,0.0017,2020,CarbonEmissions,0.0017
0.00189,0.00189,0.00189,2021,CarbonEmissions,0.00189
0.00209,0.00209,0.00209,2022,CarbonEmissions,0.00209
0.00225,0.00225,0.00225,2023,CarbonEmissions,0.00225
0.00241,0.00241,0.0024,2024,CarbonEmissions,0.0024
0.0026,0.0026,0.00269,2025,CarbonEmissions,0.00269
0.00281,0.0028,0.00297,2026,CarbonEmissions,0.00298
0.00302,0.00301,0.00319,2027,CarbonEmissions,0.0032
0.00325,0.00325,0.00337,2028,CarbonEmissions,0.00337
0.00351,0.00352,0.0035,2029,CarbonEmissions,0.0035
0.00378,0.0038,0.00361,2030,CarbonEmissions,0.0036
0.00405,0.00408,0.00369,2031,CarbonEmissions,0.00367
0.0043,0.00435,0.00379,2032,CarbonEmissions,0.00376
0.00455,0.00461,0.0039,2033,CarbonEmissions,0.00385
0.00479,0.00487,0.00401,2034,CarbonEmissions,0.00395
0.00504,0.00514,0.00412,2035,CarbonEmissions,0.00404
0.00529,0.00541,0.00423,2036,CarbonEmissions,0.00412
0.00556,0.00571,0.00432,2037,CarbonEmissions,0.00419
0.00584,0.00601,0.00437,2038,CarbonEmissions,0.00423
0.00614,0.00633,0.00437,2039,CarbonEmissions,0.00421
0.00647,0.00668,0.00428,2040,CarbonEmissions,0.00411
0.00681,0.00705,0.00415,2041,CarbonEmissions,0.00397
0.00716,0.00745,0.00398,2042,CarbonEmissions,0.00379
0.00753,0.00786,0.00379,2043,CarbonEmissions,0.00359
0.00789,0.00827,0.0036,2044,CarbonEmissions,0.00339
0.00827,0.00869,0.00341,2045,CarbonEmissions,0.00319
0.00865,0.00913,0.00324,2046,CarbonEmissions,0.00301
0.00905,0.00959,0.00309,2047,CarbonEmissions,0.00286
0.00946,0.01006,0.00295,2048,CarbonEmissions,0.00271
0.00989,0.01058,0.00284,2049,CarbonEmissions,0.00259
0.01034,0.01114,0.00276,2050,CarbonEmissions,0.0025
0.01078,0.0117,0.00274,2051,CarbonEmissions,0.00247
0.01124,0.01226,0.00273,2052,CarbonEmissions,0.00243
0.0117,0.01283,0.00272,2053,CarbonEmissions,0.00241
0.01217,0.0134,0.0027,2054,CarbonEmissions,0.00237
0.01264,0.01398,0.00266,2055,CarbonEmissions,0.00233
0.01313,0.01459,0.00259,2056,CarbonEmissions,0.00226
0.01362,0.01521,0.00254,2057,CarbonEmissions,0.00219
0.01411,0.01587,0.00247,2058,CarbonEmissions,0.0021
0.01462,0.01653,0.00242,2059,CarbonEmissions,0.00203
0.01513,0.01724,0.00235,2060,CarbonEmissions,0.00193
0.01564,0.01797,0.00228,2061,CarbonEmissions,0.00185
0.01615,0.01873,0.0022,2062,CarbonEmissions,0.00176
0.01669,0.01951,0.00211,2063,CarbonEmissions,0.00166
0.01722,0.02033,0.00202,2064,CarbonEmissions,0.00156
0.01773,0.02116,0.00199,2065,CarbonEmissions,0.00152
0.01826,0.02201,0.00196,2066,CarbonEmissions,0.00146
0.01878,0.02285,0.00191,2067,CarbonEmissions,0.00141
0.01931,0.02369,0.00185,2068,CarbonEmissions,0.00134
0.01984,0.02448,0.00179,2069,CarbonEmissions,0.00128
0.02034,0.02525,0.00172,2070,CarbonEmissions,0.0012
0.02084,0.02599,0.00165,2071,CarbonEmissions,0.00113
0.02132,0.02669,0.00157,2072,CarbonEmissions,0.00106
0.02177,0.0274,0.00149,2073,CarbonEmissions,0.00098
0.02222,0.02815,0.00143,2074,CarbonEmissions,0.00093
0.02268,0.02897,0.00139,2075,CarbonEmissions,0.00087
0.02315,0.0298,0.00133,2076,CarbonEmissions,0.00081
0.02363,0.03068,0.0013,2077,CarbonEmissions,0.00076
0.02409,0.03154,0.00126,2078,CarbonEmissions,0.0007
0.02454,0.03238,0.00124,2079,CarbonEmissions,0.00066
0.02499,0.03326,0.00122,2080,CarbonEmissions,0.00063
0.02545,0.03415,0.00122,2081,CarbonEmissions,0.0006
0.02584,0.03504,0.00122,2082,CarbonEmissions,0.00057
0.02621,0.03594,0.00123,2083,CarbonEmissions,0.00056
0.02655,0.03686,0.00123,2084,CarbonEmissions,0.00054
0.0269,0.03776,0.00123,2085,CarbonEmissions,0.00053
0.02723,0.03866,0.00124,2086,CarbonEmissions,0.00051
0.02756,0.03958,0.00124,2087,CarbonEmissions,0.0005
0.02789,0.04053,0.00125,2088,CarbonEmissions,0.00048
0.02822,0.04151,0.00125,2089,CarbonEmissions,0.00046
0.02855,0.04254,0.00125,2090,CarbonEmissions,0.00045
0.02885,0.04353,0.00125,2091,CarbonEmissions,0.00043
0.02914,0.04448,0.0013,2092,CarbonEmissions,0.00042
0.02944,0.0454,0.00133,2093,CarbonEmissions,0.00042
0.02971,0.04607,0.00137,2094,CarbonEmissions,0.00042
0.02997,0.04664,0.00142,2095,CarbonEmissions,0.00043
0.0302,0.04707,0.00148,2096,CarbonEmissions,0.00044
0.03043,0.04741,0.00153,2097,CarbonEmissions,0.00046
0.03066,0.04715,0.00156,2098,CarbonEmissions,0.0005
0.03089,0.04693,0.00156,2099,CarbonEmissions,0.00051
0.03108,0.04665,0.00156,2100,CarbonEmissions,0.00052
0.069,0.069,0.069,2019,CarbonEmissions_per_capita,0.06892
0.079,0.079,0.079,2020,CarbonEmissions_per_capita,0.0788
0.086,0.086,0.086,2021,CarbonEmissions_per_capita,0.08576
0.092,0.092,0.092,2022,CarbonEmissions_per_capita,0.09213
0.097,0.097,0.097,2023,CarbonEmissions_per_capita,0.09665
0.101,0.101,0.101,2024,CarbonEmissions_per_capita,0.10055
0.106,0.106,0.11,2025,CarbonEmissions_per_capita,0.10986
0.112,0.111,0.118,2026,CarbonEmissions_per_capita,0.11827
