Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01654,0.01654,0.01654,2019,CarbonEmissions,0.01654
0.01672,0.01672,0.01672,2020,CarbonEmissions,0.01672
0.01681,0.01681,0.01681,2021,CarbonEmissions,0.01681
0.01675,0.01675,0.01675,2022,CarbonEmissions,0.01675
0.01633,0.01633,0.01633,2023,CarbonEmissions,0.01633
0.01628,0.01628,0.01628,2024,CarbonEmissions,0.01628
0.01617,0.01617,0.01635,2025,CarbonEmissions,0.01635
0.01601,0.01601,0.01619,2026,CarbonEmissions,0.0162
0.01593,0.01593,0.0159,2027,CarbonEmissions,0.0159
0.01596,0.01595,0.01547,2028,CarbonEmissions,0.01548
0.01603,0.01602,0.01495,2029,CarbonEmissions,0.01496
0.01612,0.01612,0.01438,2030,CarbonEmissions,0.01438
0.01617,0.01619,0.01386,2031,CarbonEmissions,0.01385
0.01614,0.0162,0.01337,2032,CarbonEmissions,0.01335
0.01608,0.01617,0.01295,2033,CarbonEmissions,0.0129
0.01599,0.0161,0.01254,2034,CarbonEmissions,0.01248
0.01589,0.01602,0.01213,2035,CarbonEmissions,0.01205
0.01578,0.01595,0.01171,2036,CarbonEmissions,0.01161
0.01568,0.01589,0.01113,2037,CarbonEmissions,0.01102
0.01558,0.0158,0.01051,2038,CarbonEmissions,0.01039
0.01547,0.0157,0.00986,2039,CarbonEmissions,0.00975
0.01538,0.01562,0.00919,2040,CarbonEmissions,0.00909
0.01529,0.01555,0.00854,2041,CarbonEmissions,0.00845
0.01519,0.01547,0.00793,2042,CarbonEmissions,0.00784
0.01509,0.01539,0.00736,2043,CarbonEmissions,0.00727
0.01496,0.01528,0.00684,2044,CarbonEmissions,0.00674
0.01482,0.01516,0.00635,2045,CarbonEmissions,0.00626
0.01468,0.01504,0.00595,2046,CarbonEmissions,0.00585
0.01454,0.01493,0.00572,2047,CarbonEmissions,0.00562
0.01441,0.01482,0.00551,2048,CarbonEmissions,0.0054
0.01428,0.01472,0.00532,2049,CarbonEmissions,0.00521
0.01416,0.01466,0.00516,2050,CarbonEmissions,0.00505
0.01403,0.01457,0.00502,2051,CarbonEmissions,0.00491
0.01389,0.01447,0.0049,2052,CarbonEmissions,0.00478
0.01375,0.01436,0.00477,2053,CarbonEmissions,0.00467
0.01361,0.01424,0.00465,2054,CarbonEmissions,0.00455
0.01348,0.01412,0.00453,2055,CarbonEmissions,0.00444
0.01335,0.014,0.00439,2056,CarbonEmissions,0.0043
0.01322,0.01389,0.00425,2057,CarbonEmissions,0.00417
0.01309,0.01378,0.00411,2058,CarbonEmissions,0.00404
0.01296,0.01367,0.00399,2059,CarbonEmissions,0.00392
0.01283,0.01357,0.00387,2060,CarbonEmissions,0.0038
0.01271,0.01346,0.00376,2061,CarbonEmissions,0.0037
0.01258,0.01337,0.00366,2062,CarbonEmissions,0.0036
0.01246,0.01327,0.00356,2063,CarbonEmissions,0.00351
0.01234,0.01319,0.00347,2064,CarbonEmissions,0.00342
0.01223,0.0131,0.00341,2065,CarbonEmissions,0.00336
0.01212,0.01302,0.00335,2066,CarbonEmissions,0.0033
0.012,0.01294,0.00329,2067,CarbonEmissions,0.00324
0.01188,0.01286,0.00323,2068,CarbonEmissions,0.00319
0.01177,0.01276,0.00318,2069,CarbonEmissions,0.00314
0.01164,0.01265,0.00312,2070,CarbonEmissions,0.00308
0.01152,0.01256,0.00308,2071,CarbonEmissions,0.00304
0.01139,0.01252,0.00304,2072,CarbonEmissions,0.00299
0.01126,0.01248,0.00299,2073,CarbonEmissions,0.00295
0.01112,0.01244,0.00295,2074,CarbonEmissions,0.00291
0.01099,0.01243,0.00291,2075,CarbonEmissions,0.00286
0.01087,0.0124,0.00287,2076,CarbonEmissions,0.00283
0.01077,0.01239,0.00283,2077,CarbonEmissions,0.00279
0.01067,0.01237,0.0028,2078,CarbonEmissions,0.00275
0.0106,0.01232,0.00277,2079,CarbonEmissions,0.00273
0.01058,0.01228,0.00274,2080,CarbonEmissions,0.0027
0.01056,0.01222,0.00272,2081,CarbonEmissions,0.00268
0.01052,0.01215,0.00269,2082,CarbonEmissions,0.00265
0.01048,0.01207,0.00267,2083,CarbonEmissions,0.00264
0.01043,0.01199,0.00265,2084,CarbonEmissions,0.00262
0.01039,0.0119,0.00263,2085,CarbonEmissions,0.0026
0.01034,0.01182,0.00261,2086,CarbonEmissions,0.00259
0.0103,0.01173,0.0026,2087,CarbonEmissions,0.00257
0.01026,0.01165,0.00258,2088,CarbonEmissions,0.00256
0.01022,0.01159,0.00257,2089,CarbonEmissions,0.00255
0.01018,0.01152,0.00256,2090,CarbonEmissions,0.00254
0.01014,0.01144,0.00254,2091,CarbonEmissions,0.00253
0.01009,0.01135,0.00254,2092,CarbonEmissions,0.00253
0.01004,0.01125,0.00254,2093,CarbonEmissions,0.00252
0.00999,0.01115,0.00254,2094,CarbonEmissions,0.00252
0.00993,0.01103,0.00253,2095,CarbonEmissions,0.00252
0.00986,0.01088,0.00253,2096,CarbonEmissions,0.00252
0.00978,0.01072,0.00253,2097,CarbonEmissions,0.00252
0.00971,0.01056,0.00253,2098,CarbonEmissions,0.00252
0.00963,0.0104,0.00253,2099,CarbonEmissions,0.00252
0.00957,0.01025,0.00252,2100,CarbonEmissions,0.00252
1.71,1.71,1.71,2019,CarbonEmissions_per_capita,1.71005
1.734,1.734,1.734,2020,CarbonEmissions_per_capita,1.73398
1.751,1.751,1.751,2021,CarbonEmissions_per_capita,1.75103
1.754,1.754,1.754,2022,CarbonEmissions_per_capita,1.75379
1.72,1.72,1.72,2023,CarbonEmissions_per_capita,1.72019
1.724,1.724,1.724,2024,CarbonEmissions_per_capita,1.72412
1.723,1.723,1.743,2025,CarbonEmissions_per_capita,1.74265
1.716,1.716,1.736,2026,CarbonEmissions_per_capita,1.73643
1.719,1.718,1.714,2027,CarbonEmissions_per_capita,1.71496
1.732,1.731,1.679,2028,CarbonEmissions_per_capita,1.67999
1.75,1.749,1.632,2029,CarbonEmissions_per_capita,1.63316
1.771,1.77,1.579,2030,CarbonEmissions_per_capita,1.57979
1.787,1.789,1.531,2031,CarbonEmissions_per_capita,1.53065
1.795,1.801,1.487,2032,CarbonEmissions_per_capita,1.48466
1.8,1.808,1.448,2033,CarbonEmissions_per_capita,1.44369
1.801,1.812,1.412,2034,CarbonEmissions_per_capita,1.40533
1.801,1.814,1.373,2035,CarbonEmissions_per_capita,1.36508
1.799,1.817,1.334,2036,CarbonEmissions_per_capita,1.32396
1.799,1.82,1.275,2037,CarbonEmissions_per_capita,1.26383
1.798,1.821,1.211,2038,CarbonEmissions_per_capita,1.19974
1.797,1.821,1.143,2039,CarbonEmissions_per_capita,1.13212
1.798,1.822,1.072,2040,CarbonEmissions_per_capita,1.06205
1.798,1.825,1.002,2041,CarbonEmissions_per_capita,0.99347
1.798,1.827,0.936,2042,CarbonEmissions_per_capita,0.92774
1.798,1.828,0.874,2043,CarbonEmissions_per_capita,0.86577
1.794,1.827,0.817,2044,CarbonEmissions_per_capita,0.80853
1.79,1.824,0.764,2045,CarbonEmissions_per_capita,0.75569
1.786,1.822,0.72,2046,CarbonEmissions_per_capita,0.71137
1.781,1.821,0.697,2047,CarbonEmissions_per_capita,0.68758
1.778,1.82,0.676,2048,CarbonEmissions_per_capita,0.66603
1.775,1.821,0.657,2049,CarbonEmissions_per_capita,0.64726
1.774,1.826,0.642,2050,CarbonEmissions_per_capita,0.63189
1.771,1.829,0.63,2051,CarbonEmissions_per_capita,0.61909
1.768,1.83,0.619,2052,CarbonEmissions_per_capita,0.60808
1.765,1.83,0.608,2053,CarbonEmissions_per_capita,0.59809
