Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00622,0.00622,0.00622,2019,CarbonEmissions,0.00622
0.0065,0.0065,0.0065,2020,CarbonEmissions,0.0065
0.0066,0.0066,0.0066,2021,CarbonEmissions,0.0066
0.00671,0.00671,0.00671,2022,CarbonEmissions,0.00671
0.00691,0.00691,0.00691,2023,CarbonEmissions,0.00691
0.00703,0.00703,0.00703,2024,CarbonEmissions,0.00703
0.0071,0.0071,0.00733,2025,CarbonEmissions,0.00733
0.0072,0.0072,0.0076,2026,CarbonEmissions,0.0076
0.0073,0.0073,0.0078,2027,CarbonEmissions,0.0078
0.00748,0.00747,0.00799,2028,CarbonEmissions,0.00799
0.00766,0.00765,0.00811,2029,CarbonEmissions,0.00811
0.00783,0.00783,0.00819,2030,CarbonEmissions,0.00819
0.00795,0.00796,0.0082,2031,CarbonEmissions,0.00819
0.00802,0.00805,0.00831,2032,CarbonEmissions,0.00829
0.00804,0.00808,0.00844,2033,CarbonEmissions,0.00841
0.00803,0.00807,0.00859,2034,CarbonEmissions,0.00855
0.00814,0.00817,0.00871,2035,CarbonEmissions,0.00865
0.00824,0.00827,0.00883,2036,CarbonEmissions,0.00877
0.00833,0.00836,0.009,2037,CarbonEmissions,0.00892
0.00843,0.00845,0.0091,2038,CarbonEmissions,0.00901
0.00853,0.00854,0.00912,2039,CarbonEmissions,0.00903
0.00864,0.00864,0.00902,2040,CarbonEmissions,0.00893
0.00875,0.00874,0.00886,2041,CarbonEmissions,0.00877
0.00886,0.00885,0.00865,2042,CarbonEmissions,0.00856
0.00897,0.00895,0.00842,2043,CarbonEmissions,0.00833
0.00908,0.00905,0.00818,2044,CarbonEmissions,0.00808
0.00919,0.00916,0.00793,2045,CarbonEmissions,0.00782
0.0093,0.00927,0.0077,2046,CarbonEmissions,0.00758
0.00942,0.00939,0.00742,2047,CarbonEmissions,0.00729
0.00954,0.0095,0.00718,2048,CarbonEmissions,0.00705
0.00966,0.00963,0.00698,2049,CarbonEmissions,0.00683
0.00979,0.00978,0.00683,2050,CarbonEmissions,0.00668
0.00992,0.00992,0.00673,2051,CarbonEmissions,0.00657
0.01004,0.01004,0.00665,2052,CarbonEmissions,0.00647
0.01015,0.01016,0.00656,2053,CarbonEmissions,0.00639
0.01025,0.01028,0.00647,2054,CarbonEmissions,0.0063
0.01035,0.01038,0.00635,2055,CarbonEmissions,0.0062
