Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.11795,0.11795,0.11795,2019,CarbonEmissions,0.11795
0.12328,0.12328,0.12328,2020,CarbonEmissions,0.12328
0.12558,0.12558,0.12558,2021,CarbonEmissions,0.12558
0.12779,0.12779,0.12779,2022,CarbonEmissions,0.12779
0.13018,0.13018,0.13018,2023,CarbonEmissions,0.13018
0.1308,0.1308,0.1308,2024,CarbonEmissions,0.1308
0.13048,0.13048,0.1242,2025,CarbonEmissions,0.1242
0.13033,0.13033,0.11499,2026,CarbonEmissions,0.11498
0.13059,0.13052,0.10397,2027,CarbonEmissions,0.10401
0.13116,0.13117,0.0921,2028,CarbonEmissions,0.09206
0.13155,0.13169,0.08003,2029,CarbonEmissions,0.07991
0.13163,0.13199,0.06883,2030,CarbonEmissions,0.06862
0.13089,0.13158,0.06115,2031,CarbonEmissions,0.06084
0.12906,0.13016,0.05424,2032,CarbonEmissions,0.0538
0.12664,0.12815,0.04806,2033,CarbonEmissions,0.0475
0.12373,0.12549,0.04258,2034,CarbonEmissions,0.0419
0.12049,0.12251,0.03766,2035,CarbonEmissions,0.03688
0.11687,0.11929,0.03295,2036,CarbonEmissions,0.03206
0.11301,0.11574,0.02746,2037,CarbonEmissions,0.02647
0.10905,0.11168,0.02177,2038,CarbonEmissions,0.02069
0.10472,0.10733,0.01606,2039,CarbonEmissions,0.01495
0.10022,0.10293,0.01074,2040,CarbonEmissions,0.00967
0.09544,0.09841,0.00646,2041,CarbonEmissions,0.00556
0.09028,0.09341,0.00323,2042,CarbonEmissions,0.00237
0.0849,0.08796,0.00028,2043,CarbonEmissions,-0.00054
0.07908,0.08198,-0.00238,2044,CarbonEmissions,-0.00317
0.07316,0.07579,-0.00477,2045,CarbonEmissions,-0.00552
0.06719,0.06963,-0.00669,2046,CarbonEmissions,-0.00744
0.06121,0.0637,-0.008,2047,CarbonEmissions,-0.00874
0.05524,0.0581,-0.00907,2048,CarbonEmissions,-0.00982
0.04929,0.05293,-0.01003,2049,CarbonEmissions,-0.01078
0.04472,0.04837,-0.01102,2050,CarbonEmissions,-0.01176
0.04054,0.04431,-0.01191,2051,CarbonEmissions,-0.01264
0.03658,0.04037,-0.01268,2052,CarbonEmissions,-0.01341
0.03283,0.03659,-0.01339,2053,CarbonEmissions,-0.01412
0.02926,0.03297,-0.01408,2054,CarbonEmissions,-0.01479
0.02592,0.02954,-0.01476,2055,CarbonEmissions,-0.01543
0.02275,0.0263,-0.01546,2056,CarbonEmissions,-0.01608
0.01975,0.02321,-0.01622,2057,CarbonEmissions,-0.01679
0.01692,0.02029,-0.01691,2058,CarbonEmissions,-0.01743
0.01426,0.01751,-0.0176,2059,CarbonEmissions,-0.01807
0.01173,0.01487,-0.01821,2060,CarbonEmissions,-0.01861
0.00935,0.01229,-0.01876,2061,CarbonEmissions,-0.01914
0.00712,0.00991,-0.01927,2062,CarbonEmissions,-0.01961
0.00504,0.00768,-0.01973,2063,CarbonEmissions,-0.02005
