Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.003,0.003,0.003,2019,CarbonEmissions,0.003
0.0029,0.0029,0.0029,2020,CarbonEmissions,0.0029
0.0029,0.0029,0.0029,2021,CarbonEmissions,0.0029
0.0029,0.0029,0.0029,2022,CarbonEmissions,0.0029
0.0029,0.0029,0.0029,2023,CarbonEmissions,0.0029
0.0028,0.0028,0.0028,2024,CarbonEmissions,0.0028
0.0028,0.0028,0.0028,2025,CarbonEmissions,0.0028
0.0027,0.0027,0.0028,2026,CarbonEmissions,0.0028
0.0027,0.0027,0.0028,2027,CarbonEmissions,0.0028
0.0027,0.0027,0.0027,2028,CarbonEmissions,0.0027
0.0027,0.0027,0.0026,2029,CarbonEmissions,0.0026
0.0027,0.0027,0.0025,2030,CarbonEmissions,0.0026
0.0027,0.0027,0.0024,2031,CarbonEmissions,0.0024
0.0026,0.0027,0.0024,2032,CarbonEmissions,0.0024
0.0026,0.0026,0.0023,2033,CarbonEmissions,0.0023
0.0026,0.0026,0.0023,2034,CarbonEmissions,0.0023
0.0025,0.0026,0.0022,2035,CarbonEmissions,0.0022
0.0025,0.0026,0.0022,2036,CarbonEmissions,0.0022
0.0025,0.0025,0.0022,2037,CarbonEmissions,0.0022
0.0024,0.0025,0.0022,2038,CarbonEmissions,0.0021
0.0024,0.0025,0.0022,2039,CarbonEmissions,0.0021
0.0024,0.0025,0.0021,2040,CarbonEmissions,0.0021
0.0024,0.0025,0.0021,2041,CarbonEmissions,0.002
0.0023,0.0024,0.0021,2042,CarbonEmissions,0.002
0.0023,0.0024,0.002,2043,CarbonEmissions,0.002
0.0023,0.0024,0.002,2044,CarbonEmissions,0.0019
0.0022,0.0024,0.002,2045,CarbonEmissions,0.0019
0.0022,0.0023,0.0019,2046,CarbonEmissions,0.0019
0.0022,0.0023,0.0019,2047,CarbonEmissions,0.0018
0.0021,0.0023,0.0018,2048,CarbonEmissions,0.0017
0.0021,0.0022,0.0018,2049,CarbonEmissions,0.0017
0.002,0.0022,0.0018,2050,CarbonEmissions,0.0016
0.002,0.0022,0.0017,2051,CarbonEmissions,0.0016
0.002,0.0022,0.0017,2052,CarbonEmissions,0.0016
0.0019,0.0021,0.0017,2053,CarbonEmissions,0.0015
0.0019,0.0021,0.0016,2054,CarbonEmissions,0.0015
0.0019,0.0021,0.0016,2055,CarbonEmissions,0.0015
0.0019,0.002,0.0016,2056,CarbonEmissions,0.0015
0.0018,0.002,0.0015,2057,CarbonEmissions,0.0014
0.0018,0.002,0.0015,2058,CarbonEmissions,0.0014
0.0018,0.0019,0.0014,2059,CarbonEmissions,0.0013
0.0017,0.0019,0.0014,2060,CarbonEmissions,0.0013
0.0017,0.0019,0.0013,2061,CarbonEmissions,0.0012
0.0017,0.0019,0.0013,2062,CarbonEmissions,0.0012
0.0016,0.0018,0.0012,2063,CarbonEmissions,0.0011
0.0016,0.0018,0.0012,2064,CarbonEmissions,0.0011
0.0016,0.0018,0.0011,2065,CarbonEmissions,0.001
0.0015,0.0018,0.001,2066,CarbonEmissions,0.001
0.0015,0.0017,0.001,2067,CarbonEmissions,0.0009
0.0015,0.0017,0.001,2068,CarbonEmissions,0.0009
0.0015,0.0017,0.0009,2069,CarbonEmissions,0.0009
0.0014,0.0016,0.0009,2070,CarbonEmissions,0.0008
0.0014,0.0016,0.0008,2071,CarbonEmissions,0.0008
0.0014,0.0016,0.0008,2072,CarbonEmissions,0.0008
0.0013,0.0015,0.0008,2073,CarbonEmissions,0.0007
0.0013,0.0015,0.0008,2074,CarbonEmissions,0.0007
0.0013,0.0015,0.0007,2075,CarbonEmissions,0.0007
0.0013,0.0015,0.0007,2076,CarbonEmissions,0.0007
0.0012,0.0014,0.0007,2077,CarbonEmissions,0.0006
0.0012,0.0014,0.0006,2078,CarbonEmissions,0.0006
0.0012,0.0014,0.0006,2079,CarbonEmissions,0.0006
0.0012,0.0014,0.0006,2080,CarbonEmissions,0.0006
0.0011,0.0013,0.0006,2081,CarbonEmissions,0.0005
0.0011,0.0013,0.0006,2082,CarbonEmissions,0.0005
0.0011,0.0013,0.0005,2083,CarbonEmissions,0.0005
0.0011,0.0012,0.0005,2084,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2085,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2086,CarbonEmissions,0.0005
0.001,0.0011,0.0005,2087,CarbonEmissions,0.0004
0.001,0.0011,0.0005,2088,CarbonEmissions,0.0004
0.0009,0.0011,0.0004,2089,CarbonEmissions,0.0004
0.0009,0.0011,0.0004,2090,CarbonEmissions,0.0004
0.0009,0.001,0.0004,2091,CarbonEmissions,0.0004
0.0009,0.001,0.0004,2092,CarbonEmissions,0.0004
0.0009,0.001,0.0004,2093,CarbonEmissions,0.0004
0.0008,0.001,0.0004,2094,CarbonEmissions,0.0004
0.0008,0.001,0.0004,2095,CarbonEmissions,0.0004
0.0008,0.0009,0.0004,2096,CarbonEmissions,0.0004
0.0008,0.0009,0.0004,2097,CarbonEmissions,0.0003
0.0008,0.0009,0.0003,2098,CarbonEmissions,0.0003
0.0008,0.0009,0.0003,2099,CarbonEmissions,0.0003
0.0007,0.0008,0.0003,2100,CarbonEmissions,0.0003
6.79,6.79,6.79,2019,CarbonEmissions_per_capita,6.78996
6.602,6.602,6.602,2020,CarbonEmissions_per_capita,6.60155
6.602,6.602,6.601,2021,CarbonEmissions_per_capita,6.6015
6.469,6.469,6.469,2022,CarbonEmissions_per_capita,6.46891
6.289,6.289,6.289,2023,CarbonEmissions_per_capita,6.28906
6.124,6.124,6.125,2024,CarbonEmissions_per_capita,6.12456
6.004,6.004,6.111,2025,CarbonEmissions_per_capita,6.1108
5.918,5.918,6.081,2026,CarbonEmissions_per_capita,6.0802
5.865,5.865,6.006,2027,CarbonEmissions_per_capita,6.00701
5.77,5.764,5.804,2028,CarbonEmissions_per_capita,5.8106
5.705,5.696,5.588,2029,CarbonEmissions_per_capita,5.59686
5.655,5.65,5.375,2030,CarbonEmissions_per_capita,5.38279
5.599,5.603,5.132,2031,CarbonEmissions_per_capita,5.13523
5.52,5.538,4.952,2032,CarbonEmissions_per_capita,4.93603
5.434,5.474,4.817,2033,CarbonEmissions_per_capita,4.78408
5.342,5.403,4.721,2034,CarbonEmissions_per_capita,4.6705
5.251,5.334,4.62,2035,CarbonEmissions_per_capita,4.55169
5.163,5.271,4.546,2036,CarbonEmissions_per_capita,4.45772
5.083,5.212,4.53,2037,CarbonEmissions_per_capita,4.41904
5.008,5.148,4.5,2038,CarbonEmissions_per_capita,4.36852
4.935,5.085,4.438,2039,CarbonEmissions_per_capita,4.29803
4.871,5.034,4.37,2040,CarbonEmissions_per_capita,4.2202
4.808,4.989,4.294,2041,CarbonEmissions_per_capita,4.13759
4.743,4.943,4.221,2042,CarbonEmissions_per_capita,4.0592
4.679,4.895,4.15,2043,CarbonEmissions_per_capita,3.98164
4.605,4.84,4.084,2044,CarbonEmissions_per_capita,3.90953
4.531,4.774,4.023,2045,CarbonEmissions_per_capita,3.84317
4.456,4.71,3.947,2046,CarbonEmissions_per_capita,3.76162
4.381,4.651,3.821,2047,CarbonEmissions_per_capita,3.6341
4.313,4.593,3.728,2048,CarbonEmissions_per_capita,3.53604
4.248,4.543,3.649,2049,CarbonEmissions_per_capita,3.45253
4.184,4.501,3.559,2050,CarbonEmissions_per_capita,3.35803
4.124,4.458,3.484,2051,CarbonEmissions_per_capita,3.27977
4.066,4.411,3.429,2052,CarbonEmissions_per_capita,3.2177
4.007,4.359,3.38,2053,CarbonEmissions_per_capita,3.16176
3.949,4.306,3.33,2054,CarbonEmissions_per_capita,3.10771
3.895,4.254,3.277,2055,CarbonEmissions_per_capita,3.05546
3.839,4.204,3.231,2056,CarbonEmissions_per_capita,3.0146
3.785,4.155,3.144,2057,CarbonEmissions_per_capita,2.93826
3.729,4.108,3.055,2058,CarbonEmissions_per_capita,2.86094
3.676,4.061,2.946,2059,CarbonEmissions_per_capita,2.76302
3.621,4.018,2.851,2060,CarbonEmissions_per_capita,2.68035
3.567,3.976,2.753,2061,CarbonEmissions_per_capita,2.58469
3.515,3.938,2.655,2062,CarbonEmissions_per_capita,2.49411
3.467,3.901,2.56,2063,CarbonEmissions_per_capita,2.40322
3.42,3.866,2.463,2064,CarbonEmissions_per_capita,2.31559
3.377,3.832,2.347,2065,CarbonEmissions_per_capita,2.20838
3.333,3.799,2.25,2066,CarbonEmissions_per_capita,2.11882
3.291,3.761,2.16,2067,CarbonEmissions_per_capita,2.03542
3.247,3.72,2.075,2068,CarbonEmissions_per_capita,1.95638
