Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.16712,0.16712,0.16712,2019,CarbonEmissions,0.16712
0.16554,0.16554,0.16554,2020,CarbonEmissions,0.16554
0.16598,0.16598,0.16597,2021,CarbonEmissions,0.16597
0.16663,0.16663,0.16663,2022,CarbonEmissions,0.16663
0.16819,0.16819,0.16819,2023,CarbonEmissions,0.16819
0.16757,0.16757,0.16757,2024,CarbonEmissions,0.16757
0.16625,0.16625,0.16861,2025,CarbonEmissions,0.16861
0.16608,0.16611,0.16935,2026,CarbonEmissions,0.16932
0.16649,0.1665,0.16832,2027,CarbonEmissions,0.16831
0.16676,0.16661,0.16477,2028,CarbonEmissions,0.16491
0.16765,0.16748,0.16049,2029,CarbonEmissions,0.16066
0.1689,0.16889,0.15597,2030,CarbonEmissions,0.15604
0.16991,0.17028,0.15035,2031,CarbonEmissions,0.15021
0.17024,0.17117,0.14589,2032,CarbonEmissions,0.14544
0.17034,0.17189,0.14241,2033,CarbonEmissions,0.14157
0.1702,0.17228,0.13987,2034,CarbonEmissions,0.13859
0.17004,0.17269,0.13739,2035,CarbonEmissions,0.13566
0.16983,0.17321,0.13555,2036,CarbonEmissions,0.13335
0.16974,0.17376,0.13523,2037,CarbonEmissions,0.13253
0.16974,0.17407,0.13445,2038,CarbonEmissions,0.13135
0.16956,0.17417,0.13288,2039,CarbonEmissions,0.12954
0.16969,0.17463,0.13105,2040,CarbonEmissions,0.12757
0.16978,0.17522,0.12893,2041,CarbonEmissions,0.12533
0.16968,0.1757,0.12677,2042,CarbonEmissions,0.12308
0.16973,0.1762,0.12453,2043,CarbonEmissions,0.12076
0.16941,0.17631,0.12226,2044,CarbonEmissions,0.11845
0.16896,0.17619,0.12002,2045,CarbonEmissions,0.1162
0.16847,0.17601,0.11728,2046,CarbonEmissions,0.11345
0.16795,0.17585,0.11313,2047,CarbonEmissions,0.10942
0.16752,0.17569,0.10982,2048,CarbonEmissions,0.10611
0.16709,0.17555,0.10684,2049,CarbonEmissions,0.10313
0.16676,0.17588,0.1037,2050,CarbonEmissions,0.1
0.16633,0.17586,0.10097,2051,CarbonEmissions,0.09723
0.16585,0.17557,0.09878,2052,CarbonEmissions,0.09493
0.16529,0.1751,0.09684,2053,CarbonEmissions,0.09287
0.16465,0.17443,0.09491,2054,CarbonEmissions,0.0909
0.16401,0.17369,0.09296,2055,CarbonEmissions,0.08902
0.16325,0.17289,0.0912,2056,CarbonEmissions,0.08745
0.16242,0.17202,0.08842,2057,CarbonEmissions,0.085
0.16148,0.17114,0.08558,2058,CarbonEmissions,0.08249
0.16054,0.17016,0.08227,2059,CarbonEmissions,0.07949
0.15948,0.16926,0.07928,2060,CarbonEmissions,0.07685
0.15835,0.16835,0.07626,2061,CarbonEmissions,0.07392
0.15723,0.16754,0.07329,2062,CarbonEmissions,0.07113
0.15623,0.16673,0.07048,2063,CarbonEmissions,0.06837
0.15525,0.16604,0.06771,2064,CarbonEmissions,0.06578
0.15439,0.16537,0.06482,2065,CarbonEmissions,0.06299
0.15355,0.16474,0.0624,2066,CarbonEmissions,0.06066
0.15277,0.164,0.06022,2067,CarbonEmissions,0.05853
0.15194,0.16314,0.05821,2068,CarbonEmissions,0.05656
0.15106,0.162,0.05635,2069,CarbonEmissions,0.05472
0.15006,0.16066,0.05499,2070,CarbonEmissions,0.05334
0.14902,0.15915,0.05355,2071,CarbonEmissions,0.0519
0.14784,0.15757,0.05223,2072,CarbonEmissions,0.05058
0.14658,0.15613,0.05099,2073,CarbonEmissions,0.04936
0.14536,0.15492,0.04986,2074,CarbonEmissions,0.04821
0.14418,0.15395,0.04869,2075,CarbonEmissions,0.04715
0.14304,0.15306,0.04765,2076,CarbonEmissions,0.04617
0.14199,0.15229,0.04654,2077,CarbonEmissions,0.04516
0.1409,0.1514,0.04552,2078,CarbonEmissions,0.04425
0.13979,0.15031,0.04445,2079,CarbonEmissions,0.04329
0.13871,0.1492,0.04347,2080,CarbonEmissions,0.04241
0.13764,0.14801,0.04247,2081,CarbonEmissions,0.04151
0.13649,0.14671,0.04153,2082,CarbonEmissions,0.04068
0.1353,0.14536,0.04062,2083,CarbonEmissions,0.03983
0.13407,0.14407,0.03975,2084,CarbonEmissions,0.03904
0.13288,0.14275,0.03893,2085,CarbonEmissions,0.03828
0.13166,0.14138,0.03815,2086,CarbonEmissions,0.03755
0.13059,0.14005,0.03741,2087,CarbonEmissions,0.03686
0.12957,0.13879,0.03672,2088,CarbonEmissions,0.03621
0.12858,0.13765,0.03608,2089,CarbonEmissions,0.0356
0.12757,0.13649,0.03547,2090,CarbonEmissions,0.03503
0.12649,0.13536,0.03491,2091,CarbonEmissions,0.0345
0.12533,0.1342,0.03433,2092,CarbonEmissions,0.03395
0.12414,0.13299,0.03381,2093,CarbonEmissions,0.03346
0.12291,0.13181,0.03334,2094,CarbonEmissions,0.03301
0.12162,0.13053,0.0329,2095,CarbonEmissions,0.03259
0.12027,0.12916,0.0325,2096,CarbonEmissions,0.03221
0.11889,0.12781,0.03213,2097,CarbonEmissions,0.03186
0.11751,0.12651,0.03179,2098,CarbonEmissions,0.03155
0.11614,0.12525,0.03149,2099,CarbonEmissions,0.03126
0.11492,0.12419,0.03123,2100,CarbonEmissions,0.03102
4.454,4.454,4.454,2019,CarbonEmissions_per_capita,4.45374
4.375,4.375,4.375,2020,CarbonEmissions_per_capita,4.37507
4.352,4.352,4.352,2021,CarbonEmissions_per_capita,4.3523
4.336,4.336,4.336,2022,CarbonEmissions_per_capita,4.3364
4.345,4.345,4.345,2023,CarbonEmissions_per_capita,4.34532
4.299,4.299,4.299,2024,CarbonEmissions_per_capita,4.29868
4.235,4.235,4.295,2025,CarbonEmissions_per_capita,4.2954
4.202,4.202,4.284,2026,CarbonEmissions_per_capita,4.28369
4.183,4.183,4.229,2027,CarbonEmissions_per_capita,4.22902
4.162,4.158,4.112,2028,CarbonEmissions_per_capita,4.11567
4.157,4.152,3.979,2029,CarbonEmissions_per_capita,3.98328
4.161,4.16,3.842,2030,CarbonEmissions_per_capita,3.84402
4.16,4.168,3.68,2031,CarbonEmissions_per_capita,3.67743
4.143,4.164,3.549,2032,CarbonEmissions_per_capita,3.5389
4.121,4.156,3.443,2033,CarbonEmissions_per_capita,3.42461
4.094,4.142,3.363,2034,CarbonEmissions_per_capita,3.33352
4.068,4.128,3.284,2035,CarbonEmissions_per_capita,3.24491
4.041,4.118,3.223,2036,CarbonEmissions_per_capita,3.17282
4.019,4.11,3.198,2037,CarbonEmissions_per_capita,3.13741
3.999,4.097,3.164,2038,CarbonEmissions_per_capita,3.0943
3.976,4.08,3.112,2039,CarbonEmissions_per_capita,3.03759
3.962,4.072,3.055,2040,CarbonEmissions_per_capita,2.97779
3.947,4.067,2.992,2041,CarbonEmissions_per_capita,2.91284
3.928,4.061,2.93,2042,CarbonEmissions_per_capita,2.84858
3.913,4.056,2.866,2043,CarbonEmissions_per_capita,2.78352
3.891,4.043,2.802,2044,CarbonEmissions_per_capita,2.71946
3.866,4.024,2.74,2045,CarbonEmissions_per_capita,2.65765
3.841,4.005,2.668,2046,CarbonEmissions_per_capita,2.58535
3.815,3.987,2.564,2047,CarbonEmissions_per_capita,2.4845
