Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00913,0.00913,0.00913,2019,CarbonEmissions,0.00913
0.00859,0.00859,0.00859,2020,CarbonEmissions,0.00859
0.00853,0.00853,0.00853,2021,CarbonEmissions,0.00853
0.0087,0.0087,0.0087,2022,CarbonEmissions,0.0087
0.00877,0.00877,0.00877,2023,CarbonEmissions,0.00877
0.00821,0.00821,0.00821,2024,CarbonEmissions,0.00821
0.00756,0.00756,0.00764,2025,CarbonEmissions,0.00764
0.00699,0.00699,0.0069,2026,CarbonEmissions,0.00689
0.00661,0.00661,0.00605,2027,CarbonEmissions,0.00605
0.00617,0.00616,0.00488,2028,CarbonEmissions,0.00489
0.00581,0.0058,0.00365,2029,CarbonEmissions,0.00366
0.00542,0.00544,0.00238,2030,CarbonEmissions,0.00237
0.00496,0.00503,0.00099,2031,CarbonEmissions,0.00096
0.00439,0.00448,-0.00032,2032,CarbonEmissions,-0.00038
0.00379,0.00389,-0.00156,2033,CarbonEmissions,-0.00163
0.0032,0.00326,-0.00275,2034,CarbonEmissions,-0.00284
0.00263,0.00267,-0.00381,2035,CarbonEmissions,-0.00391
0.00207,0.00211,-0.00486,2036,CarbonEmissions,-0.00497
0.00153,0.00158,-0.00581,2037,CarbonEmissions,-0.00593
0.00102,0.00103,-0.00681,2038,CarbonEmissions,-0.00693
0.00052,0.0005,-0.00785,2039,CarbonEmissions,-0.00796
6e-05,0.00001,-0.00878,2040,CarbonEmissions,-0.00889
-0.0004,-0.00044,-0.00971,2041,CarbonEmissions,-0.00981
-0.00085,-0.0009,-0.0106,2042,CarbonEmissions,-0.01069
-0.00128,-0.00134,-0.01146,2043,CarbonEmissions,-0.01155
-0.00173,-0.00182,-0.01226,2044,CarbonEmissions,-0.01235
-0.00217,-0.00228,-0.01303,2045,CarbonEmissions,-0.01311
-0.00261,-0.00275,-0.01374,2046,CarbonEmissions,-0.01382
-0.00305,-0.0032,-0.01448,2047,CarbonEmissions,-0.01455
-0.00348,-0.00366,-0.01514,2048,CarbonEmissions,-0.0152
-0.00392,-0.0041,-0.01575,2049,CarbonEmissions,-0.01579
-0.00434,-0.00451,-0.01628,2050,CarbonEmissions,-0.01633
-0.00477,-0.00494,-0.0168,2051,CarbonEmissions,-0.01685
-0.0052,-0.00537,-0.01733,2052,CarbonEmissions,-0.01736
-0.00562,-0.0058,-0.01786,2053,CarbonEmissions,-0.01786
-0.00604,-0.00623,-0.01838,2054,CarbonEmissions,-0.01834
-0.00645,-0.00664,-0.01885,2055,CarbonEmissions,-0.01877
-0.00685,-0.00705,-0.01927,2056,CarbonEmissions,-0.01916
-0.00725,-0.00746,-0.01964,2057,CarbonEmissions,-0.01951
-0.00765,-0.00786,-0.01995,2058,CarbonEmissions,-0.01981
-0.00803,-0.00828,-0.02022,2059,CarbonEmissions,-0.02008
-0.00842,-0.00869,-0.02038,2060,CarbonEmissions,-0.02031
-0.0088,-0.00911,-0.02049,2061,CarbonEmissions,-0.02049
-0.00918,-0.00952,-0.02059,2062,CarbonEmissions,-0.02059
-0.00955,-0.00994,-0.02067,2063,CarbonEmissions,-0.02067
-0.00992,-0.01034,-0.02075,2064,CarbonEmissions,-0.02075
-0.01029,-0.01074,-0.02082,2065,CarbonEmissions,-0.02082
-0.01065,-0.01112,-0.02088,2066,CarbonEmissions,-0.02088
-0.01101,-0.01149,-0.02093,2067,CarbonEmissions,-0.02093
