Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00331,0.00331,0.00331,2019,CarbonEmissions,0.00331
0.00398,0.00398,0.00398,2020,CarbonEmissions,0.00398
0.00436,0.00436,0.00436,2021,CarbonEmissions,0.00436
0.00466,0.00466,0.00466,2022,CarbonEmissions,0.00466
0.00521,0.00521,0.00521,2023,CarbonEmissions,0.00521
0.00572,0.00572,0.00572,2024,CarbonEmissions,0.00572
0.00618,0.00618,0.00652,2025,CarbonEmissions,0.00652
0.00668,0.00668,0.00729,2026,CarbonEmissions,0.00729
0.00725,0.00725,0.00801,2027,CarbonEmissions,0.00802
0.00782,0.00782,0.00859,2028,CarbonEmissions,0.0086
0.00848,0.00847,0.00913,2029,CarbonEmissions,0.00914
0.00918,0.00918,0.00963,2030,CarbonEmissions,0.00963
0.00991,0.00994,0.01007,2031,CarbonEmissions,0.01005
0.01064,0.01071,0.01053,2032,CarbonEmissions,0.0105
0.01138,0.01149,0.01104,2033,CarbonEmissions,0.01097
0.01214,0.01228,0.01159,2034,CarbonEmissions,0.01148
0.01293,0.01311,0.01213,2035,CarbonEmissions,0.01196
0.01375,0.01399,0.01269,2036,CarbonEmissions,0.01246
0.01464,0.01496,0.0133,2037,CarbonEmissions,0.013
0.01557,0.01591,0.01381,2038,CarbonEmissions,0.01344
0.01648,0.01687,0.01416,2039,CarbonEmissions,0.01373
0.01745,0.01789,0.01426,2040,CarbonEmissions,0.01378
0.01846,0.01897,0.01418,2041,CarbonEmissions,0.01366
0.01948,0.02006,0.01396,2042,CarbonEmissions,0.01339
0.0205,0.02113,0.01365,2043,CarbonEmissions,0.01303
0.02146,0.02214,0.01331,2044,CarbonEmissions,0.01263
0.02244,0.02316,0.01294,2045,CarbonEmissions,0.0122
0.02341,0.02419,0.01261,2046,CarbonEmissions,0.0118
0.0244,0.02526,0.01231,2047,CarbonEmissions,0.0114
0.02538,0.02633,0.01218,2048,CarbonEmissions,0.01115
