Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00113,0.00113,0.00113,2019,CarbonEmissions,0.00113
0.00123,0.00123,0.00123,2020,CarbonEmissions,0.00123
0.00129,0.00129,0.00129,2021,CarbonEmissions,0.00129
0.00133,0.00133,0.00133,2022,CarbonEmissions,0.00133
0.00139,0.00139,0.00139,2023,CarbonEmissions,0.00139
0.00147,0.00147,0.00147,2024,CarbonEmissions,0.00147
0.00155,0.00155,0.00162,2025,CarbonEmissions,0.00162
0.00162,0.00162,0.00175,2026,CarbonEmissions,0.00175
0.00171,0.00171,0.00188,2027,CarbonEmissions,0.00188
0.00182,0.00181,0.00199,2028,CarbonEmissions,0.00199
0.00193,0.00192,0.00209,2029,CarbonEmissions,0.0021
0.00206,0.00205,0.0022,2030,CarbonEmissions,0.0022
0.00218,0.00218,0.00228,2031,CarbonEmissions,0.00228
0.0023,0.00231,0.00238,2032,CarbonEmissions,0.00239
0.00242,0.00243,0.00251,2033,CarbonEmissions,0.00251
0.00254,0.00255,0.00267,2034,CarbonEmissions,0.00266
0.00265,0.00268,0.00283,2035,CarbonEmissions,0.00281
0.00278,0.00282,0.00301,2036,CarbonEmissions,0.00298
0.00291,0.00296,0.00325,2037,CarbonEmissions,0.0032
0.00306,0.00311,0.0035,2038,CarbonEmissions,0.00343
0.00321,0.00327,0.00372,2039,CarbonEmissions,0.00364
0.00337,0.00344,0.00392,2040,CarbonEmissions,0.00382
0.00354,0.00361,0.00411,2041,CarbonEmissions,0.004
0.00368,0.00376,0.00431,2042,CarbonEmissions,0.00419
0.00385,0.00394,0.00451,2043,CarbonEmissions,0.00438
0.00399,0.00409,0.00473,2044,CarbonEmissions,0.00459
0.00415,0.00425,0.00498,2045,CarbonEmissions,0.00482
0.0043,0.0044,0.00522,2046,CarbonEmissions,0.00503
0.00444,0.00455,0.00539,2047,CarbonEmissions,0.00519
0.00458,0.0047,0.00563,2048,CarbonEmissions,0.00541
0.00472,0.00485,0.00592,2049,CarbonEmissions,0.00567
0.00486,0.00501,0.00622,2050,CarbonEmissions,0.00594
0.005,0.00515,0.00657,2051,CarbonEmissions,0.00625
0.00512,0.00528,0.00701,2052,CarbonEmissions,0.00664
0.00524,0.00539,0.00752,2053,CarbonEmissions,0.00709
0.00535,0.00549,0.00808,2054,CarbonEmissions,0.00759
0.00545,0.00559,0.00866,2055,CarbonEmissions,0.00812
0.00554,0.00566,0.00929,2056,CarbonEmissions,0.00874
0.00562,0.00572,0.00973,2057,CarbonEmissions,0.00928
0.00567,0.00577,0.01021,2058,CarbonEmissions,0.00983
0.00572,0.0058,0.01056,2059,CarbonEmissions,0.01022
0.00574,0.00581,0.01084,2060,CarbonEmissions,0.01058
0.00574,0.0058,0.01108,2061,CarbonEmissions,0.01082
0.00572,0.00574,0.01126,2062,CarbonEmissions,0.01104
0.00568,0.00565,0.01141,2063,CarbonEmissions,0.01122
0.0056,0.00553,0.01151,2064,CarbonEmissions,0.01139
0.00548,0.00537,0.01136,2065,CarbonEmissions,0.01131
0.00533,0.00517,0.01127,2066,CarbonEmissions,0.0113
0.00512,0.00494,0.01114,2067,CarbonEmissions,0.01126
0.00487,0.00468,0.01097,2068,CarbonEmissions,0.01118
0.0046,0.00441,0.01074,2069,CarbonEmissions,0.01106
0.00432,0.00413,0.01043,2070,CarbonEmissions,0.01085
0.00404,0.00384,0.01008,2071,CarbonEmissions,0.01061
0.00375,0.00356,0.00965,2072,CarbonEmissions,0.01031
0.00347,0.00329,0.00916,2073,CarbonEmissions,0.00994
0.0032,0.00303,0.00861,2074,CarbonEmissions,0.00949
0.00295,0.00279,0.00798,2075,CarbonEmissions,0.00897
0.0027,0.00256,0.00735,2076,CarbonEmissions,0.00841
0.00247,0.00235,0.00668,2077,CarbonEmissions,0.00777
0.00224,0.00213,0.00607,2078,CarbonEmissions,0.00715
0.00198,0.00187,0.00548,2079,CarbonEmissions,0.00649
0.00168,0.00158,0.00496,2080,CarbonEmissions,0.00589
0.00141,0.00133,0.00448,2081,CarbonEmissions,0.0053
0.00118,0.00111,0.00407,2082,CarbonEmissions,0.00479
0.00099,0.00094,0.0037,2083,CarbonEmissions,0.00433
0.00084,0.00081,0.00337,2084,CarbonEmissions,0.00395
0.00071,0.0007,0.00306,2085,CarbonEmissions,0.0036
0.00061,0.00062,0.00279,2086,CarbonEmissions,0.00328
0.00053,0.00055,0.00253,2087,CarbonEmissions,0.003
0.00046,0.00049,0.0023,2088,CarbonEmissions,0.00273
0.00041,0.00044,0.00209,2089,CarbonEmissions,0.00249
0.00037,0.0004,0.00189,2090,CarbonEmissions,0.00227
0.00033,0.00037,0.00172,2091,CarbonEmissions,0.00206
0.0003,0.00034,0.00154,2092,CarbonEmissions,0.00186
0.00027,0.00031,0.00139,2093,CarbonEmissions,0.00168
0.00025,0.00029,0.00125,2094,CarbonEmissions,0.00152
0.00023,0.00026,0.00112,2095,CarbonEmissions,0.00137
0.00021,0.00024,0.00101,2096,CarbonEmissions,0.00123
0.00019,0.00022,0.0009,2097,CarbonEmissions,0.00111
0.00017,0.0002,0.00081,2098,CarbonEmissions,0.001
0.00015,0.00018,0.00072,2099,CarbonEmissions,0.0009
0.00014,0.00016,0.00065,2100,CarbonEmissions,0.00081
0.203,0.203,0.203,2019,CarbonEmissions_per_capita,0.20285
0.216,0.216,0.216,2020,CarbonEmissions_per_capita,0.21613
0.22,0.22,0.22,2021,CarbonEmissions_per_capita,0.22037
0.222,0.222,0.222,2022,CarbonEmissions_per_capita,0.22225
0.226,0.226,0.226,2023,CarbonEmissions_per_capita,0.22626
0.233,0.233,0.233,2024,CarbonEmissions_per_capita,0.2331
0.24,0.24,0.251,2025,CarbonEmissions_per_capita,0.25114
0.246,0.246,0.266,2026,CarbonEmissions_per_capita,0.2662
0.254,0.254,0.279,2027,CarbonEmissions_per_capita,0.27908
0.263,0.262,0.288,2028,CarbonEmissions_per_capita,0.28859
0.273,0.272,0.296,2029,CarbonEmissions_per_capita,0.29637
0.284,0.283,0.303,2030,CarbonEmissions_per_capita,0.3039
0.294,0.295,0.308,2031,CarbonEmissions_per_capita,0.30798
0.304,0.305,0.315,2032,CarbonEmissions_per_capita,0.31435
0.312,0.314,0.324,2033,CarbonEmissions_per_capita,0.32321
0.319,0.322,0.337,2034,CarbonEmissions_per_capita,0.33483
0.327,0.331,0.349,2035,CarbonEmissions_per_capita,0.34553
0.335,0.341,0.364,2036,CarbonEmissions_per_capita,0.35859
0.344,0.351,0.385,2037,CarbonEmissions_per_capita,0.37733
0.353,0.361,0.406,2038,CarbonEmissions_per_capita,0.3955
0.363,0.371,0.423,2039,CarbonEmissions_per_capita,0.41167
0.374,0.383,0.437,2040,CarbonEmissions_per_capita,0.42375
0.385,0.396,0.45,2041,CarbonEmissions_per_capita,0.43487
0.392,0.404,0.463,2042,CarbonEmissions_per_capita,0.44618
0.402,0.416,0.476,2043,CarbonEmissions_per_capita,0.45777
0.409,0.424,0.491,2044,CarbonEmissions_per_capita,0.47011
0.417,0.433,0.508,2045,CarbonEmissions_per_capita,0.48449
0.425,0.442,0.523,2046,CarbonEmissions_per_capita,0.49746
0.431,0.449,0.532,2047,CarbonEmissions_per_capita,0.50365
0.437,0.457,0.548,2048,CarbonEmissions_per_capita,0.51595
0.443,0.464,0.567,2049,CarbonEmissions_per_capita,0.5323
0.449,0.472,0.587,2050,CarbonEmissions_per_capita,0.5479
0.454,0.479,0.612,2051,CarbonEmissions_per_capita,0.56782
0.458,0.484,0.644,2052,CarbonEmissions_per_capita,0.59383
0.461,0.488,0.682,2053,CarbonEmissions_per_capita,0.6241
0.464,0.491,0.723,2054,CarbonEmissions_per_capita,0.65822
0.466,0.493,0.767,2055,CarbonEmissions_per_capita,0.69454
0.467,0.494,0.813,2056,CarbonEmissions_per_capita,0.73755
0.467,0.494,0.842,2057,CarbonEmissions_per_capita,0.77224
0.465,0.492,0.874,2058,CarbonEmissions_per_capita,0.80676
0.462,0.49,0.895,2059,CarbonEmissions_per_capita,0.82818
0.458,0.486,0.91,2060,CarbonEmissions_per_capita,0.84732
0.453,0.48,0.921,2061,CarbonEmissions_per_capita,0.85537
0.446,0.471,0.928,2062,CarbonEmissions_per_capita,0.86305
0.437,0.459,0.933,2063,CarbonEmissions_per_capita,0.86739
0.426,0.445,0.933,2064,CarbonEmissions_per_capita,0.87072
0.413,0.429,0.915,2065,CarbonEmissions_per_capita,0.85561
0.397,0.41,0.901,2066,CarbonEmissions_per_capita,0.84577
0.377,0.389,0.884,2067,CarbonEmissions_per_capita,0.83448
0.355,0.366,0.865,2068,CarbonEmissions_per_capita,0.82088
0.333,0.342,0.841,2069,CarbonEmissions_per_capita,0.8043
0.309,0.318,0.811,2070,CarbonEmissions_per_capita,0.78233
0.287,0.295,0.779,2071,CarbonEmissions_per_capita,0.75857
0.264,0.271,0.742,2072,CarbonEmissions_per_capita,0.73113
0.243,0.249,0.699,2073,CarbonEmissions_per_capita,0.69946
0.222,0.228,0.654,2074,CarbonEmissions_per_capita,0.66284
0.203,0.209,0.603,2075,CarbonEmissions_per_capita,0.62255
