Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.02559,0.02559,0.02559,2019,CarbonEmissions,0.02559
0.02725,0.02725,0.02725,2020,CarbonEmissions,0.02725
0.02793,0.02793,0.02793,2021,CarbonEmissions,0.02793
0.0297,0.0297,0.0297,2022,CarbonEmissions,0.0297
0.03238,0.03238,0.03238,2023,CarbonEmissions,0.03238
0.03228,0.03228,0.03228,2024,CarbonEmissions,0.03228
0.03196,0.03196,0.03313,2025,CarbonEmissions,0.03313
0.03227,0.03227,0.03391,2026,CarbonEmissions,0.03391
0.0331,0.03307,0.03411,2027,CarbonEmissions,0.03414
0.03385,0.03383,0.03329,2028,CarbonEmissions,0.03331
0.03495,0.03498,0.03212,2029,CarbonEmissions,0.03209
0.0362,0.03638,0.03089,2030,CarbonEmissions,0.03077
0.03727,0.03768,0.02925,2031,CarbonEmissions,0.02899
0.038,0.03869,0.02813,2032,CarbonEmissions,0.0277
0.03856,0.03956,0.02734,2033,CarbonEmissions,0.02673
0.03901,0.04028,0.02684,2034,CarbonEmissions,0.02599
0.03943,0.04101,0.02621,2035,CarbonEmissions,0.0251
0.03977,0.04174,0.02578,2036,CarbonEmissions,0.02438
0.0401,0.04245,0.02484,2037,CarbonEmissions,0.02318
0.04044,0.04305,0.02352,2038,CarbonEmissions,0.02164
0.04076,0.04363,0.02155,2039,CarbonEmissions,0.01952
0.04118,0.04433,0.0189,2040,CarbonEmissions,0.0168
0.0416,0.04509,0.01592,2041,CarbonEmissions,0.01381
0.04198,0.04582,0.01281,2042,CarbonEmissions,0.01074
0.04231,0.04647,0.00973,2043,CarbonEmissions,0.00771
0.04248,0.04692,0.00678,2044,CarbonEmissions,0.00485
0.04257,0.04724,0.00407,2045,CarbonEmissions,0.00223
0.04264,0.04755,0.00151,2046,CarbonEmissions,-0.00028
0.04272,0.04791,-0.00027,2047,CarbonEmissions,-0.00205
0.04284,0.04829,-0.00167,2048,CarbonEmissions,-0.00346
0.04297,0.04877,-0.00277,2049,CarbonEmissions,-0.00461
0.04316,0.04945,-0.00373,2050,CarbonEmissions,-0.00562
0.04328,0.05002,-0.00443,2051,CarbonEmissions,-0.0064
0.04337,0.05044,-0.00493,2052,CarbonEmissions,-0.007
0.04341,0.05076,-0.0053,2053,CarbonEmissions,-0.00749
0.0434,0.05104,-0.00563,2054,CarbonEmissions,-0.00791
0.04343,0.05133,-0.00604,2055,CarbonEmissions,-0.00835
0.04348,0.05162,-0.00671,2056,CarbonEmissions,-0.00895
0.04351,0.05194,-0.00763,2057,CarbonEmissions,-0.00977
0.04349,0.05228,-0.0087,2058,CarbonEmissions,-0.01073
0.04347,0.05261,-0.00983,2059,CarbonEmissions,-0.01179
0.04337,0.05296,-0.0109,2060,CarbonEmissions,-0.0128
0.0432,0.05333,-0.01196,2061,CarbonEmissions,-0.01383
0.04301,0.05376,-0.01302,2062,CarbonEmissions,-0.01484
0.04285,0.05416,-0.01405,2063,CarbonEmissions,-0.01583
0.04264,0.05461,-0.01505,2064,CarbonEmissions,-0.01679
0.04247,0.05505,-0.01607,2065,CarbonEmissions,-0.01777
0.04226,0.05551,-0.01695,2066,CarbonEmissions,-0.01862
0.04205,0.0559,-0.01775,2067,CarbonEmissions,-0.01939
0.04178,0.05625,-0.01847,2068,CarbonEmissions,-0.02011
0.04148,0.05646,-0.01913,2069,CarbonEmissions,-0.02076
0.0411,0.05658,-0.01976,2070,CarbonEmissions,-0.0214
0.0407,0.05662,-0.0203,2071,CarbonEmissions,-0.02195
0.04024,0.05659,-0.02081,2072,CarbonEmissions,-0.02245
0.03975,0.05664,-0.02128,2073,CarbonEmissions,-0.02291
0.03924,0.05659,-0.02174,2074,CarbonEmissions,-0.02334
0.03875,0.05665,-0.02217,2075,CarbonEmissions,-0.02375
0.03826,0.05669,-0.02258,2076,CarbonEmissions,-0.02413
0.03782,0.05673,-0.023,2077,CarbonEmissions,-0.02451
0.03731,0.05661,-0.02342,2078,CarbonEmissions,-0.02487
0.03676,0.05641,-0.02385,2079,CarbonEmissions,-0.02524
0.0362,0.05622,-0.02427,2080,CarbonEmissions,-0.02559
0.03568,0.05587,-0.02469,2081,CarbonEmissions,-0.02594
0.03506,0.05536,-0.0251,2082,CarbonEmissions,-0.02628
0.0344,0.05471,-0.02552,2083,CarbonEmissions,-0.02662
0.03369,0.0539,-0.02592,2084,CarbonEmissions,-0.02693
0.03297,0.05261,-0.02631,2085,CarbonEmissions,-0.02724
0.03223,0.05126,-0.02668,2086,CarbonEmissions,-0.02753
0.0315,0.04983,-0.02702,2087,CarbonEmissions,-0.02781
0.03078,0.04831,-0.02735,2088,CarbonEmissions,-0.02807
0.03004,0.04676,-0.02766,2089,CarbonEmissions,-0.02832
0.02926,0.04508,-0.02795,2090,CarbonEmissions,-0.02855
0.02834,0.04323,-0.02822,2091,CarbonEmissions,-0.02877
0.0273,0.04125,-0.0284,2092,CarbonEmissions,-0.02892
0.0262,0.03912,-0.02857,2093,CarbonEmissions,-0.02905
0.02503,0.03696,-0.02872,2094,CarbonEmissions,-0.02917
0.02373,0.03475,-0.02886,2095,CarbonEmissions,-0.02929
0.02235,0.03226,-0.029,2096,CarbonEmissions,-0.0294
0.02087,0.0296,-0.02914,2097,CarbonEmissions,-0.0295
0.01928,0.0268,-0.02927,2098,CarbonEmissions,-0.0296
0.0176,0.02388,-0.02939,2099,CarbonEmissions,-0.0297
0.01592,0.02095,-0.02952,2100,CarbonEmissions,-0.02982
0.51,0.51,0.51,2019,CarbonEmissions_per_capita,0.50993
0.535,0.535,0.535,2020,CarbonEmissions_per_capita,0.53491
0.542,0.542,0.542,2021,CarbonEmissions_per_capita,0.54194
0.571,0.571,0.571,2022,CarbonEmissions_per_capita,0.57102
0.619,0.619,0.619,2023,CarbonEmissions_per_capita,0.61879
0.614,0.614,0.614,2024,CarbonEmissions_per_capita,0.61419
0.606,0.606,0.628,2025,CarbonEmissions_per_capita,0.62771
0.609,0.609,0.639,2026,CarbonEmissions_per_capita,0.6393
0.621,0.62,0.64,2027,CarbonEmissions_per_capita,0.64014
0.631,0.63,0.62,2028,CarbonEmissions_per_capita,0.62062
