Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0002,0.00019,0.0002,2019,CarbonEmissions,0.0002
0.0002,0.00017,0.0002,2020,CarbonEmissions,0.0002
0.0002,0.00017,0.0002,2021,CarbonEmissions,0.0002
0.0002,0.00017,0.0002,2022,CarbonEmissions,0.0002
0.0002,0.00018,0.0002,2023,CarbonEmissions,0.0002
0.0002,0.00018,0.0002,2024,CarbonEmissions,0.0002
0.0002,0.00019,0.0002,2025,CarbonEmissions,0.0002
0.0002,0.00019,0.0002,2026,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2027,CarbonEmissions,0.0002
0.0002,0.00022,0.0002,2028,CarbonEmissions,0.0002
0.0002,0.00023,0.0002,2029,CarbonEmissions,0.0002
0.0002,0.00025,0.0002,2030,CarbonEmissions,0.0002
0.0003,0.00027,0.0002,2031,CarbonEmissions,0.0002
0.0003,0.00029,0.0002,2032,CarbonEmissions,0.0002
0.0003,0.0003,0.0002,2033,CarbonEmissions,0.0002
0.0003,0.00032,0.0002,2034,CarbonEmissions,0.0002
0.0003,0.00033,0.0002,2035,CarbonEmissions,0.0002
0.0003,0.00035,0.0002,2036,CarbonEmissions,0.0002
0.0003,0.00036,0.0002,2037,CarbonEmissions,0.0002
0.0003,0.00038,0.0002,2038,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2039,CarbonEmissions,0.0002
0.0004,0.00043,0.0002,2040,CarbonEmissions,0.0002
0.0004,0.00046,0.0002,2041,CarbonEmissions,0.0002
0.0004,0.00049,0.0002,2042,CarbonEmissions,0.0001
0.0004,0.00052,0.0002,2043,CarbonEmissions,0.0001
0.0005,0.00056,0.0002,2044,CarbonEmissions,0.0001
0.0005,0.00059,0.0001,2045,CarbonEmissions,0.0001
0.0005,0.00063,0.0001,2046,CarbonEmissions,0.0001
0.0006,0.00067,0.0001,2047,CarbonEmissions,0.0001
0.0006,0.00072,0.0001,2048,CarbonEmissions,0.0
0.0006,0.00076,0.0001,2049,CarbonEmissions,0.0
0.0007,0.00081,0.0001,2050,CarbonEmissions,0.0
0.0007,0.00086,0.0001,2051,CarbonEmissions,0.0
0.0007,0.00091,0.0001,2052,CarbonEmissions,0.0
0.0008,0.00096,0.0001,2053,CarbonEmissions,0.0
0.0008,0.00101,0.0001,2054,CarbonEmissions,0.0
0.0009,0.00109,0.0002,2055,CarbonEmissions,0.0
0.0009,0.00118,0.0002,2056,CarbonEmissions,0.0001
0.0009,0.00129,0.0002,2057,CarbonEmissions,0.0001
0.001,0.00141,0.0002,2058,CarbonEmissions,0.0001
0.001,0.00153,0.0002,2059,CarbonEmissions,0.0001
0.0011,0.00166,0.0002,2060,CarbonEmissions,0.0
0.0011,0.00179,0.0002,2061,CarbonEmissions,0.0
0.0012,0.0019,0.0002,2062,CarbonEmissions,0.0
0.0012,0.00201,0.0002,2063,CarbonEmissions,0.0
0.0013,0.00209,0.0002,2064,CarbonEmissions,0.0
0.0013,0.00215,0.0002,2065,CarbonEmissions,0.0
0.0014,0.00217,0.0001,2066,CarbonEmissions,0.0
0.0014,0.00219,0.0001,2067,CarbonEmissions,0.0
0.0015,0.00221,0.0001,2068,CarbonEmissions,0.0
