Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.06641,0.06641,0.06641,2019,CarbonEmissions,0.06641
0.06445,0.06445,0.06445,2020,CarbonEmissions,0.06445
0.06,0.06,0.06,2021,CarbonEmissions,0.06
0.05866,0.05866,0.05866,2022,CarbonEmissions,0.05866
0.06019,0.06019,0.06019,2023,CarbonEmissions,0.06019
0.05989,0.05989,0.05989,2024,CarbonEmissions,0.05989
0.05835,0.05835,0.0568,2025,CarbonEmissions,0.0568
0.05707,0.05709,0.05354,2026,CarbonEmissions,0.05352
0.05584,0.05585,0.04979,2027,CarbonEmissions,0.04977
0.05424,0.05425,0.04524,2028,CarbonEmissions,0.04521
0.05282,0.05288,0.04072,2029,CarbonEmissions,0.04062
0.0515,0.05166,0.03625,2030,CarbonEmissions,0.03608
0.05022,0.0505,0.03196,2031,CarbonEmissions,0.0317
0.04883,0.04923,0.02774,2032,CarbonEmissions,0.0274
0.04746,0.04798,0.02355,2033,CarbonEmissions,0.02314
0.04603,0.04662,0.01931,2034,CarbonEmissions,0.01885
0.04464,0.04533,0.0162,2035,CarbonEmissions,0.01568
0.0432,0.04408,0.01276,2036,CarbonEmissions,0.01222
0.0418,0.04288,0.0094,2037,CarbonEmissions,0.00884
0.04045,0.04165,0.00616,2038,CarbonEmissions,0.00559
0.03906,0.04046,0.00326,2039,CarbonEmissions,0.00268
0.03775,0.0393,0.00118,2040,CarbonEmissions,0.00056
0.03644,0.03825,-0.00054,2041,CarbonEmissions,-0.0012
0.03516,0.03714,-0.00188,2042,CarbonEmissions,-0.00257
0.03393,0.03609,-0.00301,2043,CarbonEmissions,-0.00375
0.03267,0.03497,-0.00402,2044,CarbonEmissions,-0.00477
0.03149,0.03389,-0.00492,2045,CarbonEmissions,-0.00569
0.03033,0.03283,-0.00571,2046,CarbonEmissions,-0.00647
0.02921,0.0318,-0.00647,2047,CarbonEmissions,-0.00722
0.02811,0.03073,-0.00724,2048,CarbonEmissions,-0.00797
0.02703,0.02972,-0.00812,2049,CarbonEmissions,-0.00878
0.02604,0.02885,-0.0088,2050,CarbonEmissions,-0.00941
0.02493,0.02783,-0.00972,2051,CarbonEmissions,-0.01024
0.02387,0.02684,-0.01056,2052,CarbonEmissions,-0.011
0.02285,0.02588,-0.01141,2053,CarbonEmissions,-0.01172
0.02184,0.02493,-0.01178,2054,CarbonEmissions,-0.01178
0.02089,0.02397,-0.01178,2055,CarbonEmissions,-0.01179
0.01994,0.02304,-0.01179,2056,CarbonEmissions,-0.0118
0.01902,0.02206,-0.0118,2057,CarbonEmissions,-0.0118
0.01809,0.02109,-0.01181,2058,CarbonEmissions,-0.01181
0.01722,0.02006,-0.01182,2059,CarbonEmissions,-0.01182
0.01632,0.01905,-0.01182,2060,CarbonEmissions,-0.01182
0.01544,0.01798,-0.01183,2061,CarbonEmissions,-0.01183
0.01453,0.01692,-0.01183,2062,CarbonEmissions,-0.01184
0.01365,0.01582,-0.01184,2063,CarbonEmissions,-0.01184
0.01272,0.01474,-0.01184,2064,CarbonEmissions,-0.01184
0.01181,0.01362,-0.01185,2065,CarbonEmissions,-0.01185
0.01089,0.01254,-0.01185,2066,CarbonEmissions,-0.01185
0.00998,0.01144,-0.01185,2067,CarbonEmissions,-0.01186
0.00905,0.01038,-0.01186,2068,CarbonEmissions,-0.01186
0.00816,0.00928,-0.01186,2069,CarbonEmissions,-0.01186
0.00722,0.00818,-0.01186,2070,CarbonEmissions,-0.01186
0.00634,0.00711,-0.01186,2071,CarbonEmissions,-0.01187
0.00546,0.00598,-0.01187,2072,CarbonEmissions,-0.01187
0.00451,0.00487,-0.01187,2073,CarbonEmissions,-0.01187
0.0036,0.00377,-0.01187,2074,CarbonEmissions,-0.01187
0.00275,0.00272,-0.01187,2075,CarbonEmissions,-0.01187
0.00192,0.00156,-0.01187,2076,CarbonEmissions,-0.01187
0.00114,0.00047,-0.01187,2077,CarbonEmissions,-0.01187
0.00036,-0.00056,-0.01187,2078,CarbonEmissions,-0.01188
-0.0004,-0.0016,-0.01188,2079,CarbonEmissions,-0.01188
-0.00112,-0.00258,-0.01188,2080,CarbonEmissions,-0.01188
-0.0018,-0.00349,-0.01188,2081,CarbonEmissions,-0.01188
-0.0025,-0.00434,-0.01188,2082,CarbonEmissions,-0.01188
-0.00317,-0.00511,-0.01188,2083,CarbonEmissions,-0.01188
-0.00384,-0.00584,-0.01188,2084,CarbonEmissions,-0.01188
-0.00447,-0.00652,-0.01188,2085,CarbonEmissions,-0.01188
-0.00507,-0.00714,-0.01188,2086,CarbonEmissions,-0.01188
-0.00564,-0.00774,-0.01188,2087,CarbonEmissions,-0.01188
-0.00619,-0.00829,-0.01189,2088,CarbonEmissions,-0.01189
-0.00672,-0.00885,-0.01189,2089,CarbonEmissions,-0.01189
-0.00723,-0.00939,-0.01189,2090,CarbonEmissions,-0.01189
-0.00771,-0.00994,-0.01189,2091,CarbonEmissions,-0.01189
-0.00817,-0.01047,-0.01189,2092,CarbonEmissions,-0.01189
-0.00859,-0.01098,-0.01189,2093,CarbonEmissions,-0.01189
-0.009,-0.01142,-0.01189,2094,CarbonEmissions,-0.01189
-0.00939,-0.01172,-0.01189,2095,CarbonEmissions,-0.01189
-0.00976,-0.01172,-0.01189,2096,CarbonEmissions,-0.01189
-0.01012,-0.01172,-0.01189,2097,CarbonEmissions,-0.01189
-0.01045,-0.01173,-0.01189,2098,CarbonEmissions,-0.01189
-0.01079,-0.01173,-0.01189,2099,CarbonEmissions,-0.01189
-0.01111,-0.01173,-0.01189,2100,CarbonEmissions,-0.01189
1.409,1.409,1.409,2019,CarbonEmissions_per_capita,1.40912
1.367,1.367,1.367,2020,CarbonEmissions_per_capita,1.36731
1.275,1.275,1.275,2021,CarbonEmissions_per_capita,1.27463
1.248,1.248,1.248,2022,CarbonEmissions_per_capita,1.24794
1.283,1.283,1.283,2023,CarbonEmissions_per_capita,1.28276
1.279,1.279,1.279,2024,CarbonEmissions_per_capita,1.2791
1.249,1.249,1.216,2025,CarbonEmissions_per_capita,1.21595
1.225,1.225,1.149,2026,CarbonEmissions_per_capita,1.14857
1.201,1.202,1.071,2027,CarbonEmissions_per_capita,1.07089
1.17,1.17,0.976,2028,CarbonEmissions_per_capita,0.97534
1.143,1.144,0.881,2029,CarbonEmissions_per_capita,0.87887
1.118,1.121,0.786,2030,CarbonEmissions_per_capita,0.7828
1.093,1.099,0.695,2031,CarbonEmissions_per_capita,0.68989
1.066,1.075,0.605,2032,CarbonEmissions_per_capita,0.59818
1.04,1.05,0.516,2033,CarbonEmissions_per_capita,0.50687
1.012,1.024,0.424,2034,CarbonEmissions_per_capita,0.41432
0.985,0.999,0.357,2035,CarbonEmissions_per_capita,0.34581
0.956,0.975,0.282,2036,CarbonEmissions_per_capita,0.27044
0.929,0.952,0.209,2037,CarbonEmissions_per_capita,0.19646
0.903,0.928,0.137,2038,CarbonEmissions_per_capita,0.12477
0.875,0.905,0.073,2039,CarbonEmissions_per_capita,0.06
0.85,0.883,0.027,2040,CarbonEmissions_per_capita,0.0125
0.824,0.863,-0.012,2041,CarbonEmissions_per_capita,-0.02709
0.799,0.842,-0.043,2042,CarbonEmissions_per_capita,-0.05847
0.775,0.822,-0.069,2043,CarbonEmissions_per_capita,-0.08556
0.75,0.801,-0.092,2044,CarbonEmissions_per_capita,-0.10955
0.727,0.781,-0.113,2045,CarbonEmissions_per_capita,-0.13132
0.705,0.761,-0.132,2046,CarbonEmissions_per_capita,-0.1504
0.683,0.741,-0.151,2047,CarbonEmissions_per_capita,-0.16872
0.662,0.721,-0.17,2048,CarbonEmissions_per_capita,-0.18758
0.641,0.702,-0.192,2049,CarbonEmissions_per_capita,-0.20805
0.622,0.687,-0.21,2050,CarbonEmissions_per_capita,-0.22471
0.6,0.668,-0.233,2051,CarbonEmissions_per_capita,-0.24649
0.579,0.649,-0.255,2052,CarbonEmissions_per_capita,-0.26684
0.559,0.631,-0.278,2053,CarbonEmissions_per_capita,-0.28677
0.539,0.613,-0.29,2054,CarbonEmissions_per_capita,-0.29071
0.52,0.595,-0.292,2055,CarbonEmissions_per_capita,-0.29356
0.501,0.577,-0.295,2056,CarbonEmissions_per_capita,-0.29647
0.483,0.558,-0.298,2057,CarbonEmissions_per_capita,-0.29951
0.464,0.538,-0.301,2058,CarbonEmissions_per_capita,-0.30262
0.446,0.517,-0.304,2059,CarbonEmissions_per_capita,-0.30582
0.427,0.496,-0.308,2060,CarbonEmissions_per_capita,-0.30908
0.408,0.473,-0.311,2061,CarbonEmissions_per_capita,-0.31241
0.388,0.45,-0.314,2062,CarbonEmissions_per_capita,-0.31579
0.368,0.425,-0.318,2063,CarbonEmissions_per_capita,-0.31923
0.347,0.4,-0.321,2064,CarbonEmissions_per_capita,-0.32271
0.325,0.373,-0.325,2065,CarbonEmissions_per_capita,-0.32624
0.303,0.348,-0.328,2066,CarbonEmissions_per_capita,-0.32979
0.281,0.32,-0.332,2067,CarbonEmissions_per_capita,-0.33337
0.257,0.294,-0.335,2068,CarbonEmissions_per_capita,-0.33698
0.234,0.265,-0.339,2069,CarbonEmissions_per_capita,-0.3406
0.209,0.237,-0.343,2070,CarbonEmissions_per_capita,-0.34422
0.186,0.208,-0.346,2071,CarbonEmissions_per_capita,-0.34785
0.162,0.176,-0.35,2072,CarbonEmissions_per_capita,-0.35148
0.135,0.145,-0.354,2073,CarbonEmissions_per_capita,-0.35509
0.109,0.114,-0.357,2074,CarbonEmissions_per_capita,-0.3587
0.084,0.083,-0.361,2075,CarbonEmissions_per_capita,-0.36229
0.059,0.048,-0.364,2076,CarbonEmissions_per_capita,-0.36585
0.035,0.014,-0.368,2077,CarbonEmissions_per_capita,-0.36939
0.011,-0.018,-0.371,2078,CarbonEmissions_per_capita,-0.37289
-0.013,-0.05,-0.375,2079,CarbonEmissions_per_capita,-0.37635
-0.036,-0.082,-0.378,2080,CarbonEmissions_per_capita,-0.37976
-0.058,-0.112,-0.382,2081,CarbonEmissions_per_capita,-0.38313
-0.081,-0.141,-0.385,2082,CarbonEmissions_per_capita,-0.38647
-0.104,-0.167,-0.389,2083,CarbonEmissions_per_capita,-0.38978
-0.127,-0.193,-0.392,2084,CarbonEmissions_per_capita,-0.39307
-0.149,-0.217,-0.395,2085,CarbonEmissions_per_capita,-0.39637
-0.171,-0.239,-0.398,2086,CarbonEmissions_per_capita,-0.39965
-0.191,-0.262,-0.402,2087,CarbonEmissions_per_capita,-0.40295
-0.212,-0.283,-0.405,2088,CarbonEmissions_per_capita,-0.40624
-0.232,-0.304,-0.408,2089,CarbonEmissions_per_capita,-0.40957
-0.251,-0.325,-0.412,2090,CarbonEmissions_per_capita,-0.41291
-0.27,-0.347,-0.415,2091,CarbonEmissions_per_capita,-0.41628
-0.288,-0.369,-0.419,2092,CarbonEmissions_per_capita,-0.4197
-0.306,-0.39,-0.422,2093,CarbonEmissions_per_capita,-0.42314
-0.323,-0.409,-0.426,2094,CarbonEmissions_per_capita,-0.42661
-0.339,-0.423,-0.429,2095,CarbonEmissions_per_capita,-0.43011
-0.356,-0.426,-0.433,2096,CarbonEmissions_per_capita,-0.43363
-0.372,-0.43,-0.436,2097,CarbonEmissions_per_capita,-0.43719
-0.387,-0.434,-0.44,2098,CarbonEmissions_per_capita,-0.44078
-0.403,-0.437,-0.443,2099,CarbonEmissions_per_capita,-0.4444
-0.419,-0.441,-0.447,2100,CarbonEmissions_per_capita,-0.44808
2.39165,2.39165,2.39165,2019,ChildMort5Yrs,2.39165
2.52427,2.52427,2.52427,2020,ChildMort5Yrs,2.52427
2.39265,2.39265,2.39265,2021,ChildMort5Yrs,2.39265
2.29493,2.29493,2.29493,2022,ChildMort5Yrs,2.29493
2.26072,2.26072,2.26072,2023,ChildMort5Yrs,2.26072
2.24188,2.24188,2.24188,2024,ChildMort5Yrs,2.24188
2.19243,2.19204,2.19201,2025,ChildMort5Yrs,2.19239
2.1395,2.13811,2.1381,2026,ChildMort5Yrs,2.1395
2.08946,2.0844,2.08446,2027,ChildMort5Yrs,2.08949
2.03986,2.03073,2.03006,2028,ChildMort5Yrs,2.03908
1.98932,1.9757,1.97391,2029,ChildMort5Yrs,1.98729
1.94189,1.92353,1.92023,2030,ChildMort5Yrs,1.9383
1.89718,1.87405,1.86921,2031,ChildMort5Yrs,1.89203
1.85439,1.82646,1.82029,2032,ChildMort5Yrs,1.8479
1.81272,1.77974,1.77245,2033,ChildMort5Yrs,1.80513
1.77158,1.73329,1.72518,2034,ChildMort5Yrs,1.76323
1.73058,1.68672,1.67905,2035,ChildMort5Yrs,1.72268
1.69003,1.64046,1.63222,2036,ChildMort5Yrs,1.68157
1.64974,1.5942,1.5857,2037,ChildMort5Yrs,1.64098
1.60948,1.54797,1.53939,2038,ChildMort5Yrs,1.6006
1.56927,1.50244,1.49384,2039,ChildMort5Yrs,1.56053
1.52863,1.4568,1.44836,2040,ChildMort5Yrs,1.51968
1.48839,1.41207,1.40361,2041,ChildMort5Yrs,1.47971
1.44952,1.36864,1.36037,2042,ChildMort5Yrs,1.44075
1.41196,1.32696,1.31871,2043,ChildMort5Yrs,1.40276
1.37564,1.28717,1.27889,2044,ChildMort5Yrs,1.36612
1.33951,1.24812,1.23983,2045,ChildMort5Yrs,1.32975
1.30437,1.21057,1.20232,2046,ChildMort5Yrs,1.29455
1.27056,1.17477,1.16659,2047,ChildMort5Yrs,1.26088
1.23836,1.14091,1.13361,2048,ChildMort5Yrs,1.22902
1.207,1.10994,1.10294,2049,ChildMort5Yrs,1.19759
1.17955,1.08301,1.07594,2050,ChildMort5Yrs,1.17061
1.15341,1.05703,1.04976,2051,ChildMort5Yrs,1.14477
1.12843,1.03172,1.02455,2052,ChildMort5Yrs,1.12033
1.10461,1.00712,1.00003,2053,ChildMort5Yrs,1.09697
1.08177,0.98308,0.97624,2054,ChildMort5Yrs,1.07459
1.06107,0.96099,0.95454,2055,ChildMort5Yrs,1.0543
1.04115,0.93969,0.93364,2056,ChildMort5Yrs,1.03474
1.0217,0.9189,0.91304,2057,ChildMort5Yrs,1.01584
1.00283,0.8984,0.89291,2058,ChildMort5Yrs,0.99694
0.98346,0.87804,0.87263,2059,ChildMort5Yrs,0.9772
0.96417,0.85829,0.8531,2060,ChildMort5Yrs,0.95791
0.94484,0.83885,0.83384,2061,ChildMort5Yrs,0.93828
0.92549,0.81972,0.81487,2062,ChildMort5Yrs,0.91885
0.90618,0.80088,0.79622,2063,ChildMort5Yrs,0.8995
0.88701,0.78235,0.77784,2064,ChildMort5Yrs,0.88032
0.86827,0.76434,0.76009,2065,ChildMort5Yrs,0.86171
0.84976,0.74669,0.7426,2066,ChildMort5Yrs,0.84319
0.83153,0.72945,0.72557,2067,ChildMort5Yrs,0.8251
0.81371,0.71269,0.70902,2068,ChildMort5Yrs,0.80748
0.79641,0.69648,0.69305,2069,ChildMort5Yrs,0.7904
0.77943,0.68073,0.67752,2070,ChildMort5Yrs,0.77368
0.76291,0.66549,0.66246,2071,ChildMort5Yrs,0.7574
0.7468,0.65075,0.64792,2072,ChildMort5Yrs,0.7416
0.73111,0.63647,0.63374,2073,ChildMort5Yrs,0.72615
0.71584,0.62261,0.61997,2074,ChildMort5Yrs,0.71109
0.70105,0.60921,0.60653,2075,ChildMort5Yrs,0.69645
0.68682,0.59637,0.59376,2076,ChildMort5Yrs,0.68237
0.67317,0.58412,0.58139,2077,ChildMort5Yrs,0.66872
0.66008,0.57241,0.56969,2078,ChildMort5Yrs,0.65575
0.6475,0.56119,0.55835,2079,ChildMort5Yrs,0.64312
0.63542,0.55042,0.54754,2080,ChildMort5Yrs,0.63107
0.6239,0.54011,0.53713,2081,ChildMort5Yrs,0.61945
0.61288,0.53024,0.52725,2082,ChildMort5Yrs,0.60843
0.60234,0.52079,0.51779,2083,ChildMort5Yrs,0.59779
0.59225,0.51173,0.50875,2084,ChildMort5Yrs,0.58767
0.58236,0.50285,0.49993,2085,ChildMort5Yrs,0.57777
0.57275,0.49423,0.49141,2086,ChildMort5Yrs,0.56817
0.56343,0.48588,0.48319,2087,ChildMort5Yrs,0.55888
0.55439,0.47779,0.47529,2088,ChildMort5Yrs,0.54987
0.5456,0.46998,0.46765,2089,ChildMort5Yrs,0.54113
0.53704,0.46248,0.46033,2090,ChildMort5Yrs,0.53261
0.52862,0.45522,0.45317,2091,ChildMort5Yrs,0.52425
0.52034,0.4481,0.44613,2092,ChildMort5Yrs,0.51604
0.51219,0.44111,0.43924,2093,ChildMort5Yrs,0.50799
0.50416,0.43428,0.43249,2094,ChildMort5Yrs,0.50007
0.49625,0.42759,0.42585,2095,ChildMort5Yrs,0.49228
0.48847,0.42101,0.4193,2096,ChildMort5Yrs,0.48461
0.48081,0.41456,0.41286,2097,ChildMort5Yrs,0.47708
0.47331,0.40822,0.40653,2098,ChildMort5Yrs,0.4697
0.46601,0.402,0.40032,2099,ChildMort5Yrs,0.46247
0.45883,0.39588,0.39419,2100,ChildMort5Yrs,0.45535
0.83,0.83,0.83,2019,ENDEM,0.83022
0.822,0.822,0.822,2020,ENDEM,0.82192
0.791,0.791,0.791,2021,ENDEM,0.79116
0.778,0.778,0.778,2022,ENDEM,0.77772
0.784,0.784,0.784,2023,ENDEM,0.78358
0.787,0.787,0.787,2024,ENDEM,0.78729
0.786,0.786,0.775,2025,ENDEM,0.77507
0.787,0.787,0.765,2026,ENDEM,0.76545
0.788,0.788,0.756,2027,ENDEM,0.7561
0.787,0.788,0.746,2028,ENDEM,0.745
0.784,0.786,0.736,2029,ENDEM,0.7338
