Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00369,0.00369,0.00369,2019,CarbonEmissions,0.00369
0.00362,0.00362,0.00362,2020,CarbonEmissions,0.00362
0.00364,0.00364,0.00364,2021,CarbonEmissions,0.00364
0.0037,0.0037,0.0037,2022,CarbonEmissions,0.0037
0.00364,0.00364,0.00364,2023,CarbonEmissions,0.00364
0.00348,0.00348,0.00348,2024,CarbonEmissions,0.00348
0.00336,0.00336,0.00342,2025,CarbonEmissions,0.00342
0.00332,0.00332,0.0034,2026,CarbonEmissions,0.0034
0.00328,0.00328,0.00333,2027,CarbonEmissions,0.00333
0.00325,0.00324,0.00321,2028,CarbonEmissions,0.00321
0.00323,0.00322,0.00307,2029,CarbonEmissions,0.00307
0.00322,0.00322,0.00292,2030,CarbonEmissions,0.00293
0.0032,0.00321,0.00275,2031,CarbonEmissions,0.00275
0.00317,0.00319,0.0026,2032,CarbonEmissions,0.0026
0.00313,0.00316,0.00248,2033,CarbonEmissions,0.00247
0.00309,0.00313,0.00239,2034,CarbonEmissions,0.00236
0.00305,0.0031,0.0023,2035,CarbonEmissions,0.00227
0.003,0.00307,0.00223,2036,CarbonEmissions,0.00219
0.00296,0.00305,0.00221,2037,CarbonEmissions,0.00214
0.00292,0.00304,0.00219,2038,CarbonEmissions,0.0021
0.00289,0.00303,0.00214,2039,CarbonEmissions,0.00204
0.00287,0.00302,0.00208,2040,CarbonEmissions,0.00198
0.00285,0.00302,0.00199,2041,CarbonEmissions,0.00189
0.00283,0.00301,0.00189,2042,CarbonEmissions,0.00179
0.00281,0.003,0.00179,2043,CarbonEmissions,0.00168
0.00278,0.00298,0.00168,2044,CarbonEmissions,0.00158
0.00274,0.00295,0.00157,2045,CarbonEmissions,0.00147
0.00271,0.00292,0.00146,2046,CarbonEmissions,0.00136
0.00267,0.00289,0.00133,2047,CarbonEmissions,0.00124
0.00263,0.00286,0.00122,2048,CarbonEmissions,0.00113
0.0026,0.00283,0.00114,2049,CarbonEmissions,0.00105
0.00257,0.00281,0.00106,2050,CarbonEmissions,0.00097
0.00253,0.00279,0.001,2051,CarbonEmissions,0.00091
0.0025,0.00276,0.00096,2052,CarbonEmissions,0.00086
0.00246,0.00272,0.00093,2053,CarbonEmissions,0.00083
0.00242,0.00268,0.0009,2054,CarbonEmissions,0.0008
0.00239,0.00264,0.00087,2055,CarbonEmissions,0.00077
0.00235,0.0026,0.00084,2056,CarbonEmissions,0.00075
0.00232,0.00256,0.00079,2057,CarbonEmissions,0.00071
0.00228,0.00251,0.00074,2058,CarbonEmissions,0.00066
0.00224,0.00247,0.00068,2059,CarbonEmissions,0.00061
0.0022,0.00242,0.00061,2060,CarbonEmissions,0.00056
0.00216,0.00237,0.00054,2061,CarbonEmissions,0.0005
0.00212,0.00232,0.00048,2062,CarbonEmissions,0.00044
0.00208,0.00227,0.00042,2063,CarbonEmissions,0.00039
0.00204,0.00222,0.00036,2064,CarbonEmissions,0.00033
0.002,0.00217,0.0003,2065,CarbonEmissions,0.00028
0.00195,0.00212,0.00025,2066,CarbonEmissions,0.00023
0.00191,0.00207,0.00021,2067,CarbonEmissions,0.00019
0.00186,0.00201,0.00017,2068,CarbonEmissions,0.00015
0.0018,0.00194,0.00013,2069,CarbonEmissions,0.00011
0.00175,0.00188,0.0001,2070,CarbonEmissions,8e-05
0.00169,0.00181,0.00007,2071,CarbonEmissions,5e-05
0.00163,0.00173,0.00004,2072,CarbonEmissions,2e-05
0.00157,0.00167,0.00002,2073,CarbonEmissions,0.0
0.00151,0.0016,-0.00001,2074,CarbonEmissions,-2e-05
0.00145,0.00154,-0.00003,2075,CarbonEmissions,-5e-05
0.00139,0.00149,-0.00005,2076,CarbonEmissions,-7e-05
0.00134,0.00143,-0.00007,2077,CarbonEmissions,-9e-05
0.00128,0.00138,-0.00009,2078,CarbonEmissions,-0.0001
0.00123,0.00132,-0.00011,2079,CarbonEmissions,-0.00012
0.00118,0.00127,-0.00013,2080,CarbonEmissions,-0.00014
0.00113,0.00121,-0.00015,2081,CarbonEmissions,-0.00016
0.00108,0.00116,-0.00016,2082,CarbonEmissions,-0.00017
0.00103,0.0011,-0.00018,2083,CarbonEmissions,-0.00019
0.00098,0.00105,-0.00019,2084,CarbonEmissions,-0.0002
0.00093,0.001,-0.00021,2085,CarbonEmissions,-0.00021
0.00088,0.00095,-0.00022,2086,CarbonEmissions,-0.00023
0.00084,0.0009,-0.00023,2087,CarbonEmissions,-0.00024
0.00079,0.00085,-0.00025,2088,CarbonEmissions,-0.00025
0.00075,0.00081,-0.00026,2089,CarbonEmissions,-0.00026
0.00071,0.00077,-0.00027,2090,CarbonEmissions,-0.00027
0.00067,0.00073,-0.00028,2091,CarbonEmissions,-0.00028
0.00063,0.00069,-0.00029,2092,CarbonEmissions,-0.00029
0.0006,0.00065,-0.0003,2093,CarbonEmissions,-0.0003
0.00056,0.00061,-0.00031,2094,CarbonEmissions,-0.00031
0.00053,0.00057,-0.00031,2095,CarbonEmissions,-0.00032
0.00049,0.00054,-0.00032,2096,CarbonEmissions,-0.00033
0.00046,0.0005,-0.00033,2097,CarbonEmissions,-0.00033
0.00042,0.00047,-0.00034,2098,CarbonEmissions,-0.00034
0.00039,0.00043,-0.00034,2099,CarbonEmissions,-0.00034
0.00036,0.0004,-0.00035,2100,CarbonEmissions,-0.00035
2.784,2.784,2.784,2019,CarbonEmissions_per_capita,2.78372
2.725,2.725,2.725,2020,CarbonEmissions_per_capita,2.72462
2.738,2.738,2.738,2021,CarbonEmissions_per_capita,2.73788
2.784,2.784,2.784,2022,CarbonEmissions_per_capita,2.78405
2.748,2.748,2.748,2023,CarbonEmissions_per_capita,2.74832
2.64,2.64,2.64,2024,CarbonEmissions_per_capita,2.64006
2.565,2.565,2.611,2025,CarbonEmissions_per_capita,2.61089
2.542,2.542,2.605,2026,CarbonEmissions_per_capita,2.60509
2.528,2.528,2.566,2027,CarbonEmissions_per_capita,2.5665
2.513,2.509,2.482,2028,CarbonEmissions_per_capita,2.48531
2.51,2.506,2.384,2029,CarbonEmissions_per_capita,2.38912
2.514,2.512,2.282,2030,CarbonEmissions_per_capita,2.28604
2.515,2.519,2.157,2031,CarbonEmissions_per_capita,2.1585
2.505,2.516,2.054,2032,CarbonEmissions_per_capita,2.05127
2.488,2.509,1.97,2033,CarbonEmissions_per_capita,1.96123
2.468,2.497,1.904,2034,CarbonEmissions_per_capita,1.88819
2.448,2.485,1.844,2035,CarbonEmissions_per_capita,1.82072
2.426,2.475,1.798,2036,CarbonEmissions_per_capita,1.76578
2.407,2.471,1.795,2037,CarbonEmissions_per_capita,1.74055
2.388,2.476,1.784,2038,CarbonEmissions_per_capita,1.71075
2.373,2.48,1.755,2039,CarbonEmissions_per_capita,1.67538
2.371,2.489,1.713,2040,CarbonEmissions_per_capita,1.634
2.369,2.498,1.649,2041,CarbonEmissions_per_capita,1.56784
2.364,2.505,1.575,2042,CarbonEmissions_per_capita,1.4935
2.359,2.51,1.495,2043,CarbonEmissions_per_capita,1.41296
2.345,2.506,1.412,2044,CarbonEmissions_per_capita,1.33071
2.329,2.497,1.33,2045,CarbonEmissions_per_capita,1.24983
2.311,2.487,1.244,2046,CarbonEmissions_per_capita,1.16431
2.293,2.476,1.139,2047,CarbonEmissions_per_capita,1.06201
2.277,2.465,1.054,2048,CarbonEmissions_per_capita,0.97841
2.26,2.456,0.985,2049,CarbonEmissions_per_capita,0.9089
2.247,2.454,0.923,2050,CarbonEmissions_per_capita,0.84576
2.231,2.448,0.876,2051,CarbonEmissions_per_capita,0.79856
2.215,2.436,0.844,2052,CarbonEmissions_per_capita,0.76381
2.197,2.42,0.822,2053,CarbonEmissions_per_capita,0.73685
2.18,2.401,0.802,2054,CarbonEmissions_per_capita,0.71499
2.163,2.382,0.781,2055,CarbonEmissions_per_capita,0.69472
2.146,2.362,0.761,2056,CarbonEmissions_per_capita,0.67876
2.128,2.338,0.723,2057,CarbonEmissions_per_capita,0.64798
2.109,2.313,0.679,2058,CarbonEmissions_per_capita,0.6118
2.09,2.286,0.627,2059,CarbonEmissions_per_capita,0.56573
2.069,2.258,0.57,2060,CarbonEmissions_per_capita,0.52354
2.047,2.229,0.511,2061,CarbonEmissions_per_capita,0.47543
2.025,2.2,0.454,2062,CarbonEmissions_per_capita,0.42204
2.002,2.17,0.4,2063,CarbonEmissions_per_capita,0.36966
1.977,2.139,0.346,2064,CarbonEmissions_per_capita,0.3202
1.95,2.107,0.292,2065,CarbonEmissions_per_capita,0.26848
1.92,2.072,0.247,2066,CarbonEmissions_per_capita,0.22485
1.888,2.034,0.205,2067,CarbonEmissions_per_capita,0.18408
1.853,1.991,0.166,2068,CarbonEmissions_per_capita,0.14586
1.814,1.942,0.129,2069,CarbonEmissions_per_capita,0.10966
1.772,1.889,0.102,2070,CarbonEmissions_per_capita,0.08218
1.727,1.833,0.073,2071,CarbonEmissions_per_capita,0.05273
1.678,1.775,0.045,2072,CarbonEmissions_per_capita,0.02512
1.628,1.718,0.019,2073,CarbonEmissions_per_capita,-0.0009
1.577,1.666,-0.005,2074,CarbonEmissions_per_capita,-0.0258
1.528,1.617,-0.03,2075,CarbonEmissions_per_capita,-0.04926
1.48,1.57,-0.052,2076,CarbonEmissions_per_capita,-0.07076
1.433,1.525,-0.076,2077,CarbonEmissions_per_capita,-0.09325
1.385,1.478,-0.097,2078,CarbonEmissions_per_capita,-0.11323
1.338,1.429,-0.119,2079,CarbonEmissions_per_capita,-0.13424
1.292,1.38,-0.139,2080,CarbonEmissions_per_capita,-0.15344
1.246,1.331,-0.16,2081,CarbonEmissions_per_capita,-0.17308
1.199,1.28,-0.179,2082,CarbonEmissions_per_capita,-0.19125
1.153,1.23,-0.198,2083,CarbonEmissions_per_capita,-0.20992
1.106,1.181,-0.216,2084,CarbonEmissions_per_capita,-0.22762
1.059,1.132,-0.234,2085,CarbonEmissions_per_capita,-0.24492
1.013,1.084,-0.252,2086,CarbonEmissions_per_capita,-0.2617
