Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0004,0.0004,0.0004,2019,CarbonEmissions,0.0004
0.0004,0.0004,0.0004,2020,CarbonEmissions,0.0004
0.0004,0.0004,0.0004,2021,CarbonEmissions,0.0004
0.0004,0.0004,0.0004,2022,CarbonEmissions,0.0004
0.0004,0.0004,0.0004,2023,CarbonEmissions,0.0004
0.0005,0.0005,0.0005,2024,CarbonEmissions,0.0005
0.0005,0.0005,0.0005,2025,CarbonEmissions,0.0005
0.0005,0.0005,0.0006,2026,CarbonEmissions,0.0006
0.0006,0.0006,0.0006,2027,CarbonEmissions,0.0006
0.0006,0.0006,0.0006,2028,CarbonEmissions,0.0006
0.0006,0.0006,0.0006,2029,CarbonEmissions,0.0006
0.0006,0.0006,0.0006,2030,CarbonEmissions,0.0006
0.0007,0.0007,0.0006,2031,CarbonEmissions,0.0006
0.0007,0.0007,0.0006,2032,CarbonEmissions,0.0006
0.0007,0.0007,0.0006,2033,CarbonEmissions,0.0005
0.0007,0.0007,0.0006,2034,CarbonEmissions,0.0005
0.0007,0.0008,0.0006,2035,CarbonEmissions,0.0005
0.0008,0.0008,0.0006,2036,CarbonEmissions,0.0005
0.0008,0.0008,0.0005,2037,CarbonEmissions,0.0005
0.0008,0.0008,0.0005,2038,CarbonEmissions,0.0005
0.0008,0.0008,0.0005,2039,CarbonEmissions,0.0005
0.0008,0.0009,0.0005,2040,CarbonEmissions,0.0005
0.0008,0.0009,0.0004,2041,CarbonEmissions,0.0004
0.0008,0.0009,0.0004,2042,CarbonEmissions,0.0004
0.0009,0.0009,0.0004,2043,CarbonEmissions,0.0004
0.0009,0.0009,0.0003,2044,CarbonEmissions,0.0003
0.0009,0.0009,0.0003,2045,CarbonEmissions,0.0003
0.0009,0.0009,0.0003,2046,CarbonEmissions,0.0003
0.0008,0.0009,0.0003,2047,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2048,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2049,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2050,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2051,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2052,CarbonEmissions,0.0002
0.0008,0.0009,0.0002,2053,CarbonEmissions,0.0002
