Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00118,0.00118,0.0012,2019,CarbonEmissions,0.0012
0.0013,0.0013,0.0013,2020,CarbonEmissions,0.0013
0.00138,0.00138,0.0014,2021,CarbonEmissions,0.0014
0.00144,0.00144,0.0014,2022,CarbonEmissions,0.0014
0.00153,0.00153,0.0015,2023,CarbonEmissions,0.0015
0.00159,0.00159,0.0016,2024,CarbonEmissions,0.0016
0.00166,0.00166,0.0017,2025,CarbonEmissions,0.0017
0.00172,0.00172,0.0018,2026,CarbonEmissions,0.0018
0.0018,0.0018,0.0019,2027,CarbonEmissions,0.0019
0.00188,0.00188,0.0019,2028,CarbonEmissions,0.0019
0.00197,0.00197,0.0019,2029,CarbonEmissions,0.0019
0.00208,0.00207,0.002,2030,CarbonEmissions,0.002
0.00218,0.00218,0.002,2031,CarbonEmissions,0.002
0.00227,0.00228,0.002,2032,CarbonEmissions,0.002
0.00236,0.00237,0.002,2033,CarbonEmissions,0.002
0.00244,0.00246,0.0021,2034,CarbonEmissions,0.0021
0.00252,0.00254,0.0021,2035,CarbonEmissions,0.0021
0.0026,0.00263,0.0022,2036,CarbonEmissions,0.0022
0.00268,0.00272,0.0023,2037,CarbonEmissions,0.0022
0.00276,0.00281,0.0023,2038,CarbonEmissions,0.0022
0.00285,0.0029,0.0023,2039,CarbonEmissions,0.0023
0.00295,0.003,0.0023,2040,CarbonEmissions,0.0022
0.00305,0.00311,0.0023,2041,CarbonEmissions,0.0022
0.00316,0.00322,0.0022,2042,CarbonEmissions,0.0022
0.00326,0.00334,0.0022,2043,CarbonEmissions,0.0022
0.00336,0.00344,0.0022,2044,CarbonEmissions,0.0021
0.00345,0.00354,0.0021,2045,CarbonEmissions,0.0021
0.00354,0.00364,0.0021,2046,CarbonEmissions,0.002
0.00363,0.00374,0.0021,2047,CarbonEmissions,0.002
0.00373,0.00384,0.0021,2048,CarbonEmissions,0.0021
0.00382,0.00394,0.0021,2049,CarbonEmissions,0.0021
0.00392,0.00406,0.0022,2050,CarbonEmissions,0.0021
0.00402,0.00418,0.0022,2051,CarbonEmissions,0.0021
0.00412,0.0043,0.0022,2052,CarbonEmissions,0.0021
0.00423,0.00441,0.0022,2053,CarbonEmissions,0.0022
0.00434,0.00452,0.0023,2054,CarbonEmissions,0.0022
0.00445,0.00464,0.0023,2055,CarbonEmissions,0.0022
0.00456,0.00475,0.0023,2056,CarbonEmissions,0.0022
0.00467,0.00487,0.0022,2057,CarbonEmissions,0.0021
0.00478,0.00499,0.0021,2058,CarbonEmissions,0.0021
0.00488,0.00511,0.002,2059,CarbonEmissions,0.002
0.00498,0.00523,0.002,2060,CarbonEmissions,0.0019
0.00508,0.00535,0.0019,2061,CarbonEmissions,0.0018
0.00518,0.00547,0.0018,2062,CarbonEmissions,0.0017
0.00528,0.0056,0.0017,2063,CarbonEmissions,0.0016
0.00538,0.00573,0.0016,2064,CarbonEmissions,0.0015
0.00549,0.00587,0.0015,2065,CarbonEmissions,0.0014
0.0056,0.00602,0.0014,2066,CarbonEmissions,0.0013
0.00572,0.00616,0.0013,2067,CarbonEmissions,0.0012
0.00583,0.00629,0.0013,2068,CarbonEmissions,0.0012
0.00595,0.00642,0.0012,2069,CarbonEmissions,0.0011
0.00605,0.00653,0.0011,2070,CarbonEmissions,0.001
0.00614,0.00663,0.0011,2071,CarbonEmissions,0.0009
0.00622,0.00671,0.001,2072,CarbonEmissions,0.0009
0.00628,0.00675,0.0009,2073,CarbonEmissions,0.0008
0.00633,0.00682,0.0009,2074,CarbonEmissions,0.0007
0.00637,0.00689,0.0008,2075,CarbonEmissions,0.0007
0.00641,0.00695,0.0007,2076,CarbonEmissions,0.0006
0.00645,0.00702,0.0007,2077,CarbonEmissions,0.0006
0.00644,0.00705,0.0006,2078,CarbonEmissions,0.0005
0.00648,0.00706,0.0005,2079,CarbonEmissions,0.0004
0.00648,0.00706,0.0005,2080,CarbonEmissions,0.0004
0.00647,0.00706,0.0004,2081,CarbonEmissions,0.0003
0.00646,0.00705,0.0004,2082,CarbonEmissions,0.0003
0.00643,0.00703,0.0003,2083,CarbonEmissions,0.0002
0.00639,0.007,0.0003,2084,CarbonEmissions,0.0002
0.00634,0.00695,0.0002,2085,CarbonEmissions,0.0002
0.00628,0.00689,0.0002,2086,CarbonEmissions,0.0001
0.00622,0.00682,0.0002,2087,CarbonEmissions,0.0001
0.00615,0.00675,0.0001,2088,CarbonEmissions,0.0001
0.00609,0.00668,0.0001,2089,CarbonEmissions,0.0
0.00604,0.00661,0,2090,CarbonEmissions,0.0
0.00599,0.00653,0,2091,CarbonEmissions,0.0
0.00593,0.00645,0,2092,CarbonEmissions,-0.0001
0.00588,0.00635,0,2093,CarbonEmissions,-0.0001
0.00581,0.00625,-0.0001,2094,CarbonEmissions,-0.0001
0.00574,0.0061,-0.0001,2095,CarbonEmissions,-0.0001
0.00566,0.00594,-0.0001,2096,CarbonEmissions,-0.0001
0.00556,0.00577,-0.0001,2097,CarbonEmissions,-0.0001
0.00546,0.00558,-0.0001,2098,CarbonEmissions,-0.0002
0.00534,0.00539,-0.0001,2099,CarbonEmissions,-0.0002
0.00521,0.0052,-0.0002,2100,CarbonEmissions,-0.0002
0.525,0.525,0.525,2019,CarbonEmissions_per_capita,0.52479
0.566,0.566,0.566,2020,CarbonEmissions_per_capita,0.56616
0.591,0.591,0.591,2021,CarbonEmissions_per_capita,0.59148
0.604,0.604,0.604,2022,CarbonEmissions_per_capita,0.60428
0.627,0.627,0.627,2023,CarbonEmissions_per_capita,0.6272
0.639,0.639,0.639,2024,CarbonEmissions_per_capita,0.63854
0.652,0.652,0.669,2025,CarbonEmissions_per_capita,0.66876
0.664,0.664,0.691,2026,CarbonEmissions_per_capita,0.6913
0.68,0.68,0.705,2027,CarbonEmissions_per_capita,0.70572
0.697,0.696,0.706,2028,CarbonEmissions_per_capita,0.70739
0.717,0.715,0.702,2029,CarbonEmissions_per_capita,0.70396
0.74,0.739,0.698,2030,CarbonEmissions_per_capita,0.69957
0.762,0.762,0.687,2031,CarbonEmissions_per_capita,0.68743
0.779,0.782,0.682,2032,CarbonEmissions_per_capita,0.68186
0.794,0.8,0.683,2033,CarbonEmissions_per_capita,0.68146
0.807,0.814,0.69,2034,CarbonEmissions_per_capita,0.68626
0.818,0.828,0.695,2035,CarbonEmissions_per_capita,0.68845
0.829,0.842,0.705,2036,CarbonEmissions_per_capita,0.69479
0.84,0.856,0.708,2037,CarbonEmissions_per_capita,0.69506
0.85,0.868,0.708,2038,CarbonEmissions_per_capita,0.69192
