Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00123,0.00123,0.00123,2019,CarbonEmissions,0.00123
0.00141,0.00141,0.00141,2020,CarbonEmissions,0.00141
0.00156,0.00156,0.00156,2021,CarbonEmissions,0.00156
0.00169,0.00169,0.00169,2022,CarbonEmissions,0.00169
0.00182,0.00182,0.00182,2023,CarbonEmissions,0.00182
0.00195,0.00195,0.00195,2024,CarbonEmissions,0.00195
0.00206,0.00206,0.00213,2025,CarbonEmissions,0.00213
0.0022,0.0022,0.00233,2026,CarbonEmissions,0.00233
0.00236,0.00236,0.00251,2027,CarbonEmissions,0.00252
0.0025,0.0025,0.00264,2028,CarbonEmissions,0.00264
0.00267,0.00267,0.00277,2029,CarbonEmissions,0.00277
0.00285,0.00286,0.00289,2030,CarbonEmissions,0.00288
0.00304,0.00306,0.00298,2031,CarbonEmissions,0.00296
0.00322,0.00325,0.00309,2032,CarbonEmissions,0.00307
0.00341,0.00346,0.00323,2033,CarbonEmissions,0.0032
0.0036,0.00366,0.0034,2034,CarbonEmissions,0.00336
0.0038,0.00388,0.00358,2035,CarbonEmissions,0.00351
0.00401,0.00411,0.00377,2036,CarbonEmissions,0.00369
0.00423,0.00436,0.00404,2037,CarbonEmissions,0.00393
0.00447,0.00461,0.00429,2038,CarbonEmissions,0.00416
0.00472,0.00488,0.00451,2039,CarbonEmissions,0.00436
0.00498,0.00515,0.00468,2040,CarbonEmissions,0.00451
0.00525,0.00544,0.00483,2041,CarbonEmissions,0.00464
0.00552,0.00573,0.00497,2042,CarbonEmissions,0.00475
0.0058,0.00603,0.00509,2043,CarbonEmissions,0.00484
0.00606,0.00629,0.0052,2044,CarbonEmissions,0.00491
0.00631,0.00657,0.00529,2045,CarbonEmissions,0.00496
0.00656,0.00684,0.00534,2046,CarbonEmissions,0.00497
0.0068,0.0071,0.00528,2047,CarbonEmissions,0.00489
0.00706,0.00736,0.00525,2048,CarbonEmissions,0.00482
0.00733,0.00764,0.00523,2049,CarbonEmissions,0.00476
0.00759,0.00795,0.0052,2050,CarbonEmissions,0.0047
0.00782,0.00822,0.00524,2051,CarbonEmissions,0.0047
0.00805,0.00847,0.00533,2052,CarbonEmissions,0.00474
0.00826,0.00869,0.00542,2053,CarbonEmissions,0.00482
0.00844,0.00889,0.00546,2054,CarbonEmissions,0.00493
0.00863,0.00907,0.00546,2055,CarbonEmissions,0.00502
0.00883,0.00923,0.00541,2056,CarbonEmissions,0.00507
0.00903,0.00943,0.00531,2057,CarbonEmissions,0.00506
0.00924,0.00969,0.00519,2058,CarbonEmissions,0.00498
0.00945,0.00997,0.00504,2059,CarbonEmissions,0.00487
0.00968,0.01024,0.0049,2060,CarbonEmissions,0.00475
0.00993,0.01054,0.00474,2061,CarbonEmissions,0.00461
0.0102,0.01089,0.00459,2062,CarbonEmissions,0.00446
0.0105,0.01127,0.00445,2063,CarbonEmissions,0.00431
0.01081,0.0117,0.00431,2064,CarbonEmissions,0.00417
0.01116,0.01215,0.00419,2065,CarbonEmissions,0.00404
0.01152,0.01265,0.00409,2066,CarbonEmissions,0.00394
0.0119,0.01317,0.004,2067,CarbonEmissions,0.00384
0.01229,0.01372,0.00391,2068,CarbonEmissions,0.00373
0.01268,0.01426,0.00381,2069,CarbonEmissions,0.00363
0.01305,0.01481,0.0037,2070,CarbonEmissions,0.00351
0.01343,0.01535,0.0036,2071,CarbonEmissions,0.00341
0.01379,0.01585,0.00348,2072,CarbonEmissions,0.0033
0.01411,0.01634,0.00336,2073,CarbonEmissions,0.00319
0.0144,0.01683,0.00327,2074,CarbonEmissions,0.0031
0.01468,0.01733,0.00317,2075,CarbonEmissions,0.00301
0.01495,0.01779,0.00307,2076,CarbonEmissions,0.00291
0.01519,0.01823,0.00298,2077,CarbonEmissions,0.00281
0.01539,0.01862,0.0029,2078,CarbonEmissions,0.00271
0.01556,0.01895,0.00285,2079,CarbonEmissions,0.00262
0.0157,0.01925,0.00281,2080,CarbonEmissions,0.00253
0.01582,0.01952,0.00279,2081,CarbonEmissions,0.00245
0.01589,0.01975,0.00277,2082,CarbonEmissions,0.00239
0.01593,0.01995,0.00276,2083,CarbonEmissions,0.00235
0.01595,0.02012,0.00276,2084,CarbonEmissions,0.00231
0.01597,0.02026,0.00275,2085,CarbonEmissions,0.00227
0.01596,0.02037,0.00275,2086,CarbonEmissions,0.00224
0.01594,0.02046,0.00274,2087,CarbonEmissions,0.0022
0.01591,0.02051,0.00274,2088,CarbonEmissions,0.00217
0.01587,0.02055,0.00273,2089,CarbonEmissions,0.00213
0.01582,0.02054,0.00272,2090,CarbonEmissions,0.0021
0.01575,0.02045,0.0027,2091,CarbonEmissions,0.00207
0.01564,0.02029,0.00268,2092,CarbonEmissions,0.00203
0.01553,0.02001,0.00265,2093,CarbonEmissions,0.002
0.01539,0.01965,0.00262,2094,CarbonEmissions,0.00196
0.01522,0.01919,0.00258,2095,CarbonEmissions,0.00194
0.01502,0.01852,0.00254,2096,CarbonEmissions,0.00192
0.01479,0.01783,0.0025,2097,CarbonEmissions,0.00189
0.01455,0.01714,0.00248,2098,CarbonEmissions,0.00187
0.01428,0.01646,0.00239,2099,CarbonEmissions,0.00181
0.01396,0.01575,0.00233,2100,CarbonEmissions,0.00175
0.095,0.095,0.095,2019,CarbonEmissions_per_capita,0.09536
0.107,0.107,0.107,2020,CarbonEmissions_per_capita,0.10656
0.115,0.115,0.115,2021,CarbonEmissions_per_capita,0.11527
0.121,0.121,0.121,2022,CarbonEmissions_per_capita,0.12122
0.128,0.128,0.128,2023,CarbonEmissions_per_capita,0.12765
0.133,0.133,0.133,2024,CarbonEmissions_per_capita,0.13295
0.137,0.137,0.142,2025,CarbonEmissions_per_capita,0.14192
0.143,0.143,0.151,2026,CarbonEmissions_per_capita,0.1513
0.149,0.149,0.159,2027,CarbonEmissions_per_capita,0.15928
0.154,0.154,0.163,2028,CarbonEmissions_per_capita,0.16308
0.161,0.161,0.167,2029,CarbonEmissions_per_capita,0.16669
0.168,0.168,0.17,2030,CarbonEmissions_per_capita,0.1695
