Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00019,0.00019,0.0002,2019,CarbonEmissions,0.0002
0.00022,0.00022,0.0002,2020,CarbonEmissions,0.0002
0.00024,0.00024,0.0002,2021,CarbonEmissions,0.0002
0.00026,0.00026,0.0003,2022,CarbonEmissions,0.0003
0.00027,0.00027,0.0003,2023,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2024,CarbonEmissions,0.0003
0.00032,0.00032,0.0003,2025,CarbonEmissions,0.0003
0.00035,0.00034,0.0004,2026,CarbonEmissions,0.0004
0.00037,0.00037,0.0004,2027,CarbonEmissions,0.0004
0.00039,0.00039,0.0004,2028,CarbonEmissions,0.0004
0.00042,0.00042,0.0004,2029,CarbonEmissions,0.0004
0.00046,0.00046,0.0004,2030,CarbonEmissions,0.0004
0.00049,0.00049,0.0005,2031,CarbonEmissions,0.0005
0.00052,0.00053,0.0005,2032,CarbonEmissions,0.0005
0.00055,0.00056,0.0005,2033,CarbonEmissions,0.0005
0.00058,0.00059,0.0005,2034,CarbonEmissions,0.0005
0.00061,0.00063,0.0006,2035,CarbonEmissions,0.0005
0.00064,0.00066,0.0006,2036,CarbonEmissions,0.0006
0.00068,0.0007,0.0006,2037,CarbonEmissions,0.0006
0.00071,0.00074,0.0006,2038,CarbonEmissions,0.0006
0.00075,0.00078,0.0007,2039,CarbonEmissions,0.0006
0.00079,0.00082,0.0007,2040,CarbonEmissions,0.0007
0.00083,0.00087,0.0007,2041,CarbonEmissions,0.0007
0.00087,0.00091,0.0007,2042,CarbonEmissions,0.0007
0.00091,0.00096,0.0007,2043,CarbonEmissions,0.0007
0.00095,0.001,0.0007,2044,CarbonEmissions,0.0007
0.00099,0.00104,0.0007,2045,CarbonEmissions,0.0007
0.00103,0.00108,0.0007,2046,CarbonEmissions,0.0007
0.00107,0.00113,0.0007,2047,CarbonEmissions,0.0006
0.00111,0.00117,0.0007,2048,CarbonEmissions,0.0006
0.00116,0.00122,0.0007,2049,CarbonEmissions,0.0006
0.00121,0.00128,0.0007,2050,CarbonEmissions,0.0006
0.00125,0.00133,0.0007,2051,CarbonEmissions,0.0006
0.0013,0.00139,0.0007,2052,CarbonEmissions,0.0006
0.00136,0.00145,0.0007,2053,CarbonEmissions,0.0006
0.00141,0.00151,0.0007,2054,CarbonEmissions,0.0006
0.00147,0.00157,0.0007,2055,CarbonEmissions,0.0006
0.00153,0.00164,0.0007,2056,CarbonEmissions,0.0007
0.00159,0.00171,0.0007,2057,CarbonEmissions,0.0007
0.00166,0.00179,0.0007,2058,CarbonEmissions,0.0006
0.00173,0.00186,0.0007,2059,CarbonEmissions,0.0006
0.00179,0.00194,0.0007,2060,CarbonEmissions,0.0006
0.00186,0.00202,0.0006,2061,CarbonEmissions,0.0006
0.00193,0.00209,0.0006,2062,CarbonEmissions,0.0006
0.002,0.00217,0.0006,2063,CarbonEmissions,0.0006
0.00207,0.00225,0.0006,2064,CarbonEmissions,0.0006
0.00214,0.00233,0.0006,2065,CarbonEmissions,0.0006
0.00221,0.00241,0.0006,2066,CarbonEmissions,0.0006
0.00228,0.00249,0.0006,2067,CarbonEmissions,0.0006
0.00234,0.00256,0.0006,2068,CarbonEmissions,0.0005
0.00241,0.00263,0.0006,2069,CarbonEmissions,0.0005
0.00247,0.00269,0.0005,2070,CarbonEmissions,0.0005
0.00252,0.00275,0.0005,2071,CarbonEmissions,0.0005
0.00257,0.0028,0.0005,2072,CarbonEmissions,0.0005
0.00262,0.00285,0.0005,2073,CarbonEmissions,0.0005
0.00267,0.00291,0.0005,2074,CarbonEmissions,0.0005
0.00271,0.00296,0.0005,2075,CarbonEmissions,0.0005
0.00276,0.00302,0.0005,2076,CarbonEmissions,0.0005
0.0028,0.00307,0.0005,2077,CarbonEmissions,0.0004
0.00284,0.00313,0.0005,2078,CarbonEmissions,0.0004
0.00287,0.00318,0.0005,2079,CarbonEmissions,0.0004
0.00291,0.00323,0.0005,2080,CarbonEmissions,0.0004
0.00295,0.00328,0.0005,2081,CarbonEmissions,0.0004
0.00298,0.00333,0.0005,2082,CarbonEmissions,0.0004
0.00301,0.00338,0.0005,2083,CarbonEmissions,0.0004
0.00304,0.00343,0.0005,2084,CarbonEmissions,0.0004
0.00308,0.00348,0.0005,2085,CarbonEmissions,0.0004
0.00311,0.00353,0.0005,2086,CarbonEmissions,0.0004
0.00314,0.00358,0.0005,2087,CarbonEmissions,0.0005
0.00318,0.00364,0.0005,2088,CarbonEmissions,0.0005
0.00321,0.00369,0.0005,2089,CarbonEmissions,0.0005
0.00324,0.00375,0.0005,2090,CarbonEmissions,0.0005
0.00328,0.00379,0.0005,2091,CarbonEmissions,0.0005
0.0033,0.00384,0.0005,2092,CarbonEmissions,0.0005
0.00333,0.00388,0.0005,2093,CarbonEmissions,0.0005
0.00336,0.00392,0.0005,2094,CarbonEmissions,0.0005
0.00338,0.00395,0.0006,2095,CarbonEmissions,0.0005
0.00341,0.00397,0.0006,2096,CarbonEmissions,0.0005
0.00344,0.00399,0.0006,2097,CarbonEmissions,0.0005
0.00347,0.004,0.0006,2098,CarbonEmissions,0.0005
0.0035,0.00402,0.0006,2099,CarbonEmissions,0.0005
