Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0001,0.0001,0.0001,2019,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2020,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2021,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2022,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2023,CarbonEmissions,0.0001
0.0002,0.0002,0.0002,2024,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2025,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2026,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2027,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2028,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2029,CarbonEmissions,0.0002
0.0002,0.0003,0.0002,2030,CarbonEmissions,0.0002
0.0003,0.0003,0.0002,2031,CarbonEmissions,0.0002
0.0003,0.0003,0.0003,2032,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2033,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2034,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2035,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2036,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2037,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2038,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2039,CarbonEmissions,0.0003
0.0004,0.0005,0.0003,2040,CarbonEmissions,0.0003
0.0005,0.0005,0.0003,2041,CarbonEmissions,0.0003
0.0005,0.0005,0.0003,2042,CarbonEmissions,0.0003
0.0005,0.0005,0.0003,2043,CarbonEmissions,0.0003
0.0005,0.0006,0.0003,2044,CarbonEmissions,0.0003
0.0005,0.0006,0.0003,2045,CarbonEmissions,0.0003
0.0006,0.0006,0.0003,2046,CarbonEmissions,0.0003
0.0006,0.0006,0.0003,2047,CarbonEmissions,0.0003
0.0006,0.0007,0.0003,2048,CarbonEmissions,0.0003
0.0006,0.0007,0.0003,2049,CarbonEmissions,0.0003
0.0007,0.0007,0.0003,2050,CarbonEmissions,0.0003
0.0007,0.0008,0.0003,2051,CarbonEmissions,0.0003
0.0007,0.0008,0.0003,2052,CarbonEmissions,0.0003
0.0008,0.0008,0.0003,2053,CarbonEmissions,0.0003
0.0008,0.0009,0.0003,2054,CarbonEmissions,0.0003
0.0008,0.0009,0.0003,2055,CarbonEmissions,0.0003
0.0009,0.001,0.0003,2056,CarbonEmissions,0.0003
0.0009,0.001,0.0003,2057,CarbonEmissions,0.0003
0.0009,0.001,0.0003,2058,CarbonEmissions,0.0003
0.0009,0.0011,0.0003,2059,CarbonEmissions,0.0003
0.001,0.0011,0.0003,2060,CarbonEmissions,0.0003
0.001,0.0011,0.0003,2061,CarbonEmissions,0.0003
0.001,0.0012,0.0003,2062,CarbonEmissions,0.0003
0.0011,0.0012,0.0003,2063,CarbonEmissions,0.0003
0.0011,0.0013,0.0003,2064,CarbonEmissions,0.0002
0.0011,0.0013,0.0003,2065,CarbonEmissions,0.0002
0.0012,0.0013,0.0003,2066,CarbonEmissions,0.0002
0.0012,0.0014,0.0003,2067,CarbonEmissions,0.0002
0.0012,0.0014,0.0003,2068,CarbonEmissions,0.0002
0.0013,0.0015,0.0003,2069,CarbonEmissions,0.0002
0.0013,0.0015,0.0003,2070,CarbonEmissions,0.0002
0.0013,0.0015,0.0003,2071,CarbonEmissions,0.0002
0.0013,0.0015,0.0003,2072,CarbonEmissions,0.0002
0.0014,0.0016,0.0003,2073,CarbonEmissions,0.0002
0.0014,0.0016,0.0003,2074,CarbonEmissions,0.0002
0.0014,0.0016,0.0003,2075,CarbonEmissions,0.0002
0.0014,0.0017,0.0003,2076,CarbonEmissions,0.0002
0.0015,0.0017,0.0003,2077,CarbonEmissions,0.0002
0.0015,0.0017,0.0003,2078,CarbonEmissions,0.0002
0.0015,0.0017,0.0003,2079,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2080,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2081,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2082,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2083,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2084,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2085,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2086,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2087,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2088,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2089,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2090,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2091,CarbonEmissions,0.0002
0.0016,0.0018,0.0003,2092,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2093,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2094,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2095,CarbonEmissions,0.0002
0.0015,0.0018,0.0003,2096,CarbonEmissions,0.0002
0.0014,0.0017,0.0003,2097,CarbonEmissions,0.0002
0.0014,0.0017,0.0003,2098,CarbonEmissions,0.0002
0.0014,0.0016,0.0003,2099,CarbonEmissions,0.0002
0.0013,0.0016,0.0003,2100,CarbonEmissions,0.0002
0.045,0.045,0.045,2019,CarbonEmissions_per_capita,0.04466
0.053,0.053,0.053,2020,CarbonEmissions_per_capita,0.05307
0.057,0.057,0.057,2021,CarbonEmissions_per_capita,0.05702
0.06,0.06,0.06,2022,CarbonEmissions_per_capita,0.05993
0.065,0.065,0.065,2023,CarbonEmissions_per_capita,0.06502
0.069,0.069,0.069,2024,CarbonEmissions_per_capita,0.06881
0.075,0.075,0.077,2025,CarbonEmissions_per_capita,0.07713
0.08,0.08,0.085,2026,CarbonEmissions_per_capita,0.08486
0.086,0.085,0.091,2027,CarbonEmissions_per_capita,0.09123
0.089,0.09,0.094,2028,CarbonEmissions_per_capita,0.09336
0.094,0.094,0.095,2029,CarbonEmissions_per_capita,0.09518
0.099,0.1,0.097,2030,CarbonEmissions_per_capita,0.09619
0.104,0.105,0.097,2031,CarbonEmissions_per_capita,0.09564
0.108,0.11,0.097,2032,CarbonEmissions_per_capita,0.09577
0.112,0.115,0.098,2033,CarbonEmissions_per_capita,0.09643
0.116,0.119,0.1,2034,CarbonEmissions_per_capita,0.09769
0.12,0.124,0.102,2035,CarbonEmissions_per_capita,0.09871
0.124,0.129,0.104,2036,CarbonEmissions_per_capita,0.10005
0.128,0.134,0.108,2037,CarbonEmissions_per_capita,0.10268
0.132,0.139,0.11,2038,CarbonEmissions_per_capita,0.10463
0.137,0.144,0.112,2039,CarbonEmissions_per_capita,0.10545
0.141,0.149,0.112,2040,CarbonEmissions_per_capita,0.10433
0.146,0.154,0.11,2041,CarbonEmissions_per_capita,0.10218
0.15,0.16,0.108,2042,CarbonEmissions_per_capita,0.09923
0.154,0.165,0.105,2043,CarbonEmissions_per_capita,0.09567
0.158,0.171,0.101,2044,CarbonEmissions_per_capita,0.09179
0.163,0.177,0.098,2045,CarbonEmissions_per_capita,0.08779
0.167,0.183,0.094,2046,CarbonEmissions_per_capita,0.08376
0.171,0.188,0.089,2047,CarbonEmissions_per_capita,0.07867
0.176,0.194,0.085,2048,CarbonEmissions_per_capita,0.07461
0.18,0.2,0.082,2049,CarbonEmissions_per_capita,0.07148
0.185,0.206,0.08,2050,CarbonEmissions_per_capita,0.06904
0.19,0.213,0.08,2051,CarbonEmissions_per_capita,0.06835
0.195,0.221,0.081,2052,CarbonEmissions_per_capita,0.06839
0.2,0.228,0.083,2053,CarbonEmissions_per_capita,0.06899
0.206,0.236,0.084,2054,CarbonEmissions_per_capita,0.06987
0.211,0.243,0.086,2055,CarbonEmissions_per_capita,0.07072
0.217,0.25,0.087,2056,CarbonEmissions_per_capita,0.07161
0.222,0.256,0.087,2057,CarbonEmissions_per_capita,0.07157
0.227,0.263,0.087,2058,CarbonEmissions_per_capita,0.07081
0.232,0.27,0.085,2059,CarbonEmissions_per_capita,0.06927
0.237,0.277,0.083,2060,CarbonEmissions_per_capita,0.06749
0.242,0.285,0.081,2061,CarbonEmissions_per_capita,0.06517
0.246,0.293,0.079,2062,CarbonEmissions_per_capita,0.06272
0.251,0.302,0.076,2063,CarbonEmissions_per_capita,0.06013
0.255,0.31,0.074,2064,CarbonEmissions_per_capita,0.05753
0.26,0.318,0.071,2065,CarbonEmissions_per_capita,0.05487
