Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0046,0.0046,0.0046,2019,CarbonEmissions,0.0046
0.0047,0.0047,0.0047,2020,CarbonEmissions,0.0047
0.0047,0.0047,0.0047,2021,CarbonEmissions,0.0047
0.0047,0.0047,0.0047,2022,CarbonEmissions,0.0047
0.0048,0.0048,0.0048,2023,CarbonEmissions,0.0048
0.0048,0.0048,0.0048,2024,CarbonEmissions,0.0048
0.0048,0.0048,0.0048,2025,CarbonEmissions,0.0048
0.0048,0.0048,0.0048,2026,CarbonEmissions,0.0048
0.0048,0.0048,0.0048,2027,CarbonEmissions,0.0048
0.0049,0.0049,0.0049,2028,CarbonEmissions,0.0049
0.0049,0.0049,0.0049,2029,CarbonEmissions,0.0049
0.005,0.005,0.005,2030,CarbonEmissions,0.005
0.0051,0.0051,0.005,2031,CarbonEmissions,0.005
0.0052,0.0052,0.005,2032,CarbonEmissions,0.005
0.0053,0.0053,0.0051,2033,CarbonEmissions,0.0051
0.0054,0.0054,0.0052,2034,CarbonEmissions,0.0052
0.0055,0.0055,0.0052,2035,CarbonEmissions,0.0052
0.0056,0.0056,0.0053,2036,CarbonEmissions,0.0053
0.0057,0.0057,0.0054,2037,CarbonEmissions,0.0054
0.0058,0.0058,0.0055,2038,CarbonEmissions,0.0054
0.0059,0.0059,0.0055,2039,CarbonEmissions,0.0055
0.006,0.0061,0.0055,2040,CarbonEmissions,0.0055
0.0061,0.0062,0.0055,2041,CarbonEmissions,0.0055
0.0063,0.0063,0.0055,2042,CarbonEmissions,0.0055
0.0064,0.0065,0.0055,2043,CarbonEmissions,0.0055
0.0065,0.0066,0.0055,2044,CarbonEmissions,0.0054
0.0066,0.0067,0.0054,2045,CarbonEmissions,0.0053
0.0067,0.0068,0.0053,2046,CarbonEmissions,0.0052
0.0067,0.0069,0.0052,2047,CarbonEmissions,0.0051
0.0068,0.0069,0.0051,2048,CarbonEmissions,0.0051
0.0069,0.007,0.0051,2049,CarbonEmissions,0.005
0.0069,0.0071,0.005,2050,CarbonEmissions,0.005
0.007,0.0071,0.005,2051,CarbonEmissions,0.0049
0.007,0.0072,0.005,2052,CarbonEmissions,0.0049
0.007,0.0072,0.005,2053,CarbonEmissions,0.0049
0.0071,0.0073,0.0049,2054,CarbonEmissions,0.0049
0.0071,0.0073,0.0049,2055,CarbonEmissions,0.0048
0.0071,0.0073,0.0048,2056,CarbonEmissions,0.0048
0.0071,0.0073,0.0047,2057,CarbonEmissions,0.0047
0.0071,0.0073,0.0046,2058,CarbonEmissions,0.0046
0.0071,0.0073,0.0045,2059,CarbonEmissions,0.0045
0.0071,0.0073,0.0044,2060,CarbonEmissions,0.0044
0.0071,0.0073,0.0043,2061,CarbonEmissions,0.0043
0.007,0.0073,0.0042,2062,CarbonEmissions,0.0043
0.007,0.0073,0.0042,2063,CarbonEmissions,0.0042
0.007,0.0073,0.0041,2064,CarbonEmissions,0.0041
0.0069,0.0072,0.0041,2065,CarbonEmissions,0.0041
0.0068,0.0072,0.004,2066,CarbonEmissions,0.004
0.0068,0.0072,0.004,2067,CarbonEmissions,0.004
0.0067,0.0071,0.004,2068,CarbonEmissions,0.004
0.0067,0.0071,0.0039,2069,CarbonEmissions,0.0039
0.0066,0.007,0.0039,2070,CarbonEmissions,0.0039
0.0065,0.007,0.0039,2071,CarbonEmissions,0.0039
0.0064,0.0069,0.0039,2072,CarbonEmissions,0.0039
0.0063,0.0069,0.0038,2073,CarbonEmissions,0.0038
0.0062,0.0068,0.0038,2074,CarbonEmissions,0.0038
0.0061,0.0067,0.0038,2075,CarbonEmissions,0.0038
0.006,0.0067,0.0038,2076,CarbonEmissions,0.0038
0.006,0.0066,0.0038,2077,CarbonEmissions,0.0038
0.0059,0.0065,0.0038,2078,CarbonEmissions,0.0037
0.0057,0.0065,0.0037,2079,CarbonEmissions,0.0037
0.0056,0.0064,0.0037,2080,CarbonEmissions,0.0037
0.0055,0.0063,0.0037,2081,CarbonEmissions,0.0037
0.0054,0.0063,0.0037,2082,CarbonEmissions,0.0037
0.0053,0.0062,0.0037,2083,CarbonEmissions,0.0037
0.0052,0.0061,0.0037,2084,CarbonEmissions,0.0037
0.0051,0.0061,0.0037,2085,CarbonEmissions,0.0037
0.005,0.0061,0.0037,2086,CarbonEmissions,0.0036
0.005,0.006,0.0036,2087,CarbonEmissions,0.0036
0.0049,0.006,0.0036,2088,CarbonEmissions,0.0036
0.0048,0.006,0.0036,2089,CarbonEmissions,0.0036
0.0048,0.006,0.0036,2090,CarbonEmissions,0.0036
0.0047,0.006,0.0036,2091,CarbonEmissions,0.0036
0.0047,0.006,0.0036,2092,CarbonEmissions,0.0036
0.0046,0.006,0.0036,2093,CarbonEmissions,0.0036
0.0046,0.006,0.0036,2094,CarbonEmissions,0.0036
0.0046,0.0061,0.0036,2095,CarbonEmissions,0.0036
0.0046,0.0061,0.0036,2096,CarbonEmissions,0.0036
0.0046,0.0061,0.0036,2097,CarbonEmissions,0.0036
0.0046,0.0061,0.0036,2098,CarbonEmissions,0.0036
0.0046,0.0062,0.0036,2099,CarbonEmissions,0.0036
0.0046,0.0062,0.0036,2100,CarbonEmissions,0.0036
2.95,2.95,2.95,2019,CarbonEmissions_per_capita,2.95042
2.898,2.898,2.898,2020,CarbonEmissions_per_capita,2.89801
2.831,2.831,2.831,2021,CarbonEmissions_per_capita,2.83066
2.756,2.756,2.756,2022,CarbonEmissions_per_capita,2.75563
2.7,2.7,2.7,2023,CarbonEmissions_per_capita,2.70027
2.61,2.61,2.61,2024,CarbonEmissions_per_capita,2.6097
2.541,2.541,2.557,2025,CarbonEmissions_per_capita,2.5566
2.459,2.459,2.482,2026,CarbonEmissions_per_capita,2.48228
2.384,2.384,2.406,2027,CarbonEmissions_per_capita,2.40588
2.347,2.346,2.357,2028,CarbonEmissions_per_capita,2.35766
2.319,2.318,2.311,2029,CarbonEmissions_per_capita,2.31176
2.297,2.297,2.266,2030,CarbonEmissions_per_capita,2.26693
2.276,2.276,2.217,2031,CarbonEmissions_per_capita,2.21773
2.249,2.252,2.174,2032,CarbonEmissions_per_capita,2.17369
2.226,2.231,2.14,2033,CarbonEmissions_per_capita,2.1375
2.204,2.211,2.114,2034,CarbonEmissions_per_capita,2.10886
2.184,2.194,2.089,2035,CarbonEmissions_per_capita,2.08114
2.167,2.18,2.069,2036,CarbonEmissions_per_capita,2.05856
2.152,2.169,2.046,2037,CarbonEmissions_per_capita,2.03218
2.14,2.159,2.021,2038,CarbonEmissions_per_capita,2.00324
2.129,2.149,1.989,2039,CarbonEmissions_per_capita,1.969
2.12,2.143,1.95,2040,CarbonEmissions_per_capita,1.92828
2.111,2.138,1.908,2041,CarbonEmissions_per_capita,1.88449
2.102,2.134,1.863,2042,CarbonEmissions_per_capita,1.8388
2.092,2.128,1.817,2043,CarbonEmissions_per_capita,1.79069
2.078,2.118,1.768,2044,CarbonEmissions_per_capita,1.74109
2.063,2.106,1.708,2045,CarbonEmissions_per_capita,1.67491
2.044,2.092,1.641,2046,CarbonEmissions_per_capita,1.60729
2.024,2.077,1.581,2047,CarbonEmissions_per_capita,1.54729
2.003,2.059,1.532,2048,CarbonEmissions_per_capita,1.49621
1.979,2.041,1.488,2049,CarbonEmissions_per_capita,1.45099
1.954,2.023,1.447,2050,CarbonEmissions_per_capita,1.40788
1.927,2.002,1.41,2051,CarbonEmissions_per_capita,1.36959
1.9,1.979,1.378,2052,CarbonEmissions_per_capita,1.33507
1.872,1.955,1.347,2053,CarbonEmissions_per_capita,1.30261
1.843,1.93,1.313,2054,CarbonEmissions_per_capita,1.27096
1.814,1.904,1.276,2055,CarbonEmissions_per_capita,1.2387
1.784,1.879,1.235,2056,CarbonEmissions_per_capita,1.2047
1.754,1.852,1.19,2057,CarbonEmissions_per_capita,1.16388
1.723,1.826,1.147,2058,CarbonEmissions_per_capita,1.12347
1.692,1.798,1.103,2059,CarbonEmissions_per_capita,1.08188
1.661,1.77,1.064,2060,CarbonEmissions_per_capita,1.04349
1.628,1.741,1.029,2061,CarbonEmissions_per_capita,1.00604
1.595,1.713,0.998,2062,CarbonEmissions_per_capita,0.97259
1.562,1.685,0.972,2063,CarbonEmissions_per_capita,0.94255
1.527,1.657,0.948,2064,CarbonEmissions_per_capita,0.91587
1.493,1.629,0.926,2065,CarbonEmissions_per_capita,0.89146
1.458,1.602,0.907,2066,CarbonEmissions_per_capita,0.86974
1.425,1.575,0.889,2067,CarbonEmissions_per_capita,0.8495
1.391,1.548,0.872,2068,CarbonEmissions_per_capita,0.83054
1.358,1.521,0.856,2069,CarbonEmissions_per_capita,0.8127
1.325,1.495,0.841,2070,CarbonEmissions_per_capita,0.79573
1.292,1.468,0.828,2071,CarbonEmissions_per_capita,0.77991
1.259,1.441,0.815,2072,CarbonEmissions_per_capita,0.76502
1.225,1.416,0.803,2073,CarbonEmissions_per_capita,0.751
1.193,1.39,0.791,2074,CarbonEmissions_per_capita,0.73775
1.161,1.367,0.781,2075,CarbonEmissions_per_capita,0.72526
1.13,1.342,0.771,2076,CarbonEmissions_per_capita,0.71361
1.099,1.318,0.761,2077,CarbonEmissions_per_capita,0.70239
1.069,1.294,0.752,2078,CarbonEmissions_per_capita,0.69201
1.039,1.27,0.744,2079,CarbonEmissions_per_capita,0.68202
1.009,1.246,0.736,2080,CarbonEmissions_per_capita,0.67272
0.981,1.224,0.728,2081,CarbonEmissions_per_capita,0.6638
0.952,1.201,0.72,2082,CarbonEmissions_per_capita,0.65542
0.925,1.181,0.713,2083,CarbonEmissions_per_capita,0.64735
0.899,1.162,0.706,2084,CarbonEmissions_per_capita,0.63972
0.875,1.145,0.699,2085,CarbonEmissions_per_capita,0.63245
0.852,1.129,0.692,2086,CarbonEmissions_per_capita,0.62553
0.83,1.117,0.686,2087,CarbonEmissions_per_capita,0.61896
0.81,1.107,0.68,2088,CarbonEmissions_per_capita,0.61273
0.793,1.098,0.674,2089,CarbonEmissions_per_capita,0.60684
0.778,1.09,0.668,2090,CarbonEmissions_per_capita,0.60127
0.765,1.083,0.663,2091,CarbonEmissions_per_capita,0.59601
0.754,1.078,0.658,2092,CarbonEmissions_per_capita,0.59139
0.745,1.074,0.654,2093,CarbonEmissions_per_capita,0.58701
0.737,1.072,0.65,2094,CarbonEmissions_per_capita,0.58286
0.731,1.071,0.646,2095,CarbonEmissions_per_capita,0.57885
0.726,1.069,0.642,2096,CarbonEmissions_per_capita,0.57499
0.721,1.069,0.638,2097,CarbonEmissions_per_capita,0.57127
0.718,1.068,0.635,2098,CarbonEmissions_per_capita,0.56773
0.716,1.069,0.632,2099,CarbonEmissions_per_capita,0.56436
0.714,1.07,0.629,2100,CarbonEmissions_per_capita,0.56108
36.78,36.78,36.78,2019,ChildMort5Yrs,36.78
38.28,38.28,38.28,2020,ChildMort5Yrs,38.28
38.79,38.79,38.79,2021,ChildMort5Yrs,38.79
37.95,37.95,37.95,2022,ChildMort5Yrs,37.95
40.31,40.31,40.31,2023,ChildMort5Yrs,40.31
40.33,40.33,40.33,2024,ChildMort5Yrs,40.33
42.16,42.15,42.15,2025,ChildMort5Yrs,42.16
43.53,43.42,43.42,2026,ChildMort5Yrs,43.53
42.63,42.45,42.47,2027,ChildMort5Yrs,42.65
41.8,41.51,41.5,2028,ChildMort5Yrs,41.81
40.82,40.28,40.22,2029,ChildMort5Yrs,40.78
39.89,39.18,39.01,2030,ChildMort5Yrs,39.74
39.19,38.28,37.89,2031,ChildMort5Yrs,38.8
38.43,37.37,36.74,2032,ChildMort5Yrs,37.79
37.63,36.4,35.55,2033,ChildMort5Yrs,36.75
36.79,35.4,34.36,2034,ChildMort5Yrs,35.69
35.92,34.39,33.18,2035,ChildMort5Yrs,34.65
35.05,33.37,32.07,2036,ChildMort5Yrs,33.61
34.16,32.31,31.02,2037,ChildMort5Yrs,32.67
33.28,31.36,30.01,2038,ChildMort5Yrs,31.79
32.46,30.45,29.05,2039,ChildMort5Yrs,30.96
31.71,29.56,28.13,2040,ChildMort5Yrs,30.17
30.99,28.72,27.27,2041,ChildMort5Yrs,29.42
30.32,27.92,26.43,2042,ChildMort5Yrs,28.72
29.67,27.17,25.63,2043,ChildMort5Yrs,28.03
29.06,26.43,24.85,2044,ChildMort5Yrs,27.37
28.48,25.72,24.09,2045,ChildMort5Yrs,26.73
27.94,25.02,23.36,2046,ChildMort5Yrs,26.12
27.39,24.35,22.66,2047,ChildMort5Yrs,25.54
26.86,23.69,21.98,2048,ChildMort5Yrs,24.97
26.35,23.03,21.33,2049,ChildMort5Yrs,24.44
25.85,22.39,20.7,2050,ChildMort5Yrs,23.93
25.35,21.76,20.09,2051,ChildMort5Yrs,23.44
24.86,21.17,19.53,2052,ChildMort5Yrs,22.97
24.38,20.6,19.0,2053,ChildMort5Yrs,22.52
23.91,20.03,18.48,2054,ChildMort5Yrs,22.08
23.45,19.47,17.99,2055,ChildMort5Yrs,21.67
22.99,18.93,17.51,2056,ChildMort5Yrs,21.28
22.55,18.4,17.05,2057,ChildMort5Yrs,20.89
22.13,17.89,16.61,2058,ChildMort5Yrs,20.53
21.71,17.4,16.18,2059,ChildMort5Yrs,20.17
