Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00535,0.00535,0.00535,2019,CarbonEmissions,0.00535
0.0059,0.0059,0.0059,2020,CarbonEmissions,0.0059
0.00621,0.00621,0.00621,2021,CarbonEmissions,0.00621
0.00664,0.00664,0.00664,2022,CarbonEmissions,0.00664
0.00708,0.00708,0.00708,2023,CarbonEmissions,0.00708
0.00737,0.00737,0.00737,2024,CarbonEmissions,0.00737
0.00764,0.00764,0.00757,2025,CarbonEmissions,0.00757
0.00797,0.00796,0.00768,2026,CarbonEmissions,0.00768
0.00833,0.00833,0.00769,2027,CarbonEmissions,0.00769
0.00875,0.00874,0.0076,2028,CarbonEmissions,0.0076
0.0092,0.0092,0.00744,2029,CarbonEmissions,0.00744
0.00968,0.00968,0.00725,2030,CarbonEmissions,0.00724
0.01014,0.01015,0.0072,2031,CarbonEmissions,0.00719
0.01056,0.01059,0.00713,2032,CarbonEmissions,0.00712
0.01096,0.01102,0.00707,2033,CarbonEmissions,0.00705
0.01135,0.01142,0.007,2034,CarbonEmissions,0.00697
0.01175,0.01183,0.00692,2035,CarbonEmissions,0.00687
0.01214,0.01226,0.0068,2036,CarbonEmissions,0.00675
0.01254,0.0127,0.00646,2037,CarbonEmissions,0.00639
0.01294,0.01312,0.00608,2038,CarbonEmissions,0.00602
0.01335,0.01356,0.00567,2039,CarbonEmissions,0.0056
0.01378,0.01401,0.00521,2040,CarbonEmissions,0.00514
0.01421,0.01449,0.00473,2041,CarbonEmissions,0.00465
0.01464,0.01496,0.00423,2042,CarbonEmissions,0.00415
0.01506,0.01544,0.00373,2043,CarbonEmissions,0.00365
0.01545,0.01585,0.00326,2044,CarbonEmissions,0.00317
0.01578,0.01623,0.0028,2045,CarbonEmissions,0.00271
0.01609,0.01659,0.00243,2046,CarbonEmissions,0.00234
0.01639,0.01694,0.00231,2047,CarbonEmissions,0.0022
0.01669,0.01729,0.00216,2048,CarbonEmissions,0.00205
0.01697,0.01764,0.00202,2049,CarbonEmissions,0.0019
0.01726,0.01804,0.00191,2050,CarbonEmissions,0.00178
0.01751,0.01839,0.0018,2051,CarbonEmissions,0.00167
0.01773,0.01871,0.0017,2052,CarbonEmissions,0.00157
0.01793,0.019,0.0016,2053,CarbonEmissions,0.00147
0.01811,0.01927,0.00149,2054,CarbonEmissions,0.00136
0.01826,0.01951,0.00137,2055,CarbonEmissions,0.00125
0.0184,0.01976,0.00118,2056,CarbonEmissions,0.00106
0.01851,0.01998,0.00102,2057,CarbonEmissions,0.0009
0.0186,0.02021,0.00086,2058,CarbonEmissions,0.00073
0.01868,0.02041,0.00072,2059,CarbonEmissions,0.00057
0.01873,0.0206,0.00058,2060,CarbonEmissions,0.00043
0.01875,0.02078,0.00045,2061,CarbonEmissions,0.00029
0.01874,0.02097,0.00032,2062,CarbonEmissions,0.00015
0.01874,0.02113,0.00019,2063,CarbonEmissions,2e-05
0.01871,0.0213,7e-05,2064,CarbonEmissions,-0.0001
0.01868,0.02146,1e-05,2065,CarbonEmissions,-0.00016
0.01863,0.02163,-6e-05,2066,CarbonEmissions,-0.00023
0.01857,0.02177,-0.00013,2067,CarbonEmissions,-0.0003
0.0185,0.02192,-0.0002,2068,CarbonEmissions,-0.00037
0.01843,0.02202,-0.00028,2069,CarbonEmissions,-0.00044
0.01834,0.02211,-0.00036,2070,CarbonEmissions,-0.00052
0.01825,0.02219,-0.00043,2071,CarbonEmissions,-0.00059
0.01815,0.02224,-0.00051,2072,CarbonEmissions,-0.00066
0.01804,0.02232,-0.0006,2073,CarbonEmissions,-0.00074
0.01793,0.02242,-0.00068,2074,CarbonEmissions,-0.00081
0.01783,0.02258,-0.00076,2075,CarbonEmissions,-0.00089
0.01774,0.02273,-0.00083,2076,CarbonEmissions,-0.00096
0.01766,0.02291,-0.0009,2077,CarbonEmissions,-0.00102
0.01758,0.02309,-0.00096,2078,CarbonEmissions,-0.00109
0.01749,0.02323,-0.00101,2079,CarbonEmissions,-0.00114
0.0174,0.02339,-0.00105,2080,CarbonEmissions,-0.00119
0.01732,0.02352,-0.00109,2081,CarbonEmissions,-0.00123
0.01722,0.02358,-0.00112,2082,CarbonEmissions,-0.00126
0.0171,0.02364,-0.00115,2083,CarbonEmissions,-0.00129
0.01697,0.0237,-0.00118,2084,CarbonEmissions,-0.00132
0.01686,0.02375,-0.0012,2085,CarbonEmissions,-0.00134
0.01674,0.02379,-0.00122,2086,CarbonEmissions,-0.00136
0.01664,0.02385,-0.00124,2087,CarbonEmissions,-0.00137
0.01655,0.0239,-0.00125,2088,CarbonEmissions,-0.00139
0.01647,0.02398,-0.00127,2089,CarbonEmissions,-0.0014
0.0164,0.02405,-0.00129,2090,CarbonEmissions,-0.00141
0.01631,0.0241,-0.00131,2091,CarbonEmissions,-0.00143
