Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01144,0.01144,0.01144,2019,CarbonEmissions,0.01144
0.01064,0.01064,0.01064,2020,CarbonEmissions,0.01064
0.01022,0.01022,0.01022,2021,CarbonEmissions,0.01022
0.01,0.01,0.01,2022,CarbonEmissions,0.01
0.00881,0.00881,0.00881,2023,CarbonEmissions,0.00881
0.00802,0.00802,0.00802,2024,CarbonEmissions,0.00802
0.00752,0.00752,0.00802,2025,CarbonEmissions,0.00802
0.00723,0.00724,0.00783,2026,CarbonEmissions,0.00782
0.00712,0.00712,0.00722,2027,CarbonEmissions,0.00722
0.00698,0.00695,0.00602,2028,CarbonEmissions,0.00605
0.00705,0.00703,0.00462,2029,CarbonEmissions,0.00464
0.00719,0.00722,0.00314,2030,CarbonEmissions,0.00312
0.00716,0.00728,0.00156,2031,CarbonEmissions,0.00148
0.00687,0.00712,0.00007,2032,CarbonEmissions,-9e-05
0.00644,0.00682,-0.00129,2033,CarbonEmissions,-0.00153
0.00591,0.00636,-0.00256,2034,CarbonEmissions,-0.00287
0.00533,0.00586,-0.00378,2035,CarbonEmissions,-0.00416
0.0047,0.00534,-0.00497,2036,CarbonEmissions,-0.00541
0.00407,0.0048,-0.00602,2037,CarbonEmissions,-0.00652
0.00344,0.00418,-0.00716,2038,CarbonEmissions,-0.00769
0.0028,0.00355,-0.00844,2039,CarbonEmissions,-0.00898
0.00222,0.00297,-0.00974,2040,CarbonEmissions,-0.01028
0.00161,0.00241,-0.01111,2041,CarbonEmissions,-0.01163
0.001,0.00183,-0.01249,2042,CarbonEmissions,-0.013
0.00036,0.00123,-0.01384,2043,CarbonEmissions,-0.01434
-0.00035,0.00054,-0.01511,2044,CarbonEmissions,-0.01559
-0.00108,-0.00019,-0.0163,2045,CarbonEmissions,-0.01677
-0.00184,-0.00094,-0.01739,2046,CarbonEmissions,-0.01784
-0.0026,-0.0017,-0.01849,2047,CarbonEmissions,-0.01892
-0.00334,-0.00245,-0.01945,2048,CarbonEmissions,-0.01986
-0.00408,-0.00317,-0.02027,2049,CarbonEmissions,-0.02067
-0.00477,-0.00381,-0.02094,2050,CarbonEmissions,-0.02134
-0.00547,-0.00449,-0.02152,2051,CarbonEmissions,-0.0219
-0.00615,-0.00518,-0.02201,2052,CarbonEmissions,-0.02239
-0.00681,-0.00588,-0.02246,2053,CarbonEmissions,-0.02283
-0.00746,-0.00657,-0.02288,2054,CarbonEmissions,-0.02324
-0.00809,-0.00725,-0.02329,2055,CarbonEmissions,-0.02362
-0.0087,-0.00791,-0.02369,2056,CarbonEmissions,-0.02399
-0.0093,-0.00854,-0.02409,2057,CarbonEmissions,-0.02436
-0.00989,-0.00916,-0.0245,2058,CarbonEmissions,-0.02475
-0.01047,-0.00978,-0.02489,2059,CarbonEmissions,-0.02512
-0.01104,-0.01037,-0.02526,2060,CarbonEmissions,-0.02547
-0.01161,-0.01097,-0.02561,2061,CarbonEmissions,-0.02581
-0.01217,-0.01153,-0.02595,2062,CarbonEmissions,-0.02614
-0.0127,-0.01209,-0.02627,2063,CarbonEmissions,-0.02646
-0.01322,-0.01262,-0.02658,2064,CarbonEmissions,-0.02675
-0.01372,-0.01314,-0.02686,2065,CarbonEmissions,-0.02701
-0.01421,-0.01363,-0.02711,2066,CarbonEmissions,-0.02724
-0.01467,-0.01413,-0.02734,2067,CarbonEmissions,-0.02745
-0.01513,-0.01461,-0.02755,2068,CarbonEmissions,-0.02764
-0.01558,-0.01511,-0.02774,2069,CarbonEmissions,-0.02781
-0.01603,-0.0156,-0.02788,2070,CarbonEmissions,-0.02795
