Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00083,0.00083,0.0008,2019,CarbonEmissions,0.0008
0.00097,0.00097,0.001,2020,CarbonEmissions,0.001
0.00104,0.00104,0.001,2021,CarbonEmissions,0.001
0.00106,0.00106,0.0011,2022,CarbonEmissions,0.0011
0.00109,0.00109,0.0011,2023,CarbonEmissions,0.0011
0.00109,0.00109,0.0011,2024,CarbonEmissions,0.0011
0.00107,0.00107,0.0011,2025,CarbonEmissions,0.0011
0.00111,0.00111,0.0012,2026,CarbonEmissions,0.0012
0.00118,0.00118,0.0013,2027,CarbonEmissions,0.0013
0.00126,0.00127,0.0014,2028,CarbonEmissions,0.0014
0.00135,0.00137,0.0014,2029,CarbonEmissions,0.0014
0.00145,0.00147,0.0014,2030,CarbonEmissions,0.0014
0.00154,0.00157,0.0014,2031,CarbonEmissions,0.0014
0.00162,0.00165,0.0014,2032,CarbonEmissions,0.0014
0.00168,0.00172,0.0014,2033,CarbonEmissions,0.0014
0.00174,0.00178,0.0014,2034,CarbonEmissions,0.0014
0.00179,0.00184,0.0015,2035,CarbonEmissions,0.0014
0.00185,0.00191,0.0015,2036,CarbonEmissions,0.0014
0.0019,0.00197,0.0015,2037,CarbonEmissions,0.0014
0.00196,0.00204,0.0015,2038,CarbonEmissions,0.0014
0.00202,0.0021,0.0015,2039,CarbonEmissions,0.0014
0.00208,0.00216,0.0014,2040,CarbonEmissions,0.0013
0.00214,0.00223,0.0013,2041,CarbonEmissions,0.0013
0.0022,0.0023,0.0012,2042,CarbonEmissions,0.0012
0.00225,0.00237,0.0011,2043,CarbonEmissions,0.0011
0.00231,0.00242,0.001,2044,CarbonEmissions,0.001
0.00236,0.00248,0.0009,2045,CarbonEmissions,0.0008
0.00242,0.00254,0.0008,2046,CarbonEmissions,0.0008
0.00247,0.0026,0.0007,2047,CarbonEmissions,0.0007
0.00253,0.00267,0.0007,2048,CarbonEmissions,0.0006
0.00259,0.00275,0.0006,2049,CarbonEmissions,0.0005
0.00266,0.00283,0.0006,2050,CarbonEmissions,0.0005
0.00271,0.0029,0.0005,2051,CarbonEmissions,0.0004
0.00277,0.00297,0.0005,2052,CarbonEmissions,0.0004
0.00283,0.00304,0.0005,2053,CarbonEmissions,0.0004
0.00288,0.0031,0.0005,2054,CarbonEmissions,0.0004
0.00295,0.00316,0.0005,2055,CarbonEmissions,0.0004
0.00302,0.00323,0.0005,2056,CarbonEmissions,0.0004
0.00309,0.0033,0.0005,2057,CarbonEmissions,0.0004
0.00315,0.00338,0.0005,2058,CarbonEmissions,0.0004
0.00321,0.00344,0.0004,2059,CarbonEmissions,0.0003
0.00326,0.0035,0.0004,2060,CarbonEmissions,0.0003
0.0033,0.00356,0.0003,2061,CarbonEmissions,0.0002
0.00335,0.00362,0.0003,2062,CarbonEmissions,0.0002
0.00339,0.00368,0.0002,2063,CarbonEmissions,0.0001
0.00344,0.00375,0.0001,2064,CarbonEmissions,0.0001
0.00348,0.00381,0.0001,2065,CarbonEmissions,0.0
0.00353,0.00387,0.0,2066,CarbonEmissions,0.0
0.00357,0.00393,0.0,2067,CarbonEmissions,-0.0001
0.00362,0.00399,0.0,2068,CarbonEmissions,-0.0001
0.00366,0.00404,-0.0001,2069,CarbonEmissions,-0.0002
0.0037,0.00408,-0.0001,2070,CarbonEmissions,-0.0002
0.00374,0.00411,-0.0001,2071,CarbonEmissions,-0.0002
0.00377,0.00414,-0.0002,2072,CarbonEmissions,-0.0002
0.00379,0.00418,-0.0002,2073,CarbonEmissions,-0.0003
0.00382,0.00421,-0.0002,2074,CarbonEmissions,-0.0003
0.00384,0.00425,-0.0002,2075,CarbonEmissions,-0.0003
0.00386,0.00429,-0.0003,2076,CarbonEmissions,-0.0003
0.00389,0.00433,-0.0003,2077,CarbonEmissions,-0.0003
0.00391,0.00436,-0.0003,2078,CarbonEmissions,-0.0004
0.00392,0.00439,-0.0003,2079,CarbonEmissions,-0.0004
0.00394,0.00441,-0.0004,2080,CarbonEmissions,-0.0004
0.00396,0.00443,-0.0004,2081,CarbonEmissions,-0.0004
0.00397,0.00446,-0.0004,2082,CarbonEmissions,-0.0004
0.00398,0.00448,-0.0004,2083,CarbonEmissions,-0.0005
0.00398,0.00451,-0.0004,2084,CarbonEmissions,-0.0005
0.00399,0.00453,-0.0005,2085,CarbonEmissions,-0.0005
0.00399,0.00456,-0.0005,2086,CarbonEmissions,-0.0005
0.00399,0.00459,-0.0005,2087,CarbonEmissions,-0.0005
0.004,0.00463,-0.0005,2088,CarbonEmissions,-0.0006
0.004,0.00466,-0.0005,2089,CarbonEmissions,-0.0006
0.00399,0.00469,-0.0005,2090,CarbonEmissions,-0.0006
0.00398,0.00471,-0.0006,2091,CarbonEmissions,-0.0006
0.00395,0.00473,-0.0006,2092,CarbonEmissions,-0.0006
0.00392,0.00473,-0.0006,2093,CarbonEmissions,-0.0006
0.00389,0.00474,-0.0006,2094,CarbonEmissions,-0.0007
0.00385,0.00473,-0.0006,2095,CarbonEmissions,-0.0007
0.0038,0.00471,-0.0006,2096,CarbonEmissions,-0.0007
0.00374,0.00469,-0.0006,2097,CarbonEmissions,-0.0007
0.00367,0.00466,-0.0006,2098,CarbonEmissions,-0.0007
0.0036,0.00464,-0.0006,2099,CarbonEmissions,-0.0007
0.00355,0.00464,-0.0006,2100,CarbonEmissions,-0.0007
0.075,0.075,0.075,2019,CarbonEmissions_per_capita,0.07455
0.085,0.085,0.085,2020,CarbonEmissions_per_capita,0.08541
0.091,0.091,0.091,2021,CarbonEmissions_per_capita,0.09082
0.091,0.091,0.091,2022,CarbonEmissions_per_capita,0.0914
0.093,0.093,0.093,2023,CarbonEmissions_per_capita,0.09271
0.092,0.092,0.091,2024,CarbonEmissions_per_capita,0.09121
0.089,0.089,0.093,2025,CarbonEmissions_per_capita,0.09342
0.091,0.091,0.1,2026,CarbonEmissions_per_capita,0.09956
0.096,0.096,0.105,2027,CarbonEmissions_per_capita,0.10533
0.101,0.101,0.109,2028,CarbonEmissions_per_capita,0.10865
0.107,0.108,0.111,2029,CarbonEmissions_per_capita,0.11042
0.113,0.115,0.112,2030,CarbonEmissions_per_capita,0.11044
0.119,0.121,0.11,2031,CarbonEmissions_per_capita,0.10878
0.124,0.126,0.109,2032,CarbonEmissions_per_capita,0.10767
0.127,0.13,0.108,2033,CarbonEmissions_per_capita,0.10641
0.13,0.133,0.108,2034,CarbonEmissions_per_capita,0.10566
0.133,0.137,0.108,2035,CarbonEmissions_per_capita,0.10457
0.135,0.14,0.108,2036,CarbonEmissions_per_capita,0.10371
0.138,0.143,0.108,2037,CarbonEmissions_per_capita,0.10344
0.141,0.147,0.107,2038,CarbonEmissions_per_capita,0.10213
0.143,0.15,0.105,2039,CarbonEmissions_per_capita,0.09919
0.146,0.153,0.1,2040,CarbonEmissions_per_capita,0.09387
0.149,0.157,0.093,2041,CarbonEmissions_per_capita,0.08728
0.152,0.16,0.086,2042,CarbonEmissions_per_capita,0.07986
0.154,0.163,0.078,2043,CarbonEmissions_per_capita,0.07212
0.156,0.166,0.071,2044,CarbonEmissions_per_capita,0.06452
0.159,0.169,0.063,2045,CarbonEmissions_per_capita,0.05715
0.161,0.172,0.056,2046,CarbonEmissions_per_capita,0.05032
0.164,0.175,0.05,2047,CarbonEmissions_per_capita,0.04363
0.167,0.178,0.044,2048,CarbonEmissions_per_capita,0.03811
0.169,0.182,0.04,2049,CarbonEmissions_per_capita,0.03373
