Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.72005,0.72005,0.72005,2019,CarbonEmissions,0.72005
0.75779,0.75779,0.75779,2020,CarbonEmissions,0.75779
0.7757,0.7757,0.77571,2021,CarbonEmissions,0.77571
0.79554,0.79554,0.79557,2022,CarbonEmissions,0.79557
0.82998,0.82998,0.83003,2023,CarbonEmissions,0.83003
0.86055,0.86055,0.86064,2024,CarbonEmissions,0.86064
0.87798,0.87798,0.90175,2025,CarbonEmissions,0.90175
0.89865,0.8985,0.94,2026,CarbonEmissions,0.94016
0.92095,0.9204,0.96836,2027,CarbonEmissions,0.96893
0.94199,0.94193,0.98575,2028,CarbonEmissions,0.98574
0.96333,0.96382,0.99333,2029,CarbonEmissions,0.99281
0.98824,0.99004,0.99855,2030,CarbonEmissions,0.997
1.00165,1.00581,0.9994,2031,CarbonEmissions,0.99621
1.01623,1.02244,1.00249,2032,CarbonEmissions,0.99726
1.02631,1.03479,1.00827,2033,CarbonEmissions,1.00033
1.03522,1.04474,1.01532,2034,CarbonEmissions,1.00467
1.04568,1.05647,1.021,2035,CarbonEmissions,1.0074
1.05734,1.07083,1.02635,2036,CarbonEmissions,1.00974
1.06953,1.08591,1.03279,2037,CarbonEmissions,1.0127
1.08182,1.09952,1.03327,2038,CarbonEmissions,1.01026
1.09317,1.1128,1.02522,2039,CarbonEmissions,0.99998
1.10534,1.12645,1.00538,2040,CarbonEmissions,0.97862
1.11642,1.14054,0.97928,2041,CarbonEmissions,0.95135
1.12671,1.15308,0.94796,2042,CarbonEmissions,0.91919
1.13614,1.16499,0.91388,2043,CarbonEmissions,0.88446
1.14291,1.17359,0.87891,2044,CarbonEmissions,0.84901
1.14851,1.18063,0.84362,2045,CarbonEmissions,0.81279
1.15239,1.18623,0.8104,2046,CarbonEmissions,0.77878
1.15472,1.19076,0.77714,2047,CarbonEmissions,0.74512
1.15626,1.19354,0.74768,2048,CarbonEmissions,0.71529
1.15659,1.19596,0.72256,2049,CarbonEmissions,0.68961
1.15639,1.19927,0.70274,2050,CarbonEmissions,0.66863
1.15445,1.20047,0.68689,2051,CarbonEmissions,0.65217
1.15118,1.19987,0.67347,2052,CarbonEmissions,0.63754
1.14667,1.1978,0.66037,2053,CarbonEmissions,0.62405
1.141,1.19452,0.64689,2054,CarbonEmissions,0.61038
1.13489,1.19006,0.63071,2055,CarbonEmissions,0.59553
1.1278,1.18503,0.61111,2056,CarbonEmissions,0.57782
1.12005,1.17866,0.59039,2057,CarbonEmissions,0.55889
1.11109,1.17154,0.56774,2058,CarbonEmissions,0.53745
1.10178,1.16319,0.54561,2059,CarbonEmissions,0.51592
1.09067,1.15475,0.52202,2060,CarbonEmissions,0.49263
1.07832,1.14513,0.49903,2061,CarbonEmissions,0.47022
1.06468,1.13534,0.47634,2062,CarbonEmissions,0.44834
1.05052,1.12442,0.4543,2063,CarbonEmissions,0.42728
1.03487,1.11384,0.43345,2064,CarbonEmissions,0.40679
1.01874,1.10269,0.41716,2065,CarbonEmissions,0.39066
1.0014,1.09215,0.40195,2066,CarbonEmissions,0.37538
0.98352,1.08113,0.38756,2067,CarbonEmissions,0.36107
0.96477,1.07086,0.374,2068,CarbonEmissions,0.3475
0.94774,1.05976,0.36115,2069,CarbonEmissions,0.335
0.93028,1.04905,0.34886,2070,CarbonEmissions,0.32299
0.91352,1.03754,0.3375,2071,CarbonEmissions,0.31192
0.89683,1.02413,0.32668,2072,CarbonEmissions,0.30155
0.87929,1.01015,0.31615,2073,CarbonEmissions,0.29164
0.86142,0.99501,0.30569,2074,CarbonEmissions,0.28194
0.84398,0.97922,0.29579,2075,CarbonEmissions,0.27262
0.82654,0.9606,0.28593,2076,CarbonEmissions,0.26358
0.8096,0.94174,0.27674,2077,CarbonEmissions,0.25507
0.79202,0.92183,0.26786,2078,CarbonEmissions,0.24676
0.77424,0.90009,0.25959,2079,CarbonEmissions,0.23895
0.7565,0.87849,0.25188,2080,CarbonEmissions,0.23156
0.73899,0.85745,0.24441,2081,CarbonEmissions,0.22429
0.72043,0.83876,0.23746,2082,CarbonEmissions,0.21763
0.70269,0.82156,0.2311,2083,CarbonEmissions,0.21171
0.68561,0.80546,0.22512,2084,CarbonEmissions,0.20623
0.66944,0.78983,0.21941,2085,CarbonEmissions,0.20118
0.65335,0.77417,0.21401,2086,CarbonEmissions,0.19647
0.63799,0.7588,0.20883,2087,CarbonEmissions,0.1921
0.62349,0.74444,0.20389,2088,CarbonEmissions,0.18803
0.60984,0.72838,0.19914,2089,CarbonEmissions,0.18421
0.59756,0.71174,0.19452,2090,CarbonEmissions,0.18062
0.58683,0.69513,0.19012,2091,CarbonEmissions,0.17727
0.57535,0.67923,0.18659,2092,CarbonEmissions,0.17448
0.56395,0.66308,0.18306,2093,CarbonEmissions,0.17172
0.5529,0.64828,0.17975,2094,CarbonEmissions,0.16903
0.54221,0.63666,0.17703,2095,CarbonEmissions,0.16642
0.53173,0.63146,0.17415,2096,CarbonEmissions,0.16374
0.52165,0.62352,0.17105,2097,CarbonEmissions,0.16104
0.51211,0.61293,0.16776,2098,CarbonEmissions,0.15828
0.50267,0.60037,0.16447,2099,CarbonEmissions,0.15555
0.49072,0.58328,0.16095,2100,CarbonEmissions,0.15265
0.521,0.521,0.521,2019,CarbonEmissions_per_capita,0.5206
0.543,0.543,0.543,2020,CarbonEmissions_per_capita,0.54257
0.55,0.55,0.55,2021,CarbonEmissions_per_capita,0.55025
0.559,0.559,0.559,2022,CarbonEmissions_per_capita,0.55924
0.578,0.578,0.578,2023,CarbonEmissions_per_capita,0.57832
0.594,0.594,0.594,2024,CarbonEmissions_per_capita,0.59448
0.601,0.601,0.618,2025,CarbonEmissions_per_capita,0.61768
0.611,0.61,0.639,2026,CarbonEmissions_per_capita,0.6388
0.621,0.621,0.653,2027,CarbonEmissions_per_capita,0.65326
0.63,0.63,0.66,2028,CarbonEmissions_per_capita,0.65972
0.64,0.641,0.66,2029,CarbonEmissions_per_capita,0.65983
0.653,0.654,0.66,2030,CarbonEmissions_per_capita,0.6583
0.657,0.661,0.657,2031,CarbonEmissions_per_capita,0.65377
0.663,0.668,0.655,2032,CarbonEmissions_per_capita,0.65075
0.666,0.673,0.655,2033,CarbonEmissions_per_capita,0.64934
0.669,0.676,0.657,2034,CarbonEmissions_per_capita,0.64889
0.672,0.68,0.657,2035,CarbonEmissions_per_capita,0.64752
0.676,0.686,0.657,2036,CarbonEmissions_per_capita,0.64602
0.681,0.692,0.658,2037,CarbonEmissions_per_capita,0.64505
0.686,0.698,0.656,2038,CarbonEmissions_per_capita,0.64079
0.691,0.703,0.648,2039,CarbonEmissions_per_capita,0.63174
0.696,0.709,0.633,2040,CarbonEmissions_per_capita,0.61592
0.7,0.716,0.614,2041,CarbonEmissions_per_capita,0.59664
