Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01614,0.01614,0.01614,2019,CarbonEmissions,0.01614
0.01619,0.01619,0.01619,2020,CarbonEmissions,0.01619
0.01638,0.01638,0.01638,2021,CarbonEmissions,0.01638
0.01681,0.01681,0.01681,2022,CarbonEmissions,0.01681
0.01744,0.01744,0.01744,2023,CarbonEmissions,0.01744
0.01752,0.01752,0.01752,2024,CarbonEmissions,0.01752
0.01738,0.01738,0.01742,2025,CarbonEmissions,0.01742
0.01766,0.01767,0.01759,2026,CarbonEmissions,0.01758
0.01784,0.01784,0.01739,2027,CarbonEmissions,0.01739
0.0181,0.01809,0.01702,2028,CarbonEmissions,0.01703
0.01842,0.01842,0.01656,2029,CarbonEmissions,0.01656
0.01878,0.0188,0.01604,2030,CarbonEmissions,0.01602
0.01909,0.01917,0.01545,2031,CarbonEmissions,0.0154
0.01933,0.01947,0.0149,2032,CarbonEmissions,0.0148
0.01954,0.01975,0.0144,2033,CarbonEmissions,0.01425
0.01972,0.02,0.01392,2034,CarbonEmissions,0.01372
0.0199,0.02026,0.01355,2035,CarbonEmissions,0.0133
0.02006,0.02051,0.01315,2036,CarbonEmissions,0.01285
0.02023,0.02077,0.01279,2037,CarbonEmissions,0.01245
0.02041,0.02098,0.01235,2038,CarbonEmissions,0.01198
0.02057,0.02119,0.01182,2039,CarbonEmissions,0.01143
0.02076,0.02142,0.01129,2040,CarbonEmissions,0.01089
0.02094,0.02166,0.01071,2041,CarbonEmissions,0.01031
0.02111,0.02187,0.01009,2042,CarbonEmissions,0.00971
0.02128,0.02207,0.00947,2043,CarbonEmissions,0.00909
0.0214,0.0222,0.00886,2044,CarbonEmissions,0.00849
0.02149,0.0223,0.00826,2045,CarbonEmissions,0.0079
0.02157,0.02238,0.00771,2046,CarbonEmissions,0.00736
0.02164,0.02246,0.00712,2047,CarbonEmissions,0.00679
0.02171,0.02253,0.00659,2048,CarbonEmissions,0.00628
0.02178,0.02262,0.00612,2049,CarbonEmissions,0.00582
0.02186,0.02276,0.00575,2050,CarbonEmissions,0.00546
0.0219,0.02283,0.00541,2051,CarbonEmissions,0.00514
0.02192,0.02287,0.00511,2052,CarbonEmissions,0.00484
0.02193,0.02287,0.00481,2053,CarbonEmissions,0.00456
