Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00245,0.00245,0.0025,2019,CarbonEmissions,0.0025
0.00255,0.00255,0.0026,2020,CarbonEmissions,0.0026
0.00255,0.00255,0.0026,2021,CarbonEmissions,0.0026
0.00258,0.00258,0.0026,2022,CarbonEmissions,0.0026
0.00273,0.00273,0.0027,2023,CarbonEmissions,0.0027
0.00281,0.00281,0.0028,2024,CarbonEmissions,0.0028
0.00289,0.00289,0.003,2025,CarbonEmissions,0.003
0.00297,0.00297,0.0031,2026,CarbonEmissions,0.0031
0.00305,0.00305,0.0032,2027,CarbonEmissions,0.0033
0.00312,0.00312,0.0033,2028,CarbonEmissions,0.0033
0.00322,0.00322,0.0033,2029,CarbonEmissions,0.0033
0.00332,0.00332,0.0034,2030,CarbonEmissions,0.0034
0.00342,0.00343,0.0034,2031,CarbonEmissions,0.0034
0.00351,0.00352,0.0034,2032,CarbonEmissions,0.0034
0.0036,0.00362,0.0034,2033,CarbonEmissions,0.0034
0.00368,0.00371,0.0035,2034,CarbonEmissions,0.0034
0.00377,0.00381,0.0035,2035,CarbonEmissions,0.0035
0.00386,0.00391,0.0035,2036,CarbonEmissions,0.0035
0.00395,0.00402,0.0036,2037,CarbonEmissions,0.0035
0.00405,0.00413,0.0036,2038,CarbonEmissions,0.0035
0.00416,0.00424,0.0036,2039,CarbonEmissions,0.0035
0.00427,0.00436,0.0035,2040,CarbonEmissions,0.0035
0.00439,0.0045,0.0035,2041,CarbonEmissions,0.0034
0.00451,0.00463,0.0034,2042,CarbonEmissions,0.0033
0.00464,0.00477,0.0033,2043,CarbonEmissions,0.0032
0.00476,0.00491,0.0032,2044,CarbonEmissions,0.0031
0.00487,0.00504,0.0031,2045,CarbonEmissions,0.003
0.00499,0.00517,0.003,2046,CarbonEmissions,0.0029
0.00512,0.00531,0.0029,2047,CarbonEmissions,0.0028
0.00525,0.00545,0.0028,2048,CarbonEmissions,0.0027
0.00539,0.0056,0.0028,2049,CarbonEmissions,0.0027
0.00553,0.00577,0.0028,2050,CarbonEmissions,0.0026
0.00568,0.00595,0.0028,2051,CarbonEmissions,0.0026
0.00584,0.00612,0.0028,2052,CarbonEmissions,0.0026
0.006,0.00629,0.0029,2053,CarbonEmissions,0.0027
0.00616,0.00647,0.003,2054,CarbonEmissions,0.0027
0.00634,0.00664,0.003,2055,CarbonEmissions,0.0028
0.00651,0.00683,0.0031,2056,CarbonEmissions,0.0029
0.00669,0.00702,0.0032,2057,CarbonEmissions,0.0029
0.00688,0.00722,0.0032,2058,CarbonEmissions,0.003
0.00707,0.00742,0.0033,2059,CarbonEmissions,0.003
0.00726,0.00762,0.0032,2060,CarbonEmissions,0.003
0.00746,0.00782,0.0032,2061,CarbonEmissions,0.003
0.00767,0.00804,0.0032,2062,CarbonEmissions,0.0029
0.00789,0.00826,0.0032,2063,CarbonEmissions,0.0029
0.00811,0.00849,0.0031,2064,CarbonEmissions,0.0028
0.00833,0.00873,0.003,2065,CarbonEmissions,0.0028
0.00856,0.00899,0.003,2066,CarbonEmissions,0.0027
0.0088,0.00924,0.003,2067,CarbonEmissions,0.0027
0.00905,0.00949,0.0029,2068,CarbonEmissions,0.0026
0.00929,0.00973,0.0029,2069,CarbonEmissions,0.0026
0.00954,0.00996,0.0029,2070,CarbonEmissions,0.0026
0.00978,0.01018,0.003,2071,CarbonEmissions,0.0026
0.01003,0.01041,0.003,2072,CarbonEmissions,0.0026
0.01027,0.01065,0.0031,2073,CarbonEmissions,0.0027
0.01051,0.01093,0.0032,2074,CarbonEmissions,0.0027
0.01077,0.01123,0.0033,2075,CarbonEmissions,0.0028
0.01102,0.01156,0.0034,2076,CarbonEmissions,0.0029
0.01129,0.0119,0.0036,2077,CarbonEmissions,0.0029
0.01155,0.01225,0.0037,2078,CarbonEmissions,0.003
0.01182,0.01259,0.0038,2079,CarbonEmissions,0.0031
0.01209,0.01294,0.0039,2080,CarbonEmissions,0.0032
0.01237,0.0133,0.0039,2081,CarbonEmissions,0.0033
0.01265,0.01365,0.004,2082,CarbonEmissions,0.0033
0.01293,0.014,0.004,2083,CarbonEmissions,0.0033
0.01322,0.01437,0.004,2084,CarbonEmissions,0.0034
0.01352,0.01475,0.0041,2085,CarbonEmissions,0.0034
0.01382,0.01513,0.0041,2086,CarbonEmissions,0.0034
0.01414,0.01551,0.0041,2087,CarbonEmissions,0.0034
0.01449,0.01591,0.0041,2088,CarbonEmissions,0.0034
0.01484,0.01634,0.0041,2089,CarbonEmissions,0.0033
0.01521,0.01679,0.0041,2090,CarbonEmissions,0.0033
0.01557,0.01724,0.0042,2091,CarbonEmissions,0.0033
0.01594,0.0177,0.0042,2092,CarbonEmissions,0.0033
0.01631,0.01815,0.0042,2093,CarbonEmissions,0.0033
0.01668,0.01858,0.0043,2094,CarbonEmissions,0.0034
0.01705,0.01901,0.0044,2095,CarbonEmissions,0.0034
0.01742,0.01943,0.0045,2096,CarbonEmissions,0.0035
0.01779,0.01987,0.0047,2097,CarbonEmissions,0.0036
0.01816,0.02033,0.0049,2098,CarbonEmissions,0.0037
0.01854,0.0208,0.0051,2099,CarbonEmissions,0.0039
0.01897,0.02135,0.0053,2100,CarbonEmissions,0.0041
0.388,0.388,0.388,2019,CarbonEmissions_per_capita,0.38775
0.394,0.394,0.394,2020,CarbonEmissions_per_capita,0.39445
0.386,0.386,0.386,2021,CarbonEmissions_per_capita,0.38646
0.383,0.383,0.383,2022,CarbonEmissions_per_capita,0.38336
0.398,0.398,0.398,2023,CarbonEmissions_per_capita,0.39771
0.402,0.402,0.402,2024,CarbonEmissions_per_capita,0.4024
0.406,0.406,0.419,2025,CarbonEmissions_per_capita,0.41934
0.41,0.41,0.433,2026,CarbonEmissions_per_capita,0.43327
0.415,0.415,0.442,2027,CarbonEmissions_per_capita,0.44202
0.418,0.418,0.443,2028,CarbonEmissions_per_capita,0.44293
0.424,0.424,0.441,2029,CarbonEmissions_per_capita,0.44147
0.431,0.431,0.438,2030,CarbonEmissions_per_capita,0.43794
0.437,0.438,0.433,2031,CarbonEmissions_per_capita,0.43202
0.442,0.445,0.429,2032,CarbonEmissions_per_capita,0.42732
0.447,0.45,0.426,2033,CarbonEmissions_per_capita,0.42365
0.451,0.456,0.424,2034,CarbonEmissions_per_capita,0.42082
0.455,0.461,0.422,2035,CarbonEmissions_per_capita,0.41688
0.459,0.467,0.42,2036,CarbonEmissions_per_capita,0.41379
0.464,0.474,0.42,2037,CarbonEmissions_per_capita,0.41172
0.469,0.481,0.417,2038,CarbonEmissions_per_capita,0.40783
0.475,0.488,0.412,2039,CarbonEmissions_per_capita,0.40088
0.482,0.496,0.401,2040,CarbonEmissions_per_capita,0.38951
0.489,0.505,0.388,2041,CarbonEmissions_per_capita,0.3758
0.496,0.514,0.374,2042,CarbonEmissions_per_capita,0.36053
0.503,0.524,0.358,2043,CarbonEmissions_per_capita,0.34465
0.51,0.533,0.343,2044,CarbonEmissions_per_capita,0.32897
0.516,0.541,0.329,2045,CarbonEmissions_per_capita,0.31365
0.523,0.55,0.318,2046,CarbonEmissions_per_capita,0.30143
0.53,0.559,0.306,2047,CarbonEmissions_per_capita,0.28828
0.538,0.57,0.296,2048,CarbonEmissions_per_capita,0.27764
0.546,0.581,0.289,2049,CarbonEmissions_per_capita,0.26954
0.555,0.594,0.284,2050,CarbonEmissions_per_capita,0.26378
0.565,0.607,0.283,2051,CarbonEmissions_per_capita,0.26096
0.576,0.62,0.286,2052,CarbonEmissions_per_capita,0.26066
0.586,0.634,0.291,2053,CarbonEmissions_per_capita,0.26266
0.597,0.648,0.297,2054,CarbonEmissions_per_capita,0.26638
0.609,0.662,0.304,2055,CarbonEmissions_per_capita,0.27087
0.621,0.677,0.311,2056,CarbonEmissions_per_capita,0.27586
0.633,0.692,0.315,2057,CarbonEmissions_per_capita,0.27955
0.646,0.709,0.318,2058,CarbonEmissions_per_capita,0.28105
0.66,0.725,0.319,2059,CarbonEmissions_per_capita,0.28085
0.673,0.742,0.317,2060,CarbonEmissions_per_capita,0.27831
0.687,0.758,0.314,2061,CarbonEmissions_per_capita,0.27431
0.702,0.776,0.31,2062,CarbonEmissions_per_capita,0.26943
0.719,0.794,0.304,2063,CarbonEmissions_per_capita,0.26411
0.735,0.813,0.299,2064,CarbonEmissions_per_capita,0.25856
0.751,0.833,0.291,2065,CarbonEmissions_per_capita,0.25102
0.768,0.854,0.285,2066,CarbonEmissions_per_capita,0.24496
0.786,0.875,0.281,2067,CarbonEmissions_per_capita,0.24001
0.805,0.896,0.278,2068,CarbonEmissions_per_capita,0.23605
0.824,0.916,0.277,2069,CarbonEmissions_per_capita,0.23317
0.842,0.935,0.277,2070,CarbonEmissions_per_capita,0.23059
0.861,0.953,0.28,2071,CarbonEmissions_per_capita,0.22986
0.88,0.972,0.285,2072,CarbonEmissions_per_capita,0.23058
0.898,0.992,0.292,2073,CarbonEmissions_per_capita,0.23282
0.917,1.016,0.301,2074,CarbonEmissions_per_capita,0.23699
0.937,1.043,0.31,2075,CarbonEmissions_per_capita,0.24238
0.957,1.071,0.32,2076,CarbonEmissions_per_capita,0.24864
0.977,1.101,0.331,2077,CarbonEmissions_per_capita,0.25537
0.998,1.132,0.341,2078,CarbonEmissions_per_capita,0.26278
1.019,1.162,0.35,2079,CarbonEmissions_per_capita,0.26977
1.04,1.194,0.358,2080,CarbonEmissions_per_capita,0.27645
1.062,1.225,0.364,2081,CarbonEmissions_per_capita,0.28175
1.084,1.257,0.368,2082,CarbonEmissions_per_capita,0.28545
1.107,1.29,0.372,2083,CarbonEmissions_per_capita,0.28751
1.13,1.324,0.374,2084,CarbonEmissions_per_capita,0.28866
1.154,1.359,0.376,2085,CarbonEmissions_per_capita,0.28901
1.179,1.394,0.377,2086,CarbonEmissions_per_capita,0.28869
1.205,1.43,0.378,2087,CarbonEmissions_per_capita,0.28801
1.234,1.468,0.38,2088,CarbonEmissions_per_capita,0.28722
1.263,1.509,0.382,2089,CarbonEmissions_per_capita,0.28645
1.294,1.551,0.384,2090,CarbonEmissions_per_capita,0.28589
1.325,1.595,0.387,2091,CarbonEmissions_per_capita,0.28573
1.356,1.64,0.389,2092,CarbonEmissions_per_capita,0.28468
1.387,1.683,0.393,2093,CarbonEmissions_per_capita,0.28535
1.419,1.725,0.4,2094,CarbonEmissions_per_capita,0.28775
1.452,1.767,0.409,2095,CarbonEmissions_per_capita,0.29217
1.484,1.81,0.422,2096,CarbonEmissions_per_capita,0.29874
1.516,1.854,0.438,2097,CarbonEmissions_per_capita,0.30874
1.55,1.9,0.456,2098,CarbonEmissions_per_capita,0.32167
1.584,1.949,0.478,2099,CarbonEmissions_per_capita,0.33683
1.623,2.004,0.5,2100,CarbonEmissions_per_capita,0.35306
15.99,15.99,15.99,2019,ChildMort5Yrs,15.99
16.82,16.82,16.82,2020,ChildMort5Yrs,16.82
16.48,16.48,16.48,2021,ChildMort5Yrs,16.48
15.79,15.79,15.79,2022,ChildMort5Yrs,15.79
15.55,15.55,15.55,2023,ChildMort5Yrs,15.55
15.22,15.22,15.22,2024,ChildMort5Yrs,15.22
15.09,15.07,15.07,2025,ChildMort5Yrs,15.1
15.01,14.96,14.96,2026,ChildMort5Yrs,15.01
14.96,14.83,14.84,2027,ChildMort5Yrs,14.97
14.91,14.7,14.7,2028,ChildMort5Yrs,14.91
14.86,14.58,14.56,2029,ChildMort5Yrs,14.85
14.8,14.46,14.43,2030,ChildMort5Yrs,14.76
14.73,14.34,14.28,2031,ChildMort5Yrs,14.66
14.64,14.21,14.12,2032,ChildMort5Yrs,14.55
14.54,14.05,13.95,2033,ChildMort5Yrs,14.43
14.42,13.87,13.76,2034,ChildMort5Yrs,14.3
14.28,13.67,13.56,2035,ChildMort5Yrs,14.15
14.13,13.47,13.35,2036,ChildMort5Yrs,14.0
13.96,13.24,13.13,2037,ChildMort5Yrs,13.82
13.77,13.02,12.89,2038,ChildMort5Yrs,13.62
13.56,12.77,12.62,2039,ChildMort5Yrs,13.39
13.39,12.57,12.39,2040,ChildMort5Yrs,13.2
13.2,12.35,12.14,2041,ChildMort5Yrs,12.99
13.02,12.12,11.89,2042,ChildMort5Yrs,12.77
12.82,11.89,11.64,2043,ChildMort5Yrs,12.55
12.62,11.65,11.38,2044,ChildMort5Yrs,12.33
