Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00445,0.00445,0.00445,2019,CarbonEmissions,0.00445
0.00474,0.00474,0.00474,2020,CarbonEmissions,0.00474
0.00486,0.00486,0.00486,2021,CarbonEmissions,0.00486
0.00492,0.00492,0.00492,2022,CarbonEmissions,0.00492
0.00511,0.00511,0.00511,2023,CarbonEmissions,0.00511
0.00524,0.00524,0.00524,2024,CarbonEmissions,0.00524
0.00541,0.00541,0.00557,2025,CarbonEmissions,0.00557
0.00561,0.00561,0.00588,2026,CarbonEmissions,0.00588
0.00583,0.00582,0.00615,2027,CarbonEmissions,0.00615
0.006,0.00601,0.00629,2028,CarbonEmissions,0.00629
0.00623,0.00624,0.00641,2029,CarbonEmissions,0.0064
0.00648,0.0065,0.0065,2030,CarbonEmissions,0.00648
0.00672,0.00675,0.00656,2031,CarbonEmissions,0.00654
0.00694,0.00699,0.00663,2032,CarbonEmissions,0.00659
0.00715,0.00722,0.00671,2033,CarbonEmissions,0.00666
0.00736,0.00744,0.0068,2034,CarbonEmissions,0.00673
0.00756,0.00766,0.00687,2035,CarbonEmissions,0.00678
0.00777,0.0079,0.00692,2036,CarbonEmissions,0.00682
0.00799,0.00815,0.00698,2037,CarbonEmissions,0.00684
0.00822,0.00839,0.00698,2038,CarbonEmissions,0.00683
0.00846,0.00865,0.00693,2039,CarbonEmissions,0.00677
0.00872,0.00892,0.0068,2040,CarbonEmissions,0.00662
0.00898,0.00922,0.00662,2041,CarbonEmissions,0.00643
0.00924,0.0095,0.00639,2042,CarbonEmissions,0.00621
0.00948,0.00979,0.00615,2043,CarbonEmissions,0.00595
0.00969,0.01005,0.00591,2044,CarbonEmissions,0.00569
0.0099,0.01029,0.00565,2045,CarbonEmissions,0.00541
0.01008,0.01052,0.00541,2046,CarbonEmissions,0.00516
0.01025,0.01073,0.00519,2047,CarbonEmissions,0.00493
0.01041,0.01093,0.00498,2048,CarbonEmissions,0.00471
0.01056,0.01113,0.00481,2049,CarbonEmissions,0.00452
0.0107,0.01134,0.00471,2050,CarbonEmissions,0.00439
0.01084,0.01152,0.00464,2051,CarbonEmissions,0.00432
0.01096,0.01169,0.0046,2052,CarbonEmissions,0.00426
0.01108,0.01184,0.00458,2053,CarbonEmissions,0.00422
0.01118,0.01198,0.00457,2054,CarbonEmissions,0.00418
0.01128,0.01211,0.00455,2055,CarbonEmissions,0.00415
0.01136,0.01224,0.00449,2056,CarbonEmissions,0.00409
0.01143,0.01237,0.00444,2057,CarbonEmissions,0.00403
0.01149,0.01249,0.00435,2058,CarbonEmissions,0.00394
0.01154,0.01259,0.00426,2059,CarbonEmissions,0.00384
0.01157,0.01269,0.00413,2060,CarbonEmissions,0.00371
0.01158,0.01278,0.004,2061,CarbonEmissions,0.00358
0.01157,0.01287,0.00386,2062,CarbonEmissions,0.00343
0.01156,0.01295,0.00371,2063,CarbonEmissions,0.00329
0.01153,0.01304,0.00356,2064,CarbonEmissions,0.00313
0.0115,0.01313,0.00344,2065,CarbonEmissions,0.00301
0.01144,0.01322,0.00332,2066,CarbonEmissions,0.00289
0.01138,0.01331,0.00321,2067,CarbonEmissions,0.00277
0.0113,0.01341,0.00311,2068,CarbonEmissions,0.00266
0.01122,0.01348,0.00302,2069,CarbonEmissions,0.00256
0.01112,0.01355,0.00293,2070,CarbonEmissions,0.00246
0.01102,0.01361,0.00286,2071,CarbonEmissions,0.00237
0.0109,0.01366,0.0028,2072,CarbonEmissions,0.00229
0.01075,0.01371,0.00275,2073,CarbonEmissions,0.00221
0.0106,0.01377,0.0027,2074,CarbonEmissions,0.00214
0.01043,0.01384,0.00266,2075,CarbonEmissions,0.00207
0.01026,0.01387,0.00262,2076,CarbonEmissions,0.00201
0.01011,0.01389,0.00259,2077,CarbonEmissions,0.00196
0.00995,0.01388,0.00255,2078,CarbonEmissions,0.0019
0.00977,0.01383,0.00251,2079,CarbonEmissions,0.00186
0.00959,0.01376,0.00246,2080,CarbonEmissions,0.00181
0.00941,0.01367,0.00242,2081,CarbonEmissions,0.00176
0.0092,0.01357,0.00237,2082,CarbonEmissions,0.0017
0.00899,0.01347,0.00231,2083,CarbonEmissions,0.00165
0.00878,0.01337,0.00225,2084,CarbonEmissions,0.0016
0.00857,0.0132,0.00219,2085,CarbonEmissions,0.00154
0.00837,0.01301,0.00213,2086,CarbonEmissions,0.00149
0.00817,0.01283,0.00207,2087,CarbonEmissions,0.00144
0.00798,0.01261,0.00201,2088,CarbonEmissions,0.00139
0.0078,0.01237,0.00196,2089,CarbonEmissions,0.00135
0.00763,0.01207,0.0019,2090,CarbonEmissions,0.00131
0.00745,0.01171,0.00185,2091,CarbonEmissions,0.00127
0.00727,0.01131,0.00182,2092,CarbonEmissions,0.00124
0.0071,0.01074,0.00178,2093,CarbonEmissions,0.00123
0.00693,0.01009,0.00175,2094,CarbonEmissions,0.00121
0.00675,0.00944,0.00174,2095,CarbonEmissions,0.00121
0.00656,0.00875,0.00174,2096,CarbonEmissions,0.00121
0.00638,0.00804,0.00175,2097,CarbonEmissions,0.00122
0.00618,0.00734,0.00177,2098,CarbonEmissions,0.00124
0.00593,0.00666,0.0018,2099,CarbonEmissions,0.00127
0.00561,0.00601,0.00184,2100,CarbonEmissions,0.0013
0.275,0.275,0.275,2019,CarbonEmissions_per_capita,0.27468
0.289,0.289,0.289,2020,CarbonEmissions_per_capita,0.28906
0.293,0.293,0.293,2021,CarbonEmissions_per_capita,0.293
0.293,0.293,0.293,2022,CarbonEmissions_per_capita,0.29346
0.301,0.301,0.301,2023,CarbonEmissions_per_capita,0.30133
0.306,0.306,0.306,2024,CarbonEmissions_per_capita,0.30612
0.313,0.313,0.322,2025,CarbonEmissions_per_capita,0.32209
0.321,0.321,0.337,2026,CarbonEmissions_per_capita,0.33698
0.331,0.331,0.349,2027,CarbonEmissions_per_capita,0.34908
0.338,0.338,0.354,2028,CarbonEmissions_per_capita,0.3536
0.348,0.348,0.358,2029,CarbonEmissions_per_capita,0.3573
0.359,0.36,0.36,2030,CarbonEmissions_per_capita,0.35884
0.369,0.371,0.361,2031,CarbonEmissions_per_capita,0.35919
0.379,0.382,0.362,2032,CarbonEmissions_per_capita,0.35977
0.388,0.392,0.364,2033,CarbonEmissions_per_capita,0.36089
0.396,0.402,0.367,2034,CarbonEmissions_per_capita,0.36223
0.405,0.412,0.369,2035,CarbonEmissions_per_capita,0.36272
0.414,0.422,0.37,2036,CarbonEmissions_per_capita,0.36279
0.423,0.434,0.371,2037,CarbonEmissions_per_capita,0.36236
0.433,0.445,0.37,2038,CarbonEmissions_per_capita,0.36011
0.444,0.457,0.366,2039,CarbonEmissions_per_capita,0.35507
0.455,0.47,0.358,2040,CarbonEmissions_per_capita,0.34613
0.467,0.483,0.347,2041,CarbonEmissions_per_capita,0.33492
0.479,0.496,0.334,2042,CarbonEmissions_per_capita,0.32206
0.49,0.51,0.32,2043,CarbonEmissions_per_capita,0.3076
0.5,0.522,0.307,2044,CarbonEmissions_per_capita,0.29312
0.509,0.532,0.292,2045,CarbonEmissions_per_capita,0.27826
0.517,0.542,0.279,2046,CarbonEmissions_per_capita,0.26462
0.524,0.552,0.267,2047,CarbonEmissions_per_capita,0.25182
0.531,0.561,0.255,2048,CarbonEmissions_per_capita,0.24008
0.537,0.569,0.246,2049,CarbonEmissions_per_capita,0.23003
0.544,0.579,0.24,2050,CarbonEmissions_per_capita,0.22317
0.549,0.587,0.236,2051,CarbonEmissions_per_capita,0.21872
0.555,0.595,0.234,2052,CarbonEmissions_per_capita,0.21538
0.56,0.601,0.233,2053,CarbonEmissions_per_capita,0.21295
0.564,0.607,0.232,2054,CarbonEmissions_per_capita,0.21102
0.568,0.613,0.23,2055,CarbonEmissions_per_capita,0.20919
0.572,0.619,0.227,2056,CarbonEmissions_per_capita,0.20594
0.575,0.625,0.225,2057,CarbonEmissions_per_capita,0.20296
0.578,0.631,0.22,2058,CarbonEmissions_per_capita,0.19802
0.58,0.636,0.215,2059,CarbonEmissions_per_capita,0.19309
0.582,0.641,0.209,2060,CarbonEmissions_per_capita,0.18633
0.582,0.646,0.202,2061,CarbonEmissions_per_capita,0.17985
0.582,0.651,0.195,2062,CarbonEmissions_per_capita,0.17277
0.582,0.655,0.188,2063,CarbonEmissions_per_capita,0.1656
0.581,0.661,0.18,2064,CarbonEmissions_per_capita,0.15802
0.58,0.666,0.175,2065,CarbonEmissions_per_capita,0.15213
0.578,0.672,0.169,2066,CarbonEmissions_per_capita,0.14603
0.576,0.677,0.163,2067,CarbonEmissions_per_capita,0.14038
0.574,0.683,0.159,2068,CarbonEmissions_per_capita,0.13495
0.571,0.689,0.154,2069,CarbonEmissions_per_capita,0.13002
0.567,0.694,0.15,2070,CarbonEmissions_per_capita,0.12512
0.563,0.698,0.147,2071,CarbonEmissions_per_capita,0.12089
0.558,0.703,0.144,2072,CarbonEmissions_per_capita,0.11709
0.553,0.707,0.142,2073,CarbonEmissions_per_capita,0.11358
0.546,0.712,0.139,2074,CarbonEmissions_per_capita,0.11022
0.54,0.718,0.138,2075,CarbonEmissions_per_capita,0.10718
0.533,0.722,0.136,2076,CarbonEmissions_per_capita,0.10419
0.527,0.725,0.135,2077,CarbonEmissions_per_capita,0.10208
0.52,0.728,0.133,2078,CarbonEmissions_per_capita,0.09953
0.513,0.727,0.132,2079,CarbonEmissions_per_capita,0.09757
0.506,0.727,0.13,2080,CarbonEmissions_per_capita,0.09517
0.498,0.725,0.128,2081,CarbonEmissions_per_capita,0.09299
0.49,0.723,0.126,2082,CarbonEmissions_per_capita,0.09033
0.481,0.72,0.124,2083,CarbonEmissions_per_capita,0.08819
0.471,0.718,0.121,2084,CarbonEmissions_per_capita,0.08574
0.463,0.713,0.118,2085,CarbonEmissions_per_capita,0.08333
0.454,0.706,0.115,2086,CarbonEmissions_per_capita,0.08095
0.446,0.7,0.113,2087,CarbonEmissions_per_capita,0.07864
0.438,0.691,0.11,2088,CarbonEmissions_per_capita,0.07644
0.43,0.682,0.108,2089,CarbonEmissions_per_capita,0.07437
0.423,0.669,0.105,2090,CarbonEmissions_per_capita,0.07244
0.415,0.653,0.103,2091,CarbonEmissions_per_capita,0.07071
0.408,0.634,0.102,2092,CarbonEmissions_per_capita,0.06979
0.401,0.606,0.1,2093,CarbonEmissions_per_capita,0.0691
0.393,0.573,0.1,2094,CarbonEmissions_per_capita,0.06881
0.386,0.539,0.099,2095,CarbonEmissions_per_capita,0.06909
0.377,0.503,0.1,2096,CarbonEmissions_per_capita,0.06965
0.369,0.465,0.101,2097,CarbonEmissions_per_capita,0.07073
0.36,0.428,0.103,2098,CarbonEmissions_per_capita,0.07227
0.348,0.391,0.106,2099,CarbonEmissions_per_capita,0.07439
0.331,0.355,0.108,2100,CarbonEmissions_per_capita,0.07677
27.78,27.78,27.78,2019,ChildMort5Yrs,27.78
28.44,28.44,28.44,2020,ChildMort5Yrs,28.44
28.12,28.12,28.12,2021,ChildMort5Yrs,28.12
26.74,26.74,26.74,2022,ChildMort5Yrs,26.74
25.72,25.72,25.72,2023,ChildMort5Yrs,25.72
24.63,24.63,24.63,2024,ChildMort5Yrs,24.63
23.45,23.25,23.25,2025,ChildMort5Yrs,23.45
22.39,21.99,21.99,2026,ChildMort5Yrs,22.39
21.56,20.83,20.82,2027,ChildMort5Yrs,21.55
20.73,19.76,19.75,2028,ChildMort5Yrs,20.71
