Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01861,0.01861,0.01861,2019,CarbonEmissions,0.01861
0.01854,0.01854,0.01854,2020,CarbonEmissions,0.01854
0.01725,0.01725,0.01725,2021,CarbonEmissions,0.01725
0.0175,0.0175,0.0175,2022,CarbonEmissions,0.0175
0.01742,0.01742,0.01742,2023,CarbonEmissions,0.01742
0.01811,0.01811,0.01811,2024,CarbonEmissions,0.01811
0.01881,0.01881,0.01924,2025,CarbonEmissions,0.01924
0.01935,0.01935,0.02008,2026,CarbonEmissions,0.02008
0.01962,0.01962,0.02035,2027,CarbonEmissions,0.02035
0.01977,0.01974,0.02012,2028,CarbonEmissions,0.02015
0.01999,0.01996,0.0198,2029,CarbonEmissions,0.01983
0.02026,0.02024,0.01944,2030,CarbonEmissions,0.01947
0.0205,0.02051,0.01893,2031,CarbonEmissions,0.01894
0.02068,0.02074,0.01858,2032,CarbonEmissions,0.01857
0.02084,0.02096,0.01839,2033,CarbonEmissions,0.01834
0.02099,0.02115,0.01838,2034,CarbonEmissions,0.01828
0.02109,0.0213,0.01834,2035,CarbonEmissions,0.01818
0.02121,0.02155,0.01839,2036,CarbonEmissions,0.01817
0.0214,0.02172,0.01831,2037,CarbonEmissions,0.01802
0.02143,0.02197,0.01813,2038,CarbonEmissions,0.01778
0.0216,0.02206,0.0178,2039,CarbonEmissions,0.0174
0.02164,0.02231,0.01732,2040,CarbonEmissions,0.01687
0.02184,0.02243,0.01678,2041,CarbonEmissions,0.0163
0.02189,0.02267,0.01623,2042,CarbonEmissions,0.01572
0.02209,0.02274,0.01566,2043,CarbonEmissions,0.01514
0.02208,0.02289,0.0151,2044,CarbonEmissions,0.01457
0.02212,0.02285,0.01456,2045,CarbonEmissions,0.01402
0.02215,0.02285,0.01396,2046,CarbonEmissions,0.0134
0.02217,0.02287,0.01376,2047,CarbonEmissions,0.01319
0.0222,0.02289,0.0137,2048,CarbonEmissions,0.01311
0.02223,0.02295,0.01372,2049,CarbonEmissions,0.01311
0.02223,0.02303,0.01369,2050,CarbonEmissions,0.01306
0.02223,0.02309,0.01375,2051,CarbonEmissions,0.01309
0.02221,0.02311,0.01393,2052,CarbonEmissions,0.01322
0.02216,0.02311,0.01417,2053,CarbonEmissions,0.0134
0.0221,0.02308,0.01445,2054,CarbonEmissions,0.01363
0.02202,0.02304,0.01471,2055,CarbonEmissions,0.01385
0.02192,0.02299,0.01487,2056,CarbonEmissions,0.01399
0.0218,0.02293,0.01481,2057,CarbonEmissions,0.01394
0.02166,0.02288,0.01474,2058,CarbonEmissions,0.01385
0.02153,0.02281,0.01452,2059,CarbonEmissions,0.01362
0.02139,0.02275,0.01435,2060,CarbonEmissions,0.01347
0.02124,0.02269,0.01415,2061,CarbonEmissions,0.0132
0.02109,0.02265,0.01391,2062,CarbonEmissions,0.01293
0.02096,0.02261,0.01368,2063,CarbonEmissions,0.01263
0.02082,0.02258,0.01341,2064,CarbonEmissions,0.01234
0.0207,0.02255,0.01294,2065,CarbonEmissions,0.01183
0.02056,0.02253,0.01258,2066,CarbonEmissions,0.01144
0.02043,0.02248,0.01226,2067,CarbonEmissions,0.01108
0.02029,0.0224,0.01197,2068,CarbonEmissions,0.01074
0.02013,0.02227,0.0117,2069,CarbonEmissions,0.01041
0.01995,0.02211,0.01147,2070,CarbonEmissions,0.01007
0.01976,0.02191,0.01129,2071,CarbonEmissions,0.00977
0.01955,0.02169,0.01111,2072,CarbonEmissions,0.00951
0.01936,0.02151,0.01094,2073,CarbonEmissions,0.00926
0.01913,0.02137,0.0108,2074,CarbonEmissions,0.00903
0.01893,0.02131,0.01062,2075,CarbonEmissions,0.00881
0.01875,0.02139,0.01047,2076,CarbonEmissions,0.00862
0.01859,0.0214,0.01024,2077,CarbonEmissions,0.00839
0.01842,0.02144,0.01004,2078,CarbonEmissions,0.00818
0.01826,0.02145,0.00977,2079,CarbonEmissions,0.00793
0.0181,0.02146,0.00952,2080,CarbonEmissions,0.00769
0.01795,0.02145,0.00923,2081,CarbonEmissions,0.00741
0.0178,0.02143,0.00893,2082,CarbonEmissions,0.00715
0.01764,0.0214,0.00861,2083,CarbonEmissions,0.00686
0.01748,0.02138,0.00828,2084,CarbonEmissions,0.00657
0.01734,0.02136,0.00795,2085,CarbonEmissions,0.00628
0.0172,0.02134,0.00762,2086,CarbonEmissions,0.00599
