Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0007,0.0007,0.0007,2019,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2020,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2021,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2022,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2023,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2024,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2025,CarbonEmissions,0.0007
0.0007,0.0007,0.0008,2026,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2027,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2028,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2029,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2030,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2031,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2032,CarbonEmissions,0.0008
0.0008,0.0008,0.0008,2033,CarbonEmissions,0.0008
0.0008,0.0009,0.0008,2034,CarbonEmissions,0.0008
0.0009,0.0009,0.0008,2035,CarbonEmissions,0.0008
0.0009,0.0009,0.0009,2036,CarbonEmissions,0.0008
0.0009,0.0009,0.0009,2037,CarbonEmissions,0.0009
0.0009,0.0009,0.0009,2038,CarbonEmissions,0.0009
0.0009,0.0009,0.0009,2039,CarbonEmissions,0.0009
0.0009,0.0009,0.0009,2040,CarbonEmissions,0.0009
0.0009,0.0009,0.0009,2041,CarbonEmissions,0.0009
0.0009,0.0009,0.0009,2042,CarbonEmissions,0.0009
0.0009,0.001,0.0009,2043,CarbonEmissions,0.0008
0.0009,0.001,0.0009,2044,CarbonEmissions,0.0008
0.0009,0.001,0.0008,2045,CarbonEmissions,0.0008
0.0009,0.001,0.0008,2046,CarbonEmissions,0.0008
0.0009,0.001,0.0008,2047,CarbonEmissions,0.0008
0.0009,0.001,0.0008,2048,CarbonEmissions,0.0007
0.0009,0.001,0.0008,2049,CarbonEmissions,0.0007
0.0009,0.001,0.0007,2050,CarbonEmissions,0.0007
0.0009,0.001,0.0007,2051,CarbonEmissions,0.0007
0.0009,0.001,0.0007,2052,CarbonEmissions,0.0007
0.0009,0.001,0.0007,2053,CarbonEmissions,0.0007
0.0009,0.001,0.0007,2054,CarbonEmissions,0.0007
0.001,0.001,0.0007,2055,CarbonEmissions,0.0007
0.001,0.001,0.0007,2056,CarbonEmissions,0.0007
0.001,0.001,0.0007,2057,CarbonEmissions,0.0007
0.001,0.001,0.0007,2058,CarbonEmissions,0.0007
0.001,0.001,0.0007,2059,CarbonEmissions,0.0007
0.001,0.0011,0.0007,2060,CarbonEmissions,0.0006
0.001,0.0011,0.0007,2061,CarbonEmissions,0.0006
0.001,0.0011,0.0006,2062,CarbonEmissions,0.0006
0.001,0.0011,0.0006,2063,CarbonEmissions,0.0006
0.001,0.0011,0.0006,2064,CarbonEmissions,0.0006
0.001,0.0011,0.0006,2065,CarbonEmissions,0.0006
0.001,0.0011,0.0006,2066,CarbonEmissions,0.0006
0.001,0.0012,0.0006,2067,CarbonEmissions,0.0006
0.001,0.0012,0.0006,2068,CarbonEmissions,0.0005
0.001,0.0012,0.0006,2069,CarbonEmissions,0.0005
0.001,0.0012,0.0006,2070,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2071,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2072,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2073,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2074,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2075,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2076,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2077,CarbonEmissions,0.0005
0.001,0.0012,0.0005,2078,CarbonEmissions,0.0005
