Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00372,0.00372,0.00372,2019,CarbonEmissions,0.00372
0.00369,0.00369,0.00369,2020,CarbonEmissions,0.00369
0.00361,0.00361,0.00361,2021,CarbonEmissions,0.00361
0.00363,0.00363,0.00363,2022,CarbonEmissions,0.00363
0.00357,0.00357,0.00357,2023,CarbonEmissions,0.00357
0.00328,0.00328,0.00328,2024,CarbonEmissions,0.00328
0.00314,0.00314,0.003,2025,CarbonEmissions,0.003
0.00303,0.00303,0.00275,2026,CarbonEmissions,0.00275
0.00291,0.00291,0.00249,2027,CarbonEmissions,0.00249
0.00284,0.00284,0.00226,2028,CarbonEmissions,0.00225
0.00276,0.00277,0.00199,2029,CarbonEmissions,0.00198
0.00268,0.00269,0.00171,2030,CarbonEmissions,0.00169
0.0026,0.00261,0.00141,2031,CarbonEmissions,0.00139
0.00252,0.00253,0.0011,2032,CarbonEmissions,0.00108
0.00245,0.00246,0.0008,2033,CarbonEmissions,0.00077
0.00241,0.00247,0.00054,2034,CarbonEmissions,0.00048
0.00241,0.00247,0.00034,2035,CarbonEmissions,0.00029
0.0024,0.00247,0.00012,2036,CarbonEmissions,7e-05
0.00238,0.00247,-0.0001,2037,CarbonEmissions,-0.00015
0.00237,0.00248,-0.00033,2038,CarbonEmissions,-0.00036
0.00235,0.00249,-0.0005,2039,CarbonEmissions,-0.00054
0.00233,0.00249,-0.00059,2040,CarbonEmissions,-0.00063
0.00231,0.00249,-0.00065,2041,CarbonEmissions,-0.00069
0.00229,0.00247,-0.00068,2042,CarbonEmissions,-0.00072
0.00226,0.00244,-0.00072,2043,CarbonEmissions,-0.00075
0.00222,0.0024,-0.00077,2044,CarbonEmissions,-0.0008
0.00218,0.00235,-0.00082,2045,CarbonEmissions,-0.00085
0.00213,0.00228,-0.00087,2046,CarbonEmissions,-0.00089
0.00207,0.00221,-0.00093,2047,CarbonEmissions,-0.00095
0.00199,0.00211,-0.001,2048,CarbonEmissions,-0.00102
0.0019,0.002,-0.0011,2049,CarbonEmissions,-0.0011
0.0018,0.00188,-0.0012,2050,CarbonEmissions,-0.00119
0.0017,0.00175,-0.0013,2051,CarbonEmissions,-0.0013
0.00158,0.00162,-0.00132,2052,CarbonEmissions,-0.00132
0.00147,0.00149,-0.00133,2053,CarbonEmissions,-0.00134
0.00134,0.00136,-0.00134,2054,CarbonEmissions,-0.00135
0.00123,0.00122,-0.00136,2055,CarbonEmissions,-0.00136
0.00111,0.00109,-0.00136,2056,CarbonEmissions,-0.00137
0.00099,0.00095,-0.00137,2057,CarbonEmissions,-0.00137
0.00087,0.00081,-0.00138,2058,CarbonEmissions,-0.00138
0.00075,0.00066,-0.00138,2059,CarbonEmissions,-0.00138
0.00063,0.00052,-0.00139,2060,CarbonEmissions,-0.00139
0.00052,0.00037,-0.00139,2061,CarbonEmissions,-0.00139
0.0004,0.00022,-0.0014,2062,CarbonEmissions,-0.0014
0.00028,0.00006,-0.0014,2063,CarbonEmissions,-0.0014
0.00015,-0.00009,-0.0014,2064,CarbonEmissions,-0.0014
3e-05,-0.00025,-0.00141,2065,CarbonEmissions,-0.00141
-0.0001,-0.00039,-0.00141,2066,CarbonEmissions,-0.00141
-0.00023,-0.00052,-0.00141,2067,CarbonEmissions,-0.00141
-0.00036,-0.00064,-0.00141,2068,CarbonEmissions,-0.00141
-0.00048,-0.00075,-0.00141,2069,CarbonEmissions,-0.00142
-0.0006,-0.00085,-0.00142,2070,CarbonEmissions,-0.00142
-0.0007,-0.00094,-0.00142,2071,CarbonEmissions,-0.00142
-0.0008,-0.00104,-0.00142,2072,CarbonEmissions,-0.00142
-0.00091,-0.00114,-0.00142,2073,CarbonEmissions,-0.00142
-0.00101,-0.00123,-0.00142,2074,CarbonEmissions,-0.00142
-0.0011,-0.00131,-0.00142,2075,CarbonEmissions,-0.00142
-0.00118,-0.00139,-0.00142,2076,CarbonEmissions,-0.00142
-0.00125,-0.00139,-0.00142,2077,CarbonEmissions,-0.00142
-0.00133,-0.00139,-0.00142,2078,CarbonEmissions,-0.00142
-0.00139,-0.0014,-0.00143,2079,CarbonEmissions,-0.00143
-0.0014,-0.0014,-0.00143,2080,CarbonEmissions,-0.00143
-0.0014,-0.0014,-0.00143,2081,CarbonEmissions,-0.00143
-0.0014,-0.0014,-0.00143,2082,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2083,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2084,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2085,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2086,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2087,CarbonEmissions,-0.00143
-0.00141,-0.00141,-0.00143,2088,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2089,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2090,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2091,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2092,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2093,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2094,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2095,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2096,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2097,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2098,CarbonEmissions,-0.00143
-0.00142,-0.00142,-0.00143,2099,CarbonEmissions,-0.00143
-0.00143,-0.00143,-0.00143,2100,CarbonEmissions,-0.00143
1.305,1.305,1.305,2019,CarbonEmissions_per_capita,1.30497
1.315,1.315,1.315,2020,CarbonEmissions_per_capita,1.31523
