Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00262,0.00262,0.00262,2019,CarbonEmissions,0.00262
0.0025,0.0025,0.0025,2020,CarbonEmissions,0.0025
0.00255,0.00255,0.00255,2021,CarbonEmissions,0.00255
0.00262,0.00262,0.00262,2022,CarbonEmissions,0.00262
0.00263,0.00263,0.00263,2023,CarbonEmissions,0.00263
0.00245,0.00245,0.00245,2024,CarbonEmissions,0.00245
0.00229,0.00229,0.00236,2025,CarbonEmissions,0.00236
0.00222,0.00222,0.00228,2026,CarbonEmissions,0.00228
0.00218,0.00219,0.00214,2027,CarbonEmissions,0.00214
0.00208,0.00207,0.00184,2028,CarbonEmissions,0.00184
0.00198,0.00197,0.00151,2029,CarbonEmissions,0.00151
0.00191,0.00191,0.00119,2030,CarbonEmissions,0.00119
0.00182,0.00183,0.00085,2031,CarbonEmissions,0.00085
0.0017,0.00173,0.00053,2032,CarbonEmissions,0.00052
0.00158,0.00162,0.00024,2033,CarbonEmissions,0.00022
0.00145,0.0015,-0.00003,2034,CarbonEmissions,-6e-05
0.00133,0.00138,-0.00026,2035,CarbonEmissions,-0.0003
0.00121,0.00127,-0.0005,2036,CarbonEmissions,-0.00054
0.00109,0.00116,-0.0007,2037,CarbonEmissions,-0.00075
0.00098,0.00104,-0.00092,2038,CarbonEmissions,-0.00096
0.00086,0.00092,-0.00115,2039,CarbonEmissions,-0.00119
0.00075,0.00081,-0.00137,2040,CarbonEmissions,-0.00141
0.00065,0.00071,-0.00158,2041,CarbonEmissions,-0.00162
0.00054,0.00061,-0.0018,2042,CarbonEmissions,-0.00184
0.00044,0.00051,-0.002,2043,CarbonEmissions,-0.00204
0.00033,0.0004,-0.00219,2044,CarbonEmissions,-0.00222
0.00022,0.00029,-0.00236,2045,CarbonEmissions,-0.0024
0.00011,0.00019,-0.00252,2046,CarbonEmissions,-0.00255
1e-05,0.00008,-0.00268,2047,CarbonEmissions,-0.00271
-9e-05,-0.00002,-0.00282,2048,CarbonEmissions,-0.00286
-0.00019,-0.00011,-0.00295,2049,CarbonEmissions,-0.00299
-0.00029,-0.0002,-0.00306,2050,CarbonEmissions,-0.0031
-0.00038,-0.00028,-0.00316,2051,CarbonEmissions,-0.00319
-0.00047,-0.00037,-0.00324,2052,CarbonEmissions,-0.00327
-0.00056,-0.00046,-0.00332,2053,CarbonEmissions,-0.00334
-0.00065,-0.00055,-0.00339,2054,CarbonEmissions,-0.00341
-0.00074,-0.00064,-0.00345,2055,CarbonEmissions,-0.00347
-0.00083,-0.00072,-0.00351,2056,CarbonEmissions,-0.00353
-0.00091,-0.00081,-0.00357,2057,CarbonEmissions,-0.00358
-0.001,-0.00089,-0.00362,2058,CarbonEmissions,-0.00363
-0.00108,-0.00098,-0.00367,2059,CarbonEmissions,-0.00368
-0.00116,-0.00106,-0.00371,2060,CarbonEmissions,-0.00372
-0.00124,-0.00114,-0.00375,2061,CarbonEmissions,-0.00376
-0.00132,-0.00121,-0.00379,2062,CarbonEmissions,-0.0038
-0.00139,-0.00129,-0.00382,2063,CarbonEmissions,-0.00383
-0.00146,-0.00136,-0.00385,2064,CarbonEmissions,-0.00386
-0.00153,-0.00143,-0.00388,2065,CarbonEmissions,-0.00388
-0.0016,-0.00149,-0.0039,2066,CarbonEmissions,-0.0039
-0.00167,-0.00156,-0.00392,2067,CarbonEmissions,-0.00392
-0.00174,-0.00162,-0.00394,2068,CarbonEmissions,-0.00394
-0.0018,-0.00169,-0.00396,2069,CarbonEmissions,-0.00396
-0.00186,-0.00176,-0.00397,2070,CarbonEmissions,-0.00397
-0.00192,-0.00183,-0.00398,2071,CarbonEmissions,-0.00398
-0.00199,-0.0019,-0.004,2072,CarbonEmissions,-0.004
-0.00205,-0.00196,-0.00401,2073,CarbonEmissions,-0.00401
-0.00211,-0.00203,-0.00402,2074,CarbonEmissions,-0.00402
-0.00216,-0.00208,-0.00403,2075,CarbonEmissions,-0.00403
-0.00222,-0.00214,-0.00404,2076,CarbonEmissions,-0.00404
-0.00227,-0.00219,-0.00405,2077,CarbonEmissions,-0.00405
-0.00232,-0.00224,-0.00405,2078,CarbonEmissions,-0.00405
-0.00237,-0.00229,-0.00406,2079,CarbonEmissions,-0.00406
-0.00241,-0.00234,-0.00407,2080,CarbonEmissions,-0.00407
-0.00246,-0.00239,-0.00407,2081,CarbonEmissions,-0.00407
-0.0025,-0.00244,-0.00408,2082,CarbonEmissions,-0.00408
-0.00254,-0.00248,-0.00408,2083,CarbonEmissions,-0.00408
-0.00258,-0.00252,-0.00408,2084,CarbonEmissions,-0.00408
-0.00262,-0.00257,-0.00409,2085,CarbonEmissions,-0.00409
-0.00266,-0.00261,-0.00409,2086,CarbonEmissions,-0.00409
-0.0027,-0.00265,-0.00409,2087,CarbonEmissions,-0.00409
-0.00273,-0.00269,-0.00409,2088,CarbonEmissions,-0.00409
-0.00276,-0.00273,-0.00409,2089,CarbonEmissions,-0.00409
-0.0028,-0.00276,-0.0041,2090,CarbonEmissions,-0.0041
-0.00283,-0.0028,-0.0041,2091,CarbonEmissions,-0.0041
-0.00286,-0.00284,-0.0041,2092,CarbonEmissions,-0.0041
-0.00289,-0.00287,-0.0041,2093,CarbonEmissions,-0.0041
-0.00292,-0.00291,-0.0041,2094,CarbonEmissions,-0.0041
-0.00295,-0.00294,-0.0041,2095,CarbonEmissions,-0.0041
-0.00298,-0.00298,-0.00411,2096,CarbonEmissions,-0.0041
-0.003,-0.00301,-0.00411,2097,CarbonEmissions,-0.00411
-0.00303,-0.00305,-0.00411,2098,CarbonEmissions,-0.00411
-0.00306,-0.00309,-0.00411,2099,CarbonEmissions,-0.00411
-0.00308,-0.00312,-0.00411,2100,CarbonEmissions,-0.00411
4.226,4.226,4.226,2019,CarbonEmissions_per_capita,4.22581
3.959,3.959,3.959,2020,CarbonEmissions_per_capita,3.95887
3.969,3.969,3.969,2021,CarbonEmissions_per_capita,3.96853
4.032,4.032,4.032,2022,CarbonEmissions_per_capita,4.03204
3.993,3.993,3.993,2023,CarbonEmissions_per_capita,3.99262
3.695,3.695,3.695,2024,CarbonEmissions_per_capita,3.69532
3.423,3.423,3.522,2025,CarbonEmissions_per_capita,3.52198
3.289,3.291,3.377,2026,CarbonEmissions_per_capita,3.37535
3.206,3.207,3.141,2027,CarbonEmissions_per_capita,3.13981
3.026,3.019,2.681,2028,CarbonEmissions_per_capita,2.68669
2.86,2.853,2.179,2029,CarbonEmissions_per_capita,2.18515
2.735,2.736,1.705,2030,CarbonEmissions_per_capita,1.7048
2.595,2.611,1.216,2031,CarbonEmissions_per_capita,1.20805
2.412,2.445,0.756,2032,CarbonEmissions_per_capita,0.73752
2.224,2.276,0.343,2033,CarbonEmissions_per_capita,0.3125
2.034,2.094,-0.038,2034,CarbonEmissions_per_capita,-0.07932
1.851,1.918,-0.368,2035,CarbonEmissions_per_capita,-0.4192
1.669,1.752,-0.685,2036,CarbonEmissions_per_capita,-0.74172
1.499,1.593,-0.965,2037,CarbonEmissions_per_capita,-1.02739
1.337,1.423,-1.257,2038,CarbonEmissions_per_capita,-1.32036
1.17,1.255,-1.561,2039,CarbonEmissions_per_capita,-1.62247
1.02,1.101,-1.849,2040,CarbonEmissions_per_capita,-1.90854
0.871,0.96,-2.135,2041,CarbonEmissions_per_capita,-2.19263
0.727,0.819,-2.411,2042,CarbonEmissions_per_capita,-2.46713
0.585,0.683,-2.671,2043,CarbonEmissions_per_capita,-2.72545
0.437,0.535,-2.909,2044,CarbonEmissions_per_capita,-2.96266
0.291,0.389,-3.128,2045,CarbonEmissions_per_capita,-3.181
0.148,0.246,-3.324,2046,CarbonEmissions_per_capita,-3.37647
0.009,0.109,-3.523,2047,CarbonEmissions_per_capita,-3.57457
-0.124,-0.025,-3.7,2048,CarbonEmissions_per_capita,-3.75297
-0.252,-0.147,-3.859,2049,CarbonEmissions_per_capita,-3.91247
-0.373,-0.255,-3.991,2050,CarbonEmissions_per_capita,-4.04405
-0.494,-0.367,-4.106,2051,CarbonEmissions_per_capita,-4.1553
-0.613,-0.481,-4.204,2052,CarbonEmissions_per_capita,-4.24923
-0.73,-0.596,-4.292,2053,CarbonEmissions_per_capita,-4.3324
-0.846,-0.709,-4.372,2054,CarbonEmissions_per_capita,-4.40946
-0.958,-0.822,-4.446,2055,CarbonEmissions_per_capita,-4.47956
-1.067,-0.93,-4.515,2056,CarbonEmissions_per_capita,-4.54643
-1.175,-1.038,-4.579,2057,CarbonEmissions_per_capita,-4.60884
-1.28,-1.143,-4.639,2058,CarbonEmissions_per_capita,-4.66798
-1.381,-1.249,-4.694,2059,CarbonEmissions_per_capita,-4.72137
-1.483,-1.351,-4.743,2060,CarbonEmissions_per_capita,-4.76945
-1.584,-1.452,-4.789,2061,CarbonEmissions_per_capita,-4.8137
-1.682,-1.547,-4.832,2062,CarbonEmissions_per_capita,-4.85464
-1.775,-1.64,-4.872,2063,CarbonEmissions_per_capita,-4.89264
-1.867,-1.727,-4.909,2064,CarbonEmissions_per_capita,-4.92829
-1.956,-1.814,-4.934,2065,CarbonEmissions_per_capita,-4.95118
-2.042,-1.897,-4.959,2066,CarbonEmissions_per_capita,-4.97467
-2.126,-1.98,-4.983,2067,CarbonEmissions_per_capita,-4.99687
-2.209,-2.062,-5.005,2068,CarbonEmissions_per_capita,-5.01778
-2.289,-2.147,-5.026,2069,CarbonEmissions_per_capita,-5.03705
-2.369,-2.232,-5.038,2070,CarbonEmissions_per_capita,-5.04875
-2.446,-2.318,-5.054,2071,CarbonEmissions_per_capita,-5.06393
-2.523,-2.405,-5.069,2072,CarbonEmissions_per_capita,-5.0776
-2.6,-2.489,-5.082,2073,CarbonEmissions_per_capita,-5.09009
-2.675,-2.567,-5.095,2074,CarbonEmissions_per_capita,-5.10183
-2.747,-2.638,-5.106,2075,CarbonEmissions_per_capita,-5.11262
-2.816,-2.708,-5.116,2076,CarbonEmissions_per_capita,-5.12263
-2.879,-2.773,-5.125,2077,CarbonEmissions_per_capita,-5.1313
-2.942,-2.837,-5.133,2078,CarbonEmissions_per_capita,-5.1391
-3.002,-2.902,-5.14,2079,CarbonEmissions_per_capita,-5.1458
-3.059,-2.963,-5.145,2080,CarbonEmissions_per_capita,-5.15141
-3.111,-3.022,-5.15,2081,CarbonEmissions_per_capita,-5.15587
-3.165,-3.08,-5.154,2082,CarbonEmissions_per_capita,-5.15946
-3.217,-3.136,-5.158,2083,CarbonEmissions_per_capita,-5.16204
-3.268,-3.19,-5.16,2084,CarbonEmissions_per_capita,-5.16391
-3.316,-3.244,-5.162,2085,CarbonEmissions_per_capita,-5.16503
-3.361,-3.296,-5.164,2086,CarbonEmissions_per_capita,-5.16541
-3.405,-3.346,-5.165,2087,CarbonEmissions_per_capita,-5.16516
-3.446,-3.394,-5.165,2088,CarbonEmissions_per_capita,-5.16423
-3.486,-3.438,-5.165,2089,CarbonEmissions_per_capita,-5.16283
-3.522,-3.482,-5.164,2090,CarbonEmissions_per_capita,-5.16082
-3.559,-3.526,-5.163,2091,CarbonEmissions_per_capita,-5.1583
-3.595,-3.569,-5.161,2092,CarbonEmissions_per_capita,-5.15547
-3.629,-3.612,-5.159,2093,CarbonEmissions_per_capita,-5.15211
-3.661,-3.652,-5.157,2094,CarbonEmissions_per_capita,-5.14838
-3.693,-3.693,-5.154,2095,CarbonEmissions_per_capita,-5.14425
-3.725,-3.736,-5.151,2096,CarbonEmissions_per_capita,-5.13977
-3.755,-3.778,-5.147,2097,CarbonEmissions_per_capita,-5.13508
-3.784,-3.819,-5.142,2098,CarbonEmissions_per_capita,-5.12974
-3.812,-3.859,-5.137,2099,CarbonEmissions_per_capita,-5.12354
-3.836,-3.894,-5.132,2100,CarbonEmissions_per_capita,-5.1173
2.06164,2.06164,2.06164,2019,ChildMort5Yrs,2.06164
2.07165,2.07165,2.07165,2020,ChildMort5Yrs,2.07165
1.96859,1.96859,1.96859,2021,ChildMort5Yrs,1.96859
1.94752,1.94752,1.94752,2022,ChildMort5Yrs,1.94752
1.96216,1.96216,1.96216,2023,ChildMort5Yrs,1.96216
1.93599,1.93599,1.93599,2024,ChildMort5Yrs,1.93599
1.87507,1.87461,1.87461,2025,ChildMort5Yrs,1.87506
1.81746,1.81592,1.81591,2026,ChildMort5Yrs,1.81745
1.78459,1.77975,1.77921,2027,ChildMort5Yrs,1.78405
1.75388,1.74522,1.7439,2028,ChildMort5Yrs,1.75251
1.71985,1.7068,1.7043,2029,ChildMort5Yrs,1.71729
1.69009,1.67279,1.66899,2030,ChildMort5Yrs,1.68622
1.66331,1.64164,1.63659,2031,ChildMort5Yrs,1.65817
1.63734,1.61111,1.60515,2032,ChildMort5Yrs,1.63122
1.6132,1.58268,1.57616,2033,ChildMort5Yrs,1.60654
1.59066,1.55623,1.5496,2034,ChildMort5Yrs,1.58358
1.5693,1.53141,1.525,2035,ChildMort5Yrs,1.5623
1.54903,1.50792,1.50152,2036,ChildMort5Yrs,1.54214
1.52954,1.48516,1.47892,2037,ChildMort5Yrs,1.52277
1.51006,1.46267,1.4564,2038,ChildMort5Yrs,1.50318
1.49012,1.4401,1.4337,2039,ChildMort5Yrs,1.48311
1.46957,1.41686,1.41028,2040,ChildMort5Yrs,1.46231
1.44961,1.39421,1.38734,2041,ChildMort5Yrs,1.44198
1.42991,1.37181,1.36459,2042,ChildMort5Yrs,1.42185
1.40993,1.34923,1.34156,2043,ChildMort5Yrs,1.40135
1.38944,1.32622,1.31815,2044,ChildMort5Yrs,1.38038
1.36762,1.30205,1.29364,2045,ChildMort5Yrs,1.3582
1.34598,1.27811,1.26948,2046,ChildMort5Yrs,1.33629
1.32463,1.25452,1.24582,2047,ChildMort5Yrs,1.31479
1.30364,1.23145,1.22284,2048,ChildMort5Yrs,1.29383
1.28299,1.20887,1.20036,2049,ChildMort5Yrs,1.27321
1.26231,1.1865,1.17822,2050,ChildMort5Yrs,1.25268
1.24207,1.16461,1.15648,2051,ChildMort5Yrs,1.23254
1.22248,1.14338,1.13554,2052,ChildMort5Yrs,1.21312
1.20363,1.12284,1.1153,2053,ChildMort5Yrs,1.19445
1.18561,1.10308,1.0959,2054,ChildMort5Yrs,1.17673
1.16903,1.08473,1.07792,2055,ChildMort5Yrs,1.16045
1.15269,1.06674,1.06023,2056,ChildMort5Yrs,1.14443
1.13623,1.04901,1.04263,2057,ChildMort5Yrs,1.12815
1.11966,1.03149,1.02525,2058,ChildMort5Yrs,1.11175
1.10312,1.014,1.00774,2059,ChildMort5Yrs,1.09524
1.08778,0.99731,0.99101,2060,ChildMort5Yrs,1.07994
1.07268,0.98063,0.97428,2061,ChildMort5Yrs,1.06473
1.05796,0.96419,0.95785,2062,ChildMort5Yrs,1.04996
1.04365,0.94809,0.94177,2063,ChildMort5Yrs,1.03555
1.02971,0.9325,0.92613,2064,ChildMort5Yrs,1.02149
1.01648,0.91768,0.91143,2065,ChildMort5Yrs,1.00829
1.00366,0.90344,0.89722,2066,ChildMort5Yrs,0.99537
0.99128,0.88981,0.88366,2067,ChildMort5Yrs,0.98296
0.97931,0.87664,0.87052,2068,ChildMort5Yrs,0.97091
0.96758,0.86389,0.85785,2069,ChildMort5Yrs,0.95916
0.95607,0.85149,0.84555,2070,ChildMort5Yrs,0.94767
0.94492,0.83944,0.83359,2071,ChildMort5Yrs,0.93656
0.93406,0.82764,0.82192,2072,ChildMort5Yrs,0.92575
0.92349,0.81605,0.81044,2073,ChildMort5Yrs,0.91527
0.91325,0.80464,0.79912,2074,ChildMort5Yrs,0.90509
0.90311,0.79327,0.78782,2075,ChildMort5Yrs,0.89507
0.89297,0.782,0.77667,2076,ChildMort5Yrs,0.88502
0.88283,0.77082,0.76549,2077,ChildMort5Yrs,0.87488
0.87266,0.75974,0.75449,2078,ChildMort5Yrs,0.8648
0.86245,0.74874,0.74346,2079,ChildMort5Yrs,0.85449
0.8521,0.73784,0.73262,2080,ChildMort5Yrs,0.84422
0.84187,0.72713,0.72187,2081,ChildMort5Yrs,0.83394
0.83168,0.71658,0.71132,2082,ChildMort5Yrs,0.8238
0.82148,0.70611,0.70085,2083,ChildMort5Yrs,0.81353
0.81124,0.69573,0.6905,2084,ChildMort5Yrs,0.80333
0.80089,0.68531,0.68015,2085,ChildMort5Yrs,0.79302
0.79079,0.67511,0.67001,2086,ChildMort5Yrs,0.78289
0.78102,0.66513,0.6601,2087,ChildMort5Yrs,0.77298
0.77141,0.65533,0.65041,2088,ChildMort5Yrs,0.76341
0.762,0.64587,0.64096,2089,ChildMort5Yrs,0.754
0.75275,0.63668,0.63178,2090,ChildMort5Yrs,0.74472
0.74364,0.62773,0.62287,2091,ChildMort5Yrs,0.73561
0.73476,0.61906,0.61416,2092,ChildMort5Yrs,0.72674
0.72606,0.6106,0.60567,2093,ChildMort5Yrs,0.71813
0.7176,0.60236,0.59742,2094,ChildMort5Yrs,0.70971
0.70929,0.59432,0.58946,2095,ChildMort5Yrs,0.70146
0.70117,0.58645,0.58165,2096,ChildMort5Yrs,0.6934
0.6932,0.57873,0.574,2097,ChildMort5Yrs,0.6855
0.68542,0.57118,0.56652,2098,ChildMort5Yrs,0.67778
0.67779,0.56382,0.55923,2099,ChildMort5Yrs,0.67025
0.67031,0.5566,0.55209,2100,ChildMort5Yrs,0.66287
0.056,0.056,0.056,2019,ENDEM,0.05595
0.055,0.055,0.055,2020,ENDEM,0.05541
0.055,0.055,0.055,2021,ENDEM,0.0552
0.056,0.056,0.056,2022,ENDEM,0.0558
0.056,0.056,0.056,2023,ENDEM,0.05601
0.055,0.055,0.055,2024,ENDEM,0.05539
0.055,0.055,0.054,2025,ENDEM,0.05423
0.055,0.055,0.054,2026,ENDEM,0.05365
0.055,0.055,0.053,2027,ENDEM,0.05316
0.055,0.055,0.052,2028,ENDEM,0.05222
0.055,0.055,0.051,2029,ENDEM,0.05122
0.054,0.054,0.051,2030,ENDEM,0.0504
0.054,0.054,0.05,2031,ENDEM,0.04962
0.053,0.054,0.049,2032,ENDEM,0.04875
0.053,0.054,0.048,2033,ENDEM,0.04788
0.053,0.053,0.048,2034,ENDEM,0.04702
0.052,0.053,0.047,2035,ENDEM,0.04615
0.052,0.053,0.046,2036,ENDEM,0.04526
0.052,0.052,0.045,2037,ENDEM,0.04438
0.051,0.052,0.044,2038,ENDEM,0.04348
0.051,0.052,0.043,2039,ENDEM,0.04259
0.05,0.051,0.043,2040,ENDEM,0.04205
0.05,0.051,0.042,2041,ENDEM,0.04152
0.049,0.051,0.042,2042,ENDEM,0.04099
0.049,0.05,0.041,2043,ENDEM,0.04046
0.049,0.05,0.041,2044,ENDEM,0.03994
0.048,0.05,0.041,2045,ENDEM,0.03941
0.048,0.049,0.04,2046,ENDEM,0.03888
0.047,0.049,0.04,2047,ENDEM,0.03835
0.047,0.049,0.039,2048,ENDEM,0.0378
0.047,0.048,0.039,2049,ENDEM,0.03723
0.046,0.048,0.038,2050,ENDEM,0.03665
0.046,0.047,0.037,2051,ENDEM,0.03604
0.045,0.047,0.037,2052,ENDEM,0.0354
0.045,0.047,0.036,2053,ENDEM,0.03474
0.044,0.046,0.035,2054,ENDEM,0.03404
0.044,0.046,0.035,2055,ENDEM,0.03341
0.044,0.046,0.034,2056,ENDEM,0.03276
0.043,0.045,0.034,2057,ENDEM,0.03211
0.043,0.045,0.033,2058,ENDEM,0.03147
0.042,0.045,0.032,2059,ENDEM,0.03085
0.042,0.044,0.032,2060,ENDEM,0.03024
0.042,0.044,0.031,2061,ENDEM,0.02965
0.041,0.044,0.031,2062,ENDEM,0.02908
0.041,0.043,0.03,2063,ENDEM,0.02853
0.041,0.043,0.03,2064,ENDEM,0.02799
0.04,0.043,0.029,2065,ENDEM,0.02746
0.04,0.042,0.028,2066,ENDEM,0.02693
0.039,0.042,0.028,2067,ENDEM,0.0264
0.039,0.042,0.027,2068,ENDEM,0.02588
0.039,0.041,0.027,2069,ENDEM,0.02536
0.038,0.041,0.027,2070,ENDEM,0.02521
0.038,0.041,0.026,2071,ENDEM,0.02484
0.038,0.04,0.026,2072,ENDEM,0.02446
0.037,0.04,0.026,2073,ENDEM,0.02407
0.037,0.04,0.025,2074,ENDEM,0.02368
0.037,0.04,0.025,2075,ENDEM,0.02329
0.036,0.039,0.024,2076,ENDEM,0.02289
0.036,0.039,0.024,2077,ENDEM,0.02249
0.036,0.039,0.024,2078,ENDEM,0.0221
0.035,0.039,0.023,2079,ENDEM,0.02172
0.035,0.038,0.023,2080,ENDEM,0.02134
0.035,0.038,0.023,2081,ENDEM,0.02098
0.035,0.038,0.022,2082,ENDEM,0.02063
0.034,0.038,0.022,2083,ENDEM,0.0203
0.034,0.037,0.022,2084,ENDEM,0.01999
0.034,0.037,0.021,2085,ENDEM,0.01969
0.034,0.037,0.021,2086,ENDEM,0.0194
0.034,0.037,0.021,2087,ENDEM,0.01913
0.033,0.037,0.02,2088,ENDEM,0.01887
0.033,0.037,0.02,2089,ENDEM,0.01862
0.033,0.037,0.02,2090,ENDEM,0.01837
0.033,0.037,0.02,2091,ENDEM,0.01814
0.033,0.036,0.019,2092,ENDEM,0.01791
0.033,0.036,0.019,2093,ENDEM,0.01769
0.033,0.036,0.019,2094,ENDEM,0.01747
0.033,0.036,0.019,2095,ENDEM,0.01725
0.033,0.036,0.019,2096,ENDEM,0.01703
0.033,0.036,0.018,2097,ENDEM,0.01681
0.032,0.036,0.018,2098,ENDEM,0.01659
0.032,0.036,0.018,2099,ENDEM,0.01638
0.032,0.036,0.018,2100,ENDEM,0.01617
0.817,0.817,0.817,2019,ENDEM_GDP,0.81735
0.817,0.817,0.817,2020,ENDEM_GDP,0.81687
0.759,0.759,0.759,2021,ENDEM_GDP,0.75937
0.757,0.757,0.757,2022,ENDEM_GDP,0.75711
0.768,0.768,0.768,2023,ENDEM_GDP,0.76849
0.75,0.75,0.75,2024,ENDEM_GDP,0.75041
0.724,0.724,0.714,2025,ENDEM_GDP,0.71404
0.708,0.708,0.689,2026,ENDEM_GDP,0.68897
0.706,0.705,0.677,2027,ENDEM_GDP,0.6777
0.698,0.696,0.659,2028,ENDEM_GDP,0.66131
0.685,0.682,0.639,2029,ENDEM_GDP,0.64175
0.675,0.671,0.622,2030,ENDEM_GDP,0.6253
0.666,0.661,0.606,2031,ENDEM_GDP,0.6105
0.656,0.65,0.59,2032,ENDEM_GDP,0.59481
0.646,0.639,0.574,2033,ENDEM_GDP,0.57974
0.637,0.629,0.558,2034,ENDEM_GDP,0.5649
0.628,0.62,0.543,2035,ENDEM_GDP,0.55055
0.619,0.61,0.528,2036,ENDEM_GDP,0.53623
0.611,0.6,0.514,2037,ENDEM_GDP,0.52221
0.602,0.591,0.499,2038,ENDEM_GDP,0.50822
0.593,0.581,0.485,2039,ENDEM_GDP,0.49459
0.585,0.572,0.475,2040,ENDEM_GDP,0.48534
0.577,0.563,0.466,2041,ENDEM_GDP,0.47637
0.569,0.555,0.456,2042,ENDEM_GDP,0.46758
0.561,0.546,0.447,2043,ENDEM_GDP,0.45893
0.554,0.538,0.438,2044,ENDEM_GDP,0.45056
0.547,0.53,0.429,2045,ENDEM_GDP,0.44234
0.54,0.522,0.421,2046,ENDEM_GDP,0.43432
0.533,0.515,0.412,2047,ENDEM_GDP,0.42651
0.526,0.507,0.404,2048,ENDEM_GDP,0.41869
0.519,0.5,0.396,2049,ENDEM_GDP,0.41078
0.513,0.493,0.388,2050,ENDEM_GDP,0.40304
0.507,0.486,0.379,2051,ENDEM_GDP,0.39512
0.501,0.479,0.371,2052,ENDEM_GDP,0.38716
0.495,0.473,0.362,2053,ENDEM_GDP,0.37908
0.49,0.467,0.353,2054,ENDEM_GDP,0.37084
0.484,0.461,0.346,2055,ENDEM_GDP,0.36341
0.479,0.455,0.338,2056,ENDEM_GDP,0.35595
0.473,0.449,0.33,2057,ENDEM_GDP,0.34833
0.468,0.444,0.322,2058,ENDEM_GDP,0.34074
0.463,0.438,0.315,2059,ENDEM_GDP,0.3333
0.458,0.432,0.307,2060,ENDEM_GDP,0.32604
0.453,0.427,0.3,2061,ENDEM_GDP,0.31897
0.448,0.421,0.293,2062,ENDEM_GDP,0.31226
0.443,0.416,0.286,2063,ENDEM_GDP,0.30579
0.439,0.411,0.28,2064,ENDEM_GDP,0.29957
0.435,0.406,0.274,2065,ENDEM_GDP,0.2937
0.43,0.402,0.268,2066,ENDEM_GDP,0.28777
0.426,0.397,0.262,2067,ENDEM_GDP,0.28202
0.422,0.393,0.256,2068,ENDEM_GDP,0.27639
0.418,0.389,0.251,2069,ENDEM_GDP,0.27079
0.415,0.385,0.249,2070,ENDEM_GDP,0.26913
0.411,0.381,0.244,2071,ENDEM_GDP,0.26523
0.407,0.377,0.24,2072,ENDEM_GDP,0.26133
0.404,0.374,0.236,2073,ENDEM_GDP,0.25744
0.401,0.37,0.232,2074,ENDEM_GDP,0.25355
0.398,0.367,0.228,2075,ENDEM_GDP,0.24961
0.395,0.363,0.224,2076,ENDEM_GDP,0.24557
0.392,0.36,0.22,2077,ENDEM_GDP,0.24155
0.389,0.357,0.216,2078,ENDEM_GDP,0.23755
0.386,0.354,0.212,2079,ENDEM_GDP,0.23353
