Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0019,0.0019,0.00194,2019,CarbonEmissions,0.00194
0.002,0.002,0.00199,2020,CarbonEmissions,0.00199
0.002,0.002,0.002,2021,CarbonEmissions,0.002
0.0021,0.0021,0.00205,2022,CarbonEmissions,0.00205
0.0021,0.0021,0.0021,2023,CarbonEmissions,0.0021
0.002,0.002,0.00205,2024,CarbonEmissions,0.00205
0.002,0.002,0.00203,2025,CarbonEmissions,0.00203
0.002,0.002,0.002,2026,CarbonEmissions,0.002
0.002,0.002,0.00194,2027,CarbonEmissions,0.00195
0.002,0.002,0.00184,2028,CarbonEmissions,0.00184
0.002,0.002,0.00172,2029,CarbonEmissions,0.00172
0.0021,0.0021,0.00159,2030,CarbonEmissions,0.00159
0.0021,0.0021,0.00145,2031,CarbonEmissions,0.00145
0.0021,0.0021,0.00133,2032,CarbonEmissions,0.00132
0.002,0.0021,0.00121,2033,CarbonEmissions,0.0012
0.002,0.0021,0.00111,2034,CarbonEmissions,0.00109
0.002,0.0021,0.00102,2035,CarbonEmissions,0.00099
0.002,0.0021,0.00094,2036,CarbonEmissions,0.0009
0.002,0.0021,0.00086,2037,CarbonEmissions,0.00081
0.002,0.0021,0.00078,2038,CarbonEmissions,0.00071
0.0019,0.0021,0.0007,2039,CarbonEmissions,0.00061
0.0019,0.0021,0.00061,2040,CarbonEmissions,0.00053
0.002,0.0021,0.00052,2041,CarbonEmissions,0.00043
0.002,0.0021,0.00043,2042,CarbonEmissions,0.00034
0.002,0.0022,0.00033,2043,CarbonEmissions,0.00024
0.002,0.0022,0.00024,2044,CarbonEmissions,0.00015
0.002,0.0022,0.00015,2045,CarbonEmissions,6e-05
0.0019,0.0021,0.00006,2046,CarbonEmissions,-3e-05
0.0019,0.0021,-0.00003,2047,CarbonEmissions,-0.00011
0.0019,0.0021,-0.00011,2048,CarbonEmissions,-0.00019
0.0019,0.0021,-0.00019,2049,CarbonEmissions,-0.00026
0.0019,0.0021,-0.00024,2050,CarbonEmissions,-0.00032
0.0019,0.0021,-0.0003,2051,CarbonEmissions,-0.00037
0.0018,0.0021,-0.00035,2052,CarbonEmissions,-0.00042
0.0018,0.0021,-0.0004,2053,CarbonEmissions,-0.00047
0.0018,0.0021,-0.00045,2054,CarbonEmissions,-0.00051
0.0018,0.002,-0.00049,2055,CarbonEmissions,-0.00055
0.0017,0.002,-0.00054,2056,CarbonEmissions,-0.0006
0.0017,0.002,-0.00059,2057,CarbonEmissions,-0.00064
0.0017,0.0019,-0.00063,2058,CarbonEmissions,-0.00068
0.0016,0.0019,-0.00067,2059,CarbonEmissions,-0.00071
0.0016,0.0019,-0.00071,2060,CarbonEmissions,-0.00075
0.0016,0.0018,-0.00075,2061,CarbonEmissions,-0.00078
0.0016,0.0018,-0.00078,2062,CarbonEmissions,-0.00081
0.0015,0.0018,-0.00082,2063,CarbonEmissions,-0.00084
0.0015,0.0017,-0.00085,2064,CarbonEmissions,-0.00087
0.0015,0.0017,-0.00087,2065,CarbonEmissions,-0.00088
0.0014,0.0016,-0.00089,2066,CarbonEmissions,-0.0009
0.0014,0.0016,-0.00091,2067,CarbonEmissions,-0.00092
0.0014,0.0016,-0.00093,2068,CarbonEmissions,-0.00094
0.0013,0.0015,-0.00095,2069,CarbonEmissions,-0.00096
0.0013,0.0014,-0.00097,2070,CarbonEmissions,-0.00097
0.0012,0.0014,-0.00098,2071,CarbonEmissions,-0.00098
0.0012,0.0013,-0.001,2072,CarbonEmissions,-0.001
0.0011,0.0013,-0.00101,2073,CarbonEmissions,-0.00101
0.0011,0.0012,-0.00103,2074,CarbonEmissions,-0.00102
0.001,0.0012,-0.00104,2075,CarbonEmissions,-0.00103
0.001,0.0011,-0.00105,2076,CarbonEmissions,-0.00104
0.001,0.0011,-0.00106,2077,CarbonEmissions,-0.00105
0.0009,0.001,-0.00107,2078,CarbonEmissions,-0.00106
0.0009,0.001,-0.00108,2079,CarbonEmissions,-0.00107
0.0008,0.0009,-0.00109,2080,CarbonEmissions,-0.00108
0.0008,0.0008,-0.00109,2081,CarbonEmissions,-0.00109
0.0008,0.0008,-0.0011,2082,CarbonEmissions,-0.00109
0.0007,0.0007,-0.00111,2083,CarbonEmissions,-0.0011
0.0007,0.0007,-0.00111,2084,CarbonEmissions,-0.0011
0.0006,0.0006,-0.00111,2085,CarbonEmissions,-0.00111
0.0006,0.0006,-0.00112,2086,CarbonEmissions,-0.00111
0.0005,0.0005,-0.00112,2087,CarbonEmissions,-0.00112
0.0005,0.0005,-0.00112,2088,CarbonEmissions,-0.00112
0.0005,0.0004,-0.00113,2089,CarbonEmissions,-0.00112
0.0004,0.0004,-0.00113,2090,CarbonEmissions,-0.00112
0.0004,0.0003,-0.00113,2091,CarbonEmissions,-0.00113
0.0004,0.0002,-0.00113,2092,CarbonEmissions,-0.00113
0.0003,0.0002,-0.00113,2093,CarbonEmissions,-0.00113
0.0003,0.0001,-0.00114,2094,CarbonEmissions,-0.00113
0.0002,0.0001,-0.00114,2095,CarbonEmissions,-0.00113
0.0002,0,-0.00114,2096,CarbonEmissions,-0.00114
0.0002,0,-0.00114,2097,CarbonEmissions,-0.00114
0.0001,-0.0001,-0.00114,2098,CarbonEmissions,-0.00114
0.0001,-0.0001,-0.00114,2099,CarbonEmissions,-0.00114
0.0,-0.0002,-0.00114,2100,CarbonEmissions,-0.00114
1.012,1.012,1.012,2019,CarbonEmissions_per_capita,1.01221
1.053,1.053,1.053,2020,CarbonEmissions_per_capita,1.05256
1.072,1.072,1.072,2021,CarbonEmissions_per_capita,1.07211
1.112,1.112,1.112,2022,CarbonEmissions_per_capita,1.11168
1.151,1.151,1.151,2023,CarbonEmissions_per_capita,1.15124
1.133,1.133,1.133,2024,CarbonEmissions_per_capita,1.13257
1.13,1.13,1.136,2025,CarbonEmissions_per_capita,1.13602
1.141,1.141,1.134,2026,CarbonEmissions_per_capita,1.13369
1.157,1.156,1.111,2027,CarbonEmissions_per_capita,1.11133
1.168,1.167,1.06,2028,CarbonEmissions_per_capita,1.06088
1.187,1.186,1,2029,CarbonEmissions_per_capita,1.00072
1.208,1.209,0.934,2030,CarbonEmissions_per_capita,0.9341
1.226,1.23,0.863,2031,CarbonEmissions_per_capita,0.86067
1.234,1.244,0.796,2032,CarbonEmissions_per_capita,0.79064
1.239,1.255,0.735,2033,CarbonEmissions_per_capita,0.72538
1.241,1.261,0.677,2034,CarbonEmissions_per_capita,0.66298
1.243,1.268,0.63,2035,CarbonEmissions_per_capita,0.61062
1.242,1.276,0.581,2036,CarbonEmissions_per_capita,0.55642
1.241,1.285,0.537,2037,CarbonEmissions_per_capita,0.5069
1.24,1.293,0.49,2038,CarbonEmissions_per_capita,0.45137
1.239,1.317,0.442,2039,CarbonEmissions_per_capita,0.39003
1.251,1.341,0.393,2040,CarbonEmissions_per_capita,0.33832
1.266,1.366,0.337,2041,CarbonEmissions_per_capita,0.28103
1.28,1.387,0.278,2042,CarbonEmissions_per_capita,0.22073
1.291,1.407,0.217,2043,CarbonEmissions_per_capita,0.15932
1.298,1.42,0.157,2044,CarbonEmissions_per_capita,0.09876
1.302,1.43,0.097,2045,CarbonEmissions_per_capita,0.03893
1.305,1.437,0.04,2046,CarbonEmissions_per_capita,-0.01716
1.306,1.444,-0.02,2047,CarbonEmissions_per_capita,-0.0769
1.306,1.449,-0.076,2048,CarbonEmissions_per_capita,-0.13185
1.306,1.456,-0.127,2049,CarbonEmissions_per_capita,-0.18203
1.305,1.466,-0.169,2050,CarbonEmissions_per_capita,-0.22412
1.301,1.47,-0.208,2051,CarbonEmissions_per_capita,-0.2624
1.295,1.47,-0.245,2052,CarbonEmissions_per_capita,-0.29865
1.288,1.467,-0.281,2053,CarbonEmissions_per_capita,-0.33357
1.28,1.461,-0.318,2054,CarbonEmissions_per_capita,-0.36852
1.272,1.453,-0.355,2055,CarbonEmissions_per_capita,-0.40208
1.263,1.445,-0.392,2056,CarbonEmissions_per_capita,-0.43578
1.254,1.435,-0.429,2057,CarbonEmissions_per_capita,-0.46943
1.245,1.425,-0.466,2058,CarbonEmissions_per_capita,-0.50338
1.237,1.413,-0.501,2059,CarbonEmissions_per_capita,-0.53614
1.227,1.401,-0.534,2060,CarbonEmissions_per_capita,-0.56653
1.215,1.387,-0.566,2061,CarbonEmissions_per_capita,-0.59618
1.203,1.374,-0.597,2062,CarbonEmissions_per_capita,-0.62473
1.191,1.358,-0.628,2063,CarbonEmissions_per_capita,-0.65244
1.177,1.342,-0.657,2064,CarbonEmissions_per_capita,-0.67963
1.161,1.323,-0.681,2065,CarbonEmissions_per_capita,-0.70085
1.144,1.302,-0.703,2066,CarbonEmissions_per_capita,-0.72231
1.124,1.278,-0.726,2067,CarbonEmissions_per_capita,-0.74331
