Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00117,0.00117,0.0012,2019,CarbonEmissions,0.0012
0.00139,0.00139,0.0014,2020,CarbonEmissions,0.0014
0.00146,0.00146,0.0015,2021,CarbonEmissions,0.0015
0.00153,0.00153,0.0015,2022,CarbonEmissions,0.0015
0.00172,0.00172,0.0017,2023,CarbonEmissions,0.0017
0.00188,0.00188,0.0019,2024,CarbonEmissions,0.0019
0.00205,0.00205,0.0021,2025,CarbonEmissions,0.0021
0.00224,0.00223,0.0024,2026,CarbonEmissions,0.0024
0.00244,0.00243,0.0026,2027,CarbonEmissions,0.0026
0.00262,0.00262,0.0027,2028,CarbonEmissions,0.0027
0.00283,0.00284,0.0029,2029,CarbonEmissions,0.0028
0.00305,0.00306,0.0029,2030,CarbonEmissions,0.0029
0.00327,0.00329,0.003,2031,CarbonEmissions,0.003
0.00347,0.00351,0.003,2032,CarbonEmissions,0.003
0.00366,0.00373,0.0031,2033,CarbonEmissions,0.0031
0.00385,0.00393,0.0032,2034,CarbonEmissions,0.0032
0.00404,0.00415,0.0033,2035,CarbonEmissions,0.0032
0.00424,0.00437,0.0034,2036,CarbonEmissions,0.0033
0.00444,0.0046,0.0035,2037,CarbonEmissions,0.0034
0.00465,0.00483,0.0036,2038,CarbonEmissions,0.0034
0.00487,0.00507,0.0036,2039,CarbonEmissions,0.0034
0.00511,0.00532,0.0036,2040,CarbonEmissions,0.0034
0.00535,0.0056,0.0035,2041,CarbonEmissions,0.0033
0.0056,0.00588,0.0033,2042,CarbonEmissions,0.0031
0.00586,0.00617,0.0032,2043,CarbonEmissions,0.003
0.00611,0.00645,0.0031,2044,CarbonEmissions,0.0028
0.00637,0.00674,0.0029,2045,CarbonEmissions,0.0027
0.00663,0.00703,0.0028,2046,CarbonEmissions,0.0026
0.0069,0.00734,0.0027,2047,CarbonEmissions,0.0024
0.00718,0.00766,0.0026,2048,CarbonEmissions,0.0023
0.00748,0.008,0.0025,2049,CarbonEmissions,0.0022
0.0078,0.00838,0.0025,2050,CarbonEmissions,0.0022
0.00811,0.00876,0.0025,2051,CarbonEmissions,0.0022
0.00844,0.00913,0.0026,2052,CarbonEmissions,0.0022
0.00877,0.0095,0.0026,2053,CarbonEmissions,0.0023
0.0091,0.00987,0.0027,2054,CarbonEmissions,0.0024
0.00943,0.01024,0.0028,2055,CarbonEmissions,0.0025
0.00976,0.01062,0.0029,2056,CarbonEmissions,0.0025
0.01009,0.01101,0.0029,2057,CarbonEmissions,0.0026
0.01042,0.0114,0.0029,2058,CarbonEmissions,0.0025
0.01075,0.0118,0.0029,2059,CarbonEmissions,0.0025
0.01108,0.01223,0.0028,2060,CarbonEmissions,0.0025
0.01141,0.01267,0.0028,2061,CarbonEmissions,0.0024
0.01174,0.01314,0.0027,2062,CarbonEmissions,0.0023
0.01209,0.01363,0.0027,2063,CarbonEmissions,0.0022
