Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.12643,0.12643,0.12643,2019,CarbonEmissions,0.12643
0.13129,0.13129,0.13129,2020,CarbonEmissions,0.13129
0.13215,0.13215,0.13215,2021,CarbonEmissions,0.13215
0.13374,0.13374,0.13374,2022,CarbonEmissions,0.13374
0.13731,0.13731,0.13731,2023,CarbonEmissions,0.13731
0.13988,0.13988,0.13988,2024,CarbonEmissions,0.13988
0.14107,0.14107,0.14049,2025,CarbonEmissions,0.14049
0.1415,0.14151,0.1382,2026,CarbonEmissions,0.13819
0.1431,0.14304,0.13461,2027,CarbonEmissions,0.13466
0.1448,0.14476,0.12907,2028,CarbonEmissions,0.12906
0.14681,0.14687,0.12242,2029,CarbonEmissions,0.12231
0.14894,0.14925,0.11545,2030,CarbonEmissions,0.11516
0.1506,0.15135,0.11044,2031,CarbonEmissions,0.10992
0.15147,0.15274,0.10568,2032,CarbonEmissions,0.10494
0.15193,0.15376,0.10123,2033,CarbonEmissions,0.10024
0.15206,0.15433,0.09691,2034,CarbonEmissions,0.09566
0.15209,0.15482,0.09259,2035,CarbonEmissions,0.09109
0.15199,0.15534,0.08811,2036,CarbonEmissions,0.08642
0.1519,0.15581,0.08132,2037,CarbonEmissions,0.07953
0.15178,0.15596,0.07419,2038,CarbonEmissions,0.07236
0.1515,0.15599,0.06674,2039,CarbonEmissions,0.06493
0.15134,0.1561,0.05923,2040,CarbonEmissions,0.05749
0.15106,0.15622,0.05204,2041,CarbonEmissions,0.05044
0.15064,0.15613,0.04538,2042,CarbonEmissions,0.04393
0.15014,0.15593,0.03931,2043,CarbonEmissions,0.03805
0.14924,0.15525,0.03386,2044,CarbonEmissions,0.03275
0.14819,0.15436,0.02877,2045,CarbonEmissions,0.02779
0.14706,0.15338,0.02479,2046,CarbonEmissions,0.0239
0.14585,0.15238,0.02301,2047,CarbonEmissions,0.02211
0.14461,0.15128,0.02108,2048,CarbonEmissions,0.0202
0.14327,0.15027,0.01906,2049,CarbonEmissions,0.01825
0.14199,0.14958,0.01694,2050,CarbonEmissions,0.01623
0.14043,0.14853,0.01483,2051,CarbonEmissions,0.01424
0.13847,0.1467,0.01283,2052,CarbonEmissions,0.01237
0.13622,0.14471,0.01081,2053,CarbonEmissions,0.01054
0.13389,0.14258,0.00879,2054,CarbonEmissions,0.0087
0.13156,0.14037,0.0068,2055,CarbonEmissions,0.00688
0.12915,0.13812,0.00557,2056,CarbonEmissions,0.00507
0.1267,0.13576,0.00438,2057,CarbonEmissions,0.00394
0.12414,0.13316,0.00332,2058,CarbonEmissions,0.00293
0.12159,0.13025,0.00229,2059,CarbonEmissions,0.00194
0.1189,0.12736,0.00141,2060,CarbonEmissions,0.00111
0.11615,0.12436,0.0006,2061,CarbonEmissions,0.0003
0.11336,0.12135,-0.00014,2062,CarbonEmissions,-0.00042
0.11061,0.11823,-0.00081,2063,CarbonEmissions,-0.00109
0.10774,0.11516,-0.00143,2064,CarbonEmissions,-0.00168
0.10492,0.11204,-0.00198,2065,CarbonEmissions,-0.00223
0.10202,0.109,-0.00244,2066,CarbonEmissions,-0.00268
0.09911,0.10615,-0.00285,2067,CarbonEmissions,-0.00309
0.09627,0.10327,-0.00323,2068,CarbonEmissions,-0.00347
0.0934,0.10028,-0.00357,2069,CarbonEmissions,-0.00381
0.0904,0.09728,-0.00389,2070,CarbonEmissions,-0.00413
0.08746,0.09431,-0.00417,2071,CarbonEmissions,-0.00442
0.08447,0.09122,-0.00443,2072,CarbonEmissions,-0.00468
0.08141,0.08828,-0.00466,2073,CarbonEmissions,-0.00492
0.07839,0.0854,-0.00487,2074,CarbonEmissions,-0.00514
0.07553,0.08305,-0.00507,2075,CarbonEmissions,-0.00534
0.07236,0.08087,-0.00525,2076,CarbonEmissions,-0.00552
0.06939,0.07851,-0.00544,2077,CarbonEmissions,-0.0057
0.0664,0.07604,-0.00561,2078,CarbonEmissions,-0.00586
0.06341,0.07336,-0.00577,2079,CarbonEmissions,-0.00602
0.06046,0.07066,-0.00592,2080,CarbonEmissions,-0.00616
0.05757,0.06788,-0.00607,2081,CarbonEmissions,-0.00629
0.0546,0.06495,-0.00621,2082,CarbonEmissions,-0.00642
0.05165,0.06195,-0.00634,2083,CarbonEmissions,-0.00654
0.04872,0.05885,-0.00646,2084,CarbonEmissions,-0.00665
0.04583,0.05572,-0.00658,2085,CarbonEmissions,-0.00675
0.04293,0.05266,-0.00668,2086,CarbonEmissions,-0.00685
0.04018,0.04971,-0.00678,2087,CarbonEmissions,-0.00694
0.03756,0.04686,-0.00688,2088,CarbonEmissions,-0.00702
0.03507,0.04416,-0.00696,2089,CarbonEmissions,-0.00709
0.03284,0.04155,-0.00704,2090,CarbonEmissions,-0.00716
0.03085,0.039,-0.00711,2091,CarbonEmissions,-0.00723
0.02888,0.03655,-0.00717,2092,CarbonEmissions,-0.00727
0.02699,0.03411,-0.00721,2093,CarbonEmissions,-0.00732
0.02514,0.03177,-0.00726,2094,CarbonEmissions,-0.00736
0.02331,0.02937,-0.0073,2095,CarbonEmissions,-0.0074
0.02149,0.02689,-0.00734,2096,CarbonEmissions,-0.00743
0.01967,0.0244,-0.00738,2097,CarbonEmissions,-0.00747
0.01788,0.0219,-0.00742,2098,CarbonEmissions,-0.0075
0.0161,0.01938,-0.00745,2099,CarbonEmissions,-0.00753
0.01439,0.01692,-0.00749,2100,CarbonEmissions,-0.00756
1.011,1.011,1.011,2019,CarbonEmissions_per_capita,1.01074
1.04,1.04,1.04,2020,CarbonEmissions_per_capita,1.04021
1.038,1.038,1.038,2021,CarbonEmissions_per_capita,1.03814
1.042,1.042,1.042,2022,CarbonEmissions_per_capita,1.042
1.061,1.061,1.061,2023,CarbonEmissions_per_capita,1.06132
1.073,1.073,1.073,2024,CarbonEmissions_per_capita,1.07286
1.074,1.074,1.069,2025,CarbonEmissions_per_capita,1.0695
1.07,1.07,1.045,2026,CarbonEmissions_per_capita,1.04446
1.074,1.074,1.01,2027,CarbonEmissions_per_capita,1.01086
1.08,1.08,0.963,2028,CarbonEmissions_per_capita,0.9625
1.088,1.089,0.908,2029,CarbonEmissions_per_capita,0.90649
1.097,1.1,0.851,2030,CarbonEmissions_per_capita,0.84847
1.103,1.109,0.809,2031,CarbonEmissions_per_capita,0.80526
1.104,1.113,0.77,2032,CarbonEmissions_per_capita,0.76448
1.101,1.114,0.734,2033,CarbonEmissions_per_capita,0.72636
1.096,1.113,0.699,2034,CarbonEmissions_per_capita,0.68964
1.091,1.111,0.664,2035,CarbonEmissions_per_capita,0.65346
1.085,1.109,0.629,2036,CarbonEmissions_per_capita,0.61711
1.08,1.107,0.578,2037,CarbonEmissions_per_capita,0.56534
1.075,1.104,0.525,2038,CarbonEmissions_per_capita,0.51228
1.069,1.1,0.47,2039,CarbonEmissions_per_capita,0.45786
1.064,1.096,0.416,2040,CarbonEmissions_per_capita,0.40397
1.058,1.093,0.364,2041,CarbonEmissions_per_capita,0.35321
1.052,1.089,0.317,2042,CarbonEmissions_per_capita,0.3067
1.046,1.085,0.273,2043,CarbonEmissions_per_capita,0.26494
1.037,1.077,0.235,2044,CarbonEmissions_per_capita,0.22746
1.027,1.068,0.199,2045,CarbonEmissions_per_capita,0.19259
1.018,1.06,0.171,2046,CarbonEmissions_per_capita,0.16531
1.008,1.051,0.159,2047,CarbonEmissions_per_capita,0.15266
0.998,1.042,0.145,2048,CarbonEmissions_per_capita,0.13929
0.988,1.033,0.131,2049,CarbonEmissions_per_capita,0.12571
0.978,1.028,0.116,2050,CarbonEmissions_per_capita,0.11171
0.967,1.02,0.102,2051,CarbonEmissions_per_capita,0.09799
0.953,1.007,0.088,2052,CarbonEmissions_per_capita,0.08512
0.938,0.993,0.074,2053,CarbonEmissions_per_capita,0.07251
0.922,0.978,0.06,2054,CarbonEmissions_per_capita,0.05986
0.906,0.964,0.047,2055,CarbonEmissions_per_capita,0.04739
0.89,0.949,0.038,2056,CarbonEmissions_per_capita,0.03493
0.874,0.933,0.03,2057,CarbonEmissions_per_capita,0.02717
0.858,0.916,0.023,2058,CarbonEmissions_per_capita,0.02023
0.841,0.897,0.016,2059,CarbonEmissions_per_capita,0.0134
0.824,0.878,0.01,2060,CarbonEmissions_per_capita,0.00766
0.806,0.859,0.004,2061,CarbonEmissions_per_capita,0.00207
0.788,0.839,-0.001,2062,CarbonEmissions_per_capita,-0.00295
0.771,0.819,-0.006,2063,CarbonEmissions_per_capita,-0.00757
0.753,0.799,-0.01,2064,CarbonEmissions_per_capita,-0.01174
0.735,0.779,-0.014,2065,CarbonEmissions_per_capita,-0.01556
0.716,0.76,-0.017,2066,CarbonEmissions_per_capita,-0.01878
0.698,0.742,-0.02,2067,CarbonEmissions_per_capita,-0.02173
0.68,0.724,-0.023,2068,CarbonEmissions_per_capita,-0.02444
0.662,0.705,-0.025,2069,CarbonEmissions_per_capita,-0.02696
0.642,0.686,-0.027,2070,CarbonEmissions_per_capita,-0.02933
0.624,0.667,-0.029,2071,CarbonEmissions_per_capita,-0.03146
0.604,0.647,-0.031,2072,CarbonEmissions_per_capita,-0.03343
0.585,0.628,-0.033,2073,CarbonEmissions_per_capita,-0.03526
0.565,0.61,-0.035,2074,CarbonEmissions_per_capita,-0.03699
0.547,0.595,-0.036,2075,CarbonEmissions_per_capita,-0.03861
0.526,0.582,-0.038,2076,CarbonEmissions_per_capita,-0.04009
