Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00153,0.00153,0.00153,2019,CarbonEmissions,0.00153
0.00178,0.00178,0.00178,2020,CarbonEmissions,0.00178
0.00194,0.00194,0.00194,2021,CarbonEmissions,0.00194
0.00206,0.00206,0.00206,2022,CarbonEmissions,0.00206
0.00224,0.00224,0.00224,2023,CarbonEmissions,0.00224
0.00242,0.00242,0.00241,2024,CarbonEmissions,0.00241
0.00258,0.00258,0.00268,2025,CarbonEmissions,0.00268
0.00277,0.00276,0.00293,2026,CarbonEmissions,0.00294
0.003,0.00299,0.00318,2027,CarbonEmissions,0.00318
0.00321,0.00322,0.00334,2028,CarbonEmissions,0.00333
0.00346,0.00348,0.00348,2029,CarbonEmissions,0.00346
0.00371,0.00375,0.00359,2030,CarbonEmissions,0.00356
0.00397,0.00403,0.0037,2031,CarbonEmissions,0.00364
0.00421,0.0043,0.00381,2032,CarbonEmissions,0.00374
0.00445,0.00457,0.00393,2033,CarbonEmissions,0.00384
0.00469,0.00483,0.00407,2034,CarbonEmissions,0.00395
0.00493,0.00509,0.0042,2035,CarbonEmissions,0.00406
0.00518,0.00538,0.00433,2036,CarbonEmissions,0.00416
0.00545,0.00568,0.00446,2037,CarbonEmissions,0.00427
0.00573,0.00599,0.00457,2038,CarbonEmissions,0.00434
0.00602,0.00631,0.00461,2039,CarbonEmissions,0.00436
0.00633,0.00665,0.00457,2040,CarbonEmissions,0.00431
0.00665,0.00701,0.00448,2041,CarbonEmissions,0.00421
0.00698,0.00738,0.00435,2042,CarbonEmissions,0.00407
0.00731,0.00776,0.0042,2043,CarbonEmissions,0.00391
0.00764,0.00814,0.00404,2044,CarbonEmissions,0.00374
0.00798,0.00853,0.00388,2045,CarbonEmissions,0.00357
0.00834,0.00893,0.00374,2046,CarbonEmissions,0.00342
0.00871,0.00936,0.0036,2047,CarbonEmissions,0.00328
0.00911,0.00981,0.00349,2048,CarbonEmissions,0.00316
0.00951,0.01029,0.00342,2049,CarbonEmissions,0.00308
0.00995,0.01081,0.0034,2050,CarbonEmissions,0.00304
0.01038,0.01134,0.00343,2051,CarbonEmissions,0.00305
0.01083,0.01188,0.00349,2052,CarbonEmissions,0.00308
0.01128,0.01243,0.00358,2053,CarbonEmissions,0.00313
0.01175,0.013,0.00367,2054,CarbonEmissions,0.00319
0.01223,0.01359,0.00375,2055,CarbonEmissions,0.00324
0.01272,0.01419,0.00378,2056,CarbonEmissions,0.00326
0.01323,0.01482,0.00381,2057,CarbonEmissions,0.00328
0.01373,0.01545,0.00378,2058,CarbonEmissions,0.00324
0.01425,0.01608,0.00375,2059,CarbonEmissions,0.0032
0.01476,0.01674,0.00367,2060,CarbonEmissions,0.00311
0.01527,0.0174,0.00358,2061,CarbonEmissions,0.00302
0.0158,0.01809,0.00346,2062,CarbonEmissions,0.00291
0.01634,0.01879,0.00333,2063,CarbonEmissions,0.00279
0.01689,0.01951,0.00319,2064,CarbonEmissions,0.00266
0.01746,0.02022,0.00308,2065,CarbonEmissions,0.00256
0.01804,0.02096,0.00297,2066,CarbonEmissions,0.00248
0.01863,0.02172,0.00289,2067,CarbonEmissions,0.00241
0.01923,0.02246,0.00281,2068,CarbonEmissions,0.00235
0.01983,0.02317,0.00274,2069,CarbonEmissions,0.00228
0.02043,0.02387,0.00265,2070,CarbonEmissions,0.00221
0.02104,0.02454,0.00259,2071,CarbonEmissions,0.00215
0.02164,0.02522,0.00253,2072,CarbonEmissions,0.00209
0.02223,0.02593,0.00247,2073,CarbonEmissions,0.00204
0.02281,0.0267,0.00243,2074,CarbonEmissions,0.002
0.02342,0.02754,0.00242,2075,CarbonEmissions,0.00197
0.02403,0.02841,0.00238,2076,CarbonEmissions,0.00194
0.02467,0.02934,0.00237,2077,CarbonEmissions,0.00191
0.02529,0.03028,0.00234,2078,CarbonEmissions,0.00187
0.02591,0.03119,0.00232,2079,CarbonEmissions,0.00185
0.02653,0.03213,0.00229,2080,CarbonEmissions,0.0018
0.02718,0.03305,0.00228,2081,CarbonEmissions,0.00177
0.02777,0.03394,0.00225,2082,CarbonEmissions,0.00173
0.02836,0.03482,0.00222,2083,CarbonEmissions,0.0017
0.02892,0.03571,0.0022,2084,CarbonEmissions,0.00166
0.02949,0.03657,0.00216,2085,CarbonEmissions,0.00162
0.03003,0.03743,0.00213,2086,CarbonEmissions,0.00158
0.03059,0.03831,0.0021,2087,CarbonEmissions,0.00154
0.03115,0.03919,0.00208,2088,CarbonEmissions,0.0015
0.03172,0.04017,0.00205,2089,CarbonEmissions,0.00146
0.03229,0.04119,0.00203,2090,CarbonEmissions,0.00142
0.03284,0.04216,0.00201,2091,CarbonEmissions,0.00138
0.03335,0.04315,0.00201,2092,CarbonEmissions,0.00136
0.03385,0.04412,0.00201,2093,CarbonEmissions,0.00134
0.03429,0.04512,0.00203,2094,CarbonEmissions,0.00133
0.0347,0.04607,0.00207,2095,CarbonEmissions,0.00134
0.03508,0.04692,0.00212,2096,CarbonEmissions,0.00135
0.0354,0.04775,0.00219,2097,CarbonEmissions,0.00138
0.03577,0.04857,0.00227,2098,CarbonEmissions,0.00143
0.03606,0.0494,0.00231,2099,CarbonEmissions,0.00145
0.03641,0.05036,0.00236,2100,CarbonEmissions,0.00148
0.075,0.075,0.075,2019,CarbonEmissions_per_capita,0.07458
0.084,0.084,0.084,2020,CarbonEmissions_per_capita,0.08383
0.089,0.089,0.089,2021,CarbonEmissions_per_capita,0.08859
0.091,0.091,0.091,2022,CarbonEmissions_per_capita,0.09137
0.096,0.096,0.096,2023,CarbonEmissions_per_capita,0.09625
0.101,0.101,0.101,2024,CarbonEmissions_per_capita,0.10051
0.104,0.104,0.108,2025,CarbonEmissions_per_capita,0.10813
0.109,0.108,0.115,2026,CarbonEmissions_per_capita,0.11512
0.114,0.114,0.121,2027,CarbonEmissions_per_capita,0.12091
0.118,0.119,0.123,2028,CarbonEmissions_per_capita,0.12273
0.124,0.124,0.124,2029,CarbonEmissions_per_capita,0.12355
0.129,0.13,0.125,2030,CarbonEmissions_per_capita,0.12344
0.134,0.136,0.124,2031,CarbonEmissions_per_capita,0.12272
0.138,0.141,0.125,2032,CarbonEmissions_per_capita,0.12219
0.141,0.145,0.125,2033,CarbonEmissions_per_capita,0.12199
0.145,0.149,0.126,2034,CarbonEmissions_per_capita,0.12196
0.148,0.153,0.126,2035,CarbonEmissions_per_capita,0.12164
0.151,0.157,0.126,2036,CarbonEmissions_per_capita,0.12129
0.154,0.162,0.127,2037,CarbonEmissions_per_capita,0.12105
0.158,0.166,0.126,2038,CarbonEmissions_per_capita,0.11982
0.162,0.17,0.124,2039,CarbonEmissions_per_capita,0.11723
0.166,0.175,0.12,2040,CarbonEmissions_per_capita,0.11276
0.169,0.18,0.115,2041,CarbonEmissions_per_capita,0.10726
0.173,0.185,0.109,2042,CarbonEmissions_per_capita,0.1011
0.177,0.19,0.103,2043,CarbonEmissions_per_capita,0.09475
0.181,0.194,0.096,2044,CarbonEmissions_per_capita,0.08856
0.184,0.199,0.09,2045,CarbonEmissions_per_capita,0.08254
0.188,0.204,0.085,2046,CarbonEmissions_per_capita,0.0772
0.192,0.209,0.08,2047,CarbonEmissions_per_capita,0.07228
0.196,0.214,0.076,2048,CarbonEmissions_per_capita,0.0681
0.2,0.22,0.073,2049,CarbonEmissions_per_capita,0.06482
0.205,0.227,0.071,2050,CarbonEmissions_per_capita,0.0626
0.209,0.233,0.071,2051,CarbonEmissions_per_capita,0.06151
0.214,0.24,0.071,2052,CarbonEmissions_per_capita,0.06088
0.218,0.246,0.071,2053,CarbonEmissions_per_capita,0.06055
0.223,0.253,0.071,2054,CarbonEmissions_per_capita,0.06043
0.227,0.26,0.072,2055,CarbonEmissions_per_capita,0.06025
0.232,0.267,0.071,2056,CarbonEmissions_per_capita,0.05954
0.237,0.274,0.071,2057,CarbonEmissions_per_capita,0.05871
0.241,0.281,0.069,2058,CarbonEmissions_per_capita,0.05709
0.246,0.288,0.067,2059,CarbonEmissions_per_capita,0.05534
0.25,0.296,0.065,2060,CarbonEmissions_per_capita,0.05287
0.255,0.303,0.062,2061,CarbonEmissions_per_capita,0.05042
0.259,0.311,0.06,2062,CarbonEmissions_per_capita,0.04779
0.264,0.318,0.057,2063,CarbonEmissions_per_capita,0.0451
0.269,0.326,0.054,2064,CarbonEmissions_per_capita,0.0423
0.274,0.334,0.051,2065,CarbonEmissions_per_capita,0.04015
0.278,0.342,0.049,2066,CarbonEmissions_per_capita,0.03832
0.284,0.351,0.047,2067,CarbonEmissions_per_capita,0.03678
0.289,0.359,0.045,2068,CarbonEmissions_per_capita,0.03528
0.294,0.367,0.043,2069,CarbonEmissions_per_capita,0.03392
0.299,0.374,0.042,2070,CarbonEmissions_per_capita,0.03237
0.304,0.381,0.04,2071,CarbonEmissions_per_capita,0.03109
0.309,0.388,0.039,2072,CarbonEmissions_per_capita,0.02991
