Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0007,0.0007,0.0007,2019,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2020,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2021,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2022,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2023,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2024,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2025,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2026,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2027,CarbonEmissions,0.0007
0.0007,0.0007,0.0007,2028,CarbonEmissions,0.0007
0.0007,0.0007,0.0006,2029,CarbonEmissions,0.0006
0.0008,0.0008,0.0006,2030,CarbonEmissions,0.0006
0.0008,0.0008,0.0006,2031,CarbonEmissions,0.0005
0.0007,0.0008,0.0005,2032,CarbonEmissions,0.0005
0.0007,0.0007,0.0005,2033,CarbonEmissions,0.0005
0.0007,0.0007,0.0005,2034,CarbonEmissions,0.0004
0.0007,0.0007,0.0004,2035,CarbonEmissions,0.0004
0.0007,0.0007,0.0004,2036,CarbonEmissions,0.0004
0.0007,0.0007,0.0004,2037,CarbonEmissions,0.0004
0.0007,0.0007,0.0003,2038,CarbonEmissions,0.0003
0.0007,0.0008,0.0003,2039,CarbonEmissions,0.0003
0.0007,0.0008,0.0003,2040,CarbonEmissions,0.0002
0.0007,0.0008,0.0002,2041,CarbonEmissions,0.0002
0.0007,0.0008,0.0002,2042,CarbonEmissions,0.0002
0.0007,0.0008,0.0001,2043,CarbonEmissions,0.0001
0.0007,0.0008,0.0001,2044,CarbonEmissions,0.0001
0.0007,0.0008,0.0001,2045,CarbonEmissions,0.0001
0.0007,0.0008,0.0001,2046,CarbonEmissions,0.0
0.0007,0.0007,0.0,2047,CarbonEmissions,0.0
0.0007,0.0007,0.0,2048,CarbonEmissions,0.0
0.0007,0.0007,0.0,2049,CarbonEmissions,0.0
0.0007,0.0007,0.0,2050,CarbonEmissions,0.0
0.0007,0.0007,0.0,2051,CarbonEmissions,0.0
0.0006,0.0007,0.0,2052,CarbonEmissions,0.0
0.0006,0.0007,0.0,2053,CarbonEmissions,0.0
0.0006,0.0007,0.0,2054,CarbonEmissions,-0.0001
0.0006,0.0007,-0.0001,2055,CarbonEmissions,-0.0001
0.0006,0.0007,-0.0001,2056,CarbonEmissions,-0.0001
0.0006,0.0007,-0.0001,2057,CarbonEmissions,-0.0001
0.0006,0.0007,-0.0001,2058,CarbonEmissions,-0.0001
0.0006,0.0007,-0.0001,2059,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2060,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2061,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2062,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2063,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2064,CarbonEmissions,-0.0001
0.0005,0.0006,-0.0001,2065,CarbonEmissions,-0.0002
0.0005,0.0006,-0.0001,2066,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2067,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2068,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2069,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2070,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2071,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2072,CarbonEmissions,-0.0002
0.0004,0.0006,-0.0002,2073,CarbonEmissions,-0.0002
0.0004,0.0005,-0.0002,2074,CarbonEmissions,-0.0002
0.0004,0.0005,-0.0002,2075,CarbonEmissions,-0.0002
