Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0012,0.0012,0.0012,2019,CarbonEmissions,0.0012
0.0013,0.0013,0.0013,2020,CarbonEmissions,0.0013
0.0012,0.0012,0.0012,2021,CarbonEmissions,0.0012
0.0011,0.0011,0.0011,2022,CarbonEmissions,0.0011
0.0012,0.0012,0.0012,2023,CarbonEmissions,0.0012
0.0012,0.0012,0.0012,2024,CarbonEmissions,0.0012
0.0013,0.0013,0.0013,2025,CarbonEmissions,0.0013
0.0013,0.0013,0.0013,2026,CarbonEmissions,0.0013
0.0013,0.0013,0.0013,2027,CarbonEmissions,0.0013
0.0013,0.0013,0.0012,2028,CarbonEmissions,0.0012
0.0013,0.0013,0.0011,2029,CarbonEmissions,0.0011
0.0013,0.0013,0.001,2030,CarbonEmissions,0.001
0.0013,0.0013,0.0008,2031,CarbonEmissions,0.0008
0.0012,0.0013,0.0007,2032,CarbonEmissions,0.0007
0.0012,0.0012,0.0006,2033,CarbonEmissions,0.0006
0.0012,0.0012,0.0005,2034,CarbonEmissions,0.0005
0.0012,0.0012,0.0005,2035,CarbonEmissions,0.0004
0.0012,0.0012,0.0004,2036,CarbonEmissions,0.0004
0.0011,0.0012,0.0003,2037,CarbonEmissions,0.0003
0.0011,0.0012,0.0002,2038,CarbonEmissions,0.0002
0.0011,0.0012,0.0002,2039,CarbonEmissions,0.0001
0.0011,0.0012,0.0001,2040,CarbonEmissions,0.0
0.0011,0.0012,0,2041,CarbonEmissions,-0.0001
0.0011,0.0012,-0.0001,2042,CarbonEmissions,-0.0001
0.0011,0.0012,-0.0002,2043,CarbonEmissions,-0.0002
0.0011,0.0012,-0.0003,2044,CarbonEmissions,-0.0003
0.001,0.0012,-0.0003,2045,CarbonEmissions,-0.0004
0.001,0.0011,-0.0004,2046,CarbonEmissions,-0.0005
0.001,0.0011,-0.0005,2047,CarbonEmissions,-0.0005
0.001,0.0011,-0.0005,2048,CarbonEmissions,-0.0006
0.0009,0.0011,-0.0006,2049,CarbonEmissions,-0.0006
0.0009,0.0011,-0.0006,2050,CarbonEmissions,-0.0007
0.0009,0.0011,-0.0007,2051,CarbonEmissions,-0.0007
0.0009,0.0011,-0.0007,2052,CarbonEmissions,-0.0007
0.0009,0.0011,-0.0007,2053,CarbonEmissions,-0.0008
0.0008,0.0011,-0.0007,2054,CarbonEmissions,-0.0008
0.0008,0.0011,-0.0008,2055,CarbonEmissions,-0.0008
0.0008,0.0011,-0.0008,2056,CarbonEmissions,-0.0009
0.0007,0.0011,-0.0008,2057,CarbonEmissions,-0.0009
0.0007,0.0011,-0.0008,2058,CarbonEmissions,-0.0009
0.0007,0.0011,-0.0009,2059,CarbonEmissions,-0.0009
0.0007,0.0011,-0.0009,2060,CarbonEmissions,-0.001
0.0006,0.0011,-0.0009,2061,CarbonEmissions,-0.001
0.0006,0.0011,-0.0009,2062,CarbonEmissions,-0.001
0.0006,0.0011,-0.001,2063,CarbonEmissions,-0.001
0.0006,0.0011,-0.001,2064,CarbonEmissions,-0.001
0.0006,0.0011,-0.001,2065,CarbonEmissions,-0.001
0.0005,0.0011,-0.001,2066,CarbonEmissions,-0.0011
0.0005,0.0011,-0.001,2067,CarbonEmissions,-0.0011
0.0005,0.001,-0.001,2068,CarbonEmissions,-0.0011
0.0005,0.001,-0.0011,2069,CarbonEmissions,-0.0011
0.0005,0.001,-0.0011,2070,CarbonEmissions,-0.0011
0.0005,0.001,-0.0011,2071,CarbonEmissions,-0.0011
0.0005,0.001,-0.0011,2072,CarbonEmissions,-0.0011
0.0004,0.0009,-0.0011,2073,CarbonEmissions,-0.0011
0.0004,0.0009,-0.0011,2074,CarbonEmissions,-0.0011
0.0004,0.0009,-0.0011,2075,CarbonEmissions,-0.0011
0.0004,0.0009,-0.0011,2076,CarbonEmissions,-0.0011
0.0004,0.0009,-0.0011,2077,CarbonEmissions,-0.0011
0.0004,0.0008,-0.0011,2078,CarbonEmissions,-0.0011
0.0004,0.0008,-0.0011,2079,CarbonEmissions,-0.0012
0.0003,0.0008,-0.0011,2080,CarbonEmissions,-0.0012
