Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00044,0.00044,0.0004,2019,CarbonEmissions,0.0004
0.0006,0.0006,0.0006,2020,CarbonEmissions,0.0006
0.00071,0.00071,0.0007,2021,CarbonEmissions,0.0007
0.00079,0.00079,0.0008,2022,CarbonEmissions,0.0008
0.00086,0.00086,0.0009,2023,CarbonEmissions,0.0009
0.00092,0.00092,0.0009,2024,CarbonEmissions,0.0009
0.00101,0.00101,0.0011,2025,CarbonEmissions,0.0011
0.00111,0.00111,0.0012,2026,CarbonEmissions,0.0012
0.00121,0.00121,0.0013,2027,CarbonEmissions,0.0013
0.00131,0.00132,0.0014,2028,CarbonEmissions,0.0014
0.00143,0.00144,0.0014,2029,CarbonEmissions,0.0014
0.00156,0.00158,0.0015,2030,CarbonEmissions,0.0015
0.0017,0.00173,0.0015,2031,CarbonEmissions,0.0015
0.00183,0.00186,0.0015,2032,CarbonEmissions,0.0015
0.00196,0.002,0.0015,2033,CarbonEmissions,0.0015
0.00208,0.00213,0.0016,2034,CarbonEmissions,0.0015
0.0022,0.00226,0.0016,2035,CarbonEmissions,0.0015
0.00232,0.0024,0.0016,2036,CarbonEmissions,0.0015
0.00244,0.00253,0.0016,2037,CarbonEmissions,0.0015
0.00256,0.00267,0.0016,2038,CarbonEmissions,0.0015
0.00269,0.00281,0.0015,2039,CarbonEmissions,0.0014
0.00284,0.00297,0.0014,2040,CarbonEmissions,0.0013
0.00299,0.00313,0.0013,2041,CarbonEmissions,0.0012
0.00314,0.00331,0.0011,2042,CarbonEmissions,0.001
0.00329,0.00348,0.001,2043,CarbonEmissions,0.0009
0.00344,0.00365,0.0008,2044,CarbonEmissions,0.0007
0.00359,0.00381,0.0007,2045,CarbonEmissions,0.0006
0.00374,0.00397,0.0005,2046,CarbonEmissions,0.0005
0.00388,0.00414,0.0005,2047,CarbonEmissions,0.0005
0.00403,0.00429,0.0005,2048,CarbonEmissions,0.0005
0.00418,0.00445,0.0006,2049,CarbonEmissions,0.0005
0.00432,0.00462,0.0006,2050,CarbonEmissions,0.0006
0.00445,0.00478,0.0006,2051,CarbonEmissions,0.0006
0.00458,0.00492,0.0006,2052,CarbonEmissions,0.0006
0.0048,0.00515,0.0006,2053,CarbonEmissions,0.0006
0.00511,0.00551,0.0006,2054,CarbonEmissions,0.0006
0.00546,0.00592,0.0005,2055,CarbonEmissions,0.0005
0.00581,0.00633,0.0005,2056,CarbonEmissions,0.0004
0.00618,0.00676,0.0004,2057,CarbonEmissions,0.0004
0.00655,0.00721,0.0003,2058,CarbonEmissions,0.0003
0.00693,0.00765,0.0003,2059,CarbonEmissions,0.0002
0.00732,0.00811,0.0002,2060,CarbonEmissions,0.0001
0.0077,0.00857,0.0001,2061,CarbonEmissions,0.0001
0.00808,0.00904,0.0001,2062,CarbonEmissions,0.0
0.00846,0.0095,0.0,2063,CarbonEmissions,0.0
0.00884,0.00997,0.0,2064,CarbonEmissions,-0.0001
0.00922,0.01043,0.0,2065,CarbonEmissions,-0.0001
0.0096,0.0109,0.0,2066,CarbonEmissions,-0.0001
0.00997,0.01137,0.0,2067,CarbonEmissions,-0.0001
0.01033,0.01183,0.0,2068,CarbonEmissions,-0.0001
0.01069,0.01226,0.0,2069,CarbonEmissions,-0.0001
0.01104,0.01266,-0.0001,2070,CarbonEmissions,-0.0001
0.01138,0.01305,-0.0001,2071,CarbonEmissions,-0.0001
0.01171,0.0134,-0.0002,2072,CarbonEmissions,-0.0001
0.01203,0.01375,-0.0002,2073,CarbonEmissions,-0.0002
0.01234,0.01411,-0.0002,2074,CarbonEmissions,-0.0002
0.01266,0.01449,-0.0003,2075,CarbonEmissions,-0.0002
0.01298,0.01485,-0.0003,2076,CarbonEmissions,-0.0003
0.01331,0.01524,-0.0003,2077,CarbonEmissions,-0.0003
0.01358,0.01561,-0.0003,2078,CarbonEmissions,-0.0004
0.01385,0.01595,-0.0003,2079,CarbonEmissions,-0.0004
0.01412,0.01632,-0.0003,2080,CarbonEmissions,-0.0004
0.0144,0.01669,-0.0002,2081,CarbonEmissions,-0.0004
0.01465,0.01706,-0.0002,2082,CarbonEmissions,-0.0004
0.01489,0.01743,-0.0001,2083,CarbonEmissions,-0.0003
0.01511,0.0178,0.0,2084,CarbonEmissions,-0.0003
0.01531,0.01814,0.0,2085,CarbonEmissions,-0.0002
0.01549,0.01844,0.0001,2086,CarbonEmissions,-0.0002
0.01568,0.01875,0.0002,2087,CarbonEmissions,-0.0002
0.01587,0.01904,0.0003,2088,CarbonEmissions,-0.0001
0.01606,0.01933,0.0004,2089,CarbonEmissions,0.0
0.01625,0.01958,0.0004,2090,CarbonEmissions,0.0
0.01642,0.01979,0.0005,2091,CarbonEmissions,0.0001
0.01657,0.02001,0.0006,2092,CarbonEmissions,0.0001
0.01673,0.02021,0.0007,2093,CarbonEmissions,0.0002
0.01686,0.02041,0.0007,2094,CarbonEmissions,0.0002
0.01696,0.02058,0.0008,2095,CarbonEmissions,0.0003
0.01702,0.02071,0.0009,2096,CarbonEmissions,0.0003
0.01708,0.02085,0.001,2097,CarbonEmissions,0.0003
0.01713,0.021,0.0011,2098,CarbonEmissions,0.0004
0.01716,0.02117,0.0012,2099,CarbonEmissions,0.0004
0.01721,0.0214,0.0012,2100,CarbonEmissions,0.0004
0.023,0.023,0.023,2019,CarbonEmissions_per_capita,0.02343
0.031,0.031,0.031,2020,CarbonEmissions_per_capita,0.03096
0.036,0.036,0.036,2021,CarbonEmissions_per_capita,0.03582
0.039,0.039,0.039,2022,CarbonEmissions_per_capita,0.03876
0.041,0.041,0.041,2023,CarbonEmissions_per_capita,0.04134
0.043,0.043,0.043,2024,CarbonEmissions_per_capita,0.04264
0.046,0.046,0.048,2025,CarbonEmissions_per_capita,0.04816
0.049,0.049,0.053,2026,CarbonEmissions_per_capita,0.05313
0.052,0.052,0.056,2027,CarbonEmissions_per_capita,0.05663
0.055,0.055,0.058,2028,CarbonEmissions_per_capita,0.05799
0.059,0.059,0.059,2029,CarbonEmissions_per_capita,0.05848
0.062,0.063,0.059,2030,CarbonEmissions_per_capita,0.05813
0.066,0.067,0.058,2031,CarbonEmissions_per_capita,0.0569
0.07,0.071,0.057,2032,CarbonEmissions_per_capita,0.05609
0.073,0.074,0.057,2033,CarbonEmissions_per_capita,0.05553
0.075,0.077,0.057,2034,CarbonEmissions_per_capita,0.05508
0.078,0.08,0.056,2035,CarbonEmissions_per_capita,0.0542
0.08,0.083,0.056,2036,CarbonEmissions_per_capita,0.05304
0.082,0.086,0.055,2037,CarbonEmissions_per_capita,0.0519
0.085,0.089,0.053,2038,CarbonEmissions_per_capita,0.04944
0.087,0.092,0.049,2039,CarbonEmissions_per_capita,0.04584
0.09,0.095,0.045,2040,CarbonEmissions_per_capita,0.04128
0.093,0.099,0.04,2041,CarbonEmissions_per_capita,0.03631
0.096,0.102,0.034,2042,CarbonEmissions_per_capita,0.03118
0.098,0.106,0.029,2043,CarbonEmissions_per_capita,0.02615
0.101,0.109,0.024,2044,CarbonEmissions_per_capita,0.02141
0.103,0.112,0.019,2045,CarbonEmissions_per_capita,0.01692
0.106,0.115,0.015,2046,CarbonEmissions_per_capita,0.01398
0.108,0.118,0.015,2047,CarbonEmissions_per_capita,0.01399
0.11,0.121,0.015,2048,CarbonEmissions_per_capita,0.01454
0.112,0.124,0.016,2049,CarbonEmissions_per_capita,0.01467
0.114,0.127,0.015,2050,CarbonEmissions_per_capita,0.01463
0.116,0.129,0.017,2051,CarbonEmissions_per_capita,0.01551
0.117,0.132,0.017,2052,CarbonEmissions_per_capita,0.01562
0.121,0.136,0.017,2053,CarbonEmissions_per_capita,0.01531
0.127,0.144,0.016,2054,CarbonEmissions_per_capita,0.01433
0.134,0.153,0.014,2055,CarbonEmissions_per_capita,0.01285
0.141,0.162,0.012,2056,CarbonEmissions_per_capita,0.0109
0.148,0.171,0.01,2057,CarbonEmissions_per_capita,0.0089
0.155,0.18,0.008,2058,CarbonEmissions_per_capita,0.00673
