Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0738,0.0738,0.0738,2019,CarbonEmissions,0.0738
0.07487,0.07487,0.07487,2020,CarbonEmissions,0.07487
0.07525,0.07525,0.07525,2021,CarbonEmissions,0.07525
0.07477,0.07477,0.07477,2022,CarbonEmissions,0.07477
0.07666,0.07666,0.07666,2023,CarbonEmissions,0.07666
0.07666,0.07666,0.07666,2024,CarbonEmissions,0.07666
0.07668,0.07668,0.077,2025,CarbonEmissions,0.077
0.07707,0.07706,0.07646,2026,CarbonEmissions,0.07647
0.07771,0.07767,0.07475,2027,CarbonEmissions,0.07478
0.07834,0.07833,0.07187,2028,CarbonEmissions,0.07189
0.07917,0.07922,0.06868,2029,CarbonEmissions,0.06861
0.08001,0.08017,0.06539,2030,CarbonEmissions,0.06524
0.08062,0.08094,0.06299,2031,CarbonEmissions,0.06275
0.08088,0.08138,0.06065,2032,CarbonEmissions,0.06032
0.08101,0.0817,0.05835,2033,CarbonEmissions,0.05793
0.08105,0.08187,0.05604,2034,CarbonEmissions,0.05553
0.08109,0.08207,0.05371,2035,CarbonEmissions,0.05312
0.08108,0.08233,0.05141,2036,CarbonEmissions,0.05077
0.08111,0.08262,0.04806,2037,CarbonEmissions,0.0474
0.08119,0.08284,0.04477,2038,CarbonEmissions,0.04411
0.08123,0.08307,0.04148,2039,CarbonEmissions,0.04084
0.08135,0.08335,0.03826,2040,CarbonEmissions,0.03765
0.08143,0.08366,0.03517,2041,CarbonEmissions,0.03461
0.08146,0.08384,0.03225,2042,CarbonEmissions,0.03177
0.08147,0.08399,0.02946,2043,CarbonEmissions,0.02904
0.0813,0.08392,0.02689,2044,CarbonEmissions,0.02652
0.08106,0.08377,0.02443,2045,CarbonEmissions,0.02413
0.08077,0.08355,0.02256,2046,CarbonEmissions,0.02229
0.08043,0.08329,0.02185,2047,CarbonEmissions,0.02156
0.08007,0.08301,0.02123,2048,CarbonEmissions,0.0207
0.07964,0.08367,0.02044,2049,CarbonEmissions,0.01978
0.0792,0.08421,0.01951,2050,CarbonEmissions,0.01879
0.0787,0.08453,0.01855,2051,CarbonEmissions,0.01786
