Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00069,0.00069,0.00069,2019,CarbonEmissions,0.00069
0.00088,0.00088,0.00088,2020,CarbonEmissions,0.00088
0.00109,0.00109,0.00109,2021,CarbonEmissions,0.00109
0.00125,0.00125,0.00125,2022,CarbonEmissions,0.00125
0.00151,0.00151,0.00151,2023,CarbonEmissions,0.00151
0.00163,0.00163,0.00162,2024,CarbonEmissions,0.00162
0.00187,0.00187,0.00196,2025,CarbonEmissions,0.00196
0.00207,0.00206,0.00222,2026,CarbonEmissions,0.00223
0.00227,0.00227,0.00245,2027,CarbonEmissions,0.00246
0.00249,0.00249,0.00264,2028,CarbonEmissions,0.00264
0.00272,0.00273,0.0028,2029,CarbonEmissions,0.00279
0.00297,0.00299,0.00294,2030,CarbonEmissions,0.00292
0.00321,0.00325,0.00304,2031,CarbonEmissions,0.003
0.00343,0.00349,0.00315,2032,CarbonEmissions,0.0031
0.00364,0.00374,0.00328,2033,CarbonEmissions,0.0032
0.00386,0.00398,0.00342,2034,CarbonEmissions,0.00331
0.00407,0.00423,0.00355,2035,CarbonEmissions,0.00341
0.0043,0.0045,0.00368,2036,CarbonEmissions,0.00351
0.00454,0.00479,0.00383,2037,CarbonEmissions,0.00362
0.00479,0.00508,0.00395,2038,CarbonEmissions,0.0037
0.00505,0.0054,0.00401,2039,CarbonEmissions,0.00373
0.00534,0.00574,0.00399,2040,CarbonEmissions,0.0037
0.00564,0.0061,0.00394,2041,CarbonEmissions,0.00364
0.00596,0.00648,0.00387,2042,CarbonEmissions,0.00356
0.00628,0.00686,0.0038,2043,CarbonEmissions,0.00348
0.00661,0.00725,0.00373,2044,CarbonEmissions,0.0034
0.00698,0.00764,0.00367,2045,CarbonEmissions,0.00332
0.00736,0.00806,0.00363,2046,CarbonEmissions,0.00325
0.00777,0.00851,0.00355,2047,CarbonEmissions,0.00316
0.0082,0.00902,0.00348,2048,CarbonEmissions,0.00307
0.00868,0.00958,0.00343,2049,CarbonEmissions,0.003
0.00921,0.01022,0.00341,2050,CarbonEmissions,0.00295
0.00974,0.01089,0.00345,2051,CarbonEmissions,0.00296
0.01031,0.0116,0.0035,2052,CarbonEmissions,0.00297
0.0109,0.01233,0.00352,2053,CarbonEmissions,0.00298
0.0115,0.01308,0.00353,2054,CarbonEmissions,0.00296
0.01212,0.01386,0.0035,2055,CarbonEmissions,0.00293
0.01276,0.01468,0.00345,2056,CarbonEmissions,0.00287
0.01342,0.01553,0.00339,2057,CarbonEmissions,0.00279
0.0141,0.01642,0.00331,2058,CarbonEmissions,0.0027
0.01482,0.01734,0.00322,2059,CarbonEmissions,0.0026
0.01553,0.01829,0.00311,2060,CarbonEmissions,0.00248
0.01624,0.01925,0.003,2061,CarbonEmissions,0.00238
0.01696,0.02023,0.0029,2062,CarbonEmissions,0.00228
0.01769,0.02121,0.0028,2063,CarbonEmissions,0.00219
0.0184,0.0222,0.00269,2064,CarbonEmissions,0.0021
0.01914,0.02319,0.0027,2065,CarbonEmissions,0.00211
0.01985,0.0242,0.00268,2066,CarbonEmissions,0.0021
0.02057,0.02518,0.00265,2067,CarbonEmissions,0.00208
0.02127,0.02615,0.00261,2068,CarbonEmissions,0.00206
0.02198,0.02706,0.00255,2069,CarbonEmissions,0.00203
0.02266,0.02795,0.00247,2070,CarbonEmissions,0.00198
0.02336,0.02881,0.00238,2071,CarbonEmissions,0.00192
0.02403,0.02962,0.00232,2072,CarbonEmissions,0.00186
0.02467,0.03067,0.00221,2073,CarbonEmissions,0.00177
0.02531,0.03164,0.00214,2074,CarbonEmissions,0.00172
0.02595,0.0326,0.00206,2075,CarbonEmissions,0.00165
0.02659,0.03348,0.00203,2076,CarbonEmissions,0.00157
0.02724,0.03436,0.002,2077,CarbonEmissions,0.00149
0.02785,0.03543,0.00197,2078,CarbonEmissions,0.00141
0.02844,0.03629,0.00197,2079,CarbonEmissions,0.00136
0.02901,0.03707,0.00199,2080,CarbonEmissions,0.00133
0.02956,0.03778,0.00204,2081,CarbonEmissions,0.00132
0.03002,0.03839,0.00211,2082,CarbonEmissions,0.00132
0.03044,0.03894,0.00219,2083,CarbonEmissions,0.00135
0.03079,0.03943,0.00227,2084,CarbonEmissions,0.00139
0.03112,0.03981,0.00235,2085,CarbonEmissions,0.00143
0.03138,0.04004,0.00244,2086,CarbonEmissions,0.00148
