Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01074,0.01074,0.01074,2019,CarbonEmissions,0.01074
0.01049,0.01049,0.01049,2020,CarbonEmissions,0.01049
0.01071,0.01071,0.01071,2021,CarbonEmissions,0.01071
0.01089,0.01089,0.01089,2022,CarbonEmissions,0.01089
0.01111,0.01111,0.01111,2023,CarbonEmissions,0.01111
0.01101,0.01101,0.01101,2024,CarbonEmissions,0.01101
0.0109,0.0109,0.01126,2025,CarbonEmissions,0.01126
0.01088,0.01088,0.01143,2026,CarbonEmissions,0.01143
0.01095,0.01095,0.01139,2027,CarbonEmissions,0.01139
0.01102,0.01099,0.01104,2028,CarbonEmissions,0.01106
0.01117,0.01115,0.01059,2029,CarbonEmissions,0.01061
0.01138,0.01137,0.01009,2030,CarbonEmissions,0.01011
0.01155,0.01158,0.00942,2031,CarbonEmissions,0.00942
0.01163,0.01172,0.00889,2032,CarbonEmissions,0.00886
0.01165,0.0118,0.00849,2033,CarbonEmissions,0.00843
0.01163,0.01182,0.00822,2034,CarbonEmissions,0.00811
0.01159,0.01182,0.00793,2035,CarbonEmissions,0.00778
0.01154,0.01182,0.00773,2036,CarbonEmissions,0.00753
0.01148,0.0118,0.00775,2037,CarbonEmissions,0.0075
0.01141,0.01172,0.0077,2038,CarbonEmissions,0.00741
0.01133,0.01161,0.00754,2039,CarbonEmissions,0.00724
0.01125,0.01153,0.00735,2040,CarbonEmissions,0.00704
0.01117,0.01144,0.00712,2041,CarbonEmissions,0.00681
0.01105,0.01132,0.00689,2042,CarbonEmissions,0.00658
0.01091,0.01117,0.00665,2043,CarbonEmissions,0.00635
0.0107,0.01095,0.00641,2044,CarbonEmissions,0.00611
0.01046,0.01067,0.00619,2045,CarbonEmissions,0.00589
0.0102,0.01037,0.00588,2046,CarbonEmissions,0.00559
0.00991,0.01004,0.00535,2047,CarbonEmissions,0.00505
0.00962,0.00968,0.00493,2048,CarbonEmissions,0.00462
0.00932,0.00933,0.00455,2049,CarbonEmissions,0.00423
0.00902,0.009,0.00412,2050,CarbonEmissions,0.00378
0.00868,0.00863,0.00374,2051,CarbonEmissions,0.0034
0.00832,0.00822,0.00344,2052,CarbonEmissions,0.00308
0.00794,0.00777,0.00318,2053,CarbonEmissions,0.00281
0.00754,0.00732,0.00293,2054,CarbonEmissions,0.00255
0.00714,0.00687,0.00268,2055,CarbonEmissions,0.00231
0.00672,0.00643,0.00248,2056,CarbonEmissions,0.00212
0.0063,0.00601,0.00212,2057,CarbonEmissions,0.0018
0.00588,0.0056,0.00177,2058,CarbonEmissions,0.00147
0.00548,0.0052,0.00133,2059,CarbonEmissions,0.00105
0.00508,0.00485,0.00094,2060,CarbonEmissions,0.00069
0.0047,0.00451,0.00052,2061,CarbonEmissions,0.00027
0.00434,0.0042,0.00009,2062,CarbonEmissions,-0.00014
0.00402,0.00389,-0.00033,2063,CarbonEmissions,-0.00056
0.00371,0.0036,-0.00076,2064,CarbonEmissions,-0.00099
0.00341,0.00332,-0.00126,2065,CarbonEmissions,-0.00148
0.00312,0.00304,-0.0017,2066,CarbonEmissions,-0.00191
0.00284,0.00275,-0.00211,2067,CarbonEmissions,-0.0023
0.00255,0.00244,-0.00249,2068,CarbonEmissions,-0.00267
0.00227,0.00211,-0.00285,2069,CarbonEmissions,-0.00302
0.00196,0.00177,-0.00311,2070,CarbonEmissions,-0.00327
0.00166,0.00141,-0.00339,2071,CarbonEmissions,-0.00353
0.00133,0.00105,-0.00364,2072,CarbonEmissions,-0.00377
0.00101,0.0007,-0.00386,2073,CarbonEmissions,-0.004
0.00068,0.00038,-0.00408,2074,CarbonEmissions,-0.00421
0.00037,0.00007,-0.0043,2075,CarbonEmissions,-0.00442
6e-05,-0.00023,-0.0045,2076,CarbonEmissions,-0.00461
-0.00024,-0.00052,-0.00471,2077,CarbonEmissions,-0.00481
-0.00054,-0.00081,-0.00491,2078,CarbonEmissions,-0.00499
-0.00083,-0.0011,-0.00511,2079,CarbonEmissions,-0.00518
-0.00112,-0.00138,-0.0053,2080,CarbonEmissions,-0.00535
-0.0014,-0.00166,-0.00549,2081,CarbonEmissions,-0.00553
-0.00167,-0.00193,-0.00567,2082,CarbonEmissions,-0.0057
-0.00195,-0.0022,-0.00585,2083,CarbonEmissions,-0.00587
-0.00221,-0.00247,-0.00601,2084,CarbonEmissions,-0.00603
-0.00247,-0.00272,-0.00617,2085,CarbonEmissions,-0.00618
-0.00272,-0.00297,-0.00632,2086,CarbonEmissions,-0.00633
-0.00296,-0.00321,-0.00646,2087,CarbonEmissions,-0.00647
-0.00318,-0.00344,-0.00659,2088,CarbonEmissions,-0.0066
-0.0034,-0.00365,-0.00671,2089,CarbonEmissions,-0.00672
-0.00362,-0.00387,-0.00683,2090,CarbonEmissions,-0.00683
-0.00384,-0.00409,-0.00694,2091,CarbonEmissions,-0.00694
-0.00406,-0.0043,-0.00705,2092,CarbonEmissions,-0.00705
-0.00428,-0.00451,-0.00714,2093,CarbonEmissions,-0.00715
-0.0045,-0.00471,-0.00723,2094,CarbonEmissions,-0.00724
-0.0047,-0.0049,-0.00732,2095,CarbonEmissions,-0.00732
-0.00489,-0.00507,-0.00739,2096,CarbonEmissions,-0.00739
-0.00507,-0.00524,-0.00746,2097,CarbonEmissions,-0.00746
-0.00524,-0.00539,-0.00752,2098,CarbonEmissions,-0.00753
-0.0054,-0.00553,-0.00758,2099,CarbonEmissions,-0.00758
-0.00555,-0.00566,-0.00763,2100,CarbonEmissions,-0.00763
2.008,2.008,2.008,2019,CarbonEmissions_per_capita,2.00793
1.948,1.948,1.948,2020,CarbonEmissions_per_capita,1.94809
1.975,1.975,1.975,2021,CarbonEmissions_per_capita,1.9751
1.994,1.994,1.994,2022,CarbonEmissions_per_capita,1.99423
2.022,2.022,2.022,2023,CarbonEmissions_per_capita,2.02174
1.99,1.99,1.99,2024,CarbonEmissions_per_capita,1.99007
1.957,1.957,2.022,2025,CarbonEmissions_per_capita,2.02187
1.941,1.941,2.039,2026,CarbonEmissions_per_capita,2.0385
1.94,1.941,2.019,2027,CarbonEmissions_per_capita,2.01883
1.94,1.936,1.944,2028,CarbonEmissions_per_capita,1.94781
1.956,1.951,1.853,2029,CarbonEmissions_per_capita,1.85781
