Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00939,0.00939,0.00939,2019,CarbonEmissions,0.00939
0.00905,0.00905,0.00905,2020,CarbonEmissions,0.00905
0.0089,0.0089,0.0089,2021,CarbonEmissions,0.0089
0.00885,0.00885,0.00885,2022,CarbonEmissions,0.00885
0.0088,0.0088,0.0088,2023,CarbonEmissions,0.0088
0.00845,0.00845,0.00845,2024,CarbonEmissions,0.00845
0.0081,0.0081,0.00718,2025,CarbonEmissions,0.00718
0.00787,0.00787,0.00612,2026,CarbonEmissions,0.00612
0.00772,0.00773,0.00524,2027,CarbonEmissions,0.00524
0.00752,0.00754,0.00439,2028,CarbonEmissions,0.00437
0.0073,0.00734,0.00357,2029,CarbonEmissions,0.00352
0.00705,0.00711,0.00273,2030,CarbonEmissions,0.00267
0.00679,0.00686,0.00192,2031,CarbonEmissions,0.00191
0.00651,0.0066,0.00154,2032,CarbonEmissions,0.00153
0.00625,0.00635,0.00123,2033,CarbonEmissions,0.00121
0.006,0.0061,0.00096,2034,CarbonEmissions,0.00094
0.00574,0.00584,0.00079,2035,CarbonEmissions,0.00076
0.00549,0.0056,0.00064,2036,CarbonEmissions,0.00061
0.00523,0.00534,0.00053,2037,CarbonEmissions,0.00049
0.00497,0.00506,0.00041,2038,CarbonEmissions,0.00037
0.00469,0.00479,0.00027,2039,CarbonEmissions,0.00023
0.00442,0.00451,0.00014,2040,CarbonEmissions,0.0001
0.00415,0.00422,0.00001,2041,CarbonEmissions,-3e-05
0.00388,0.00393,-0.00011,2042,CarbonEmissions,-0.00014
0.00362,0.00364,-0.00019,2043,CarbonEmissions,-0.00022
0.00335,0.00335,-0.00027,2044,CarbonEmissions,-0.0003
0.00309,0.00305,-0.00034,2045,CarbonEmissions,-0.00036
0.00283,0.00276,-0.00041,2046,CarbonEmissions,-0.00043
0.00256,0.00245,-0.00048,2047,CarbonEmissions,-0.0005
0.00229,0.00214,-0.00054,2048,CarbonEmissions,-0.00056
0.00202,0.00182,-0.00059,2049,CarbonEmissions,-0.00061
0.00174,0.00157,-0.00064,2050,CarbonEmissions,-0.00066
0.00146,0.00146,-0.00068,2051,CarbonEmissions,-0.00069
0.00121,0.00135,-0.00071,2052,CarbonEmissions,-0.00073
0.00111,0.00124,-0.00074,2053,CarbonEmissions,-0.00076
0.001,0.00113,-0.00077,2054,CarbonEmissions,-0.00079
0.0009,0.00102,-0.00079,2055,CarbonEmissions,-0.00081
