Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01579,0.01579,0.01579,2019,CarbonEmissions,0.01579
0.01584,0.01584,0.01584,2020,CarbonEmissions,0.01584
0.01608,0.01608,0.01608,2021,CarbonEmissions,0.01608
0.01617,0.01617,0.01617,2022,CarbonEmissions,0.01617
0.01643,0.01643,0.01643,2023,CarbonEmissions,0.01643
0.01626,0.01626,0.01626,2024,CarbonEmissions,0.01626
0.01606,0.01606,0.01644,2025,CarbonEmissions,0.01644
0.01606,0.01606,0.01665,2026,CarbonEmissions,0.01665
0.0162,0.0162,0.01672,2027,CarbonEmissions,0.01672
0.01623,0.0162,0.01637,2028,CarbonEmissions,0.01639
0.01634,0.01631,0.0159,2029,CarbonEmissions,0.01594
0.01651,0.01647,0.01543,2030,CarbonEmissions,0.01547
0.01662,0.01662,0.01478,2031,CarbonEmissions,0.01481
0.01666,0.01668,0.01429,2032,CarbonEmissions,0.0143
0.01659,0.01667,0.01394,2033,CarbonEmissions,0.01391
0.0166,0.01671,0.01373,2034,CarbonEmissions,0.01366
0.0165,0.01664,0.01349,2035,CarbonEmissions,0.01337
0.0165,0.01672,0.01334,2036,CarbonEmissions,0.01316
0.01638,0.01666,0.01343,2037,CarbonEmissions,0.01318
0.01633,0.01664,0.01346,2038,CarbonEmissions,0.01315
0.01628,0.01663,0.01337,2039,CarbonEmissions,0.01303
0.01626,0.01665,0.01326,2040,CarbonEmissions,0.01288
0.01625,0.01667,0.0131,2041,CarbonEmissions,0.0127
0.01621,0.01668,0.01293,2042,CarbonEmissions,0.0125
0.01614,0.01667,0.01276,2043,CarbonEmissions,0.01229
0.01602,0.01659,0.01258,2044,CarbonEmissions,0.01208
0.01587,0.01648,0.01243,2045,CarbonEmissions,0.01189
0.0157,0.01635,0.0122,2046,CarbonEmissions,0.01163
0.01553,0.01622,0.01175,2047,CarbonEmissions,0.01116
0.01536,0.01609,0.01146,2048,CarbonEmissions,0.01082
0.01519,0.01599,0.01123,2049,CarbonEmissions,0.01056
0.01501,0.0159,0.01095,2050,CarbonEmissions,0.01023
0.01483,0.01579,0.01075,2051,CarbonEmissions,0.00999
0.01464,0.01564,0.01067,2052,CarbonEmissions,0.00984
0.01444,0.01547,0.01064,2053,CarbonEmissions,0.00973
0.01423,0.01528,0.01063,2054,CarbonEmissions,0.00965
0.01403,0.01508,0.01063,2055,CarbonEmissions,0.0096
0.01383,0.01488,0.0107,2056,CarbonEmissions,0.00964
0.01362,0.01467,0.01055,2057,CarbonEmissions,0.00949
0.01341,0.01447,0.01041,2058,CarbonEmissions,0.00935
0.01321,0.01426,0.01016,2059,CarbonEmissions,0.0091
0.01301,0.01406,0.01002,2060,CarbonEmissions,0.00895
0.01282,0.01387,0.00993,2061,CarbonEmissions,0.00873
0.01263,0.01369,0.00983,2062,CarbonEmissions,0.00853
0.01246,0.01351,0.00977,2063,CarbonEmissions,0.00833
0.0123,0.01333,0.00969,2064,CarbonEmissions,0.00815
0.01214,0.01317,0.00941,2065,CarbonEmissions,0.00778
0.01197,0.01306,0.00923,2066,CarbonEmissions,0.00751
0.0118,0.0129,0.0091,2067,CarbonEmissions,0.00728
0.01159,0.01269,0.00899,2068,CarbonEmissions,0.00708
0.01137,0.01242,0.0089,2069,CarbonEmissions,0.0069
0.01111,0.01209,0.00898,2070,CarbonEmissions,0.00686
0.01083,0.01171,0.009,2071,CarbonEmissions,0.0068
0.01051,0.01129,0.00905,2072,CarbonEmissions,0.00679
0.01017,0.01085,0.00911,2073,CarbonEmissions,0.00679
0.00982,0.01041,0.00919,2074,CarbonEmissions,0.0068
0.00945,0.00996,0.00923,2075,CarbonEmissions,0.00681
0.00908,0.0095,0.00931,2076,CarbonEmissions,0.00686
0.00872,0.00906,0.00932,2077,CarbonEmissions,0.00685
0.00838,0.0086,0.00935,2078,CarbonEmissions,0.00687
0.00805,0.00816,0.0093,2079,CarbonEmissions,0.00684
0.00771,0.00774,0.00928,2080,CarbonEmissions,0.00682
0.00736,0.00735,0.0092,2081,CarbonEmissions,0.00675
0.00702,0.00697,0.00913,2082,CarbonEmissions,0.0067
0.00669,0.00664,0.00902,2083,CarbonEmissions,0.00661
0.00636,0.00633,0.00891,2084,CarbonEmissions,0.00652
0.00605,0.00605,0.00879,2085,CarbonEmissions,0.00642
0.00576,0.00578,0.00866,2086,CarbonEmissions,0.00631
0.00548,0.00553,0.00853,2087,CarbonEmissions,0.0062
0.00524,0.0053,0.0084,2088,CarbonEmissions,0.00609
0.005,0.00508,0.00826,2089,CarbonEmissions,0.00598
0.00479,0.00487,0.00813,2090,CarbonEmissions,0.00587
0.00459,0.00466,0.008,2091,CarbonEmissions,0.00577
0.00439,0.00446,0.00779,2092,CarbonEmissions,0.0056
0.0042,0.00425,0.0076,2093,CarbonEmissions,0.00546
0.00401,0.00404,0.00743,2094,CarbonEmissions,0.00534
0.00383,0.00382,0.00727,2095,CarbonEmissions,0.00523
0.00364,0.0036,0.00712,2096,CarbonEmissions,0.00513
0.00345,0.00339,0.00698,2097,CarbonEmissions,0.00504
0.00327,0.00318,0.00685,2098,CarbonEmissions,0.00498
0.00309,0.00297,0.00675,2099,CarbonEmissions,0.00493
0.00292,0.00278,0.00665,2100,CarbonEmissions,0.0049
3.43,3.43,3.43,2019,CarbonEmissions_per_capita,3.43009
3.347,3.347,3.347,2020,CarbonEmissions_per_capita,3.34668
3.312,3.312,3.312,2021,CarbonEmissions_per_capita,3.31215
3.255,3.255,3.255,2022,CarbonEmissions_per_capita,3.25536
3.244,3.244,3.244,2023,CarbonEmissions_per_capita,3.24394
3.158,3.158,3.158,2024,CarbonEmissions_per_capita,3.15762
3.07,3.07,3.142,2025,CarbonEmissions_per_capita,3.14212
3.023,3.023,3.133,2026,CarbonEmissions_per_capita,3.13306
3.005,3.004,3.101,2027,CarbonEmissions_per_capita,3.1017
2.967,2.962,2.993,2028,CarbonEmissions_per_capita,2.99719
2.947,2.94,2.868,2029,CarbonEmissions_per_capita,2.87495
2.938,2.933,2.747,2030,CarbonEmissions_per_capita,2.75372
2.925,2.925,2.603,2031,CarbonEmissions_per_capita,2.60701
2.902,2.906,2.49,2032,CarbonEmissions_per_capita,2.49037
2.861,2.878,2.406,2033,CarbonEmissions_per_capita,2.39986
2.838,2.859,2.349,2034,CarbonEmissions_per_capita,2.3346
2.796,2.825,2.289,2035,CarbonEmissions_per_capita,2.26541
