Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0801,0.0801,0.0801,2019,CarbonEmissions,0.0801
0.08143,0.08143,0.08143,2020,CarbonEmissions,0.08143
0.08255,0.08255,0.08255,2021,CarbonEmissions,0.08255
0.08377,0.08377,0.08377,2022,CarbonEmissions,0.08377
0.08543,0.08543,0.08543,2023,CarbonEmissions,0.08543
0.08412,0.08412,0.08412,2024,CarbonEmissions,0.08412
0.08372,0.08372,0.08439,2025,CarbonEmissions,0.08439
0.08374,0.08375,0.08407,2026,CarbonEmissions,0.08406
0.08396,0.08395,0.08258,2027,CarbonEmissions,0.08258
0.08442,0.08432,0.07998,2028,CarbonEmissions,0.08007
0.08517,0.08503,0.07689,2029,CarbonEmissions,0.077
0.08598,0.08588,0.0735,2030,CarbonEmissions,0.0736
0.08656,0.08659,0.06985,2031,CarbonEmissions,0.06988
0.08669,0.08691,0.06651,2032,CarbonEmissions,0.06645
0.08661,0.08704,0.06349,2033,CarbonEmissions,0.0633
0.08635,0.08691,0.06067,2034,CarbonEmissions,0.06033
0.08602,0.08674,0.05829,2035,CarbonEmissions,0.05779
0.0856,0.08661,0.05594,2036,CarbonEmissions,0.05529
0.08519,0.08647,0.05388,2037,CarbonEmissions,0.05307
0.08476,0.08614,0.05151,2038,CarbonEmissions,0.0506
0.08425,0.08642,0.04937,2039,CarbonEmissions,0.04781
0.08412,0.087,0.04708,2040,CarbonEmissions,0.04536
0.08433,0.0875,0.04448,2041,CarbonEmissions,0.04276
0.08439,0.0878,0.04173,2042,CarbonEmissions,0.04001
0.08428,0.08801,0.03897,2043,CarbonEmissions,0.03723
0.0839,0.08792,0.03629,2044,CarbonEmissions,0.03454
0.08342,0.0877,0.03371,2045,CarbonEmissions,0.03195
0.08286,0.08737,0.0313,2046,CarbonEmissions,0.02956
0.08224,0.08701,0.02873,2047,CarbonEmissions,0.02703
0.0816,0.08658,0.02644,2048,CarbonEmissions,0.02478
0.08093,0.08618,0.0244,2049,CarbonEmissions,0.02279
0.0803,0.08591,0.02271,2050,CarbonEmissions,0.02113
0.07957,0.08547,0.02121,2051,CarbonEmissions,0.0197
0.07881,0.0849,0.01983,2052,CarbonEmissions,0.01837
0.07798,0.08422,0.0185,2053,CarbonEmissions,0.01712
0.07709,0.08346,0.01717,2054,CarbonEmissions,0.01589
0.07618,0.08261,0.01586,2055,CarbonEmissions,0.01471
0.07524,0.08171,0.01456,2056,CarbonEmissions,0.01353
0.07427,0.08072,0.01326,2057,CarbonEmissions,0.01235
0.07323,0.07966,0.01199,2058,CarbonEmissions,0.01118
0.0722,0.07848,0.01078,2059,CarbonEmissions,0.01006
0.07109,0.07727,0.00967,2060,CarbonEmissions,0.00904
0.06993,0.07599,0.00861,2061,CarbonEmissions,0.00808
0.06875,0.07473,0.00761,2062,CarbonEmissions,0.00717
0.06759,0.0734,0.00667,2063,CarbonEmissions,0.00632
0.06638,0.07212,0.00579,2064,CarbonEmissions,0.00551
0.0652,0.0708,0.00513,2065,CarbonEmissions,0.00491
0.06399,0.06951,0.0045,2066,CarbonEmissions,0.00434
0.06278,0.06814,0.00391,2067,CarbonEmissions,0.0038
0.06151,0.06675,0.00335,2068,CarbonEmissions,0.00329
0.06024,0.0652,0.00282,2069,CarbonEmissions,0.00281
0.05888,0.06357,0.00245,2070,CarbonEmissions,0.00247
0.05753,0.06184,0.00201,2071,CarbonEmissions,0.00206
0.05611,0.06001,0.0016,2072,CarbonEmissions,0.00168
0.05463,0.0582,0.00121,2073,CarbonEmissions,0.00132
0.05313,0.05645,0.00084,2074,CarbonEmissions,0.00098
0.05169,0.0548,0.00049,2075,CarbonEmissions,0.00065
0.05026,0.05314,0.00018,2076,CarbonEmissions,0.00035
0.0489,0.05153,-0.00012,2077,CarbonEmissions,6e-05
0.04752,0.04992,-0.00038,2078,CarbonEmissions,-0.00021
0.04616,0.04825,-0.00062,2079,CarbonEmissions,-0.00046
