Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01452,0.01452,0.01452,2019,CarbonEmissions,0.01452
0.0143,0.0143,0.0143,2020,CarbonEmissions,0.0143
0.01443,0.01443,0.01443,2021,CarbonEmissions,0.01443
0.01438,0.01438,0.01438,2022,CarbonEmissions,0.01438
0.01429,0.01429,0.01429,2023,CarbonEmissions,0.01429
0.01408,0.01408,0.01408,2024,CarbonEmissions,0.01408
0.01385,0.01385,0.01423,2025,CarbonEmissions,0.01423
0.01364,0.01363,0.01428,2026,CarbonEmissions,0.01428
0.01348,0.01346,0.01418,2027,CarbonEmissions,0.01421
0.01342,0.01343,0.01405,2028,CarbonEmissions,0.01405
0.0134,0.01341,0.01379,2029,CarbonEmissions,0.01379
0.01341,0.01343,0.01349,2030,CarbonEmissions,0.01348
0.01342,0.01346,0.01311,2031,CarbonEmissions,0.01309
0.01339,0.01347,0.01282,2032,CarbonEmissions,0.01277
0.01333,0.01346,0.0126,2033,CarbonEmissions,0.01252
0.01327,0.01343,0.01244,2034,CarbonEmissions,0.01233
0.01322,0.01341,0.01229,2035,CarbonEmissions,0.01213
0.01317,0.01341,0.01217,2036,CarbonEmissions,0.01197
0.01313,0.01342,0.01214,2037,CarbonEmissions,0.01189
0.01312,0.01343,0.01206,2038,CarbonEmissions,0.01177
0.01312,0.01345,0.0119,2039,CarbonEmissions,0.01158
0.01315,0.01351,0.01161,2040,CarbonEmissions,0.01127
0.01318,0.0136,0.01127,2041,CarbonEmissions,0.01092
0.01323,0.0137,0.01089,2042,CarbonEmissions,0.01052
0.01329,0.01381,0.0105,2043,CarbonEmissions,0.01012
0.01333,0.0139,0.01011,2044,CarbonEmissions,0.00972
0.01337,0.01399,0.00974,2045,CarbonEmissions,0.00934
0.01342,0.01409,0.0094,2046,CarbonEmissions,0.00899
0.01348,0.01421,0.00901,2047,CarbonEmissions,0.00861
0.01355,0.01434,0.0087,2048,CarbonEmissions,0.00829
0.01365,0.01451,0.00846,2049,CarbonEmissions,0.00804
0.01376,0.01472,0.0083,2050,CarbonEmissions,0.00785
0.01388,0.01494,0.00822,2051,CarbonEmissions,0.00774
0.01402,0.01515,0.00819,2052,CarbonEmissions,0.00767
0.01417,0.01537,0.00819,2053,CarbonEmissions,0.00763
0.01432,0.01559,0.00822,2054,CarbonEmissions,0.00762
0.01448,0.01582,0.00825,2055,CarbonEmissions,0.00761
0.01465,0.01606,0.00825,2056,CarbonEmissions,0.0076
0.01483,0.01632,0.00823,2057,CarbonEmissions,0.00756
0.01501,0.0166,0.00814,2058,CarbonEmissions,0.00748
0.0152,0.0169,0.00805,2059,CarbonEmissions,0.00738
0.0154,0.01724,0.00794,2060,CarbonEmissions,0.00725
0.01561,0.01761,0.00782,2061,CarbonEmissions,0.00712
0.01584,0.01803,0.00768,2062,CarbonEmissions,0.00697
0.01609,0.01847,0.00753,2063,CarbonEmissions,0.00682
0.01635,0.01898,0.00739,2064,CarbonEmissions,0.00666
0.01665,0.01952,0.00726,2065,CarbonEmissions,0.00652
0.01697,0.02009,0.00714,2066,CarbonEmissions,0.00639
0.01732,0.02067,0.00704,2067,CarbonEmissions,0.00628
0.01767,0.02127,0.00696,2068,CarbonEmissions,0.00618
0.01804,0.02186,0.00688,2069,CarbonEmissions,0.00609
0.01842,0.02245,0.0068,2070,CarbonEmissions,0.00599
0.01882,0.02306,0.00675,2071,CarbonEmissions,0.00592
0.01922,0.02367,0.00672,2072,CarbonEmissions,0.00586
0.01963,0.02433,0.00669,2073,CarbonEmissions,0.00581
0.02006,0.02505,0.00669,2074,CarbonEmissions,0.00579
0.02051,0.02584,0.00672,2075,CarbonEmissions,0.00578
0.02098,0.02666,0.00673,2076,CarbonEmissions,0.00576
0.02149,0.02752,0.00676,2077,CarbonEmissions,0.00576
0.022,0.02838,0.00676,2078,CarbonEmissions,0.00575
0.02253,0.02923,0.00678,2079,CarbonEmissions,0.00575
0.02306,0.03011,0.00678,2080,CarbonEmissions,0.00572
0.0236,0.03099,0.0068,2081,CarbonEmissions,0.00571
0.02413,0.03187,0.0068,2082,CarbonEmissions,0.00567
0.02464,0.03275,0.00679,2083,CarbonEmissions,0.00565
0.02514,0.03365,0.00678,2084,CarbonEmissions,0.00562
0.02564,0.03452,0.00676,2085,CarbonEmissions,0.00558
0.02617,0.03541,0.00674,2086,CarbonEmissions,0.00554
0.02672,0.03632,0.00673,2087,CarbonEmissions,0.0055
0.02729,0.03718,0.0067,2088,CarbonEmissions,0.00546
0.02788,0.03798,0.00665,2089,CarbonEmissions,0.00542
0.02848,0.03876,0.00661,2090,CarbonEmissions,0.00538
0.02908,0.03948,0.00658,2091,CarbonEmissions,0.00536
0.02967,0.04015,0.00657,2092,CarbonEmissions,0.00534
0.03028,0.04075,0.00657,2093,CarbonEmissions,0.00534
0.03088,0.04128,0.00658,2094,CarbonEmissions,0.00536
0.03149,0.04142,0.0066,2095,CarbonEmissions,0.00541
0.03207,0.04147,0.00667,2096,CarbonEmissions,0.00548
0.03263,0.04148,0.00676,2097,CarbonEmissions,0.00557
0.03313,0.04141,0.00688,2098,CarbonEmissions,0.0057
0.03361,0.04141,0.00698,2099,CarbonEmissions,0.00582
0.03415,0.04145,0.00709,2100,CarbonEmissions,0.00597
0.564,0.564,0.564,2019,CarbonEmissions_per_capita,0.56361
0.553,0.553,0.553,2020,CarbonEmissions_per_capita,0.5532
0.556,0.556,0.556,2021,CarbonEmissions_per_capita,0.55641
0.553,0.553,0.553,2022,CarbonEmissions_per_capita,0.55305
0.548,0.548,0.548,2023,CarbonEmissions_per_capita,0.54806
0.539,0.539,0.539,2024,CarbonEmissions_per_capita,0.5388
0.529,0.529,0.544,2025,CarbonEmissions_per_capita,0.5436
0.52,0.52,0.545,2026,CarbonEmissions_per_capita,0.54489
0.514,0.513,0.541,2027,CarbonEmissions_per_capita,0.54139
0.511,0.511,0.535,2028,CarbonEmissions_per_capita,0.53499
0.51,0.511,0.525,2029,CarbonEmissions_per_capita,0.52504
