Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01208,0.01208,0.01208,2019,CarbonEmissions,0.01208
0.0114,0.0114,0.0114,2020,CarbonEmissions,0.0114
0.01063,0.01063,0.01063,2021,CarbonEmissions,0.01063
0.01022,0.01022,0.01022,2022,CarbonEmissions,0.01022
0.01051,0.01051,0.01051,2023,CarbonEmissions,0.01051
0.01018,0.01018,0.01019,2024,CarbonEmissions,0.01019
0.00957,0.00957,0.00947,2025,CarbonEmissions,0.00947
0.00908,0.00908,0.00861,2026,CarbonEmissions,0.0086
0.00866,0.00865,0.00753,2027,CarbonEmissions,0.00753
0.00817,0.00815,0.00617,2028,CarbonEmissions,0.00619
0.00778,0.00776,0.00481,2029,CarbonEmissions,0.00483
0.00742,0.00741,0.00348,2030,CarbonEmissions,0.00349
0.00702,0.00705,0.00215,2031,CarbonEmissions,0.00213
0.00653,0.00661,0.00091,2032,CarbonEmissions,0.00087
0.00602,0.00615,-0.00024,2033,CarbonEmissions,-0.00031
0.0055,0.00564,-0.00134,2034,CarbonEmissions,-0.00142
0.00499,0.00524,-0.00208,2035,CarbonEmissions,-0.00229
0.00453,0.00492,-0.00283,2036,CarbonEmissions,-0.00308
0.00416,0.00462,-0.00352,2037,CarbonEmissions,-0.0038
0.0038,0.0043,-0.00424,2038,CarbonEmissions,-0.00455
0.00343,0.00399,-0.00496,2039,CarbonEmissions,-0.0053
0.0031,0.00371,-0.00558,2040,CarbonEmissions,-0.00594
0.00277,0.00345,-0.00617,2041,CarbonEmissions,-0.00655
0.00245,0.00318,-0.00672,2042,CarbonEmissions,-0.00711
0.00213,0.00293,-0.00724,2043,CarbonEmissions,-0.00763
0.0018,0.00264,-0.00772,2044,CarbonEmissions,-0.00812
0.00148,0.00235,-0.00818,2045,CarbonEmissions,-0.00857
0.00117,0.00207,-0.00861,2046,CarbonEmissions,-0.00899
0.00086,0.0018,-0.00906,2047,CarbonEmissions,-0.00942
0.00057,0.00152,-0.00946,2048,CarbonEmissions,-0.00981
0.00027,0.00127,-0.00983,2049,CarbonEmissions,-0.01017
-0.00001,0.00105,-0.01015,2050,CarbonEmissions,-0.01048
-0.00029,0.00081,-0.01047,2051,CarbonEmissions,-0.01079
-0.00057,0.00056,-0.01078,2052,CarbonEmissions,-0.01109
-0.00084,0.00029,-0.0111,2053,CarbonEmissions,-0.01139
-0.00112,0.00002,-0.01142,2054,CarbonEmissions,-0.01167
-0.00138,-0.00025,-0.0117,2055,CarbonEmissions,-0.01192
-0.00165,-0.00052,-0.01194,2056,CarbonEmissions,-0.01213
-0.00191,-0.0008,-0.01217,2057,CarbonEmissions,-0.01232
-0.00218,-0.00109,-0.01235,2058,CarbonEmissions,-0.01248
-0.00244,-0.0014,-0.0125,2059,CarbonEmissions,-0.01259
-0.00271,-0.00171,-0.01259,2060,CarbonEmissions,-0.01266
-0.00299,-0.00203,-0.01266,2061,CarbonEmissions,-0.01273
-0.00326,-0.00235,-0.01273,2062,CarbonEmissions,-0.01278
-0.00354,-0.00268,-0.01279,2063,CarbonEmissions,-0.01284
-0.00381,-0.003,-0.01284,2064,CarbonEmissions,-0.01288
-0.00409,-0.00333,-0.01289,2065,CarbonEmissions,-0.01293
-0.00437,-0.00366,-0.01293,2066,CarbonEmissions,-0.01296
-0.00465,-0.004,-0.01296,2067,CarbonEmissions,-0.013
-0.00493,-0.00431,-0.01299,2068,CarbonEmissions,-0.01303
-0.00519,-0.00464,-0.01302,2069,CarbonEmissions,-0.01305
-0.00547,-0.00497,-0.01304,2070,CarbonEmissions,-0.01307
-0.00573,-0.0053,-0.01306,2071,CarbonEmissions,-0.01309
-0.00599,-0.00564,-0.01308,2072,CarbonEmissions,-0.01311
-0.00626,-0.00598,-0.0131,2073,CarbonEmissions,-0.01313
-0.00653,-0.00631,-0.01312,2074,CarbonEmissions,-0.01314
-0.00678,-0.00662,-0.01313,2075,CarbonEmissions,-0.01315
-0.00702,-0.00695,-0.01314,2076,CarbonEmissions,-0.01317
-0.00726,-0.00726,-0.01316,2077,CarbonEmissions,-0.01318
-0.0075,-0.00758,-0.01317,2078,CarbonEmissions,-0.01319
-0.00773,-0.0079,-0.01318,2079,CarbonEmissions,-0.0132
