Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0058,0.0058,0.0058,2019,CarbonEmissions,0.0058
0.00649,0.00649,0.00649,2020,CarbonEmissions,0.00649
0.00692,0.00692,0.00692,2021,CarbonEmissions,0.00692
0.0071,0.0071,0.0071,2022,CarbonEmissions,0.0071
0.00728,0.00728,0.00728,2023,CarbonEmissions,0.00728
0.00626,0.00626,0.00623,2024,CarbonEmissions,0.00623
0.00579,0.00579,0.00604,2025,CarbonEmissions,0.00604
0.00623,0.00623,0.0067,2026,CarbonEmissions,0.0067
0.00716,0.00716,0.00772,2027,CarbonEmissions,0.00772
0.00771,0.00773,0.00818,2028,CarbonEmissions,0.00817
0.00835,0.00837,0.00856,2029,CarbonEmissions,0.00854
0.00892,0.00893,0.0087,2030,CarbonEmissions,0.00869
0.00945,0.0095,0.00873,2031,CarbonEmissions,0.00869
0.01,0.01009,0.00886,2032,CarbonEmissions,0.0088
0.01057,0.01072,0.00912,2033,CarbonEmissions,0.00902
0.01116,0.01136,0.00946,2034,CarbonEmissions,0.00931
0.01177,0.01203,0.00976,2035,CarbonEmissions,0.00958
0.01235,0.01259,0.00999,2036,CarbonEmissions,0.00981
0.01285,0.01317,0.01027,2037,CarbonEmissions,0.01002
0.01337,0.01373,0.01045,2038,CarbonEmissions,0.01015
0.01388,0.01429,0.01048,2039,CarbonEmissions,0.01014
0.01445,0.01489,0.01031,2040,CarbonEmissions,0.00995
0.01503,0.01553,0.01002,2041,CarbonEmissions,0.00966
0.01564,0.01617,0.00963,2042,CarbonEmissions,0.00929
0.01625,0.01683,0.0092,2043,CarbonEmissions,0.00888
0.01685,0.01745,0.00876,2044,CarbonEmissions,0.00846
0.01745,0.01807,0.00831,2045,CarbonEmissions,0.00804
0.01805,0.01871,0.0079,2046,CarbonEmissions,0.00763
0.01864,0.01935,0.00747,2047,CarbonEmissions,0.00722
0.01924,0.01999,0.0071,2048,CarbonEmissions,0.00686
0.01985,0.02067,0.00681,2049,CarbonEmissions,0.00657
0.02049,0.02143,0.00659,2050,CarbonEmissions,0.00635
0.02112,0.02217,0.00648,2051,CarbonEmissions,0.00625
0.02176,0.02289,0.00642,2052,CarbonEmissions,0.00618
0.02242,0.02362,0.00637,2053,CarbonEmissions,0.00613
0.02309,0.02436,0.00631,2054,CarbonEmissions,0.00608
0.02378,0.0251,0.00619,2055,CarbonEmissions,0.00599
0.02447,0.02584,0.00597,2056,CarbonEmissions,0.00582
0.02516,0.02657,0.00571,2057,CarbonEmissions,0.00561
0.02585,0.02731,0.00538,2058,CarbonEmissions,0.00532
