Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00348,0.00348,0.00348,2019,CarbonEmissions,0.00348
0.00376,0.00376,0.00376,2020,CarbonEmissions,0.00376
0.00396,0.00396,0.00396,2021,CarbonEmissions,0.00396
0.00415,0.00415,0.00415,2022,CarbonEmissions,0.00415
0.00435,0.00435,0.00435,2023,CarbonEmissions,0.00435
0.00453,0.00453,0.00454,2024,CarbonEmissions,0.00454
0.00482,0.00482,0.00496,2025,CarbonEmissions,0.00496
0.00519,0.00519,0.00543,2026,CarbonEmissions,0.00543
0.00543,0.00542,0.00569,2027,CarbonEmissions,0.0057
0.00567,0.00567,0.00589,2028,CarbonEmissions,0.00589
0.00596,0.00596,0.00607,2029,CarbonEmissions,0.00606
0.00626,0.00628,0.00619,2030,CarbonEmissions,0.00618
0.00656,0.00659,0.0063,2031,CarbonEmissions,0.00627
0.00685,0.0069,0.00641,2032,CarbonEmissions,0.00638
0.00712,0.0072,0.00655,2033,CarbonEmissions,0.00649
0.00738,0.00747,0.00669,2034,CarbonEmissions,0.00661
0.00764,0.00776,0.00683,2035,CarbonEmissions,0.00673
0.0079,0.00805,0.00696,2036,CarbonEmissions,0.00684
0.00818,0.00837,0.00709,2037,CarbonEmissions,0.00694
0.00848,0.00868,0.00718,2038,CarbonEmissions,0.007
0.00879,0.00901,0.0072,2039,CarbonEmissions,0.007
0.00912,0.00937,0.00712,2040,CarbonEmissions,0.00691
0.00946,0.00975,0.00698,2041,CarbonEmissions,0.00676
0.00981,0.01014,0.00678,2042,CarbonEmissions,0.00655
0.01017,0.01053,0.00656,2043,CarbonEmissions,0.00632
0.01052,0.01092,0.00632,2044,CarbonEmissions,0.00608
0.01087,0.0113,0.00608,2045,CarbonEmissions,0.00584
0.01122,0.01169,0.00588,2046,CarbonEmissions,0.00563
0.01158,0.01209,0.00569,2047,CarbonEmissions,0.00543
0.01196,0.0125,0.00552,2048,CarbonEmissions,0.00526
0.01235,0.01295,0.0054,2049,CarbonEmissions,0.00513
0.01278,0.01345,0.00534,2050,CarbonEmissions,0.00506
0.01317,0.01391,0.00532,2051,CarbonEmissions,0.00503
0.01357,0.01435,0.00532,2052,CarbonEmissions,0.00501
0.01397,0.01479,0.00533,2053,CarbonEmissions,0.00502
0.01437,0.01521,0.00535,2054,CarbonEmissions,0.00503
0.01476,0.01562,0.00535,2055,CarbonEmissions,0.00504
0.01516,0.01602,0.00531,2056,CarbonEmissions,0.005
0.01555,0.01643,0.00526,2057,CarbonEmissions,0.00497
0.01594,0.01683,0.00516,2058,CarbonEmissions,0.00489
0.0163,0.01722,0.00506,2059,CarbonEmissions,0.00479
0.01665,0.01761,0.00493,2060,CarbonEmissions,0.00465
0.017,0.018,0.00479,2061,CarbonEmissions,0.00452
0.01734,0.01839,0.00464,2062,CarbonEmissions,0.00438
0.01771,0.01878,0.00447,2063,CarbonEmissions,0.00424
0.01807,0.01918,0.00431,2064,CarbonEmissions,0.00409
