Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00922,0.00922,0.00922,2019,CarbonEmissions,0.00922
0.00843,0.00843,0.00843,2020,CarbonEmissions,0.00843
0.00808,0.00808,0.00808,2021,CarbonEmissions,0.00808
0.00806,0.00806,0.00806,2022,CarbonEmissions,0.00806
0.00799,0.00799,0.00799,2023,CarbonEmissions,0.00799
0.00684,0.00684,0.00685,2024,CarbonEmissions,0.00685
0.00566,0.00566,0.0063,2025,CarbonEmissions,0.0063
0.00474,0.00476,0.00538,2026,CarbonEmissions,0.00537
0.00418,0.00419,0.00397,2027,CarbonEmissions,0.00396
0.00414,0.0041,0.00226,2028,CarbonEmissions,0.00229
0.00431,0.00427,0.00027,2029,CarbonEmissions,0.0003
0.00442,0.00441,-0.00199,2030,CarbonEmissions,-0.00197
0.00424,0.00429,-0.0045,2031,CarbonEmissions,-0.00451
0.00374,0.00387,-0.00693,2032,CarbonEmissions,-0.00698
0.00311,0.0033,-0.00919,2033,CarbonEmissions,-0.00928
0.00238,0.00257,-0.01134,2034,CarbonEmissions,-0.01145
0.00163,0.00184,-0.0134,2035,CarbonEmissions,-0.01355
0.00083,0.00111,-0.01547,2036,CarbonEmissions,-0.01563
0.00008,0.00042,-0.01738,2037,CarbonEmissions,-0.01755
-0.00063,-0.00034,-0.01943,2038,CarbonEmissions,-0.01957
-0.00135,-0.00109,-0.0216,2039,CarbonEmissions,-0.0217
-0.00202,-0.00178,-0.02365,2040,CarbonEmissions,-0.02373
-0.00281,-0.00251,-0.02568,2041,CarbonEmissions,-0.02575
-0.0036,-0.00329,-0.02764,2042,CarbonEmissions,-0.02773
-0.00443,-0.00409,-0.02954,2043,CarbonEmissions,-0.02964
-0.00531,-0.00495,-0.03133,2044,CarbonEmissions,-0.03144
-0.00622,-0.00587,-0.03301,2045,CarbonEmissions,-0.03314
-0.00717,-0.00684,-0.03452,2046,CarbonEmissions,-0.03466
-0.00815,-0.00782,-0.03602,2047,CarbonEmissions,-0.03616
-0.00913,-0.00883,-0.03733,2048,CarbonEmissions,-0.03747
-0.01012,-0.0098,-0.03848,2049,CarbonEmissions,-0.03863
-0.01109,-0.01069,-0.03944,2050,CarbonEmissions,-0.03961
-0.01208,-0.01163,-0.04032,2051,CarbonEmissions,-0.04049
-0.01307,-0.01262,-0.04113,2052,CarbonEmissions,-0.04131
-0.01404,-0.01361,-0.04191,2053,CarbonEmissions,-0.04206
-0.01501,-0.01461,-0.04264,2054,CarbonEmissions,-0.04275
-0.01595,-0.01559,-0.04335,2055,CarbonEmissions,-0.04341
-0.01688,-0.01653,-0.04398,2056,CarbonEmissions,-0.044
-0.0178,-0.01746,-0.04459,2057,CarbonEmissions,-0.04457
-0.01872,-0.01838,-0.0451,2058,CarbonEmissions,-0.0451
-0.01962,-0.01933,-0.04554,2059,CarbonEmissions,-0.04554
-0.02053,-0.02025,-0.04597,2060,CarbonEmissions,-0.04595
-0.02143,-0.02118,-0.04636,2061,CarbonEmissions,-0.04634
-0.02232,-0.02206,-0.04673,2062,CarbonEmissions,-0.0467
-0.02315,-0.02293,-0.04709,2063,CarbonEmissions,-0.04704
-0.02395,-0.02373,-0.04742,2064,CarbonEmissions,-0.04737
-0.0247,-0.0245,-0.04767,2065,CarbonEmissions,-0.0476
-0.02542,-0.02522,-0.04791,2066,CarbonEmissions,-0.04784
-0.02608,-0.02591,-0.04813,2067,CarbonEmissions,-0.04805
-0.02673,-0.02656,-0.04833,2068,CarbonEmissions,-0.04825
-0.02734,-0.02723,-0.04852,2069,CarbonEmissions,-0.04844
-0.02797,-0.0279,-0.04866,2070,CarbonEmissions,-0.04857
-0.02856,-0.02856,-0.04883,2071,CarbonEmissions,-0.04872
-0.02916,-0.02924,-0.04897,2072,CarbonEmissions,-0.04886
-0.02976,-0.02987,-0.0491,2073,CarbonEmissions,-0.04899
-0.03037,-0.03047,-0.04921,2074,CarbonEmissions,-0.04911
-0.03093,-0.031,-0.04932,2075,CarbonEmissions,-0.04923
