Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00017,0.00017,0.00017,2019,CarbonEmissions,0.00017
0.0003,0.0003,0.0003,2020,CarbonEmissions,0.0003
0.0004,0.0004,0.0004,2021,CarbonEmissions,0.0004
0.0005,0.0005,0.0005,2022,CarbonEmissions,0.0005
0.0006,0.0006,0.0006,2023,CarbonEmissions,0.0006
0.0007,0.0007,0.00069,2024,CarbonEmissions,0.00069
0.0008,0.0008,0.00087,2025,CarbonEmissions,0.00087
0.00091,0.00091,0.00104,2026,CarbonEmissions,0.00104
0.00104,0.00103,0.00119,2027,CarbonEmissions,0.0012
0.00115,0.00115,0.00129,2028,CarbonEmissions,0.00129
0.00127,0.00128,0.00137,2029,CarbonEmissions,0.00137
0.00139,0.0014,0.00144,2030,CarbonEmissions,0.00143
0.00151,0.00154,0.00148,2031,CarbonEmissions,0.00145
0.00162,0.00167,0.00154,2032,CarbonEmissions,0.0015
0.00173,0.00181,0.00163,2033,CarbonEmissions,0.00157
0.00185,0.00195,0.00176,2034,CarbonEmissions,0.00167
0.00199,0.00211,0.00189,2035,CarbonEmissions,0.00178
0.00213,0.00228,0.00204,2036,CarbonEmissions,0.0019
0.00228,0.00246,0.00225,2037,CarbonEmissions,0.00208
0.00244,0.00264,0.00245,2038,CarbonEmissions,0.00225
0.0026,0.00283,0.00263,2039,CarbonEmissions,0.0024
0.00279,0.00304,0.00276,2040,CarbonEmissions,0.00252
0.00298,0.00328,0.00287,2041,CarbonEmissions,0.00261
0.00318,0.00352,0.00296,2042,CarbonEmissions,0.00269
0.0034,0.00379,0.00304,2043,CarbonEmissions,0.00274
0.00363,0.00407,0.00311,2044,CarbonEmissions,0.00277
0.00387,0.00437,0.00318,2045,CarbonEmissions,0.0028
0.00413,0.00467,0.00322,2046,CarbonEmissions,0.00279
0.00439,0.00499,0.00317,2047,CarbonEmissions,0.00271
0.00468,0.00533,0.00312,2048,CarbonEmissions,0.00264
0.00497,0.00567,0.0031,2049,CarbonEmissions,0.00259
0.00528,0.00605,0.00308,2050,CarbonEmissions,0.00254
0.0056,0.00643,0.00311,2051,CarbonEmissions,0.00255
0.00592,0.00682,0.00321,2052,CarbonEmissions,0.0026
0.00627,0.00723,0.00333,2053,CarbonEmissions,0.00268
0.00665,0.00765,0.00348,2054,CarbonEmissions,0.0028
0.00704,0.00806,0.0036,2055,CarbonEmissions,0.00292
0.00742,0.00846,0.00372,2056,CarbonEmissions,0.00304
0.00779,0.00891,0.00377,2057,CarbonEmissions,0.00312
0.00818,0.00937,0.0038,2058,CarbonEmissions,0.00316
0.00857,0.00983,0.00378,2059,CarbonEmissions,0.00317
0.00895,0.01029,0.00377,2060,CarbonEmissions,0.00317
0.00933,0.01075,0.00375,2061,CarbonEmissions,0.00315
0.00973,0.01123,0.00372,2062,CarbonEmissions,0.00313
0.01018,0.01174,0.00369,2063,CarbonEmissions,0.0031
0.01064,0.01224,0.00366,2064,CarbonEmissions,0.00306
0.01109,0.01275,0.00363,2065,CarbonEmissions,0.00301
0.01156,0.01329,0.00362,2066,CarbonEmissions,0.00299
0.01204,0.01383,0.00363,2067,CarbonEmissions,0.00298
0.0125,0.0144,0.00365,2068,CarbonEmissions,0.00298
0.01299,0.01495,0.00368,2069,CarbonEmissions,0.00298
0.01346,0.01551,0.0037,2070,CarbonEmissions,0.00298
0.01394,0.01606,0.00375,2071,CarbonEmissions,0.00299
0.01442,0.01661,0.0038,2072,CarbonEmissions,0.00302
0.01493,0.01718,0.00387,2073,CarbonEmissions,0.00306
0.01544,0.01778,0.00397,2074,CarbonEmissions,0.00313
0.01597,0.01842,0.00408,2075,CarbonEmissions,0.00321
0.01651,0.01904,0.00421,2076,CarbonEmissions,0.00329
0.01708,0.01981,0.00433,2077,CarbonEmissions,0.00337
0.01765,0.02058,0.00444,2078,CarbonEmissions,0.00345
0.01822,0.02131,0.00455,2079,CarbonEmissions,0.00351
0.0188,0.02205,0.00466,2080,CarbonEmissions,0.00358
0.01937,0.0228,0.00476,2081,CarbonEmissions,0.00365
0.01992,0.02352,0.00486,2082,CarbonEmissions,0.00371
0.02045,0.02424,0.00495,2083,CarbonEmissions,0.00377
0.02096,0.02496,0.00503,2084,CarbonEmissions,0.00382
0.02149,0.02565,0.0051,2085,CarbonEmissions,0.00387
0.02202,0.02632,0.00516,2086,CarbonEmissions,0.00391
0.02256,0.02696,0.00517,2087,CarbonEmissions,0.00394
0.0231,0.02753,0.00514,2088,CarbonEmissions,0.00396
0.02363,0.02806,0.00508,2089,CarbonEmissions,0.00397
0.02411,0.02852,0.00499,2090,CarbonEmissions,0.00398
0.02454,0.02884,0.00488,2091,CarbonEmissions,0.004
0.02492,0.02905,0.00475,2092,CarbonEmissions,0.00398
0.02526,0.02919,0.00463,2093,CarbonEmissions,0.00398
0.02555,0.02938,0.0045,2094,CarbonEmissions,0.00399
0.02577,0.02941,0.00438,2095,CarbonEmissions,0.00401
0.02593,0.02925,0.00425,2096,CarbonEmissions,0.00404
0.026,0.02896,0.00413,2097,CarbonEmissions,0.00406
0.02598,0.02856,0.00402,2098,CarbonEmissions,0.00411
0.02588,0.02805,0.00382,2099,CarbonEmissions,0.00406
0.02577,0.02744,0.00365,2100,CarbonEmissions,0.00397
0.011,0.011,0.011,2019,CarbonEmissions_per_capita,0.01089
0.018,0.018,0.018,2020,CarbonEmissions_per_capita,0.01844
0.024,0.024,0.024,2021,CarbonEmissions_per_capita,0.02373
0.028,0.028,0.028,2022,CarbonEmissions_per_capita,0.02826
0.033,0.033,0.033,2023,CarbonEmissions_per_capita,0.03329
0.037,0.037,0.037,2024,CarbonEmissions_per_capita,0.03715
0.042,0.042,0.045,2025,CarbonEmissions_per_capita,0.04519
0.046,0.046,0.052,2026,CarbonEmissions_per_capita,0.05244
0.051,0.05,0.058,2027,CarbonEmissions_per_capita,0.05832
0.054,0.054,0.061,2028,CarbonEmissions_per_capita,0.06102
0.058,0.059,0.063,2029,CarbonEmissions_per_capita,0.06279
0.062,0.062,0.064,2030,CarbonEmissions_per_capita,0.0634
0.065,0.066,0.064,2031,CarbonEmissions_per_capita,0.06256
0.068,0.07,0.064,2032,CarbonEmissions_per_capita,0.06269
0.07,0.073,0.066,2033,CarbonEmissions_per_capita,0.06381
0.073,0.077,0.069,2034,CarbonEmissions_per_capita,0.06598
0.076,0.081,0.072,2035,CarbonEmissions_per_capita,0.06805
0.079,0.085,0.076,2036,CarbonEmissions_per_capita,0.07079
0.082,0.089,0.081,2037,CarbonEmissions_per_capita,0.07519
0.086,0.093,0.086,2038,CarbonEmissions_per_capita,0.07917
0.089,0.097,0.09,2039,CarbonEmissions_per_capita,0.08221
0.093,0.102,0.092,2040,CarbonEmissions_per_capita,0.08365
0.096,0.106,0.093,2041,CarbonEmissions_per_capita,0.08436
0.1,0.112,0.094,2042,CarbonEmissions_per_capita,0.08478
0.104,0.117,0.094,2043,CarbonEmissions_per_capita,0.08409
0.108,0.123,0.094,2044,CarbonEmissions_per_capita,0.08289
0.113,0.128,0.093,2045,CarbonEmissions_per_capita,0.08161
0.117,0.134,0.092,2046,CarbonEmissions_per_capita,0.07941
0.122,0.14,0.089,2047,CarbonEmissions_per_capita,0.07518
0.126,0.146,0.086,2048,CarbonEmissions_per_capita,0.07159
0.131,0.152,0.083,2049,CarbonEmissions_per_capita,0.06854
0.136,0.158,0.081,2050,CarbonEmissions_per_capita,0.06568
0.141,0.165,0.08,2051,CarbonEmissions_per_capita,0.06433
0.146,0.171,0.081,2052,CarbonEmissions_per_capita,0.0641
0.151,0.178,0.082,2053,CarbonEmissions_per_capita,0.06481
0.157,0.184,0.084,2054,CarbonEmissions_per_capita,0.06612
0.163,0.19,0.086,2055,CarbonEmissions_per_capita,0.06753
0.168,0.196,0.087,2056,CarbonEmissions_per_capita,0.06895
0.173,0.203,0.086,2057,CarbonEmissions_per_capita,0.06928
0.178,0.21,0.085,2058,CarbonEmissions_per_capita,0.06881
0.183,0.216,0.084,2059,CarbonEmissions_per_capita,0.06771
0.187,0.223,0.082,2060,CarbonEmissions_per_capita,0.06647
0.191,0.229,0.08,2061,CarbonEmissions_per_capita,0.06494
0.196,0.235,0.078,2062,CarbonEmissions_per_capita,0.06332
0.202,0.242,0.077,2063,CarbonEmissions_per_capita,0.06163
0.207,0.249,0.075,2064,CarbonEmissions_per_capita,0.05992
0.212,0.256,0.073,2065,CarbonEmissions_per_capita,0.05804
0.218,0.263,0.072,2066,CarbonEmissions_per_capita,0.05667
0.223,0.27,0.071,2067,CarbonEmissions_per_capita,0.05561
0.228,0.278,0.071,2068,CarbonEmissions_per_capita,0.05472
0.234,0.285,0.071,2069,CarbonEmissions_per_capita,0.05402
0.239,0.292,0.07,2070,CarbonEmissions_per_capita,0.05319
0.244,0.299,0.07,2071,CarbonEmissions_per_capita,0.05278
0.249,0.306,0.071,2072,CarbonEmissions_per_capita,0.0526
0.254,0.314,0.071,2073,CarbonEmissions_per_capita,0.05259
0.26,0.322,0.073,2074,CarbonEmissions_per_capita,0.05311
0.265,0.33,0.074,2075,CarbonEmissions_per_capita,0.0538
0.271,0.339,0.076,2076,CarbonEmissions_per_capita,0.0546
0.277,0.35,0.077,2077,CarbonEmissions_per_capita,0.05529
0.284,0.361,0.079,2078,CarbonEmissions_per_capita,0.056
0.29,0.371,0.08,2079,CarbonEmissions_per_capita,0.05649
0.296,0.381,0.081,2080,CarbonEmissions_per_capita,0.05706
0.302,0.391,0.083,2081,CarbonEmissions_per_capita,0.05757
0.308,0.401,0.084,2082,CarbonEmissions_per_capita,0.05809
0.314,0.41,0.085,2083,CarbonEmissions_per_capita,0.0585
0.319,0.42,0.085,2084,CarbonEmissions_per_capita,0.05888
0.324,0.429,0.086,2085,CarbonEmissions_per_capita,0.05917
0.33,0.437,0.087,2086,CarbonEmissions_per_capita,0.05936
0.336,0.445,0.086,2087,CarbonEmissions_per_capita,0.05945
0.342,0.452,0.085,2088,CarbonEmissions_per_capita,0.05939
0.348,0.458,0.084,2089,CarbonEmissions_per_capita,0.05927
0.353,0.463,0.082,2090,CarbonEmissions_per_capita,0.05908
0.357,0.465,0.08,2091,CarbonEmissions_per_capita,0.05891
0.36,0.466,0.077,2092,CarbonEmissions_per_capita,0.0584
0.363,0.466,0.075,2093,CarbonEmissions_per_capita,0.05806
0.365,0.467,0.072,2094,CarbonEmissions_per_capita,0.05787
0.367,0.466,0.07,2095,CarbonEmissions_per_capita,0.05789
0.367,0.461,0.068,2096,CarbonEmissions_per_capita,0.05793
0.366,0.455,0.066,2097,CarbonEmissions_per_capita,0.05807
0.364,0.447,0.064,2098,CarbonEmissions_per_capita,0.05842
0.361,0.438,0.06,2099,CarbonEmissions_per_capita,0.05752
0.358,0.427,0.057,2100,CarbonEmissions_per_capita,0.05597
98.47,98.47,98.47,2019,ChildMort5Yrs,98.47
98.13,98.13,98.13,2020,ChildMort5Yrs,98.13
95.22,95.22,95.22,2021,ChildMort5Yrs,95.22
92.78,92.78,92.78,2022,ChildMort5Yrs,92.78
89.53,89.53,89.53,2023,ChildMort5Yrs,89.53
86.14,86.14,86.14,2024,ChildMort5Yrs,86.14
82.79,79.7,79.7,2025,ChildMort5Yrs,82.78
79.6,77.62,77.62,2026,ChildMort5Yrs,79.6
77.06,74.0,74.0,2027,ChildMort5Yrs,77.05
74.08,70.71,70.68,2028,ChildMort5Yrs,74.05
71.42,67.62,67.56,2029,ChildMort5Yrs,71.35
68.85,64.56,64.45,2030,ChildMort5Yrs,68.73
66.37,61.64,61.45,2031,ChildMort5Yrs,66.17
63.91,58.72,58.43,2032,ChildMort5Yrs,63.6
61.45,55.87,55.49,2033,ChildMort5Yrs,61.04
59.1,53.22,52.78,2034,ChildMort5Yrs,58.62
56.88,50.79,50.4,2035,ChildMort5Yrs,56.37
54.93,48.57,48.15,2036,ChildMort5Yrs,54.41
53.07,46.48,46.05,2037,ChildMort5Yrs,52.48
51.29,44.57,44.1,2038,ChildMort5Yrs,50.66
49.56,42.66,42.16,2039,ChildMort5Yrs,48.88
47.88,40.91,40.36,2040,ChildMort5Yrs,47.14
46.19,39.15,38.53,2041,ChildMort5Yrs,45.37
44.57,37.5,36.85,2042,ChildMort5Yrs,43.68
43.01,35.95,35.25,2043,ChildMort5Yrs,42.03
41.48,34.48,33.75,2044,ChildMort5Yrs,40.4
40.0,33.12,32.34,2045,ChildMort5Yrs,38.85
38.59,31.86,31.02,2046,ChildMort5Yrs,37.38
37.29,30.67,29.79,2047,ChildMort5Yrs,36.02
