Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0036,0.0036,0.00355,2019,CarbonEmissions,0.00355
0.0035,0.0035,0.00353,2020,CarbonEmissions,0.00353
0.0035,0.0035,0.00349,2021,CarbonEmissions,0.00349
0.0036,0.0036,0.00356,2022,CarbonEmissions,0.00356
0.0036,0.0036,0.00359,2023,CarbonEmissions,0.00359
0.0035,0.0035,0.00354,2024,CarbonEmissions,0.00354
0.0035,0.0035,0.0035,2025,CarbonEmissions,0.0035
0.0035,0.0035,0.00345,2026,CarbonEmissions,0.00345
0.0035,0.0035,0.00339,2027,CarbonEmissions,0.00339
0.0035,0.0034,0.00327,2028,CarbonEmissions,0.00327
0.0034,0.0034,0.00314,2029,CarbonEmissions,0.00315
0.0034,0.0035,0.00303,2030,CarbonEmissions,0.00302
0.0035,0.0035,0.0029,2031,CarbonEmissions,0.00289
0.0035,0.0035,0.00279,2032,CarbonEmissions,0.00277
0.0035,0.0035,0.00267,2033,CarbonEmissions,0.00265
0.0035,0.0035,0.00257,2034,CarbonEmissions,0.00254
0.0035,0.0035,0.00247,2035,CarbonEmissions,0.00243
0.0034,0.0035,0.00237,2036,CarbonEmissions,0.00232
0.0034,0.0035,0.00228,2037,CarbonEmissions,0.00223
0.0034,0.0035,0.00219,2038,CarbonEmissions,0.00213
0.0034,0.0035,0.00209,2039,CarbonEmissions,0.00202
0.0034,0.0035,0.00199,2040,CarbonEmissions,0.00192
0.0034,0.0036,0.0019,2041,CarbonEmissions,0.00182
0.0034,0.0036,0.0018,2042,CarbonEmissions,0.00172
0.0034,0.0036,0.0017,2043,CarbonEmissions,0.00162
0.0034,0.0036,0.0016,2044,CarbonEmissions,0.00152
0.0033,0.0035,0.00151,2045,CarbonEmissions,0.00142
0.0033,0.0035,0.00142,2046,CarbonEmissions,0.00134
0.0033,0.0035,0.00133,2047,CarbonEmissions,0.00124
0.0033,0.0035,0.00125,2048,CarbonEmissions,0.00116
0.0032,0.0035,0.00117,2049,CarbonEmissions,0.00109
0.0032,0.0035,0.00111,2050,CarbonEmissions,0.00103
0.0032,0.0035,0.00106,2051,CarbonEmissions,0.00098
0.0032,0.0035,0.00102,2052,CarbonEmissions,0.00094
0.0032,0.0034,0.00098,2053,CarbonEmissions,0.0009
0.0031,0.0034,0.00094,2054,CarbonEmissions,0.00087
0.0031,0.0034,0.00091,2055,CarbonEmissions,0.00083
0.0031,0.0034,0.00087,2056,CarbonEmissions,0.0008
0.0031,0.0033,0.00083,2057,CarbonEmissions,0.00077
0.003,0.0033,0.00079,2058,CarbonEmissions,0.00074
0.003,0.0033,0.00075,2059,CarbonEmissions,0.0007
0.003,0.0033,0.00072,2060,CarbonEmissions,0.00067
0.003,0.0032,0.00068,2061,CarbonEmissions,0.00064
0.0029,0.0032,0.00064,2062,CarbonEmissions,0.0006
0.0029,0.0032,0.00061,2063,CarbonEmissions,0.00057
0.0029,0.0031,0.00057,2064,CarbonEmissions,0.00054
0.0028,0.0031,0.00054,2065,CarbonEmissions,0.00052
0.0028,0.003,0.00052,2066,CarbonEmissions,0.00049
0.0028,0.003,0.00049,2067,CarbonEmissions,0.00047
0.0027,0.003,0.00047,2068,CarbonEmissions,0.00045
0.0027,0.0029,0.00044,2069,CarbonEmissions,0.00043
0.0027,0.0029,0.00043,2070,CarbonEmissions,0.00041
0.0026,0.0028,0.00041,2071,CarbonEmissions,0.0004
0.0026,0.0028,0.0004,2072,CarbonEmissions,0.00038
0.0025,0.0027,0.00038,2073,CarbonEmissions,0.00037
0.0025,0.0027,0.00037,2074,CarbonEmissions,0.00035
0.0025,0.0026,0.00035,2075,CarbonEmissions,0.00034
0.0024,0.0026,0.00034,2076,CarbonEmissions,0.00033
0.0024,0.0025,0.00033,2077,CarbonEmissions,0.00032
0.0023,0.0025,0.00032,2078,CarbonEmissions,0.00031
0.0023,0.0024,0.00031,2079,CarbonEmissions,0.0003
0.0023,0.0024,0.00029,2080,CarbonEmissions,0.00029
0.0022,0.0023,0.00028,2081,CarbonEmissions,0.00028
0.0022,0.0023,0.00027,2082,CarbonEmissions,0.00027
0.0021,0.0022,0.00026,2083,CarbonEmissions,0.00026
0.0021,0.0022,0.00026,2084,CarbonEmissions,0.00025
0.0021,0.0021,0.00025,2085,CarbonEmissions,0.00025
0.002,0.0021,0.00024,2086,CarbonEmissions,0.00024
0.002,0.002,0.00023,2087,CarbonEmissions,0.00023
0.002,0.002,0.00022,2088,CarbonEmissions,0.00022
0.0019,0.0019,0.00022,2089,CarbonEmissions,0.00022
0.0019,0.0019,0.00021,2090,CarbonEmissions,0.00021
0.0019,0.0018,0.0002,2091,CarbonEmissions,0.0002
0.0018,0.0018,0.0002,2092,CarbonEmissions,0.0002
0.0018,0.0017,0.00019,2093,CarbonEmissions,0.00019
0.0017,0.0017,0.00019,2094,CarbonEmissions,0.00019
0.0017,0.0016,0.00018,2095,CarbonEmissions,0.00018
0.0017,0.0016,0.00018,2096,CarbonEmissions,0.00018
0.0016,0.0015,0.00017,2097,CarbonEmissions,0.00017
0.0016,0.0015,0.00017,2098,CarbonEmissions,0.00017
0.0016,0.0014,0.00016,2099,CarbonEmissions,0.00017
0.0015,0.0014,0.00016,2100,CarbonEmissions,0.00016
1.682,1.682,1.682,2019,CarbonEmissions_per_capita,1.68158
1.667,1.667,1.667,2020,CarbonEmissions_per_capita,1.66731
1.65,1.65,1.65,2021,CarbonEmissions_per_capita,1.6499
1.684,1.684,1.684,2022,CarbonEmissions_per_capita,1.68369
1.699,1.699,1.699,2023,CarbonEmissions_per_capita,1.69923
1.677,1.677,1.677,2024,CarbonEmissions_per_capita,1.67731
1.658,1.658,1.657,2025,CarbonEmissions_per_capita,1.65651
1.651,1.651,1.638,2026,CarbonEmissions_per_capita,1.6381
1.653,1.652,1.612,2027,CarbonEmissions_per_capita,1.61199
1.645,1.644,1.559,2028,CarbonEmissions_per_capita,1.55971
1.644,1.643,1.501,2029,CarbonEmissions_per_capita,1.5021
1.652,1.655,1.448,2030,CarbonEmissions_per_capita,1.44568
1.664,1.67,1.393,2031,CarbonEmissions_per_capita,1.38881
1.67,1.68,1.341,2032,CarbonEmissions_per_capita,1.3332
1.674,1.688,1.291,2033,CarbonEmissions_per_capita,1.28001
1.675,1.694,1.243,2034,CarbonEmissions_per_capita,1.22875
1.677,1.701,1.197,2035,CarbonEmissions_per_capita,1.17951
1.679,1.71,1.153,2036,CarbonEmissions_per_capita,1.13181
1.682,1.721,1.115,2037,CarbonEmissions_per_capita,1.08976
1.685,1.73,1.073,2038,CarbonEmissions_per_capita,1.04449
1.686,1.738,1.025,2039,CarbonEmissions_per_capita,0.99546
1.688,1.747,0.982,2040,CarbonEmissions_per_capita,0.95008
1.689,1.757,0.937,2041,CarbonEmissions_per_capita,0.90275
1.689,1.765,0.891,2042,CarbonEmissions_per_capita,0.85504
1.688,1.773,0.845,2043,CarbonEmissions_per_capita,0.80729
1.684,1.776,0.8,2044,CarbonEmissions_per_capita,0.76102
1.679,1.778,0.756,2045,CarbonEmissions_per_capita,0.71623
1.675,1.779,0.715,2046,CarbonEmissions_per_capita,0.67506
1.67,1.78,0.671,2047,CarbonEmissions_per_capita,0.63135
1.665,1.779,0.632,2048,CarbonEmissions_per_capita,0.59248
1.661,1.781,0.598,2049,CarbonEmissions_per_capita,0.55851
1.659,1.787,0.57,2050,CarbonEmissions_per_capita,0.53086
1.655,1.79,0.546,2051,CarbonEmissions_per_capita,0.50782
1.652,1.79,0.527,2052,CarbonEmissions_per_capita,0.48813
1.648,1.789,0.509,2053,CarbonEmissions_per_capita,0.47071
1.646,1.786,0.492,2054,CarbonEmissions_per_capita,0.45487
1.643,1.783,0.476,2055,CarbonEmissions_per_capita,0.44059
1.641,1.78,0.46,2056,CarbonEmissions_per_capita,0.42698
1.638,1.775,0.443,2057,CarbonEmissions_per_capita,0.41199
1.635,1.771,0.424,2058,CarbonEmissions_per_capita,0.39599
1.631,1.764,0.405,2059,CarbonEmissions_per_capita,0.37924
1.625,1.757,0.388,2060,CarbonEmissions_per_capita,0.36359
1.618,1.75,0.37,2061,CarbonEmissions_per_capita,0.34764
1.61,1.741,0.352,2062,CarbonEmissions_per_capita,0.33205
1.602,1.732,0.334,2063,CarbonEmissions_per_capita,0.31663
1.594,1.724,0.318,2064,CarbonEmissions_per_capita,0.3016
1.585,1.714,0.303,2065,CarbonEmissions_per_capita,0.28832
1.576,1.704,0.289,2066,CarbonEmissions_per_capita,0.27602
1.566,1.693,0.276,2067,CarbonEmissions_per_capita,0.26456
1.556,1.679,0.264,2068,CarbonEmissions_per_capita,0.25382
1.544,1.663,0.253,2069,CarbonEmissions_per_capita,0.24375
1.531,1.643,0.245,2070,CarbonEmissions_per_capita,0.23663
1.517,1.622,0.237,2071,CarbonEmissions_per_capita,0.2287
1.502,1.598,0.229,2072,CarbonEmissions_per_capita,0.22152
1.485,1.575,0.222,2073,CarbonEmissions_per_capita,0.21475
1.467,1.554,0.215,2074,CarbonEmissions_per_capita,0.20829
1.45,1.535,0.208,2075,CarbonEmissions_per_capita,0.20223
1.433,1.515,0.202,2076,CarbonEmissions_per_capita,0.19651
1.417,1.496,0.195,2077,CarbonEmissions_per_capita,0.19102
1.4,1.476,0.189,2078,CarbonEmissions_per_capita,0.18566
1.383,1.453,0.183,2079,CarbonEmissions_per_capita,0.18037
1.366,1.431,0.178,2080,CarbonEmissions_per_capita,0.17523
1.35,1.408,0.172,2081,CarbonEmissions_per_capita,0.17025
1.333,1.384,0.167,2082,CarbonEmissions_per_capita,0.16542
1.315,1.36,0.162,2083,CarbonEmissions_per_capita,0.1608
1.297,1.337,0.157,2084,CarbonEmissions_per_capita,0.15632
1.28,1.313,0.152,2085,CarbonEmissions_per_capita,0.15204
1.262,1.287,0.148,2086,CarbonEmissions_per_capita,0.14785
1.244,1.262,0.144,2087,CarbonEmissions_per_capita,0.14387
1.228,1.237,0.14,2088,CarbonEmissions_per_capita,0.14008
1.211,1.213,0.136,2089,CarbonEmissions_per_capita,0.1365
1.194,1.188,0.132,2090,CarbonEmissions_per_capita,0.13311
1.177,1.162,0.129,2091,CarbonEmissions_per_capita,0.12992
1.159,1.135,0.125,2092,CarbonEmissions_per_capita,0.12667
1.14,1.108,0.122,2093,CarbonEmissions_per_capita,0.12368
1.121,1.081,0.119,2094,CarbonEmissions_per_capita,0.12091
1.102,1.053,0.116,2095,CarbonEmissions_per_capita,0.11834
1.081,1.023,0.113,2096,CarbonEmissions_per_capita,0.11583
1.059,0.992,0.11,2097,CarbonEmissions_per_capita,0.11336
1.037,0.962,0.108,2098,CarbonEmissions_per_capita,0.11088
1.015,0.931,0.105,2099,CarbonEmissions_per_capita,0.10845
0.994,0.903,0.104,2100,CarbonEmissions_per_capita,0.10637
1.68973,1.68973,1.68973,2019,ChildMort5Yrs,1.68973
1.75338,1.75338,1.75338,2020,ChildMort5Yrs,1.75338
1.65217,1.65217,1.65217,2021,ChildMort5Yrs,1.65217
1.60763,1.60763,1.60763,2022,ChildMort5Yrs,1.60763
1.56793,1.56793,1.56793,2023,ChildMort5Yrs,1.56793
1.51653,1.51653,1.51653,2024,ChildMort5Yrs,1.51653
1.4769,1.47667,1.47679,2025,ChildMort5Yrs,1.47702
1.43959,1.43868,1.43869,2026,ChildMort5Yrs,1.43961
1.40951,1.40629,1.40602,2027,ChildMort5Yrs,1.40923
1.37993,1.37478,1.37407,2028,ChildMort5Yrs,1.37921
1.34924,1.34049,1.33859,2029,ChildMort5Yrs,1.34728
1.31687,1.30534,1.30244,2030,ChildMort5Yrs,1.31391
1.28574,1.27123,1.26738,2031,ChildMort5Yrs,1.28182
1.25549,1.23787,1.23322,2032,ChildMort5Yrs,1.25076
1.2257,1.20491,1.19966,2033,ChildMort5Yrs,1.22032
1.19618,1.17226,1.16656,2034,ChildMort5Yrs,1.19038
1.16679,1.13965,1.13371,2035,ChildMort5Yrs,1.16071
1.13762,1.10723,1.10107,2036,ChildMort5Yrs,1.13133
1.10854,1.0748,1.06851,2037,ChildMort5Yrs,1.1021
1.07931,1.0423,1.03592,2038,ChildMort5Yrs,1.07275
1.04984,1.00999,1.00348,2039,ChildMort5Yrs,1.04322
1.02198,0.97952,0.97291,2040,ChildMort5Yrs,1.01519
0.99472,0.9498,0.94299,2041,ChildMort5Yrs,0.98768
0.96795,0.92091,0.91397,2042,ChildMort5Yrs,0.96062
0.9415,0.89273,0.88553,2043,ChildMort5Yrs,0.93374
0.91514,0.86502,0.85762,2044,ChildMort5Yrs,0.90701
0.89046,0.83917,0.83166,2045,ChildMort5Yrs,0.88207
0.86679,0.81451,0.80693,2046,ChildMort5Yrs,0.85852
0.84456,0.79118,0.78359,2047,ChildMort5Yrs,0.83626
0.82344,0.76894,0.76144,2048,ChildMort5Yrs,0.81508
0.80299,0.74763,0.74032,2049,ChildMort5Yrs,0.79457
0.78302,0.72701,0.72007,2050,ChildMort5Yrs,0.7747
0.76376,0.70752,0.70089,2051,ChildMort5Yrs,0.75549
0.74548,0.68916,0.68303,2052,ChildMort5Yrs,0.73754
0.7281,0.67201,0.66626,2053,ChildMort5Yrs,0.7204
0.71191,0.65606,0.65084,2054,ChildMort5Yrs,0.70464
0.69532,0.64007,0.63521,2055,ChildMort5Yrs,0.68839
0.67953,0.62476,0.62039,2056,ChildMort5Yrs,0.67313
0.66436,0.61026,0.60606,2057,ChildMort5Yrs,0.65822
0.65012,0.5965,0.5927,2058,ChildMort5Yrs,0.64435
0.63658,0.58361,0.57984,2059,ChildMort5Yrs,0.63102
0.62343,0.57093,0.56745,2060,ChildMort5Yrs,0.61813
0.61061,0.55877,0.55528,2061,ChildMort5Yrs,0.60546
0.59834,0.54695,0.54365,2062,ChildMort5Yrs,0.59335
0.58631,0.53555,0.53223,2063,ChildMort5Yrs,0.58146
0.57472,0.52442,0.52126,2064,ChildMort5Yrs,0.56998
0.56309,0.51348,0.5103,2065,ChildMort5Yrs,0.55848
0.55175,0.50265,0.49966,2066,ChildMort5Yrs,0.54724
0.54048,0.49212,0.48914,2067,ChildMort5Yrs,0.5361
0.52957,0.48174,0.47897,2068,ChildMort5Yrs,0.52531
0.51879,0.4717,0.46897,2069,ChildMort5Yrs,0.51467
0.50832,0.46184,0.45933,2070,ChildMort5Yrs,0.50434
0.49801,0.4523,0.44985,2071,ChildMort5Yrs,0.49418
0.48803,0.44298,0.44075,2072,ChildMort5Yrs,0.48435
0.47825,0.43398,0.43182,2073,ChildMort5Yrs,0.47473
0.46886,0.42524,0.42325,2074,ChildMort5Yrs,0.46547
0.45976,0.41686,0.4149,2075,ChildMort5Yrs,0.45652
