Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.01103,0.01103,0.01103,2019,CarbonEmissions,0.01103
0.01075,0.01075,0.01075,2020,CarbonEmissions,0.01075
0.01053,0.01053,0.01053,2021,CarbonEmissions,0.01053
0.0102,0.0102,0.0102,2022,CarbonEmissions,0.0102
0.00995,0.00995,0.00995,2023,CarbonEmissions,0.00995
0.00977,0.00977,0.00977,2024,CarbonEmissions,0.00977
0.00964,0.00964,0.00979,2025,CarbonEmissions,0.00979
0.00957,0.00957,0.0098,2026,CarbonEmissions,0.0098
0.00947,0.00947,0.00967,2027,CarbonEmissions,0.00967
0.00941,0.0094,0.00945,2028,CarbonEmissions,0.00946
0.00936,0.00935,0.00919,2029,CarbonEmissions,0.0092
0.00933,0.00933,0.00892,2030,CarbonEmissions,0.00893
0.00929,0.0093,0.0086,2031,CarbonEmissions,0.0086
0.00921,0.00924,0.00834,2032,CarbonEmissions,0.00833
0.00911,0.00917,0.00815,2033,CarbonEmissions,0.00812
0.00901,0.00909,0.00801,2034,CarbonEmissions,0.00796
0.00891,0.00901,0.00787,2035,CarbonEmissions,0.00779
0.0088,0.00893,0.00777,2036,CarbonEmissions,0.00767
0.00871,0.00887,0.00775,2037,CarbonEmissions,0.00762
0.00862,0.00879,0.00771,2038,CarbonEmissions,0.00756
0.00853,0.00871,0.00764,2039,CarbonEmissions,0.00747
0.00845,0.00864,0.00755,2040,CarbonEmissions,0.00737
0.00837,0.00858,0.00745,2041,CarbonEmissions,0.00726
0.00828,0.00852,0.00734,2042,CarbonEmissions,0.00714
0.00819,0.00845,0.00724,2043,CarbonEmissions,0.00703
0.00809,0.00836,0.00714,2044,CarbonEmissions,0.00692
0.00799,0.00827,0.00696,2045,CarbonEmissions,0.00673
0.00788,0.00818,0.00668,2046,CarbonEmissions,0.00643
0.00777,0.00809,0.00632,2047,CarbonEmissions,0.00607
0.00767,0.008,0.00602,2048,CarbonEmissions,0.00576
0.00757,0.00792,0.00577,2049,CarbonEmissions,0.00551
0.00747,0.00785,0.00556,2050,CarbonEmissions,0.00529
0.00738,0.00778,0.0054,2051,CarbonEmissions,0.00513
0.00729,0.00771,0.0053,2052,CarbonEmissions,0.00502
0.0072,0.00764,0.00523,2053,CarbonEmissions,0.00493
0.00711,0.00755,0.00517,2054,CarbonEmissions,0.00486
0.00702,0.00747,0.00511,2055,CarbonEmissions,0.0048
0.00693,0.00738,0.00506,2056,CarbonEmissions,0.00474
0.00684,0.0073,0.00495,2057,CarbonEmissions,0.00465
0.00675,0.00722,0.00483,2058,CarbonEmissions,0.00454
0.00666,0.00714,0.00468,2059,CarbonEmissions,0.00442
0.00656,0.00707,0.00454,2060,CarbonEmissions,0.00429
0.00646,0.00699,0.00439,2061,CarbonEmissions,0.00416
0.00636,0.00691,0.00424,2062,CarbonEmissions,0.00402
0.00626,0.00682,0.0041,2063,CarbonEmissions,0.00389
0.00616,0.00672,0.00396,2064,CarbonEmissions,0.00376
0.00607,0.00663,0.0038,2065,CarbonEmissions,0.00362
0.00599,0.00653,0.00368,2066,CarbonEmissions,0.0035
0.0059,0.00642,0.00356,2067,CarbonEmissions,0.00339
0.0058,0.00631,0.00346,2068,CarbonEmissions,0.00329
0.00569,0.00618,0.00337,2069,CarbonEmissions,0.0032
0.00557,0.00605,0.00329,2070,CarbonEmissions,0.00312
0.00546,0.0059,0.00321,2071,CarbonEmissions,0.00305
0.00533,0.00576,0.00315,2072,CarbonEmissions,0.00299
0.00521,0.00562,0.00308,2073,CarbonEmissions,0.00293
0.00508,0.00547,0.00302,2074,CarbonEmissions,0.00287
0.00495,0.00533,0.00296,2075,CarbonEmissions,0.00282
0.00483,0.00519,0.00288,2076,CarbonEmissions,0.00277
0.0047,0.00505,0.00281,2077,CarbonEmissions,0.00271
0.00458,0.00491,0.00274,2078,CarbonEmissions,0.00265
0.00446,0.00475,0.00268,2079,CarbonEmissions,0.00259
0.00433,0.00461,0.00263,2080,CarbonEmissions,0.00254
0.00421,0.00446,0.00257,2081,CarbonEmissions,0.00249
0.00409,0.00431,0.00253,2082,CarbonEmissions,0.00245
0.00397,0.00416,0.00248,2083,CarbonEmissions,0.00241
0.00386,0.00401,0.00244,2084,CarbonEmissions,0.00238
0.00374,0.00387,0.0024,2085,CarbonEmissions,0.00234
0.00363,0.00373,0.00236,2086,CarbonEmissions,0.00231
0.00352,0.0036,0.00233,2087,CarbonEmissions,0.00228
0.00342,0.00347,0.0023,2088,CarbonEmissions,0.00225
0.00331,0.00335,0.00227,2089,CarbonEmissions,0.00223
0.00321,0.00322,0.00224,2090,CarbonEmissions,0.0022
0.00311,0.00311,0.00222,2091,CarbonEmissions,0.00218
0.00303,0.00302,0.00219,2092,CarbonEmissions,0.00216
0.00296,0.00295,0.00217,2093,CarbonEmissions,0.00214
0.00289,0.00288,0.00215,2094,CarbonEmissions,0.00213
0.00283,0.00282,0.00213,2095,CarbonEmissions,0.00211
0.00277,0.00276,0.00212,2096,CarbonEmissions,0.0021
0.00272,0.00271,0.0021,2097,CarbonEmissions,0.00208
0.00266,0.00266,0.00209,2098,CarbonEmissions,0.00207
0.00262,0.00261,0.00208,2099,CarbonEmissions,0.00206
0.00257,0.00256,0.00207,2100,CarbonEmissions,0.00205
7.259,7.259,7.259,2019,CarbonEmissions_per_capita,7.25855
7.041,7.041,7.041,2020,CarbonEmissions_per_capita,7.04072
6.872,6.872,6.872,2021,CarbonEmissions_per_capita,6.87177
6.631,6.631,6.631,2022,CarbonEmissions_per_capita,6.63094
6.453,6.453,6.452,2023,CarbonEmissions_per_capita,6.45248
6.315,6.315,6.315,2024,CarbonEmissions_per_capita,6.31477
6.222,6.222,6.319,2025,CarbonEmissions_per_capita,6.31931
6.161,6.162,6.311,2026,CarbonEmissions_per_capita,6.3096
6.088,6.088,6.215,2027,CarbonEmissions_per_capita,6.21433
6.04,6.035,6.069,2028,CarbonEmissions_per_capita,6.07424
6.006,5.999,5.895,2029,CarbonEmissions_per_capita,5.90236
5.983,5.979,5.718,2030,CarbonEmissions_per_capita,5.72394
5.951,5.957,5.509,2031,CarbonEmissions_per_capita,5.50954
5.899,5.919,5.345,2032,CarbonEmissions_per_capita,5.33699
5.839,5.875,5.219,2033,CarbonEmissions_per_capita,5.20097
5.775,5.823,5.132,2034,CarbonEmissions_per_capita,5.10063
5.714,5.775,5.045,2035,CarbonEmissions_per_capita,4.9984
5.653,5.733,4.985,2036,CarbonEmissions_per_capita,4.92192
5.599,5.695,4.979,2037,CarbonEmissions_per_capita,4.8991
5.549,5.651,4.96,2038,CarbonEmissions_per_capita,4.8661
5.499,5.608,4.917,2039,CarbonEmissions_per_capita,4.81405
5.458,5.574,4.869,2040,CarbonEmissions_per_capita,4.75838
5.417,5.545,4.81,2041,CarbonEmissions_per_capita,4.696
5.375,5.515,4.753,2042,CarbonEmissions_per_capita,4.63443
5.333,5.485,4.695,2043,CarbonEmissions_per_capita,4.57233
5.282,5.444,4.642,2044,CarbonEmissions_per_capita,4.51323
5.228,5.399,4.542,2045,CarbonEmissions_per_capita,4.40232
5.175,5.354,4.367,2046,CarbonEmissions_per_capita,4.21803
5.123,5.312,4.147,2047,CarbonEmissions_per_capita,3.99504
5.075,5.272,3.965,2048,CarbonEmissions_per_capita,3.80885
5.031,5.239,3.815,2049,CarbonEmissions_per_capita,3.65598
4.989,5.214,3.684,2050,CarbonEmissions_per_capita,3.52384
4.951,5.193,3.595,2051,CarbonEmissions_per_capita,3.43203
4.914,5.168,3.542,2052,CarbonEmissions_per_capita,3.37137
4.876,5.14,3.508,2053,CarbonEmissions_per_capita,3.33013
4.84,5.109,3.486,2054,CarbonEmissions_per_capita,3.2997
4.804,5.077,3.464,2055,CarbonEmissions_per_capita,3.27186
4.768,5.045,3.441,2056,CarbonEmissions_per_capita,3.25011
4.733,5.011,3.388,2057,CarbonEmissions_per_capita,3.20491
4.697,4.989,3.32,2058,CarbonEmissions_per_capita,3.15033
4.661,4.96,3.235,2059,CarbonEmissions_per_capita,3.08032
4.621,4.935,3.153,2060,CarbonEmissions_per_capita,3.01239
4.58,4.907,3.067,2061,CarbonEmissions_per_capita,2.93403
4.537,4.878,2.98,2062,CarbonEmissions_per_capita,2.85617
4.495,4.843,2.896,2063,CarbonEmissions_per_capita,2.7783
4.451,4.807,2.814,2064,CarbonEmissions_per_capita,2.70399
4.42,4.766,2.721,2065,CarbonEmissions_per_capita,2.61698
4.386,4.724,2.644,2066,CarbonEmissions_per_capita,2.54587
4.348,4.676,2.579,2067,CarbonEmissions_per_capita,2.48304
4.304,4.622,2.52,2068,CarbonEmissions_per_capita,2.42774
4.253,4.558,2.468,2069,CarbonEmissions_per_capita,2.37771
4.197,4.487,2.425,2070,CarbonEmissions_per_capita,2.3362
4.138,4.412,2.387,2071,CarbonEmissions_per_capita,2.29955
4.074,4.332,2.352,2072,CarbonEmissions_per_capita,2.26733
4.007,4.253,2.321,2073,CarbonEmissions_per_capita,2.23858
3.938,4.174,2.292,2074,CarbonEmissions_per_capita,2.21213
3.869,4.097,2.259,2075,CarbonEmissions_per_capita,2.18833
3.799,4.017,2.217,2076,CarbonEmissions_per_capita,2.16711
3.73,3.936,2.175,2077,CarbonEmissions_per_capita,2.13249
3.66,3.852,2.141,2078,CarbonEmissions_per_capita,2.10196
3.589,3.76,2.109,2079,CarbonEmissions_per_capita,2.073
3.518,3.672,2.082,2080,CarbonEmissions_per_capita,2.04941
3.448,3.581,2.056,2081,CarbonEmissions_per_capita,2.02744
3.374,3.486,2.033,2082,CarbonEmissions_per_capita,2.00941
