Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.07143,0.07143,0.07143,2019,CarbonEmissions,0.07143
0.0698,0.0698,0.0698,2020,CarbonEmissions,0.0698
0.07015,0.07015,0.07015,2021,CarbonEmissions,0.07015
0.07087,0.07087,0.07087,2022,CarbonEmissions,0.07087
0.07073,0.07073,0.07073,2023,CarbonEmissions,0.07073
0.06886,0.06886,0.06886,2024,CarbonEmissions,0.06886
0.06746,0.06746,0.06803,2025,CarbonEmissions,0.06803
0.06672,0.06674,0.06711,2026,CarbonEmissions,0.06709
0.0663,0.0663,0.06544,2027,CarbonEmissions,0.06543
0.06642,0.06638,0.06328,2028,CarbonEmissions,0.0633
0.06684,0.06683,0.0608,2029,CarbonEmissions,0.0608
0.06717,0.06726,0.05795,2030,CarbonEmissions,0.05787
0.06725,0.0675,0.05505,2031,CarbonEmissions,0.05486
0.06698,0.06744,0.05209,2032,CarbonEmissions,0.05177
0.06659,0.06728,0.04932,2033,CarbonEmissions,0.04884
0.06611,0.06698,0.04664,2034,CarbonEmissions,0.046
0.06548,0.06654,0.04412,2035,CarbonEmissions,0.0433
0.06477,0.06612,0.04156,2036,CarbonEmissions,0.0406
0.06409,0.0657,0.03907,2037,CarbonEmissions,0.03801
0.06342,0.06512,0.03636,2038,CarbonEmissions,0.03525
0.06265,0.06446,0.03341,2039,CarbonEmissions,0.0323
0.06194,0.06382,0.03054,2040,CarbonEmissions,0.02942
0.06113,0.06323,0.02758,2041,CarbonEmissions,0.02649
0.06031,0.0625,0.02465,2042,CarbonEmissions,0.02359
0.0594,0.06171,0.02184,2043,CarbonEmissions,0.02081
0.05833,0.06067,0.01921,2044,CarbonEmissions,0.01821
0.0572,0.05955,0.01674,2045,CarbonEmissions,0.01577
0.05601,0.05836,0.01457,2046,CarbonEmissions,0.01364
0.05478,0.05715,0.01244,2047,CarbonEmissions,0.01157
0.05356,0.05589,0.01052,2048,CarbonEmissions,0.00969
0.05232,0.05471,0.00883,2049,CarbonEmissions,0.00805
0.05114,0.05366,0.00748,2050,CarbonEmissions,0.00672
0.04989,0.0525,0.00627,2051,CarbonEmissions,0.00556
0.04864,0.05128,0.00518,2052,CarbonEmissions,0.0045
0.04738,0.05001,0.00414,2053,CarbonEmissions,0.00353
0.04611,0.04871,0.00316,2054,CarbonEmissions,0.0026
0.04485,0.04738,0.00224,2055,CarbonEmissions,0.00175
0.04359,0.04608,0.00129,2056,CarbonEmissions,0.0009
0.04235,0.04476,0.00048,2057,CarbonEmissions,0.00012
