Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00185,0.00185,0.00185,2019,CarbonEmissions,0.00185
0.00244,0.00244,0.00244,2020,CarbonEmissions,0.00244
0.00291,0.00291,0.00291,2021,CarbonEmissions,0.00291
0.00324,0.00324,0.00324,2022,CarbonEmissions,0.00324
0.00363,0.00363,0.00363,2023,CarbonEmissions,0.00363
0.00398,0.00398,0.00397,2024,CarbonEmissions,0.00397
0.00437,0.00437,0.00458,2025,CarbonEmissions,0.00458
0.00486,0.00485,0.00522,2026,CarbonEmissions,0.00523
0.00542,0.0054,0.0058,2027,CarbonEmissions,0.00582
0.00593,0.00592,0.00619,2028,CarbonEmissions,0.00619
0.00652,0.00652,0.00654,2029,CarbonEmissions,0.00653
0.00713,0.00715,0.00685,2030,CarbonEmissions,0.00683
0.00775,0.0078,0.00713,2031,CarbonEmissions,0.00709
0.00837,0.00846,0.00745,2032,CarbonEmissions,0.00739
0.009,0.00914,0.00781,2033,CarbonEmissions,0.00772
0.00965,0.00982,0.00822,2034,CarbonEmissions,0.00808
0.01033,0.01055,0.00862,2035,CarbonEmissions,0.00843
0.01105,0.01134,0.00904,2036,CarbonEmissions,0.00879
0.01182,0.0122,0.00948,2037,CarbonEmissions,0.00916
0.01266,0.01311,0.00985,2038,CarbonEmissions,0.00946
0.01356,0.0141,0.0101,2039,CarbonEmissions,0.00965
0.01457,0.01521,0.01017,2040,CarbonEmissions,0.00966
0.01565,0.01646,0.01011,2041,CarbonEmissions,0.00955
0.01688,0.01789,0.00994,2042,CarbonEmissions,0.00934
0.01823,0.01946,0.00972,2043,CarbonEmissions,0.00907
0.0196,0.02096,0.00946,2044,CarbonEmissions,0.00877
0.02098,0.02249,0.00918,2045,CarbonEmissions,0.00846
0.02238,0.02406,0.00896,2046,CarbonEmissions,0.00819
0.02384,0.02564,0.00876,2047,CarbonEmissions,0.00796
0.02533,0.02714,0.00861,2048,CarbonEmissions,0.00777
0.02676,0.02867,0.00855,2049,CarbonEmissions,0.00767
0.02821,0.03031,0.00866,2050,CarbonEmissions,0.0077
0.02965,0.03193,0.00889,2051,CarbonEmissions,0.00787
0.03111,0.03352,0.00922,2052,CarbonEmissions,0.0081
0.03258,0.03514,0.00963,2053,CarbonEmissions,0.0084
0.03408,0.03679,0.01013,2054,CarbonEmissions,0.00876
0.03559,0.03847,0.01066,2055,CarbonEmissions,0.00913
0.03717,0.0402,0.01108,2056,CarbonEmissions,0.00946
0.03879,0.04209,0.01151,2057,CarbonEmissions,0.00985
0.04041,0.04399,0.01174,2058,CarbonEmissions,0.01004
0.04203,0.04589,0.01193,2059,CarbonEmissions,0.01018
0.04362,0.04786,0.01194,2060,CarbonEmissions,0.01014
0.04521,0.04987,0.01183,2061,CarbonEmissions,0.01009
0.04683,0.05194,0.01163,2062,CarbonEmissions,0.00997
0.04851,0.05404,0.01136,2063,CarbonEmissions,0.0098
0.05019,0.05621,0.01104,2064,CarbonEmissions,0.00954
0.05194,0.05841,0.01078,2065,CarbonEmissions,0.00935
0.05372,0.06067,0.01052,2066,CarbonEmissions,0.00911
0.05553,0.06288,0.01023,2067,CarbonEmissions,0.00889
0.05733,0.06504,0.00994,2068,CarbonEmissions,0.00865
0.05918,0.06706,0.00963,2069,CarbonEmissions,0.00842
0.061,0.06903,0.0093,2070,CarbonEmissions,0.00815
0.06289,0.07097,0.00902,2071,CarbonEmissions,0.00791
0.06473,0.07287,0.00875,2072,CarbonEmissions,0.00767
0.06654,0.07488,0.00848,2073,CarbonEmissions,0.00742
0.06838,0.07706,0.00829,2074,CarbonEmissions,0.00725
0.07027,0.07947,0.00816,2075,CarbonEmissions,0.00707
0.0722,0.082,0.00797,2076,CarbonEmissions,0.00687
0.07424,0.08469,0.00783,2077,CarbonEmissions,0.00671
0.07625,0.08738,0.00764,2078,CarbonEmissions,0.00649
0.07828,0.08998,0.00751,2079,CarbonEmissions,0.0063
0.08037,0.09266,0.00736,2080,CarbonEmissions,0.00607
0.08251,0.09537,0.00728,2081,CarbonEmissions,0.00589
0.08457,0.09809,0.00717,2082,CarbonEmissions,0.0057
0.08666,0.10083,0.00709,2083,CarbonEmissions,0.00555
0.0887,0.10364,0.00701,2084,CarbonEmissions,0.00539
0.0908,0.10641,0.00692,2085,CarbonEmissions,0.00523
0.09293,0.10919,0.00685,2086,CarbonEmissions,0.00509
0.09514,0.11207,0.00678,2087,CarbonEmissions,0.00494
0.09745,0.11491,0.00666,2088,CarbonEmissions,0.00481
0.09984,0.11731,0.00652,2089,CarbonEmissions,0.00468
0.10228,0.11971,0.00639,2090,CarbonEmissions,0.00456
0.10464,0.12194,0.00627,2091,CarbonEmissions,0.00445
0.10693,0.1241,0.00628,2092,CarbonEmissions,0.00442
0.10923,0.12619,0.00625,2093,CarbonEmissions,0.00441
0.1116,0.12729,0.00617,2094,CarbonEmissions,0.00443
0.11385,0.12738,0.00615,2095,CarbonEmissions,0.00452
