Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.05302,0.05302,0.05302,2019,CarbonEmissions,0.05302
0.05132,0.05132,0.05132,2020,CarbonEmissions,0.05132
0.05034,0.05034,0.05034,2021,CarbonEmissions,0.05034
0.04966,0.04966,0.04966,2022,CarbonEmissions,0.04966
0.03777,0.03777,0.03777,2023,CarbonEmissions,0.03777
0.03402,0.03402,0.03402,2024,CarbonEmissions,0.03402
0.03383,0.03383,0.03321,2025,CarbonEmissions,0.03321
0.03554,0.03555,0.03442,2026,CarbonEmissions,0.03441
0.03697,0.03698,0.03508,2027,CarbonEmissions,0.03508
0.03703,0.03705,0.03389,2028,CarbonEmissions,0.03385
0.03675,0.03682,0.03223,2029,CarbonEmissions,0.03215
0.03632,0.03645,0.0306,2030,CarbonEmissions,0.03046
0.03576,0.036,0.02913,2031,CarbonEmissions,0.0289
0.03562,0.03601,0.0281,2032,CarbonEmissions,0.02777
0.03554,0.03608,0.0274,2033,CarbonEmissions,0.02695
0.0356,0.03626,0.02687,2034,CarbonEmissions,0.02629
0.03571,0.03632,0.02599,2035,CarbonEmissions,0.02556
0.03579,0.03632,0.02515,2036,CarbonEmissions,0.02466
0.03566,0.03634,0.02424,2037,CarbonEmissions,0.02364
0.03555,0.0363,0.02319,2038,CarbonEmissions,0.02251
0.03541,0.03626,0.02199,2039,CarbonEmissions,0.02126
0.0353,0.03626,0.02065,2040,CarbonEmissions,0.01987
0.03516,0.03628,0.01977,2041,CarbonEmissions,0.01888
0.03498,0.03625,0.01884,2042,CarbonEmissions,0.01793
0.03477,0.03618,0.01788,2043,CarbonEmissions,0.01695
0.03447,0.03599,0.01691,2044,CarbonEmissions,0.01598
0.03412,0.03575,0.01594,2045,CarbonEmissions,0.01501
0.03376,0.03547,0.01506,2046,CarbonEmissions,0.01412
0.03337,0.03519,0.01409,2047,CarbonEmissions,0.01317
0.033,0.03491,0.01324,2048,CarbonEmissions,0.01233
0.03264,0.03467,0.0125,2049,CarbonEmissions,0.01159
0.03229,0.03449,0.0119,2050,CarbonEmissions,0.01098
0.03196,0.03428,0.01142,2051,CarbonEmissions,0.0105
0.03162,0.03402,0.01103,2052,CarbonEmissions,0.01008
0.03129,0.03373,0.01068,2053,CarbonEmissions,0.00973
0.03094,0.03342,0.01038,2054,CarbonEmissions,0.00941
0.03063,0.03311,0.01007,2055,CarbonEmissions,0.00911
0.03033,0.03281,0.00973,2056,CarbonEmissions,0.0088
0.03004,0.03252,0.0094,2057,CarbonEmissions,0.0085
0.02974,0.03225,0.009,2058,CarbonEmissions,0.00814
0.02947,0.03197,0.00861,2059,CarbonEmissions,0.00779
0.02918,0.03172,0.00814,2060,CarbonEmissions,0.00734
0.0289,0.03148,0.00767,2061,CarbonEmissions,0.00692
0.02862,0.03128,0.00719,2062,CarbonEmissions,0.00649
0.02839,0.03109,0.00671,2063,CarbonEmissions,0.00608
0.02816,0.03094,0.00626,2064,CarbonEmissions,0.00566
0.02797,0.03082,0.00587,2065,CarbonEmissions,0.00531
0.02778,0.03075,0.0055,2066,CarbonEmissions,0.00497
0.02761,0.03066,0.00516,2067,CarbonEmissions,0.00466
0.02742,0.03057,0.00485,2068,CarbonEmissions,0.00437
0.02724,0.03042,0.00457,2069,CarbonEmissions,0.0041
0.02703,0.03025,0.00429,2070,CarbonEmissions,0.00384
0.02683,0.03005,0.00405,2071,CarbonEmissions,0.00361
0.0266,0.02983,0.00384,2072,CarbonEmissions,0.0034
0.02635,0.02964,0.00364,2073,CarbonEmissions,0.00321
0.0261,0.0295,0.00346,2074,CarbonEmissions,0.00303
0.02587,0.02943,0.0033,2075,CarbonEmissions,0.00286
0.02565,0.02938,0.00313,2076,CarbonEmissions,0.0027
0.02547,0.02937,0.003,2077,CarbonEmissions,0.00257
0.02531,0.02936,0.00285,2078,CarbonEmissions,0.00244
0.02515,0.02933,0.00272,2079,CarbonEmissions,0.00231
0.02501,0.02933,0.00258,2080,CarbonEmissions,0.00219
0.02489,0.02936,0.00248,2081,CarbonEmissions,0.00208
0.02476,0.0294,0.00238,2082,CarbonEmissions,0.00197
0.02464,0.02948,0.00229,2083,CarbonEmissions,0.00188
0.02455,0.0296,0.00219,2084,CarbonEmissions,0.00179
0.02451,0.02976,0.0021,2085,CarbonEmissions,0.0017
0.02445,0.02988,0.00202,2086,CarbonEmissions,0.00162
0.02444,0.03005,0.00193,2087,CarbonEmissions,0.00153
0.02448,0.03025,0.00186,2088,CarbonEmissions,0.00145
0.02454,0.03051,0.00178,2089,CarbonEmissions,0.00138
0.02463,0.03078,0.00171,2090,CarbonEmissions,0.00131
0.02472,0.03101,0.00165,2091,CarbonEmissions,0.00125
0.02481,0.03125,0.00161,2092,CarbonEmissions,0.00121
